Nation,Time,Confirmed Case,Death,Recover,timestamp
NEPAL,2020-04-03 14:30:10,7.0,0.0,1.0,8260210
NEPAL,2020-04-03 14:30:11,7.0,0.0,1.0,8260211
NEPAL,2020-04-03 17:30:12,6.0,0.0,1.0,8271012
NEPAL,2020-04-03 20:30:12,6.0,0.0,1.0,8281812
NEPAL,2020-04-03 23:30:19,6.0,0.0,1.0,8292619
NEPAL,2020-04-04 08:30:14,6.0,0.0,1.0,8325014
NEPAL,2020-04-04 11:30:14,6.0,0.0,1.0,8335814
NEPAL,2020-04-04 14:30:16,9.0,0.0,1.0,8346616
NEPAL,2020-04-04 17:30:18,9.0,0.0,1.0,8357418
NEPAL,2020-04-04 20:30:33,9.0,0.0,1.0,8368233
NEPAL,2020-04-04 23:30:05,9.0,0.0,1.0,8379005
NEPAL,2020-04-05 08:30:07,9.0,0.0,1.0,8411407
NEPAL,2020-04-05 11:30:03,9.0,0.0,1.0,8422203
NEPAL,2020-04-05 14:30:04,9.0,0.0,1.0,8433004
NEPAL,2020-04-05 17:40:33,9.0,0.0,1.0,8444433
NEPAL,2020-04-05 20:33:28,9.0,0.0,1.0,8454808
NEPAL,2020-04-05 23:30:02,9.0,0.0,1.0,8465402
NEPAL,2020-04-06 08:37:49,9.0,0.0,1.0,8498269
NEPAL,2020-04-06 11:30:05,9.0,0.0,1.0,8508605
NEPAL,2020-04-06 14:44:21,9.0,0.0,1.0,8520261
NEPAL,2020-04-06 17:30:04,9.0,0.0,1.0,8530204
NEPAL,2020-04-06 21:00:44,9.0,0.0,1.0,8542844
NEPAL,2020-04-07 00:00:03,9.0,0.0,1.0,8553603
NEPAL,2020-04-07 09:00:04,9.0,0.0,1.0,8586004
NEPAL,2020-04-07 12:15:51,9.0,0.0,1.0,8597751
NEPAL,2020-04-07 15:59:55,9.0,0.0,1.0,8611195
NEPAL,2020-04-07 18:03:46,9.0,0.0,1.0,8618626
NEPAL,2020-04-07 21:32:15,9.0,0.0,1.0,8631135
NEPAL,2020-04-08 00:00:04,9.0,0.0,1.0,8640004
