Nation,Time,Confirmed Case,Death,Recover,timestamp
SAN MARINO,2020-04-03 14:30:10,245.0,30.0,21.0,8260210
SAN MARINO,2020-04-03 14:30:11,245.0,30.0,21.0,8260211
SAN MARINO,2020-04-03 17:30:12,245.0,30.0,21.0,8271012
SAN MARINO,2020-04-03 20:30:12,245.0,30.0,21.0,8281812
SAN MARINO,2020-04-03 23:30:19,251.0,32.0,26.0,8292619
SAN MARINO,2020-04-04 08:30:14,251.0,32.0,26.0,8325014
SAN MARINO,2020-04-04 11:30:14,251.0,32.0,26.0,8335814
SAN MARINO,2020-04-04 14:30:16,251.0,32.0,26.0,8346616
SAN MARINO,2020-04-04 17:30:18,251.0,32.0,26.0,8357418
SAN MARINO,2020-04-04 20:30:33,259.0,32.0,27.0,8368233
SAN MARINO,2020-04-04 23:30:05,259.0,32.0,27.0,8379005
SAN MARINO,2020-04-05 08:30:07,259.0,32.0,27.0,8411407
SAN MARINO,2020-04-05 11:30:03,259.0,32.0,27.0,8422203
SAN MARINO,2020-04-05 14:30:04,259.0,32.0,27.0,8433004
SAN MARINO,2020-04-05 17:40:33,259.0,32.0,27.0,8444433
SAN MARINO,2020-04-05 20:33:28,266.0,32.0,35.0,8454808
SAN MARINO,2020-04-05 23:30:02,266.0,32.0,35.0,8465402
SAN MARINO,2020-04-06 08:37:49,266.0,32.0,35.0,8498269
SAN MARINO,2020-04-06 11:30:05,266.0,32.0,35.0,8508605
SAN MARINO,2020-04-06 14:44:21,266.0,32.0,35.0,8520261
SAN MARINO,2020-04-06 17:30:04,266.0,32.0,35.0,8530204
SAN MARINO,2020-04-06 21:00:44,266.0,32.0,35.0,8542844
SAN MARINO,2020-04-07 00:00:03,277.0,32.0,40.0,8553603
SAN MARINO,2020-04-07 09:00:04,277.0,32.0,40.0,8586004
SAN MARINO,2020-04-07 12:15:51,277.0,32.0,40.0,8597751
SAN MARINO,2020-04-07 15:59:55,277.0,32.0,40.0,8611195
SAN MARINO,2020-04-07 18:03:46,277.0,32.0,40.0,8618626
SAN MARINO,2020-04-07 21:32:15,279.0,34.0,40.0,8631135
SAN MARINO,2020-04-08 00:00:04,279.0,34.0,40.0,8640004
SAN MARINO,2020-04-08 09:00:46,279.0,34.0,40.0,8672446
SAN MARINO,2020-04-08 12:21:18,279.0,34.0,40.0,8684478
SAN MARINO,2020-04-08 15:04:46,279.0,34.0,40.0,8694286
SAN MARINO,2020-04-08 18:11:16,279.0,34.0,40.0,8705476
SAN MARINO,2020-04-08 21:33:56,279.0,34.0,40.0,8717636
SAN MARINO,2020-04-09 00:14:12,308.0,34.0,45.0,8727252
SAN MARINO,2020-04-09 11:19:24,308.0,34.0,45.0,8767164
SAN MARINO,2020-04-09 12:07:24,308.0,34.0,45.0,8770044
SAN MARINO,2020-04-09 14:57:09,308.0,34.0,45.0,8780229
SAN MARINO,2020-04-09 18:00:02,308.0,34.0,45.0,8791202
SAN MARINO,2020-04-10 01:06:14,333.0,34.0,49.0,8816774
SAN MARINO,2020-04-10 09:04:46,333.0,34.0,49.0,8845486
SAN MARINO,2020-04-10 12:09:17,333.0,34.0,49.0,8856557
SAN MARINO,2020-04-10 14:55:51,333.0,34.0,49.0,8866551
SAN MARINO,2020-04-10 18:41:05,333.0,34.0,49.0,8880065
SAN MARINO,2020-04-10 21:59:17,344.0,34.0,50.0,8891957
SAN MARINO,2020-04-11 00:00:34,344.0,34.0,50.0,8899234
SAN MARINO,2020-04-11 09:01:32,344.0,34.0,50.0,8931692
SAN MARINO,2020-04-11 12:08:24,344.0,34.0,50.0,8942904
SAN MARINO,2020-04-11 17:00:40,344.0,34.0,50.0,8960440
SAN MARINO,2020-04-11 18:12:28,344.0,34.0,50.0,8964748
SAN MARINO,2020-04-11 21:44:19,356.0,35.0,53.0,8977459
SAN MARINO,2020-04-11 23:59:29,356.0,35.0,53.0,8985569
SAN MARINO,2020-04-12 09:00:42,356.0,35.0,53.0,9018042
SAN MARINO,2020-04-12 12:05:42,356.0,35.0,53.0,9029142
SAN MARINO,2020-04-12 15:09:25,356.0,35.0,53.0,9040165
SAN MARINO,2020-04-12 18:22:01,356.0,35.0,53.0,9051721
SAN MARINO,2020-04-12 20:59:25,356.0,35.0,53.0,9061165
SAN MARINO,2020-04-13 00:07:13,356.0,35.0,53.0,9072433
SAN MARINO,2020-04-13 09:26:16,356.0,35.0,53.0,9105976
SAN MARINO,2020-04-13 11:59:14,356.0,35.0,53.0,9115154
SAN MARINO,2020-04-13 15:13:01,356.0,35.0,53.0,9126781
SAN MARINO,2020-04-13 20:23:47,356.0,35.0,53.0,9145427
SAN MARINO,2020-04-13 21:01:27,356.0,35.0,53.0,9147687
SAN MARINO,2020-04-14 00:30:40,371.0,36.0,53.0,9160240
SAN MARINO,2020-04-14 09:09:09,371.0,36.0,53.0,9191349
SAN MARINO,2020-04-14 12:13:23,371.0,36.0,53.0,9202403
SAN MARINO,2020-04-14 15:49:28,371.0,36.0,53.0,9215368
SAN MARINO,2020-04-14 18:27:14,371.0,36.0,53.0,9224834
SAN MARINO,2020-04-14 21:18:50,371.0,36.0,53.0,9235130
SAN MARINO,2020-04-15 00:07:14,372.0,36.0,53.0,9245234
SAN MARINO,2020-04-15 09:00:09,372.0,36.0,53.0,9277209
SAN MARINO,2020-04-15 14:56:18,372.0,36.0,53.0,9298578
SAN MARINO,2020-04-15 19:52:38,372.0,36.0,53.0,9316358
SAN MARINO,2020-04-15 21:18:33,372.0,36.0,53.0,9321513
SAN MARINO,2020-04-16 00:51:15,393.0,36.0,53.0,9334275
SAN MARINO,2020-04-16 09:04:51,393.0,36.0,53.0,9363891
SAN MARINO,2020-04-16 12:05:08,393.0,36.0,53.0,9374708
SAN MARINO,2020-04-16 14:57:08,393.0,36.0,53.0,9385028
SAN MARINO,2020-04-16 17:58:25,393.0,36.0,53.0,9395905
SAN MARINO,2020-04-16 22:41:20,426.0,38.0,55.0,9412880
SAN MARINO,2020-04-17 01:32:36,426.0,38.0,55.0,9423156
SAN MARINO,2020-04-17 09:11:04,426.0,38.0,55.0,9450664
SAN MARINO,2020-04-17 12:02:01,426.0,38.0,55.0,9460921
SAN MARINO,2020-04-17 14:56:35,426.0,38.0,55.0,9471395
SAN MARINO,2020-04-17 18:39:21,426.0,38.0,55.0,9484761
SAN MARINO,2020-04-17 22:45:21,435.0,39.0,57.0,9499521
SAN MARINO,2020-04-18 08:54:14,435.0,39.0,57.0,9536054
SAN MARINO,2020-04-18 13:55:54,435.0,39.0,57.0,9554154
SAN MARINO,2020-04-18 15:41:06,435.0,39.0,57.0,9560466
SAN MARINO,2020-04-18 18:03:48,435.0,39.0,57.0,9569028
SAN MARINO,2020-04-19 00:17:39,455.0,39.0,60.0,9591459
SAN MARINO,2020-04-19 09:10:08,455.0,39.0,60.0,9623408
SAN MARINO,2020-04-19 15:11:32,455.0,39.0,60.0,9645092
SAN MARINO,2020-04-19 18:07:21,461.0,39.0,60.0,9655641
SAN MARINO,2020-04-19 21:01:51,461.0,39.0,60.0,9666111
SAN MARINO,2020-04-20 00:00:38,461.0,39.0,60.0,9676838
SAN MARINO,2020-04-20 12:46:45,461.0,39.0,60.0,9722805
SAN MARINO,2020-04-20 15:15:13,461.0,39.0,60.0,9731713
SAN MARINO,2020-04-20 18:00:55,461.0,39.0,60.0,9741655
SAN MARINO,2020-04-20 20:51:26,462.0,39.0,61.0,9751886
SAN MARINO,2020-04-20 23:57:35,462.0,39.0,61.0,9763055
SAN MARINO,2020-04-21 12:05:06,462.0,39.0,61.0,9806706
SAN MARINO,2020-04-21 18:05:54,476.0,40.0,62.0,9828354
SAN MARINO,2020-04-21 20:56:52,476.0,40.0,62.0,9838612
SAN MARINO,2020-04-22 10:13:50,476.0,40.0,62.0,9886430
SAN MARINO,2020-04-22 12:01:15,476.0,40.0,62.0,9892875
SAN MARINO,2020-04-22 15:04:35,476.0,40.0,62.0,9903875
SAN MARINO,2020-04-23 00:41:34,488.0,40.0,62.0,9938494
SAN MARINO,2020-04-23 11:00:28,488.0,40.0,62.0,9975628
SAN MARINO,2020-04-23 18:09:30,488.0,40.0,62.0,10001370
SAN MARINO,2020-04-23 21:15:10,501.0,40.0,63.0,10012510
SAN MARINO,2020-04-24 12:38:27,501.0,40.0,63.0,10067907
SAN MARINO,2020-04-24 15:07:01,501.0,40.0,63.0,10076821
SAN MARINO,2020-04-24 18:05:08,501.0,40.0,63.0,10087508
SAN MARINO,2020-04-25 01:24:20,513.0,40.0,64.0,10113860
SAN MARINO,2020-04-25 10:29:29,513.0,40.0,64.0,10146569
SAN MARINO,2020-04-25 13:06:30,513.0,40.0,64.0,10155990
SAN MARINO,2020-04-25 15:13:19,513.0,40.0,64.0,10163599
SAN MARINO,2020-04-25 18:05:53,513.0,40.0,64.0,10173953
SAN MARINO,2020-04-26 00:02:26,513.0,40.0,64.0,10195346
SAN MARINO,2020-04-26 10:30:36,513.0,40.0,64.0,10233036
SAN MARINO,2020-04-26 14:00:20,513.0,40.0,64.0,10245620
SAN MARINO,2020-04-26 15:00:26,513.0,40.0,64.0,10249226
SAN MARINO,2020-04-26 18:04:29,538.0,41.0,64.0,10260269
SAN MARINO,2020-04-26 20:55:24,538.0,41.0,64.0,10270524
SAN MARINO,2020-04-27 01:26:23,538.0,41.0,64.0,10286783
SAN MARINO,2020-04-27 12:02:22,538.0,41.0,64.0,10324942
SAN MARINO,2020-04-27 18:28:29,538.0,41.0,64.0,10348109
SAN MARINO,2020-04-27 23:10:06,538.0,41.0,64.0,10365006
SAN MARINO,2020-04-28 00:52:18,538.0,41.0,64.0,10371138
SAN MARINO,2020-04-28 12:28:54,538.0,41.0,64.0,10412934
SAN MARINO,2020-04-29 00:05:46,538.0,41.0,64.0,10454746
SAN MARINO,2020-04-29 11:12:43,553.0,41.0,64.0,10494763
SAN MARINO,2020-04-29 13:02:52,553.0,41.0,64.0,10501372
SAN MARINO,2020-04-29 15:08:24,553.0,41.0,64.0,10508904
SAN MARINO,2020-04-29 18:09:12,563.0,41.0,69.0,10519752
SAN MARINO,2020-04-29 21:32:47,563.0,41.0,69.0,10531967
SAN MARINO,2020-04-30 00:17:29,563.0,41.0,69.0,10541849
SAN MARINO,2020-04-30 09:21:28,563.0,41.0,69.0,10574488
SAN MARINO,2020-04-30 12:29:51,563.0,41.0,69.0,10585791
SAN MARINO,2020-04-30 15:13:47,563.0,41.0,69.0,10595627
SAN MARINO,2020-05-01 00:05:16,569.0,41.0,78.0,10713916
SAN MARINO,2020-05-01 10:41:27,569.0,41.0,78.0,10752087
SAN MARINO,2020-05-01 11:53:59,569.0,41.0,78.0,10756439
SAN MARINO,2020-05-01 15:33:11,569.0,41.0,78.0,10769591
SAN MARINO,2020-05-01 17:55:59,580.0,41.0,82.0,10778159
SAN MARINO,2020-05-01 21:26:40,580.0,41.0,82.0,10790800
SAN MARINO,2020-05-02 00:11:13,580.0,41.0,82.0,10800673
SAN MARINO,2020-05-02 09:45:39,580.0,41.0,82.0,10835139
SAN MARINO,2020-05-02 12:46:52,580.0,41.0,82.0,10846012
SAN MARINO,2020-05-02 15:00:02,580.0,41.0,82.0,10854002
SAN MARINO,2020-05-02 18:00:30,580.0,41.0,83.0,10864830
SAN MARINO,2020-05-03 00:04:29,580.0,41.0,83.0,10886669
SAN MARINO,2020-05-03 11:56:15,580.0,41.0,83.0,10929375
SAN MARINO,2020-05-03 15:05:11,580.0,41.0,83.0,10940711
SAN MARINO,2020-05-03 17:57:14,582.0,41.0,86.0,10951034
SAN MARINO,2020-05-03 21:09:20,582.0,41.0,86.0,10962560
SAN MARINO,2020-05-03 23:58:14,582.0,41.0,86.0,10972694
SAN MARINO,2020-05-04 15:08:30,582.0,41.0,86.0,11027310
SAN MARINO,2020-05-04 18:37:54,582.0,41.0,86.0,11039874
SAN MARINO,2020-05-04 23:58:07,582.0,41.0,86.0,11059087
SAN MARINO,2020-05-05 01:13:37,582.0,41.0,86.0,11063617
SAN MARINO,2020-05-05 13:08:43,582.0,41.0,86.0,11106523
