Nation,Time,Confirmed Case,Death,Recover,timestamp
SOMALIA,2020-04-03 14:30:10,5.0,0.0,1.0,8260210
SOMALIA,2020-04-03 14:30:11,5.0,0.0,1.0,8260211
SOMALIA,2020-04-03 17:30:12,5.0,0.0,1.0,8271012
SOMALIA,2020-04-03 20:30:12,5.0,0.0,1.0,8281812
SOMALIA,2020-04-03 23:30:19,5.0,0.0,1.0,8292619
SOMALIA,2020-04-04 08:30:14,7.0,0.0,1.0,8325014
SOMALIA,2020-04-04 11:30:14,7.0,0.0,1.0,8335814
SOMALIA,2020-04-04 14:30:16,7.0,0.0,1.0,8346616
SOMALIA,2020-04-04 17:30:18,7.0,0.0,1.0,8357418
SOMALIA,2020-04-04 20:30:33,7.0,0.0,1.0,8368233
SOMALIA,2020-04-04 23:30:05,7.0,0.0,1.0,8379005
SOMALIA,2020-04-05 08:30:07,7.0,0.0,1.0,8411407
SOMALIA,2020-04-05 11:30:03,7.0,0.0,1.0,8422203
SOMALIA,2020-04-05 14:30:04,7.0,0.0,1.0,8433004
SOMALIA,2020-04-05 17:40:33,7.0,0.0,1.0,8444433
SOMALIA,2020-04-05 20:33:28,7.0,0.0,1.0,8454808
SOMALIA,2020-04-05 23:30:02,7.0,0.0,1.0,8465402
SOMALIA,2020-04-06 08:37:49,7.0,0.0,1.0,8498269
SOMALIA,2020-04-06 11:30:05,7.0,0.0,1.0,8508605
SOMALIA,2020-04-06 14:44:21,7.0,0.0,1.0,8520261
SOMALIA,2020-04-06 17:30:04,7.0,0.0,1.0,8530204
SOMALIA,2020-04-06 21:00:44,7.0,0.0,1.0,8542844
SOMALIA,2020-04-07 00:00:03,7.0,0.0,1.0,8553603
SOMALIA,2020-04-07 09:00:04,7.0,0.0,1.0,8586004
SOMALIA,2020-04-07 12:15:51,7.0,0.0,1.0,8597751
SOMALIA,2020-04-07 15:59:55,7.0,0.0,1.0,8611195
SOMALIA,2020-04-07 18:03:46,7.0,0.0,1.0,8618626
SOMALIA,2020-04-07 21:32:15,7.0,0.0,1.0,8631135
SOMALIA,2020-04-08 00:00:04,8.0,0.0,1.0,8640004
SOMALIA,2020-04-08 09:00:46,8.0,0.0,1.0,8672446
SOMALIA,2020-04-08 12:21:18,8.0,0.0,1.0,8684478
SOMALIA,2020-04-08 15:04:46,8.0,0.0,1.0,8694286
SOMALIA,2020-04-08 18:11:16,8.0,0.0,1.0,8705476
SOMALIA,2020-04-08 21:33:56,8.0,1.0,1.0,8717636
SOMALIA,2020-04-09 00:14:12,12.0,1.0,1.0,8727252
SOMALIA,2020-04-09 11:19:24,12.0,1.0,1.0,8767164
SOMALIA,2020-04-09 12:07:24,12.0,1.0,1.0,8770044
SOMALIA,2020-04-09 14:57:09,12.0,1.0,1.0,8780229
SOMALIA,2020-04-09 18:00:02,12.0,1.0,1.0,8791202
SOMALIA,2020-04-10 01:06:14,12.0,1.0,1.0,8816774
SOMALIA,2020-04-10 09:04:46,12.0,1.0,1.0,8845486
SOMALIA,2020-04-10 12:09:17,12.0,1.0,1.0,8856557
SOMALIA,2020-04-10 14:55:51,12.0,1.0,1.0,8866551
SOMALIA,2020-04-10 18:41:05,12.0,1.0,1.0,8880065
SOMALIA,2020-04-10 21:59:17,12.0,1.0,1.0,8891957
SOMALIA,2020-04-11 00:00:34,21.0,1.0,1.0,8899234
SOMALIA,2020-04-11 09:01:32,21.0,1.0,1.0,8931692
SOMALIA,2020-04-11 12:08:24,21.0,1.0,1.0,8942904
SOMALIA,2020-04-11 17:00:40,21.0,1.0,1.0,8960440
SOMALIA,2020-04-11 18:12:28,21.0,1.0,1.0,8964748
