Nation,Time,Confirmed Case,Death,Recover,timestamp
BRAZIL,2020-04-03 14:30:10,8076.0,327.0,127.0,8260210
BRAZIL,2020-04-03 14:30:11,8076.0,327.0,127.0,8260211
BRAZIL,2020-04-03 17:30:12,8076.0,327.0,127.0,8271012
BRAZIL,2020-04-03 20:30:12,8165.0,332.0,127.0,8281812
BRAZIL,2020-04-03 23:30:19,8229.0,343.0,127.0,8292619
BRAZIL,2020-04-04 08:30:14,9216.0,365.0,127.0,8325014
BRAZIL,2020-04-04 11:30:14,9216.0,365.0,127.0,8335814
BRAZIL,2020-04-04 14:30:16,9216.0,365.0,127.0,8346616
BRAZIL,2020-04-04 17:30:18,9216.0,365.0,127.0,8357418
BRAZIL,2020-04-04 20:30:33,9225.0,365.0,127.0,8368233
BRAZIL,2020-04-04 23:30:05,9391.0,376.0,127.0,8379005
BRAZIL,2020-04-05 08:30:07,10360.0,445.0,127.0,8411407
BRAZIL,2020-04-05 11:30:03,10360.0,445.0,127.0,8422203
BRAZIL,2020-04-05 14:30:04,10360.0,445.0,127.0,8433004
BRAZIL,2020-04-05 17:40:33,10360.0,445.0,127.0,8444433
BRAZIL,2020-04-05 20:33:28,10431.0,446.0,127.0,8454808
BRAZIL,2020-04-05 23:30:02,10568.0,455.0,127.0,8465402
BRAZIL,2020-04-06 08:37:49,11281.0,487.0,127.0,8498269
BRAZIL,2020-04-06 11:30:05,11281.0,487.0,127.0,8508605
BRAZIL,2020-04-06 14:44:21,11281.0,487.0,127.0,8520261
BRAZIL,2020-04-06 17:30:04,11281.0,487.0,127.0,8530204
BRAZIL,2020-04-06 21:00:44,11494.0,495.0,127.0,8542844
BRAZIL,2020-04-07 00:00:03,11518.0,506.0,127.0,8553603
BRAZIL,2020-04-07 09:00:04,12232.0,566.0,127.0,8586004
BRAZIL,2020-04-07 12:15:51,12239.0,566.0,127.0,8597751
BRAZIL,2020-04-07 15:59:55,12240.0,566.0,127.0,8611195
BRAZIL,2020-04-07 18:03:46,12240.0,567.0,127.0,8618626
BRAZIL,2020-04-07 21:32:15,12345.0,581.0,127.0,8631135
BRAZIL,2020-04-08 00:00:04,12610.0,586.0,127.0,8640004
BRAZIL,2020-04-08 09:00:46,14049.0,688.0,127.0,8672446
BRAZIL,2020-04-08 12:21:18,14049.0,688.0,127.0,8684478
BRAZIL,2020-04-08 15:04:46,14049.0,688.0,127.0,8694286
BRAZIL,2020-04-08 18:11:16,14072.0,691.0,127.0,8705476
BRAZIL,2020-04-08 21:33:56,14152.0,700.0,127.0,8717636
BRAZIL,2020-04-09 00:14:12,14347.0,719.0,127.0,8727252
BRAZIL,2020-04-09 11:19:24,16188.0,820.0,127.0,8767164
BRAZIL,2020-04-09 12:07:24,16195.0,822.0,127.0,8770044
BRAZIL,2020-04-09 14:57:09,16195.0,822.0,127.0,8780229
BRAZIL,2020-04-09 18:00:02,16238.0,823.0,173.0,8791202
BRAZIL,2020-04-10 01:06:14,16474.0,839.0,173.0,8816774
BRAZIL,2020-04-10 09:04:46,18176.0,957.0,173.0,8845486
BRAZIL,2020-04-10 12:09:17,18176.0,957.0,173.0,8856557
BRAZIL,2020-04-10 14:55:51,18176.0,957.0,173.0,8866551
BRAZIL,2020-04-10 18:41:05,18176.0,957.0,173.0,8880065
BRAZIL,2020-04-10 21:59:17,18397.0,974.0,173.0,8891957
BRAZIL,2020-04-11 00:00:34,18397.0,974.0,173.0,8899234
BRAZIL,2020-04-11 09:01:32,19943.0,1086.0,173.0,8931692
BRAZIL,2020-04-11 12:08:24,19943.0,1086.0,173.0,8942904
BRAZIL,2020-04-11 17:00:40,19943.0,1086.0,173.0,8960440
BRAZIL,2020-04-11 18:12:28,19943.0,1086.0,173.0,8964748
BRAZIL,2020-04-11 21:44:19,20022.0,1086.0,173.0,8977459
BRAZIL,2020-04-11 23:59:29,20247.0,1090.0,173.0,8985569
BRAZIL,2020-04-12 09:00:42,20964.0,1141.0,173.0,9018042
BRAZIL,2020-04-12 12:05:42,20964.0,1141.0,173.0,9029142
BRAZIL,2020-04-12 15:09:25,20964.0,1141.0,173.0,9040165
BRAZIL,2020-04-12 18:22:01,20984.0,1141.0,173.0,9051721
BRAZIL,2020-04-12 20:59:25,21042.0,1144.0,173.0,9061165
BRAZIL,2020-04-13 00:07:13,21065.0,1144.0,173.0,9072433
BRAZIL,2020-04-13 09:26:16,22318.0,1230.0,173.0,9105976
BRAZIL,2020-04-13 11:59:14,22318.0,1230.0,173.0,9115154
BRAZIL,2020-04-13 15:13:01,22318.0,1230.0,173.0,9126781
BRAZIL,2020-04-13 20:23:47,22318.0,1241.0,173.0,9145427
BRAZIL,2020-04-13 21:01:27,22625.0,1245.0,173.0,9147687
BRAZIL,2020-04-14 00:30:40,22740.0,1271.0,173.0,9160240
BRAZIL,2020-04-14 09:09:09,23723.0,1355.0,173.0,9191349
BRAZIL,2020-04-14 12:13:23,23753.0,1355.0,2979.0,9202403
BRAZIL,2020-04-14 15:49:28,23753.0,1355.0,2979.0,9215368
BRAZIL,2020-04-14 18:27:14,23753.0,1355.0,2979.0,9224834
BRAZIL,2020-04-14 21:18:50,23955.0,1361.0,2979.0,9235130
BRAZIL,2020-04-15 00:07:14,24232.0,1378.0,3046.0,9245234
BRAZIL,2020-04-15 09:00:09,25684.0,1552.0,14026.0,9277209
BRAZIL,2020-04-15 14:56:18,25684.0,1552.0,14026.0,9298578
BRAZIL,2020-04-15 19:52:38,25758.0,1557.0,14026.0,9316358
BRAZIL,2020-04-15 21:18:33,25758.0,1557.0,14026.0,9321513
BRAZIL,2020-04-16 00:51:15,28320.0,1736.0,14026.0,9334275
BRAZIL,2020-04-16 09:04:51,28912.0,1760.0,14026.0,9363891
BRAZIL,2020-04-16 12:05:08,28912.0,1760.0,14026.0,9374708
BRAZIL,2020-04-16 14:57:08,28912.0,1760.0,14026.0,9385028
BRAZIL,2020-04-16 17:58:25,29015.0,1760.0,14026.0,9395905
BRAZIL,2020-04-16 22:41:20,29165.0,1764.0,14026.0,9412880
BRAZIL,2020-04-17 01:32:36,30425.0,1924.0,14026.0,9423156
BRAZIL,2020-04-17 09:11:04,30683.0,1947.0,14026.0,9450664
BRAZIL,2020-04-17 12:02:01,30891.0,1952.0,14026.0,9460921
BRAZIL,2020-04-17 14:56:35,30891.0,1952.0,14026.0,9471395
BRAZIL,2020-04-17 18:39:21,30891.0,1952.0,14026.0,9484761
BRAZIL,2020-04-17 22:45:21,30961.0,1956.0,14026.0,9499521
BRAZIL,2020-04-18 08:54:14,34221.0,2171.0,14026.0,9536054
BRAZIL,2020-04-18 13:55:54,34221.0,2171.0,14026.0,9554154
BRAZIL,2020-04-18 15:41:06,34221.0,2171.0,14026.0,9560466
BRAZIL,2020-04-18 18:03:48,34221.0,2171.0,14026.0,9569028
BRAZIL,2020-04-19 00:17:39,35025.0,2203.0,14026.0,9591459
BRAZIL,2020-04-19 09:10:08,36925.0,2372.0,14026.0,9623408
BRAZIL,2020-04-19 15:11:32,37119.0,2377.0,14026.0,9645092
BRAZIL,2020-04-19 18:07:21,37120.0,2377.0,14026.0,9655641
BRAZIL,2020-04-19 21:01:51,37153.0,2377.0,14026.0,9666111
BRAZIL,2020-04-20 00:00:38,37437.0,2388.0,14026.0,9676838
BRAZIL,2020-04-20 12:46:45,38654.0,2462.0,22130.0,9722805
BRAZIL,2020-04-20 15:15:13,38654.0,2462.0,22130.0,9731713
BRAZIL,2020-04-20 18:00:55,39144.0,2484.0,22130.0,9741655
BRAZIL,2020-04-20 20:51:26,39144.0,2488.0,22130.0,9751886
BRAZIL,2020-04-20 23:57:35,39548.0,2513.0,22130.0,9763055
BRAZIL,2020-04-21 12:05:06,40838.0,2593.0,22991.0,9806706
BRAZIL,2020-04-21 18:05:54,40838.0,2593.0,22991.0,9828354
BRAZIL,2020-04-21 20:56:52,40878.0,2599.0,22991.0,9838612
BRAZIL,2020-04-22 10:13:50,43611.0,2769.0,24325.0,9886430
BRAZIL,2020-04-22 12:01:15,43611.0,2769.0,24325.0,9892875
BRAZIL,2020-04-22 15:04:35,43611.0,2769.0,24325.0,9903875
BRAZIL,2020-04-23 00:41:34,45757.0,2906.0,24325.0,9938494
BRAZIL,2020-04-23 11:00:28,46182.0,2924.0,25318.0,9975628
BRAZIL,2020-04-23 18:09:30,46348.0,2938.0,25318.0,10001370
BRAZIL,2020-04-23 21:15:10,46704.0,2940.0,25318.0,10012510
BRAZIL,2020-04-24 12:38:27,50036.0,3331.0,26573.0,10067907
BRAZIL,2020-04-24 15:07:01,50036.0,3331.0,26573.0,10076821
BRAZIL,2020-04-24 18:05:08,50329.0,3343.0,26573.0,10087508
BRAZIL,2020-04-25 01:24:20,51350.0,3432.0,26573.0,10113860
BRAZIL,2020-04-25 10:29:29,54043.0,3704.0,27655.0,10146569
BRAZIL,2020-04-25 13:06:30,54043.0,3704.0,27655.0,10155990
BRAZIL,2020-04-25 15:13:19,54043.0,3704.0,27655.0,10163599
BRAZIL,2020-04-25 18:05:53,54043.0,3704.0,27655.0,10173953
BRAZIL,2020-04-26 00:02:26,55224.0,3762.0,27655.0,10195346
BRAZIL,2020-04-26 10:30:36,59324.0,4057.0,29160.0,10233036
BRAZIL,2020-04-26 14:00:20,59324.0,4057.0,29160.0,10245620
BRAZIL,2020-04-26 15:00:26,55989.0,3727.0,27655.0,10249226
BRAZIL,2020-04-26 18:04:29,59324.0,4057.0,29160.0,10260269
BRAZIL,2020-04-26 20:55:24,59479.0,4062.0,29160.0,10270524
BRAZIL,2020-04-27 01:26:23,60311.0,4117.0,29160.0,10286783
BRAZIL,2020-04-27 12:02:22,63100.0,4286.0,30152.0,10324942
BRAZIL,2020-04-27 18:28:29,63302.0,4297.0,30152.0,10348109
BRAZIL,2020-04-27 23:10:06,63657.0,4301.0,30152.0,10365006
BRAZIL,2020-04-28 00:52:18,63682.0,4304.0,30152.0,10371138
BRAZIL,2020-04-28 12:28:54,67446.0,4603.0,31142.0,10412934
BRAZIL,2020-04-29 00:05:46,68188.0,4674.0,31142.0,10454746
BRAZIL,2020-04-29 11:12:43,73235.0,5083.0,32544.0,10494763
BRAZIL,2020-04-29 13:02:52,73235.0,5083.0,32544.0,10501372
BRAZIL,2020-04-29 15:08:24,73235.0,5083.0,32544.0,10508904
BRAZIL,2020-04-29 18:09:12,73235.0,5083.0,32544.0,10519752
BRAZIL,2020-04-29 21:32:47,73980.0,5109.0,32544.0,10531967
BRAZIL,2020-04-30 00:17:29,74493.0,5158.0,32544.0,10541849
BRAZIL,2020-04-30 09:21:28,79685.0,5513.0,34132.0,10574488
BRAZIL,2020-04-30 12:29:51,79685.0,5513.0,34132.0,10585791
BRAZIL,2020-04-30 15:13:47,79685.0,5513.0,34132.0,10595627
BRAZIL,2020-05-01 00:05:16,80246.0,5583.0,34132.0,10713916
BRAZIL,2020-05-01 10:41:27,87187.0,6006.0,35935.0,10752087
BRAZIL,2020-05-01 11:53:59,87187.0,6006.0,35935.0,10756439
BRAZIL,2020-05-01 15:33:11,87187.0,6006.0,35935.0,10769591
BRAZIL,2020-05-01 17:55:59,87187.0,6006.0,35935.0,10778159
BRAZIL,2020-05-01 21:26:40,87371.0,6006.0,35935.0,10790800
BRAZIL,2020-05-02 00:11:13,87562.0,6017.0,35935.0,10800673
BRAZIL,2020-05-02 09:45:39,92202.0,6412.0,38039.0,10835139
BRAZIL,2020-05-02 12:46:52,92202.0,6412.0,38039.0,10846012
BRAZIL,2020-05-02 15:00:02,92202.0,6412.0,38039.0,10854002
BRAZIL,2020-05-02 18:00:30,92630.0,6434.0,38039.0,10864830
BRAZIL,2020-05-03 00:04:29,92630.0,6434.0,38039.0,10886669
BRAZIL,2020-05-03 11:56:15,97100.0,6761.0,40937.0,10929375
BRAZIL,2020-05-03 15:05:11,97100.0,6761.0,40937.0,10940711
BRAZIL,2020-05-03 17:57:14,97100.0,6761.0,40937.0,10951034
BRAZIL,2020-05-03 21:09:20,97100.0,6761.0,40937.0,10962560
BRAZIL,2020-05-03 23:58:14,97100.0,6761.0,40937.0,10972694
BRAZIL,2020-05-04 15:08:30,101826.0,7051.0,42991.0,11027310
BRAZIL,2020-05-04 18:37:54,102115.0,7075.0,42991.0,11039874
