Nation,Time,Confirmed Case,Death,Recover,timestamp
BAHAMAS,2020-04-03 14:30:10,24.0,1.0,1.0,8260210
BAHAMAS,2020-04-03 14:30:11,24.0,1.0,1.0,8260211
BAHAMAS,2020-04-03 17:30:12,24.0,1.0,1.0,8271012
BAHAMAS,2020-04-03 20:30:12,24.0,1.0,1.0,8281812
BAHAMAS,2020-04-03 23:30:19,24.0,1.0,1.0,8292619
BAHAMAS,2020-04-04 08:30:14,24.0,3.0,1.0,8325014
BAHAMAS,2020-04-04 11:30:14,24.0,3.0,1.0,8335814
BAHAMAS,2020-04-04 14:30:16,24.0,3.0,1.0,8346616
BAHAMAS,2020-04-04 17:30:18,24.0,3.0,1.0,8357418
BAHAMAS,2020-04-04 20:30:33,24.0,3.0,1.0,8368233
BAHAMAS,2020-04-04 23:30:05,24.0,3.0,1.0,8379005
BAHAMAS,2020-04-05 08:30:07,28.0,4.0,1.0,8411407
BAHAMAS,2020-04-05 11:30:03,28.0,4.0,1.0,8422203
BAHAMAS,2020-04-05 14:30:04,28.0,4.0,1.0,8433004
BAHAMAS,2020-04-05 17:40:33,28.0,4.0,1.0,8444433
BAHAMAS,2020-04-05 20:33:28,28.0,4.0,1.0,8454808
BAHAMAS,2020-04-05 23:30:02,28.0,4.0,1.0,8465402
BAHAMAS,2020-04-06 08:37:49,29.0,5.0,4.0,8498269
BAHAMAS,2020-04-06 11:30:05,29.0,5.0,4.0,8508605
BAHAMAS,2020-04-06 14:44:21,29.0,5.0,4.0,8520261
BAHAMAS,2020-04-06 17:30:04,29.0,5.0,4.0,8530204
BAHAMAS,2020-04-06 21:00:44,29.0,5.0,4.0,8542844
BAHAMAS,2020-04-07 00:00:03,29.0,5.0,4.0,8553603
BAHAMAS,2020-04-07 09:00:04,33.0,5.0,5.0,8586004
BAHAMAS,2020-04-07 12:15:51,33.0,5.0,5.0,8597751
BAHAMAS,2020-04-07 15:59:55,33.0,5.0,5.0,8611195
BAHAMAS,2020-04-07 18:03:46,33.0,5.0,5.0,8618626
BAHAMAS,2020-04-07 21:32:15,33.0,5.0,5.0,8631135
BAHAMAS,2020-04-08 00:00:04,33.0,5.0,5.0,8640004
BAHAMAS,2020-04-08 09:00:46,36.0,6.0,5.0,8672446
BAHAMAS,2020-04-08 12:21:18,36.0,6.0,5.0,8684478
BAHAMAS,2020-04-08 15:04:46,36.0,6.0,5.0,8694286
BAHAMAS,2020-04-08 18:11:16,36.0,6.0,5.0,8705476
BAHAMAS,2020-04-08 21:33:56,36.0,6.0,5.0,8717636
BAHAMAS,2020-04-09 00:14:12,36.0,6.0,5.0,8727252
BAHAMAS,2020-04-09 11:19:24,40.0,7.0,5.0,8767164
BAHAMAS,2020-04-09 12:07:24,40.0,7.0,5.0,8770044
BAHAMAS,2020-04-09 14:57:09,40.0,7.0,5.0,8780229
BAHAMAS,2020-04-09 18:00:02,40.0,7.0,5.0,8791202
BAHAMAS,2020-04-10 01:06:14,40.0,7.0,5.0,8816774
BAHAMAS,2020-04-10 09:04:46,41.0,8.0,5.0,8845486
BAHAMAS,2020-04-10 12:09:17,41.0,8.0,5.0,8856557
BAHAMAS,2020-04-10 14:55:51,41.0,8.0,5.0,8866551
BAHAMAS,2020-04-10 18:41:05,41.0,8.0,5.0,8880065
BAHAMAS,2020-04-10 21:59:17,41.0,8.0,5.0,8891957
BAHAMAS,2020-04-11 00:00:34,41.0,8.0,5.0,8899234
BAHAMAS,2020-04-11 09:01:32,42.0,8.0,5.0,8931692
BAHAMAS,2020-04-11 12:08:24,42.0,8.0,5.0,8942904
BAHAMAS,2020-04-11 17:00:40,42.0,8.0,5.0,8960440
BAHAMAS,2020-04-11 18:12:28,42.0,8.0,5.0,8964748
BAHAMAS,2020-04-11 21:44:19,42.0,8.0,5.0,8977459
BAHAMAS,2020-04-11 23:59:29,42.0,8.0,5.0,8985569
BAHAMAS,2020-04-12 09:00:42,46.0,8.0,5.0,9018042
BAHAMAS,2020-04-12 12:05:42,46.0,8.0,5.0,9029142
BAHAMAS,2020-04-12 15:09:25,46.0,8.0,5.0,9040165
BAHAMAS,2020-04-12 18:22:01,46.0,8.0,5.0,9051721
BAHAMAS,2020-04-12 20:59:25,46.0,8.0,5.0,9061165
BAHAMAS,2020-04-13 00:07:13,46.0,8.0,5.0,9072433
BAHAMAS,2020-04-13 09:26:16,47.0,8.0,6.0,9105976
BAHAMAS,2020-04-13 11:59:14,47.0,8.0,6.0,9115154
BAHAMAS,2020-04-13 15:13:01,47.0,8.0,6.0,9126781
BAHAMAS,2020-04-13 20:23:47,47.0,8.0,6.0,9145427
BAHAMAS,2020-04-13 21:01:27,47.0,8.0,6.0,9147687
BAHAMAS,2020-04-14 00:30:40,47.0,8.0,6.0,9160240
BAHAMAS,2020-04-14 09:09:09,49.0,8.0,6.0,9191349
BAHAMAS,2020-04-14 12:13:23,49.0,8.0,6.0,9202403
BAHAMAS,2020-04-14 15:49:28,49.0,8.0,6.0,9215368
BAHAMAS,2020-04-14 18:27:14,49.0,8.0,6.0,9224834
BAHAMAS,2020-04-14 21:18:50,49.0,8.0,6.0,9235130
BAHAMAS,2020-04-15 00:07:14,49.0,8.0,6.0,9245234
BAHAMAS,2020-04-15 09:00:09,49.0,8.0,6.0,9277209
BAHAMAS,2020-04-15 14:56:18,49.0,8.0,6.0,9298578
BAHAMAS,2020-04-15 19:52:38,49.0,8.0,6.0,9316358
BAHAMAS,2020-04-15 21:18:33,49.0,8.0,6.0,9321513
BAHAMAS,2020-04-16 00:51:15,49.0,8.0,6.0,9334275
BAHAMAS,2020-04-16 09:04:51,53.0,8.0,6.0,9363891
BAHAMAS,2020-04-16 12:05:08,53.0,8.0,6.0,9374708
BAHAMAS,2020-04-16 14:57:08,53.0,8.0,6.0,9385028
BAHAMAS,2020-04-16 17:58:25,53.0,8.0,6.0,9395905
BAHAMAS,2020-04-16 22:41:20,53.0,8.0,6.0,9412880
BAHAMAS,2020-04-17 01:32:36,53.0,8.0,6.0,9423156
BAHAMAS,2020-04-17 09:11:04,54.0,9.0,9.0,9450664
BAHAMAS,2020-04-17 12:02:01,54.0,9.0,9.0,9460921
BAHAMAS,2020-04-17 14:56:35,54.0,9.0,9.0,9471395
BAHAMAS,2020-04-17 18:39:21,54.0,9.0,9.0,9484761
BAHAMAS,2020-04-17 22:45:21,54.0,9.0,9.0,9499521
BAHAMAS,2020-04-18 08:54:14,54.0,9.0,10.0,9536054
BAHAMAS,2020-04-18 13:55:54,54.0,9.0,10.0,9554154
BAHAMAS,2020-04-18 15:41:06,54.0,9.0,10.0,9560466
BAHAMAS,2020-04-18 18:03:48,54.0,9.0,10.0,9569028
BAHAMAS,2020-04-19 00:17:39,54.0,9.0,10.0,9591459
BAHAMAS,2020-04-19 09:10:08,55.0,9.0,10.0,9623408
BAHAMAS,2020-04-19 15:11:32,55.0,9.0,10.0,9645092
BAHAMAS,2020-04-19 18:07:21,55.0,9.0,10.0,9655641
BAHAMAS,2020-04-19 21:01:51,55.0,9.0,10.0,9666111
BAHAMAS,2020-04-20 00:00:38,55.0,9.0,10.0,9676838
BAHAMAS,2020-04-20 12:46:45,60.0,9.0,11.0,9722805
BAHAMAS,2020-04-20 15:15:13,60.0,9.0,11.0,9731713
BAHAMAS,2020-04-20 18:00:55,60.0,9.0,11.0,9741655
BAHAMAS,2020-04-20 20:51:26,60.0,9.0,11.0,9751886
BAHAMAS,2020-04-20 23:57:35,60.0,9.0,11.0,9763055
BAHAMAS,2020-04-21 12:05:06,64.0,9.0,11.0,9806706
BAHAMAS,2020-04-21 18:05:54,60.0,9.0,11.0,9828354
BAHAMAS,2020-04-21 20:56:52,60.0,9.0,11.0,9838612
BAHAMAS,2020-04-22 10:13:50,60.0,9.0,12.0,9886430
BAHAMAS,2020-04-22 12:01:15,60.0,9.0,12.0,9892875
BAHAMAS,2020-04-22 15:04:35,60.0,9.0,12.0,9903875
BAHAMAS,2020-04-23 00:41:34,60.0,9.0,12.0,9938494
BAHAMAS,2020-04-23 11:00:28,60.0,9.0,12.0,9975628
BAHAMAS,2020-04-23 18:09:30,60.0,9.0,12.0,10001370
BAHAMAS,2020-04-23 21:15:10,60.0,9.0,12.0,10012510
BAHAMAS,2020-04-24 12:38:27,60.0,11.0,14.0,10067907
BAHAMAS,2020-04-24 15:07:01,60.0,11.0,14.0,10076821
BAHAMAS,2020-04-24 18:05:08,60.0,11.0,14.0,10087508
BAHAMAS,2020-04-25 01:24:20,60.0,11.0,14.0,10113860
BAHAMAS,2020-04-25 10:29:29,60.0,11.0,15.0,10146569
BAHAMAS,2020-04-25 13:06:30,60.0,11.0,15.0,10155990
BAHAMAS,2020-04-25 15:13:19,60.0,11.0,15.0,10163599
BAHAMAS,2020-04-25 18:05:53,73.0,11.0,15.0,10173953
BAHAMAS,2020-04-26 00:02:26,73.0,11.0,15.0,10195346
BAHAMAS,2020-04-26 10:30:36,78.0,11.0,15.0,10233036
BAHAMAS,2020-04-26 14:00:20,78.0,11.0,15.0,10245620
