Nation,Time,Confirmed Case,Death,Recover,timestamp
CROATIA,2020-04-03 14:30:10,1011.0,7.0,88.0,8260210
CROATIA,2020-04-03 14:30:11,1011.0,7.0,88.0,8260211
CROATIA,2020-04-03 17:30:12,1011.0,7.0,88.0,8271012
CROATIA,2020-04-03 20:30:12,1079.0,8.0,92.0,8281812
CROATIA,2020-04-03 23:30:19,1079.0,8.0,92.0,8292619
CROATIA,2020-04-04 08:30:14,1079.0,8.0,92.0,8325014
CROATIA,2020-04-04 11:30:14,1079.0,8.0,92.0,8335814
CROATIA,2020-04-04 14:30:16,1079.0,8.0,92.0,8346616
CROATIA,2020-04-04 17:30:18,1079.0,12.0,92.0,8357418
CROATIA,2020-04-04 20:30:33,1126.0,12.0,119.0,8368233
CROATIA,2020-04-04 23:30:05,1126.0,12.0,119.0,8379005
CROATIA,2020-04-05 08:30:07,1126.0,12.0,119.0,8411407
CROATIA,2020-04-05 11:30:03,1126.0,12.0,119.0,8422203
CROATIA,2020-04-05 14:30:04,1126.0,12.0,119.0,8433004
CROATIA,2020-04-05 17:40:33,1126.0,15.0,119.0,8444433
CROATIA,2020-04-05 20:33:28,1182.0,15.0,125.0,8454808
CROATIA,2020-04-05 23:30:02,1182.0,15.0,125.0,8465402
CROATIA,2020-04-06 08:37:49,1182.0,15.0,125.0,8498269
CROATIA,2020-04-06 11:30:05,1182.0,15.0,125.0,8508605
CROATIA,2020-04-06 14:44:21,1182.0,15.0,125.0,8520261
CROATIA,2020-04-06 17:30:04,1182.0,15.0,125.0,8530204
CROATIA,2020-04-06 21:00:44,1222.0,16.0,130.0,8542844
CROATIA,2020-04-07 00:00:03,1222.0,16.0,130.0,8553603
CROATIA,2020-04-07 09:00:04,1222.0,16.0,130.0,8586004
CROATIA,2020-04-07 12:15:51,1222.0,16.0,130.0,8597751
CROATIA,2020-04-07 15:59:55,1222.0,16.0,130.0,8611195
CROATIA,2020-04-07 18:03:46,1282.0,18.0,167.0,8618626
CROATIA,2020-04-07 21:32:15,1282.0,18.0,167.0,8631135
CROATIA,2020-04-08 00:00:04,1282.0,18.0,167.0,8640004
CROATIA,2020-04-08 09:00:46,1282.0,18.0,167.0,8672446
CROATIA,2020-04-08 12:21:18,1282.0,18.0,167.0,8684478
CROATIA,2020-04-08 15:04:46,1282.0,18.0,167.0,8694286
CROATIA,2020-04-08 18:11:16,1343.0,19.0,179.0,8705476
CROATIA,2020-04-08 21:33:56,1343.0,19.0,179.0,8717636
CROATIA,2020-04-09 00:14:12,1343.0,19.0,179.0,8727252
CROATIA,2020-04-09 11:19:24,1343.0,19.0,179.0,8767164
CROATIA,2020-04-09 12:07:24,1343.0,19.0,179.0,8770044
CROATIA,2020-04-09 14:57:09,1343.0,19.0,179.0,8780229
CROATIA,2020-04-09 18:00:02,1407.0,20.0,219.0,8791202
CROATIA,2020-04-10 01:06:14,1407.0,20.0,219.0,8816774
CROATIA,2020-04-10 09:04:46,1407.0,20.0,219.0,8845486
CROATIA,2020-04-10 12:09:17,1407.0,20.0,219.0,8856557
CROATIA,2020-04-10 14:55:51,1407.0,20.0,219.0,8866551
CROATIA,2020-04-10 18:41:05,1495.0,21.0,231.0,8880065
CROATIA,2020-04-10 21:59:17,1495.0,21.0,231.0,8891957
CROATIA,2020-04-11 00:00:34,1495.0,21.0,231.0,8899234
CROATIA,2020-04-11 09:01:32,1495.0,21.0,231.0,8931692
CROATIA,2020-04-11 12:08:24,1495.0,21.0,231.0,8942904
CROATIA,2020-04-11 17:00:40,1495.0,21.0,231.0,8960440
CROATIA,2020-04-11 18:12:28,1534.0,21.0,323.0,8964748
