Nation,Time,Confirmed Case,Death,Recover,timestamp
SWITZERLAND,2020-04-03 14:30:10,18834.0,541.0,4846.0,8260210
SWITZERLAND,2020-04-03 14:30:11,18834.0,541.0,4846.0,8260211
SWITZERLAND,2020-04-03 17:30:12,19303.0,573.0,4846.0,8271012
SWITZERLAND,2020-04-03 20:30:12,19303.0,573.0,4846.0,8281812
SWITZERLAND,2020-04-03 23:30:19,19606.0,591.0,4846.0,8292619
SWITZERLAND,2020-04-04 08:30:14,19702.0,604.0,5657.0,8325014
SWITZERLAND,2020-04-04 11:30:14,19702.0,604.0,5657.0,8335814
SWITZERLAND,2020-04-04 14:30:16,19702.0,604.0,5657.0,8346616
SWITZERLAND,2020-04-04 17:30:18,20278.0,620.0,5657.0,8357418
SWITZERLAND,2020-04-04 20:30:33,20278.0,632.0,5657.0,8368233
SWITZERLAND,2020-04-04 23:30:05,20278.0,641.0,5657.0,8379005
SWITZERLAND,2020-04-05 08:30:07,20505.0,666.0,6415.0,8411407
SWITZERLAND,2020-04-05 11:30:03,20505.0,666.0,6415.0,8422203
SWITZERLAND,2020-04-05 14:30:04,20505.0,666.0,6415.0,8433004
SWITZERLAND,2020-04-05 17:40:33,21100.0,666.0,6415.0,8444433
SWITZERLAND,2020-04-05 20:33:28,21100.0,685.0,6415.0,8454808
SWITZERLAND,2020-04-05 23:30:02,21100.0,685.0,6415.0,8465402
SWITZERLAND,2020-04-06 08:37:49,21100.0,715.0,7298.0,8498269
SWITZERLAND,2020-04-06 11:30:05,21100.0,715.0,7298.0,8508605
SWITZERLAND,2020-04-06 14:44:21,21193.0,725.0,7298.0,8520261
SWITZERLAND,2020-04-06 17:30:04,21282.0,734.0,7298.0,8530204
SWITZERLAND,2020-04-06 21:00:44,21652.0,734.0,7298.0,8542844
SWITZERLAND,2020-04-07 00:00:03,21663.0,765.0,8056.0,8553603
SWITZERLAND,2020-04-07 09:00:04,21663.0,765.0,8056.0,8586004
SWITZERLAND,2020-04-07 12:15:51,21672.0,765.0,8056.0,8597751
SWITZERLAND,2020-04-07 15:59:55,21895.0,787.0,8056.0,8611195
SWITZERLAND,2020-04-07 18:03:46,22242.0,787.0,8056.0,8618626
SWITZERLAND,2020-04-07 21:32:15,22242.0,815.0,8056.0,8631135
SWITZERLAND,2020-04-08 00:00:04,22253.0,821.0,8704.0,8640004
SWITZERLAND,2020-04-08 09:00:46,22293.0,824.0,8704.0,8672446
SWITZERLAND,2020-04-08 12:21:18,22328.0,824.0,8704.0,8684478
SWITZERLAND,2020-04-08 15:04:46,22440.0,842.0,8704.0,8694286
SWITZERLAND,2020-04-08 18:11:16,22789.0,864.0,8704.0,8705476
SWITZERLAND,2020-04-08 21:33:56,22805.0,878.0,8704.0,8717636
SWITZERLAND,2020-04-09 00:14:12,23280.0,895.0,9800.0,8727252
SWITZERLAND,2020-04-09 11:19:24,23280.0,895.0,9800.0,8767164
SWITZERLAND,2020-04-09 12:07:24,23288.0,897.0,9800.0,8770044
SWITZERLAND,2020-04-09 14:57:09,23404.0,909.0,9800.0,8780229
SWITZERLAND,2020-04-09 18:00:02,23612.0,926.0,9900.0,8791202
SWITZERLAND,2020-04-10 01:06:14,24051.0,948.0,10600.0,8816774
SWITZERLAND,2020-04-10 09:04:46,24051.0,948.0,10600.0,8845486
SWITZERLAND,2020-04-10 12:09:17,24051.0,949.0,10600.0,8856557
SWITZERLAND,2020-04-10 14:55:51,24172.0,958.0,10600.0,8866551
SWITZERLAND,2020-04-10 18:41:05,24378.0,985.0,10600.0,8880065
SWITZERLAND,2020-04-10 21:59:17,24548.0,1001.0,10600.0,8891957
SWITZERLAND,2020-04-11 00:00:34,24551.0,1001.0,10600.0,8899234
SWITZERLAND,2020-04-11 09:01:32,24551.0,1002.0,11100.0,8931692
SWITZERLAND,2020-04-11 12:08:24,24551.0,1002.0,11100.0,8942904
SWITZERLAND,2020-04-11 17:00:40,24900.0,1011.0,11100.0,8960440
SWITZERLAND,2020-04-11 18:12:28,24900.0,1011.0,11100.0,8964748
SWITZERLAND,2020-04-11 21:44:19,24960.0,1020.0,11100.0,8977459
SWITZERLAND,2020-04-11 23:59:29,25107.0,1036.0,11100.0,8985569
SWITZERLAND,2020-04-12 09:00:42,25107.0,1036.0,12100.0,9018042
SWITZERLAND,2020-04-12 12:05:42,25107.0,1036.0,12100.0,9029142
SWITZERLAND,2020-04-12 15:09:25,25300.0,1036.0,12100.0,9040165
SWITZERLAND,2020-04-12 18:22:01,25300.0,1081.0,12100.0,9051721
