Nation,Time,Confirmed Case,Death,Recover,timestamp
MOLDOVA,2020-04-03 14:30:10,505.0,6.0,25.0,8260210
MOLDOVA,2020-04-03 14:30:11,505.0,6.0,25.0,8260211
MOLDOVA,2020-04-03 17:30:12,505.0,6.0,25.0,8271012
MOLDOVA,2020-04-03 20:30:12,505.0,6.0,26.0,8281812
MOLDOVA,2020-04-03 23:30:19,591.0,8.0,26.0,8292619
MOLDOVA,2020-04-04 08:30:14,591.0,8.0,26.0,8325014
MOLDOVA,2020-04-04 11:30:14,591.0,8.0,26.0,8335814
MOLDOVA,2020-04-04 14:30:16,591.0,8.0,26.0,8346616
MOLDOVA,2020-04-04 17:30:18,591.0,10.0,26.0,8357418
MOLDOVA,2020-04-04 20:30:33,752.0,10.0,26.0,8368233
MOLDOVA,2020-04-04 23:30:05,752.0,12.0,29.0,8379005
MOLDOVA,2020-04-05 08:30:07,752.0,12.0,29.0,8411407
MOLDOVA,2020-04-05 11:30:03,752.0,12.0,29.0,8422203
MOLDOVA,2020-04-05 14:30:04,752.0,14.0,30.0,8433004
MOLDOVA,2020-04-05 17:40:33,752.0,14.0,30.0,8444433
MOLDOVA,2020-04-05 20:33:28,864.0,14.0,30.0,8454808
MOLDOVA,2020-04-05 23:30:02,864.0,15.0,30.0,8465402
MOLDOVA,2020-04-06 08:37:49,864.0,15.0,30.0,8498269
MOLDOVA,2020-04-06 11:30:05,864.0,15.0,30.0,8508605
MOLDOVA,2020-04-06 14:44:21,864.0,17.0,37.0,8520261
MOLDOVA,2020-04-06 17:30:04,864.0,17.0,37.0,8530204
MOLDOVA,2020-04-06 21:00:44,965.0,19.0,37.0,8542844
MOLDOVA,2020-04-07 00:00:03,965.0,19.0,37.0,8553603
MOLDOVA,2020-04-07 09:00:04,965.0,19.0,37.0,8586004
MOLDOVA,2020-04-07 12:15:51,965.0,19.0,37.0,8597751
MOLDOVA,2020-04-07 15:59:55,965.0,21.0,40.0,8611195
MOLDOVA,2020-04-07 18:03:46,965.0,21.0,40.0,8618626
