Nation,Time,Confirmed Case,Death,Recover,timestamp
FINLAND,2020-04-03 14:30:10,1615.0,19.0,10.0,8260210
FINLAND,2020-04-03 14:30:11,1615.0,19.0,10.0,8260211
FINLAND,2020-04-03 17:30:12,1615.0,19.0,10.0,8271012
FINLAND,2020-04-03 20:30:12,1637.0,20.0,10.0,8281812
FINLAND,2020-04-03 23:30:19,1637.0,20.0,10.0,8292619
FINLAND,2020-04-04 08:30:14,1637.0,20.0,10.0,8325014
FINLAND,2020-04-04 11:30:14,1637.0,20.0,10.0,8335814
FINLAND,2020-04-04 14:30:16,1882.0,20.0,10.0,8346616
FINLAND,2020-04-04 17:30:18,1882.0,20.0,10.0,8357418
FINLAND,2020-04-04 20:30:33,1882.0,25.0,10.0,8368233
FINLAND,2020-04-04 23:30:05,1882.0,25.0,10.0,8379005
FINLAND,2020-04-05 08:30:07,1882.0,25.0,10.0,8411407
FINLAND,2020-04-05 11:30:03,1927.0,25.0,10.0,8422203
FINLAND,2020-04-05 14:30:04,1927.0,25.0,10.0,8433004
FINLAND,2020-04-05 17:40:33,1927.0,28.0,10.0,8444433
FINLAND,2020-04-05 20:33:28,1927.0,28.0,10.0,8454808
FINLAND,2020-04-05 23:30:02,1927.0,28.0,10.0,8465402
FINLAND,2020-04-06 08:37:49,1927.0,28.0,10.0,8498269
FINLAND,2020-04-06 11:30:05,2176.0,28.0,10.0,8508605
FINLAND,2020-04-06 14:44:21,2176.0,28.0,10.0,8520261
FINLAND,2020-04-06 17:30:04,2176.0,28.0,10.0,8530204
FINLAND,2020-04-06 21:00:44,2176.0,27.0,300.0,8542844
FINLAND,2020-04-07 00:00:03,2176.0,27.0,300.0,8553603
FINLAND,2020-04-07 09:00:04,2176.0,27.0,300.0,8586004
FINLAND,2020-04-07 12:15:51,2308.0,27.0,300.0,8597751
FINLAND,2020-04-07 15:59:55,2308.0,27.0,300.0,8611195
FINLAND,2020-04-07 18:03:46,2308.0,34.0,300.0,8618626
FINLAND,2020-04-07 21:32:15,2308.0,34.0,300.0,8631135
FINLAND,2020-04-08 00:00:04,2308.0,34.0,300.0,8640004
FINLAND,2020-04-08 09:00:46,2308.0,34.0,300.0,8672446
FINLAND,2020-04-08 12:21:18,2308.0,34.0,300.0,8684478
FINLAND,2020-04-08 15:04:46,2487.0,34.0,300.0,8694286
FINLAND,2020-04-08 18:11:16,2487.0,40.0,300.0,8705476
FINLAND,2020-04-08 21:33:56,2487.0,40.0,300.0,8717636
FINLAND,2020-04-09 00:14:12,2487.0,40.0,300.0,8727252
FINLAND,2020-04-09 11:19:24,2487.0,40.0,300.0,8767164
FINLAND,2020-04-09 12:07:24,2487.0,40.0,300.0,8770044
FINLAND,2020-04-09 14:57:09,2605.0,40.0,300.0,8780229
FINLAND,2020-04-09 18:00:02,2605.0,42.0,300.0,8791202
FINLAND,2020-04-10 01:06:14,2605.0,42.0,300.0,8816774
FINLAND,2020-04-10 09:04:46,2605.0,42.0,300.0,8845486
FINLAND,2020-04-10 12:09:17,2605.0,42.0,300.0,8856557
FINLAND,2020-04-10 14:55:51,2769.0,42.0,300.0,8866551
FINLAND,2020-04-10 18:41:05,2769.0,48.0,300.0,8880065
FINLAND,2020-04-10 21:59:17,2769.0,48.0,300.0,8891957
FINLAND,2020-04-11 00:00:34,2769.0,48.0,300.0,8899234
FINLAND,2020-04-11 09:01:32,2769.0,48.0,300.0,8931692
FINLAND,2020-04-11 12:08:24,2769.0,48.0,300.0,8942904
FINLAND,2020-04-11 17:00:40,2905.0,48.0,300.0,8960440
FINLAND,2020-04-11 18:12:28,2905.0,49.0,300.0,8964748
FINLAND,2020-04-11 21:44:19,2905.0,49.0,300.0,8977459
FINLAND,2020-04-11 23:59:29,2905.0,49.0,300.0,8985569
FINLAND,2020-04-12 09:00:42,2905.0,49.0,300.0,9018042
FINLAND,2020-04-12 12:05:42,2905.0,49.0,300.0,9029142
FINLAND,2020-04-12 15:09:25,2974.0,49.0,300.0,9040165
FINLAND,2020-04-12 18:22:01,2974.0,56.0,300.0,9051721
FINLAND,2020-04-12 20:59:25,2974.0,56.0,300.0,9061165
FINLAND,2020-04-13 00:07:13,2974.0,56.0,300.0,9072433
FINLAND,2020-04-13 09:26:16,2974.0,56.0,300.0,9105976
FINLAND,2020-04-13 11:59:14,2974.0,56.0,300.0,9115154
FINLAND,2020-04-13 15:13:01,3064.0,56.0,300.0,9126781
FINLAND,2020-04-13 20:23:47,3064.0,59.0,300.0,9145427
FINLAND,2020-04-13 21:01:27,3064.0,59.0,300.0,9147687
FINLAND,2020-04-14 00:30:40,3064.0,59.0,300.0,9160240
FINLAND,2020-04-14 09:09:09,3064.0,59.0,300.0,9191349
FINLAND,2020-04-14 12:13:23,3064.0,59.0,300.0,9202403
FINLAND,2020-04-14 15:49:28,3161.0,59.0,300.0,9215368
FINLAND,2020-04-14 18:27:14,3161.0,59.0,300.0,9224834
FINLAND,2020-04-14 21:18:50,3161.0,64.0,300.0,9235130
FINLAND,2020-04-15 00:07:14,3161.0,64.0,300.0,9245234
FINLAND,2020-04-15 09:00:09,3161.0,64.0,300.0,9277209
FINLAND,2020-04-15 14:56:18,3237.0,64.0,300.0,9298578
FINLAND,2020-04-15 19:52:38,3237.0,72.0,300.0,9316358
FINLAND,2020-04-15 21:18:33,3237.0,72.0,300.0,9321513
FINLAND,2020-04-16 00:51:15,3237.0,72.0,300.0,9334275
FINLAND,2020-04-16 09:04:51,3237.0,72.0,300.0,9363891
FINLAND,2020-04-16 12:05:08,3237.0,72.0,300.0,9374708
FINLAND,2020-04-16 14:57:08,3369.0,72.0,300.0,9385028
FINLAND,2020-04-16 17:58:25,3369.0,72.0,300.0,9395905
FINLAND,2020-04-16 22:41:20,3369.0,75.0,1700.0,9412880
FINLAND,2020-04-17 01:32:36,3369.0,75.0,1700.0,9423156
FINLAND,2020-04-17 09:11:04,3369.0,75.0,1700.0,9450664
FINLAND,2020-04-17 12:02:01,3369.0,75.0,1700.0,9460921
FINLAND,2020-04-17 14:56:35,3489.0,75.0,1700.0,9471395
FINLAND,2020-04-17 18:39:21,3489.0,75.0,1700.0,9484761
FINLAND,2020-04-17 22:45:21,3489.0,82.0,1700.0,9499521
FINLAND,2020-04-18 08:54:14,3489.0,82.0,1700.0,9536054
FINLAND,2020-04-18 13:55:54,3489.0,82.0,1700.0,9554154
FINLAND,2020-04-18 15:41:06,3681.0,82.0,1700.0,9560466
FINLAND,2020-04-18 18:03:48,3681.0,90.0,1700.0,9569028
FINLAND,2020-04-19 00:17:39,3681.0,90.0,1700.0,9591459
FINLAND,2020-04-19 09:10:08,3681.0,90.0,1700.0,9623408
FINLAND,2020-04-19 15:11:32,3783.0,90.0,1700.0,9645092
FINLAND,2020-04-19 18:07:21,3783.0,94.0,1700.0,9655641
FINLAND,2020-04-19 21:01:51,3783.0,94.0,1700.0,9666111
FINLAND,2020-04-20 00:00:38,3783.0,94.0,1700.0,9676838
FINLAND,2020-04-20 12:46:45,3783.0,94.0,1700.0,9722805
FINLAND,2020-04-20 15:15:13,3868.0,94.0,1700.0,9731713
FINLAND,2020-04-20 18:00:55,3868.0,94.0,1700.0,9741655
FINLAND,2020-04-20 20:51:26,3868.0,98.0,1700.0,9751886
FINLAND,2020-04-20 23:57:35,3868.0,98.0,1700.0,9763055
FINLAND,2020-04-21 12:05:06,3868.0,98.0,2000.0,9806706
FINLAND,2020-04-21 18:05:54,4014.0,98.0,2000.0,9828354
FINLAND,2020-04-21 20:56:52,4014.0,141.0,0.0,9838612
FINLAND,2020-04-22 10:13:50,4014.0,141.0,0.0,9886430
FINLAND,2020-04-22 12:01:15,4014.0,141.0,0.0,9892875
FINLAND,2020-04-22 15:04:35,4129.0,141.0,0.0,9903875
FINLAND,2020-04-23 00:41:34,4129.0,149.0,0.0,9938494
FINLAND,2020-04-23 11:00:28,4129.0,149.0,0.0,9975628
FINLAND,2020-04-23 18:09:30,4284.0,172.0,0.0,10001370
FINLAND,2020-04-23 21:15:10,4284.0,172.0,0.0,10012510
FINLAND,2020-04-24 12:38:27,4284.0,172.0,0.0,10067907
FINLAND,2020-04-24 15:07:01,4395.0,172.0,0.0,10076821
FINLAND,2020-04-24 18:05:08,4395.0,172.0,0.0,10087508
FINLAND,2020-04-25 01:24:20,4395.0,177.0,0.0,10113860
FINLAND,2020-04-25 10:29:29,4395.0,177.0,0.0,10146569
FINLAND,2020-04-25 13:06:30,4395.0,177.0,0.0,10155990
FINLAND,2020-04-25 15:13:19,4395.0,177.0,0.0,10163599
FINLAND,2020-04-25 18:05:53,4475.0,177.0,0.0,10173953
FINLAND,2020-04-26 00:02:26,4475.0,186.0,0.0,10195346
FINLAND,2020-04-26 10:30:36,4475.0,186.0,0.0,10233036
FINLAND,2020-04-26 14:00:20,4475.0,186.0,0.0,10245620
FINLAND,2020-04-26 15:00:26,4576.0,177.0,0.0,10249226
FINLAND,2020-04-26 18:04:29,4576.0,190.0,0.0,10260269
FINLAND,2020-04-26 20:55:24,4576.0,190.0,0.0,10270524
FINLAND,2020-04-27 01:26:23,4576.0,190.0,0.0,10286783
FINLAND,2020-04-27 12:02:22,4576.0,190.0,0.0,10324942
FINLAND,2020-04-27 18:28:29,4695.0,190.0,0.0,10348109
FINLAND,2020-04-27 23:10:06,4695.0,193.0,0.0,10365006
FINLAND,2020-04-28 00:52:18,4695.0,193.0,0.0,10371138
FINLAND,2020-04-28 12:28:54,4695.0,193.0,0.0,10412934
FINLAND,2020-04-29 00:05:46,4740.0,199.0,0.0,10454746
FINLAND,2020-04-29 11:12:43,4740.0,199.0,0.0,10494763
FINLAND,2020-04-29 13:02:52,4740.0,199.0,0.0,10501372
FINLAND,2020-04-29 15:08:24,4906.0,199.0,0.0,10508904
FINLAND,2020-04-29 18:09:12,4906.0,199.0,0.0,10519752
FINLAND,2020-04-29 21:32:47,4906.0,206.0,0.0,10531967
FINLAND,2020-04-30 00:17:29,4906.0,206.0,0.0,10541849
FINLAND,2020-04-30 09:21:28,4906.0,206.0,0.0,10574488
FINLAND,2020-04-30 12:29:51,4906.0,206.0,0.0,10585791
FINLAND,2020-04-30 15:13:47,4995.0,206.0,0.0,10595627
FINLAND,2020-05-01 00:05:16,4995.0,211.0,0.0,10713916
FINLAND,2020-05-01 10:41:27,4995.0,211.0,0.0,10752087
FINLAND,2020-05-01 11:53:59,4995.0,211.0,0.0,10756439
FINLAND,2020-05-01 15:33:11,5051.0,211.0,0.0,10769591
FINLAND,2020-05-01 17:55:59,5051.0,218.0,0.0,10778159
FINLAND,2020-05-01 21:26:40,5051.0,218.0,0.0,10790800
FINLAND,2020-05-02 00:11:13,5051.0,218.0,0.0,10800673
FINLAND,2020-05-02 09:45:39,5051.0,218.0,0.0,10835139
FINLAND,2020-05-02 12:46:52,5051.0,218.0,0.0,10846012
