Nation,Time,Confirmed Case,Death,Recover,timestamp
SURINAME,2020-04-03 14:30:10,10.0,0.0,0.0,8260210
SURINAME,2020-04-03 14:30:11,10.0,0.0,0.0,8260211
SURINAME,2020-04-03 17:30:12,10.0,0.0,0.0,8271012
SURINAME,2020-04-03 20:30:12,10.0,0.0,0.0,8281812
SURINAME,2020-04-03 23:30:19,10.0,1.0,0.0,8292619
SURINAME,2020-04-04 08:30:14,10.0,1.0,0.0,8325014
SURINAME,2020-04-04 11:30:14,10.0,1.0,0.0,8335814
SURINAME,2020-04-04 14:30:16,10.0,1.0,0.0,8346616
SURINAME,2020-04-04 17:30:18,10.0,1.0,0.0,8357418
SURINAME,2020-04-04 20:30:33,10.0,1.0,0.0,8368233
SURINAME,2020-04-04 23:30:05,10.0,1.0,0.0,8379005
SURINAME,2020-04-05 08:30:07,10.0,1.0,0.0,8411407
SURINAME,2020-04-05 11:30:03,10.0,1.0,0.0,8422203
SURINAME,2020-04-05 14:30:04,10.0,1.0,0.0,8433004
SURINAME,2020-04-05 17:40:33,10.0,1.0,0.0,8444433
SURINAME,2020-04-05 20:33:28,10.0,1.0,0.0,8454808
SURINAME,2020-04-05 23:30:02,10.0,1.0,0.0,8465402
SURINAME,2020-04-06 08:37:49,10.0,1.0,0.0,8498269
SURINAME,2020-04-06 11:30:05,10.0,1.0,0.0,8508605
SURINAME,2020-04-06 14:44:21,10.0,1.0,0.0,8520261
SURINAME,2020-04-06 17:30:04,10.0,1.0,0.0,8530204
SURINAME,2020-04-06 21:00:44,10.0,1.0,0.0,8542844
SURINAME,2020-04-07 00:00:03,10.0,1.0,0.0,8553603
SURINAME,2020-04-07 09:00:04,10.0,1.0,0.0,8586004
SURINAME,2020-04-07 12:15:51,10.0,1.0,0.0,8597751
SURINAME,2020-04-07 15:59:55,10.0,1.0,0.0,8611195
SURINAME,2020-04-07 18:03:46,10.0,1.0,0.0,8618626
SURINAME,2020-04-07 21:32:15,10.0,1.0,0.0,8631135
SURINAME,2020-04-08 00:00:04,10.0,1.0,0.0,8640004
SURINAME,2020-04-08 09:00:46,10.0,1.0,3.0,8672446
SURINAME,2020-04-08 12:21:18,10.0,1.0,3.0,8684478
SURINAME,2020-04-08 15:04:46,10.0,1.0,3.0,8694286
SURINAME,2020-04-08 18:11:16,10.0,1.0,3.0,8705476
SURINAME,2020-04-08 21:33:56,10.0,1.0,3.0,8717636
SURINAME,2020-04-09 00:14:12,10.0,1.0,3.0,8727252
SURINAME,2020-04-09 11:19:24,10.0,1.0,3.0,8767164
SURINAME,2020-04-09 12:07:24,10.0,1.0,3.0,8770044
SURINAME,2020-04-09 14:57:09,10.0,1.0,4.0,8780229
SURINAME,2020-04-09 18:00:02,10.0,1.0,4.0,8791202
SURINAME,2020-04-10 01:06:14,10.0,1.0,4.0,8816774
SURINAME,2020-04-10 09:04:46,10.0,1.0,4.0,8845486
SURINAME,2020-04-10 12:09:17,10.0,1.0,4.0,8856557
SURINAME,2020-04-10 14:55:51,10.0,1.0,4.0,8866551
SURINAME,2020-04-10 18:41:05,10.0,1.0,4.0,8880065
SURINAME,2020-04-10 21:59:17,10.0,1.0,4.0,8891957
SURINAME,2020-04-11 00:00:34,10.0,1.0,4.0,8899234
SURINAME,2020-04-11 09:01:32,10.0,1.0,4.0,8931692
SURINAME,2020-04-11 12:08:24,10.0,1.0,4.0,8942904
SURINAME,2020-04-11 17:00:40,10.0,1.0,4.0,8960440
