Nation,Time,Confirmed Case,Death,Recover,timestamp
GUATEMALA,2020-04-03 14:30:10,47.0,1.0,12.0,8260210
GUATEMALA,2020-04-03 14:30:11,47.0,1.0,12.0,8260211
GUATEMALA,2020-04-03 17:30:12,47.0,1.0,12.0,8271012
GUATEMALA,2020-04-03 20:30:12,47.0,1.0,12.0,8281812
GUATEMALA,2020-04-03 23:30:19,50.0,1.0,12.0,8292619
GUATEMALA,2020-04-04 08:30:14,50.0,1.0,12.0,8325014
GUATEMALA,2020-04-04 11:30:14,50.0,1.0,12.0,8335814
GUATEMALA,2020-04-04 14:30:16,50.0,1.0,12.0,8346616
GUATEMALA,2020-04-04 17:30:18,50.0,1.0,12.0,8357418
GUATEMALA,2020-04-04 20:30:33,50.0,1.0,12.0,8368233
GUATEMALA,2020-04-04 23:30:05,57.0,2.0,15.0,8379005
GUATEMALA,2020-04-05 08:30:07,61.0,2.0,15.0,8411407
GUATEMALA,2020-04-05 11:30:03,61.0,2.0,15.0,8422203
GUATEMALA,2020-04-05 14:30:04,61.0,2.0,15.0,8433004
GUATEMALA,2020-04-05 17:40:33,61.0,2.0,15.0,8444433
GUATEMALA,2020-04-05 20:33:28,61.0,2.0,15.0,8454808
GUATEMALA,2020-04-05 23:30:02,61.0,2.0,15.0,8465402
GUATEMALA,2020-04-06 08:37:49,70.0,3.0,15.0,8498269
GUATEMALA,2020-04-06 11:30:05,70.0,3.0,15.0,8508605
GUATEMALA,2020-04-06 14:44:21,70.0,3.0,15.0,8520261
GUATEMALA,2020-04-06 17:30:04,70.0,3.0,15.0,8530204
GUATEMALA,2020-04-06 21:00:44,70.0,3.0,15.0,8542844
GUATEMALA,2020-04-07 00:00:03,70.0,3.0,15.0,8553603
GUATEMALA,2020-04-07 09:00:04,74.0,3.0,15.0,8586004
GUATEMALA,2020-04-07 12:15:51,74.0,3.0,17.0,8597751
GUATEMALA,2020-04-07 15:59:55,74.0,3.0,17.0,8611195
GUATEMALA,2020-04-07 18:03:46,74.0,3.0,17.0,8618626
GUATEMALA,2020-04-07 21:32:15,77.0,3.0,17.0,8631135
GUATEMALA,2020-04-08 00:00:04,77.0,3.0,17.0,8640004
GUATEMALA,2020-04-08 09:00:46,80.0,3.0,17.0,8672446
GUATEMALA,2020-04-08 12:21:18,80.0,3.0,17.0,8684478
GUATEMALA,2020-04-08 15:04:46,80.0,3.0,17.0,8694286
GUATEMALA,2020-04-08 18:11:16,80.0,3.0,17.0,8705476
GUATEMALA,2020-04-08 21:33:56,87.0,3.0,17.0,8717636
GUATEMALA,2020-04-09 00:14:12,87.0,3.0,17.0,8727252
GUATEMALA,2020-04-09 11:19:24,87.0,3.0,17.0,8767164
GUATEMALA,2020-04-09 12:07:24,87.0,3.0,17.0,8770044
GUATEMALA,2020-04-09 14:57:09,87.0,3.0,17.0,8780229
GUATEMALA,2020-04-09 18:00:02,87.0,3.0,17.0,8791202
GUATEMALA,2020-04-10 01:06:14,95.0,3.0,17.0,8816774
GUATEMALA,2020-04-10 09:04:46,126.0,3.0,17.0,8845486
GUATEMALA,2020-04-10 12:09:17,126.0,3.0,17.0,8856557
GUATEMALA,2020-04-10 14:55:51,126.0,3.0,17.0,8866551
GUATEMALA,2020-04-10 18:41:05,126.0,3.0,17.0,8880065
GUATEMALA,2020-04-10 21:59:17,126.0,3.0,17.0,8891957
GUATEMALA,2020-04-11 00:00:34,126.0,3.0,17.0,8899234
GUATEMALA,2020-04-11 09:01:32,137.0,3.0,19.0,8931692
GUATEMALA,2020-04-11 12:08:24,137.0,3.0,19.0,8942904
GUATEMALA,2020-04-11 17:00:40,137.0,3.0,19.0,8960440
GUATEMALA,2020-04-11 18:12:28,137.0,3.0,19.0,8964748
GUATEMALA,2020-04-11 21:44:19,137.0,3.0,19.0,8977459
GUATEMALA,2020-04-11 23:59:29,137.0,3.0,19.0,8985569
GUATEMALA,2020-04-12 09:00:42,153.0,3.0,19.0,9018042
GUATEMALA,2020-04-12 12:05:42,153.0,3.0,19.0,9029142
GUATEMALA,2020-04-12 15:09:25,153.0,3.0,19.0,9040165
GUATEMALA,2020-04-12 18:22:01,153.0,3.0,19.0,9051721
GUATEMALA,2020-04-12 20:59:25,153.0,3.0,19.0,9061165
GUATEMALA,2020-04-13 00:07:13,155.0,5.0,19.0,9072433
GUATEMALA,2020-04-13 09:26:16,155.0,5.0,19.0,9105976
GUATEMALA,2020-04-13 11:59:14,155.0,5.0,19.0,9115154
