Nation,Time,Confirmed Case,Death,Recover,timestamp
HONG KONG,2020-04-03 14:30:10,803.0,4.0,154.0,8260210
HONG KONG,2020-04-03 14:30:11,803.0,4.0,154.0,8260211
HONG KONG,2020-04-03 17:30:12,845.0,4.0,173.0,8271012
HONG KONG,2020-04-03 20:30:12,845.0,4.0,173.0,8281812
HONG KONG,2020-04-03 23:30:19,846.0,4.0,173.0,8292619
HONG KONG,2020-04-04 08:30:14,846.0,4.0,173.0,8325014
HONG KONG,2020-04-04 11:30:14,846.0,4.0,173.0,8335814
HONG KONG,2020-04-04 14:30:16,846.0,4.0,173.0,8346616
HONG KONG,2020-04-04 17:30:18,862.0,4.0,173.0,8357418
HONG KONG,2020-04-04 20:30:33,862.0,4.0,173.0,8368233
HONG KONG,2020-04-04 23:30:05,863.0,4.0,186.0,8379005
HONG KONG,2020-04-05 08:30:07,863.0,4.0,186.0,8411407
HONG KONG,2020-04-05 11:30:03,863.0,4.0,186.0,8422203
HONG KONG,2020-04-05 14:30:04,890.0,4.0,206.0,8433004
HONG KONG,2020-04-05 17:40:33,890.0,4.0,206.0,8444433
HONG KONG,2020-04-05 20:33:28,890.0,4.0,206.0,8454808
HONG KONG,2020-04-05 23:30:02,891.0,4.0,206.0,8465402
HONG KONG,2020-04-06 08:37:49,891.0,4.0,206.0,8498269
HONG KONG,2020-04-06 11:30:05,891.0,4.0,206.0,8508605
HONG KONG,2020-04-06 14:44:21,891.0,4.0,206.0,8520261
HONG KONG,2020-04-06 17:30:04,915.0,4.0,216.0,8530204
HONG KONG,2020-04-06 21:00:44,915.0,4.0,216.0,8542844
HONG KONG,2020-04-07 00:00:03,915.0,4.0,216.0,8553603
HONG KONG,2020-04-07 09:00:04,915.0,4.0,216.0,8586004
HONG KONG,2020-04-07 12:15:51,915.0,4.0,216.0,8597751
HONG KONG,2020-04-07 15:59:55,936.0,4.0,236.0,8611195
HONG KONG,2020-04-07 18:03:46,936.0,4.0,236.0,8618626
HONG KONG,2020-04-07 21:32:15,936.0,4.0,236.0,8631135
HONG KONG,2020-04-08 00:00:04,936.0,4.0,236.0,8640004
HONG KONG,2020-04-08 09:00:46,936.0,4.0,236.0,8672446
HONG KONG,2020-04-08 12:21:18,936.0,4.0,236.0,8684478
HONG KONG,2020-04-08 15:04:46,961.0,4.0,264.0,8694286
HONG KONG,2020-04-08 18:11:16,961.0,4.0,264.0,8705476
HONG KONG,2020-04-08 21:33:56,961.0,4.0,264.0,8717636
HONG KONG,2020-04-09 00:14:12,961.0,4.0,264.0,8727252
HONG KONG,2020-04-09 11:19:24,961.0,4.0,264.0,8767164
HONG KONG,2020-04-09 12:07:24,961.0,4.0,264.0,8770044
HONG KONG,2020-04-09 14:57:09,974.0,4.0,293.0,8780229
HONG KONG,2020-04-09 18:00:02,974.0,4.0,293.0,8791202
HONG KONG,2020-04-10 01:06:14,974.0,4.0,293.0,8816774
HONG KONG,2020-04-10 09:04:46,974.0,4.0,293.0,8845486
HONG KONG,2020-04-10 12:09:17,974.0,4.0,293.0,8856557
HONG KONG,2020-04-10 14:55:51,989.0,4.0,293.0,8866551
HONG KONG,2020-04-10 18:41:05,990.0,4.0,309.0,8880065
HONG KONG,2020-04-10 21:59:17,990.0,4.0,309.0,8891957
HONG KONG,2020-04-11 00:00:34,990.0,4.0,309.0,8899234
HONG KONG,2020-04-11 09:01:32,990.0,4.0,309.0,8931692
