Nation,Time,Confirmed Case,Death,Recover,timestamp
ALBANIA,2020-04-03 14:30:10,277.0,16.0,76.0,8260210
ALBANIA,2020-04-03 14:30:11,277.0,16.0,76.0,8260211
ALBANIA,2020-04-03 17:30:12,304.0,16.0,89.0,8271012
ALBANIA,2020-04-03 20:30:12,304.0,16.0,89.0,8281812
ALBANIA,2020-04-03 23:30:19,304.0,17.0,89.0,8292619
ALBANIA,2020-04-04 08:30:14,304.0,17.0,89.0,8325014
ALBANIA,2020-04-04 11:30:14,304.0,17.0,89.0,8335814
ALBANIA,2020-04-04 14:30:16,304.0,17.0,89.0,8346616
ALBANIA,2020-04-04 17:30:18,332.0,18.0,99.0,8357418
ALBANIA,2020-04-04 20:30:33,333.0,18.0,99.0,8368233
ALBANIA,2020-04-04 23:30:05,333.0,18.0,99.0,8379005
ALBANIA,2020-04-05 08:30:07,333.0,20.0,99.0,8411407
ALBANIA,2020-04-05 11:30:03,333.0,20.0,99.0,8422203
ALBANIA,2020-04-05 14:30:04,333.0,20.0,99.0,8433004
ALBANIA,2020-04-05 17:40:33,361.0,20.0,104.0,8444433
ALBANIA,2020-04-05 20:33:28,361.0,20.0,104.0,8454808
ALBANIA,2020-04-05 23:30:02,361.0,20.0,104.0,8465402
ALBANIA,2020-04-06 08:37:49,361.0,20.0,104.0,8498269
ALBANIA,2020-04-06 11:30:05,361.0,20.0,104.0,8508605
ALBANIA,2020-04-06 14:44:21,361.0,20.0,104.0,8520261
ALBANIA,2020-04-06 17:30:04,377.0,21.0,116.0,8530204
ALBANIA,2020-04-06 21:00:44,377.0,21.0,116.0,8542844
ALBANIA,2020-04-07 00:00:03,377.0,21.0,116.0,8553603
ALBANIA,2020-04-07 09:00:04,377.0,21.0,116.0,8586004
ALBANIA,2020-04-07 12:15:51,377.0,21.0,116.0,8597751
ALBANIA,2020-04-07 15:59:55,383.0,22.0,131.0,8611195
ALBANIA,2020-04-07 18:03:46,383.0,22.0,131.0,8618626
ALBANIA,2020-04-07 21:32:15,383.0,22.0,131.0,8631135
ALBANIA,2020-04-08 00:00:04,383.0,22.0,131.0,8640004
ALBANIA,2020-04-08 09:00:46,383.0,22.0,131.0,8672446
ALBANIA,2020-04-08 12:21:18,383.0,22.0,131.0,8684478
ALBANIA,2020-04-08 15:04:46,383.0,22.0,131.0,8694286
ALBANIA,2020-04-08 18:11:16,400.0,22.0,154.0,8705476
ALBANIA,2020-04-08 21:33:56,400.0,22.0,154.0,8717636
ALBANIA,2020-04-09 00:14:12,400.0,22.0,154.0,8727252
ALBANIA,2020-04-09 11:19:24,400.0,22.0,154.0,8767164
ALBANIA,2020-04-09 12:07:24,400.0,22.0,154.0,8770044
ALBANIA,2020-04-09 14:57:09,409.0,22.0,165.0,8780229
ALBANIA,2020-04-09 18:00:02,409.0,22.0,165.0,8791202
ALBANIA,2020-04-10 01:06:14,409.0,23.0,165.0,8816774
ALBANIA,2020-04-10 09:04:46,409.0,23.0,165.0,8845486
ALBANIA,2020-04-10 12:09:17,409.0,23.0,165.0,8856557
ALBANIA,2020-04-10 14:55:51,416.0,23.0,182.0,8866551
ALBANIA,2020-04-10 18:41:05,416.0,23.0,182.0,8880065
ALBANIA,2020-04-10 21:59:17,416.0,23.0,182.0,8891957
ALBANIA,2020-04-11 00:00:34,416.0,23.0,182.0,8899234
ALBANIA,2020-04-11 09:01:32,416.0,23.0,182.0,8931692
ALBANIA,2020-04-11 12:08:24,416.0,23.0,182.0,8942904
ALBANIA,2020-04-11 17:00:40,433.0,23.0,197.0,8960440
ALBANIA,2020-04-11 18:12:28,433.0,23.0,197.0,8964748
ALBANIA,2020-04-11 21:44:19,433.0,23.0,197.0,8977459
ALBANIA,2020-04-11 23:59:29,433.0,23.0,197.0,8985569
ALBANIA,2020-04-12 09:00:42,433.0,23.0,197.0,9018042
ALBANIA,2020-04-12 12:05:42,433.0,23.0,197.0,9029142
ALBANIA,2020-04-12 15:09:25,433.0,23.0,197.0,9040165
ALBANIA,2020-04-12 18:22:01,446.0,23.0,217.0,9051721
ALBANIA,2020-04-12 20:59:25,446.0,23.0,217.0,9061165
ALBANIA,2020-04-13 00:07:13,446.0,23.0,217.0,9072433
ALBANIA,2020-04-13 09:26:16,446.0,23.0,217.0,9105976
ALBANIA,2020-04-13 11:59:14,446.0,23.0,217.0,9115154
ALBANIA,2020-04-13 15:13:01,446.0,23.0,217.0,9126781
ALBANIA,2020-04-13 20:23:47,467.0,23.0,232.0,9145427
ALBANIA,2020-04-13 21:01:27,467.0,23.0,232.0,9147687
ALBANIA,2020-04-14 00:30:40,467.0,23.0,232.0,9160240
ALBANIA,2020-04-14 09:09:09,467.0,23.0,232.0,9191349
ALBANIA,2020-04-14 12:13:23,467.0,23.0,232.0,9202403
ALBANIA,2020-04-14 15:49:28,475.0,24.0,248.0,9215368
ALBANIA,2020-04-14 18:27:14,475.0,24.0,248.0,9224834
ALBANIA,2020-04-14 21:18:50,475.0,24.0,248.0,9235130
ALBANIA,2020-04-15 00:07:14,475.0,24.0,248.0,9245234
ALBANIA,2020-04-15 09:00:09,475.0,24.0,248.0,9277209
ALBANIA,2020-04-15 14:56:18,494.0,25.0,251.0,9298578
ALBANIA,2020-04-15 19:52:38,494.0,25.0,251.0,9316358
ALBANIA,2020-04-15 21:18:33,494.0,25.0,251.0,9321513
ALBANIA,2020-04-16 00:51:15,494.0,25.0,251.0,9334275
ALBANIA,2020-04-16 09:04:51,494.0,25.0,251.0,9363891
ALBANIA,2020-04-16 12:05:08,494.0,25.0,251.0,9374708
ALBANIA,2020-04-16 14:57:08,494.0,25.0,251.0,9385028
ALBANIA,2020-04-16 17:58:25,518.0,26.0,277.0,9395905
ALBANIA,2020-04-16 22:41:20,518.0,26.0,277.0,9412880
ALBANIA,2020-04-17 01:32:36,518.0,26.0,277.0,9423156
ALBANIA,2020-04-17 09:11:04,518.0,26.0,277.0,9450664
ALBANIA,2020-04-17 12:02:01,518.0,26.0,277.0,9460921
ALBANIA,2020-04-17 14:56:35,539.0,26.0,283.0,9471395
ALBANIA,2020-04-17 18:39:21,539.0,26.0,283.0,9484761
ALBANIA,2020-04-17 22:45:21,539.0,26.0,283.0,9499521
ALBANIA,2020-04-18 08:54:14,539.0,26.0,283.0,9536054
ALBANIA,2020-04-18 13:55:54,539.0,26.0,283.0,9554154
ALBANIA,2020-04-18 15:41:06,539.0,26.0,283.0,9560466
ALBANIA,2020-04-18 18:03:48,548.0,26.0,302.0,9569028
ALBANIA,2020-04-19 00:17:39,548.0,26.0,302.0,9591459
ALBANIA,2020-04-19 09:10:08,548.0,26.0,302.0,9623408
ALBANIA,2020-04-19 15:11:32,548.0,26.0,302.0,9645092
ALBANIA,2020-04-19 18:07:21,562.0,26.0,314.0,9655641
ALBANIA,2020-04-19 21:01:51,562.0,26.0,314.0,9666111
ALBANIA,2020-04-20 00:00:38,562.0,26.0,314.0,9676838
ALBANIA,2020-04-20 12:46:45,562.0,26.0,314.0,9722805
ALBANIA,2020-04-20 15:15:13,584.0,26.0,327.0,9731713
ALBANIA,2020-04-20 18:00:55,584.0,26.0,327.0,9741655
ALBANIA,2020-04-20 20:51:26,584.0,26.0,327.0,9751886
ALBANIA,2020-04-20 23:57:35,584.0,26.0,327.0,9763055
ALBANIA,2020-04-21 12:05:06,584.0,26.0,327.0,9806706
ALBANIA,2020-04-21 18:05:54,609.0,26.0,345.0,9828354
ALBANIA,2020-04-21 20:56:52,609.0,26.0,345.0,9838612
ALBANIA,2020-04-22 10:13:50,609.0,26.0,345.0,9886430
ALBANIA,2020-04-22 12:01:15,609.0,26.0,345.0,9892875
ALBANIA,2020-04-22 15:04:35,609.0,26.0,345.0,9903875
ALBANIA,2020-04-23 00:41:34,634.0,27.0,356.0,9938494
ALBANIA,2020-04-23 11:00:28,634.0,27.0,356.0,9975628
ALBANIA,2020-04-23 18:09:30,663.0,27.0,385.0,10001370
ALBANIA,2020-04-23 21:15:10,663.0,27.0,385.0,10012510
ALBANIA,2020-04-24 12:38:27,663.0,27.0,385.0,10067907
ALBANIA,2020-04-24 15:07:01,678.0,27.0,394.0,10076821
ALBANIA,2020-04-24 18:05:08,678.0,27.0,394.0,10087508
ALBANIA,2020-04-25 01:24:20,678.0,27.0,394.0,10113860
ALBANIA,2020-04-25 10:29:29,678.0,27.0,394.0,10146569
ALBANIA,2020-04-25 13:06:30,678.0,27.0,394.0,10155990
ALBANIA,2020-04-25 15:13:19,678.0,27.0,394.0,10163599
ALBANIA,2020-04-25 18:05:53,712.0,27.0,403.0,10173953
ALBANIA,2020-04-26 00:02:26,712.0,27.0,403.0,10195346
ALBANIA,2020-04-26 10:30:36,712.0,27.0,403.0,10233036
ALBANIA,2020-04-26 14:00:20,712.0,27.0,403.0,10245620
ALBANIA,2020-04-26 15:00:26,678.0,27.0,394.0,10249226
ALBANIA,2020-04-26 18:04:29,726.0,28.0,410.0,10260269
ALBANIA,2020-04-26 20:55:24,726.0,28.0,410.0,10270524
ALBANIA,2020-04-27 01:26:23,726.0,28.0,410.0,10286783
