Nation,Time,Confirmed Case,Death,Recover,timestamp
ESTONIA,2020-04-03 14:30:10,961.0,12.0,48.0,8260210
ESTONIA,2020-04-03 14:30:11,961.0,12.0,48.0,8260211
ESTONIA,2020-04-03 17:30:12,961.0,12.0,48.0,8271012
ESTONIA,2020-04-03 20:30:12,961.0,12.0,48.0,8281812
ESTONIA,2020-04-03 23:30:19,961.0,12.0,48.0,8292619
ESTONIA,2020-04-04 08:30:14,961.0,12.0,48.0,8325014
ESTONIA,2020-04-04 11:30:14,961.0,12.0,48.0,8335814
ESTONIA,2020-04-04 14:30:16,1018.0,13.0,59.0,8346616
ESTONIA,2020-04-04 17:30:18,1018.0,13.0,59.0,8357418
ESTONIA,2020-04-04 20:30:33,1018.0,13.0,59.0,8368233
ESTONIA,2020-04-04 23:30:05,1039.0,13.0,59.0,8379005
ESTONIA,2020-04-05 08:30:07,1039.0,13.0,59.0,8411407
ESTONIA,2020-04-05 11:30:03,1039.0,13.0,59.0,8422203
ESTONIA,2020-04-05 14:30:04,1097.0,15.0,62.0,8433004
ESTONIA,2020-04-05 17:40:33,1097.0,15.0,62.0,8444433
ESTONIA,2020-04-05 20:33:28,1097.0,15.0,62.0,8454808
ESTONIA,2020-04-05 23:30:02,1097.0,15.0,62.0,8465402
ESTONIA,2020-04-06 08:37:49,1097.0,15.0,62.0,8498269
ESTONIA,2020-04-06 11:30:05,1097.0,15.0,62.0,8508605
ESTONIA,2020-04-06 14:44:21,1108.0,19.0,62.0,8520261
ESTONIA,2020-04-06 17:30:04,1108.0,19.0,62.0,8530204
ESTONIA,2020-04-06 21:00:44,1108.0,19.0,62.0,8542844
ESTONIA,2020-04-07 00:00:03,1108.0,19.0,62.0,8553603
ESTONIA,2020-04-07 09:00:04,1108.0,19.0,62.0,8586004
ESTONIA,2020-04-07 12:15:51,1108.0,19.0,62.0,8597751
ESTONIA,2020-04-07 15:59:55,1149.0,21.0,69.0,8611195
ESTONIA,2020-04-07 18:03:46,1149.0,21.0,69.0,8618626
ESTONIA,2020-04-07 21:32:15,1149.0,21.0,69.0,8631135
ESTONIA,2020-04-08 00:00:04,1149.0,21.0,69.0,8640004
ESTONIA,2020-04-08 09:00:46,1149.0,21.0,69.0,8672446
ESTONIA,2020-04-08 12:21:18,1149.0,21.0,69.0,8684478
ESTONIA,2020-04-08 15:04:46,1185.0,24.0,72.0,8694286
ESTONIA,2020-04-08 18:11:16,1185.0,24.0,72.0,8705476
ESTONIA,2020-04-08 21:33:56,1185.0,24.0,72.0,8717636
ESTONIA,2020-04-09 00:14:12,1185.0,24.0,72.0,8727252
ESTONIA,2020-04-09 11:19:24,1185.0,24.0,72.0,8767164
ESTONIA,2020-04-09 12:07:24,1185.0,24.0,72.0,8770044
ESTONIA,2020-04-09 14:57:09,1207.0,24.0,83.0,8780229
ESTONIA,2020-04-09 18:00:02,1207.0,24.0,83.0,8791202
ESTONIA,2020-04-10 01:06:14,1207.0,24.0,83.0,8816774
