Nation,Time,Confirmed Case,Death,Recover,timestamp
NORTHERN MARIANA ISLANDS,2020-04-03 14:30:10,6.0,0.0,0.0,8260210
NORTHERN MARIANA ISLANDS,2020-04-03 14:30:11,6.0,0.0,0.0,8260211
NORTHERN MARIANA ISLANDS,2020-04-03 17:30:12,6.0,0.0,0.0,8271012
NORTHERN MARIANA ISLANDS,2020-04-03 20:30:12,6.0,0.0,0.0,8281812
NORTHERN MARIANA ISLANDS,2020-04-03 23:30:19,6.0,0.0,0.0,8292619
NORTHERN MARIANA ISLANDS,2020-04-04 08:30:14,6.0,0.0,0.0,8325014
NORTHERN MARIANA ISLANDS,2020-04-04 11:30:14,6.0,0.0,0.0,8335814
NORTHERN MARIANA ISLANDS,2020-04-04 14:30:16,6.0,0.0,0.0,8346616
NORTHERN MARIANA ISLANDS,2020-04-04 17:30:18,6.0,0.0,0.0,8357418
NORTHERN MARIANA ISLANDS,2020-04-04 20:30:33,6.0,0.0,0.0,8368233
NORTHERN MARIANA ISLANDS,2020-04-04 23:30:05,8.0,0.0,0.0,8379005
NORTHERN MARIANA ISLANDS,2020-04-05 08:30:07,8.0,0.0,0.0,8411407
NORTHERN MARIANA ISLANDS,2020-04-05 11:30:03,8.0,0.0,0.0,8422203
NORTHERN MARIANA ISLANDS,2020-04-05 14:30:04,8.0,0.0,0.0,8433004
NORTHERN MARIANA ISLANDS,2020-04-05 17:40:33,8.0,0.0,0.0,8444433
NORTHERN MARIANA ISLANDS,2020-04-05 20:33:28,8.0,0.0,0.0,8454808
NORTHERN MARIANA ISLANDS,2020-04-05 23:30:02,8.0,0.0,0.0,8465402
NORTHERN MARIANA ISLANDS,2020-04-06 08:37:49,8.0,0.0,0.0,8498269
NORTHERN MARIANA ISLANDS,2020-04-06 11:30:05,8.0,1.0,0.0,8508605
NORTHERN MARIANA ISLANDS,2020-04-06 14:44:21,8.0,1.0,0.0,8520261
NORTHERN MARIANA ISLANDS,2020-04-06 17:30:04,8.0,1.0,0.0,8530204
NORTHERN MARIANA ISLANDS,2020-04-06 21:00:44,8.0,1.0,0.0,8542844
NORTHERN MARIANA ISLANDS,2020-04-07 00:00:03,8.0,1.0,0.0,8553603
NORTHERN MARIANA ISLANDS,2020-04-07 09:00:04,8.0,1.0,0.0,8586004
NORTHERN MARIANA ISLANDS,2020-04-07 12:15:51,8.0,1.0,0.0,8597751
NORTHERN MARIANA ISLANDS,2020-04-07 15:59:55,8.0,1.0,0.0,8611195
NORTHERN MARIANA ISLANDS,2020-04-07 18:03:46,8.0,1.0,0.0,8618626
NORTHERN MARIANA ISLANDS,2020-04-07 21:32:15,8.0,1.0,0.0,8631135
NORTHERN MARIANA ISLANDS,2020-04-08 00:00:04,8.0,1.0,0.0,8640004
NORTHERN MARIANA ISLANDS,2020-04-08 09:00:46,8.0,1.0,0.0,8672446
NORTHERN MARIANA ISLANDS,2020-04-08 12:21:18,8.0,1.0,0.0,8684478
NORTHERN MARIANA ISLANDS,2020-04-08 15:04:46,8.0,1.0,0.0,8694286
NORTHERN MARIANA ISLANDS,2020-04-08 18:11:16,8.0,1.0,0.0,8705476
NORTHERN MARIANA ISLANDS,2020-04-08 21:33:56,11.0,1.0,0.0,8717636
NORTHERN MARIANA ISLANDS,2020-04-09 00:14:12,11.0,2.0,0.0,8727252
NORTHERN MARIANA ISLANDS,2020-04-09 11:19:24,11.0,2.0,0.0,8767164
NORTHERN MARIANA ISLANDS,2020-04-09 12:07:24,11.0,2.0,0.0,8770044
NORTHERN MARIANA ISLANDS,2020-04-09 14:57:09,11.0,2.0,0.0,8780229
NORTHERN MARIANA ISLANDS,2020-04-09 18:00:02,11.0,2.0,0.0,8791202
NORTHERN MARIANA ISLANDS,2020-04-10 01:06:14,11.0,2.0,0.0,8816774
NORTHERN MARIANA ISLANDS,2020-04-10 09:04:46,11.0,2.0,0.0,8845486
NORTHERN MARIANA ISLANDS,2020-04-10 12:09:17,11.0,2.0,0.0,8856557
NORTHERN MARIANA ISLANDS,2020-04-10 14:55:51,11.0,2.0,0.0,8866551
NORTHERN MARIANA ISLANDS,2020-04-10 18:41:05,11.0,2.0,0.0,8880065
NORTHERN MARIANA ISLANDS,2020-04-10 21:59:17,11.0,2.0,0.0,8891957
NORTHERN MARIANA ISLANDS,2020-04-11 00:00:34,11.0,2.0,0.0,8899234
NORTHERN MARIANA ISLANDS,2020-04-11 09:01:32,11.0,2.0,0.0,8931692
NORTHERN MARIANA ISLANDS,2020-04-11 12:08:24,11.0,2.0,0.0,8942904
NORTHERN MARIANA ISLANDS,2020-04-11 17:00:40,11.0,2.0,0.0,8960440
NORTHERN MARIANA ISLANDS,2020-04-11 18:12:28,11.0,2.0,0.0,8964748
NORTHERN MARIANA ISLANDS,2020-04-11 21:44:19,11.0,2.0,0.0,8977459
NORTHERN MARIANA ISLANDS,2020-04-11 23:59:29,11.0,2.0,0.0,8985569
NORTHERN MARIANA ISLANDS,2020-04-12 09:00:42,11.0,2.0,0.0,9018042
NORTHERN MARIANA ISLANDS,2020-04-12 12:05:42,11.0,2.0,0.0,9029142
NORTHERN MARIANA ISLANDS,2020-04-12 15:09:25,11.0,2.0,0.0,9040165
NORTHERN MARIANA ISLANDS,2020-04-12 18:22:01,11.0,2.0,0.0,9051721
NORTHERN MARIANA ISLANDS,2020-04-12 20:59:25,11.0,2.0,0.0,9061165
NORTHERN MARIANA ISLANDS,2020-04-13 00:07:13,11.0,2.0,0.0,9072433
NORTHERN MARIANA ISLANDS,2020-04-13 09:26:16,11.0,2.0,0.0,9105976
NORTHERN MARIANA ISLANDS,2020-04-13 11:59:14,11.0,2.0,0.0,9115154
NORTHERN MARIANA ISLANDS,2020-04-13 15:13:01,11.0,2.0,0.0,9126781
NORTHERN MARIANA ISLANDS,2020-04-13 20:23:47,11.0,2.0,0.0,9145427
