Nation,Time,Confirmed Case,Death,Recover,timestamp
PARAGUAY,2020-04-03 14:30:10,92.0,3.0,4.0,8260210
PARAGUAY,2020-04-03 14:30:11,92.0,3.0,4.0,8260211
PARAGUAY,2020-04-03 17:30:12,92.0,3.0,4.0,8271012
PARAGUAY,2020-04-03 20:30:12,92.0,3.0,4.0,8281812
PARAGUAY,2020-04-03 23:30:19,92.0,3.0,6.0,8292619
PARAGUAY,2020-04-04 08:30:14,96.0,3.0,12.0,8325014
PARAGUAY,2020-04-04 11:30:14,96.0,3.0,12.0,8335814
PARAGUAY,2020-04-04 14:30:16,96.0,3.0,12.0,8346616
PARAGUAY,2020-04-04 17:30:18,96.0,3.0,12.0,8357418
PARAGUAY,2020-04-04 20:30:33,96.0,3.0,12.0,8368233
PARAGUAY,2020-04-04 23:30:05,96.0,3.0,12.0,8379005
PARAGUAY,2020-04-05 08:30:07,104.0,3.0,12.0,8411407
PARAGUAY,2020-04-05 11:30:03,104.0,3.0,12.0,8422203
PARAGUAY,2020-04-05 14:30:04,104.0,3.0,12.0,8433004
PARAGUAY,2020-04-05 17:40:33,104.0,3.0,12.0,8444433
PARAGUAY,2020-04-05 20:33:28,104.0,3.0,12.0,8454808
PARAGUAY,2020-04-05 23:30:02,104.0,3.0,12.0,8465402
PARAGUAY,2020-04-06 08:37:49,113.0,3.0,12.0,8498269
PARAGUAY,2020-04-06 11:30:05,113.0,5.0,12.0,8508605
PARAGUAY,2020-04-06 14:44:21,113.0,5.0,12.0,8520261
PARAGUAY,2020-04-06 17:30:04,113.0,5.0,12.0,8530204
PARAGUAY,2020-04-06 21:00:44,113.0,5.0,12.0,8542844
PARAGUAY,2020-04-07 00:00:03,113.0,5.0,12.0,8553603
PARAGUAY,2020-04-07 09:00:04,115.0,5.0,15.0,8586004
PARAGUAY,2020-04-07 12:15:51,115.0,5.0,15.0,8597751
PARAGUAY,2020-04-07 15:59:55,115.0,5.0,15.0,8611195
PARAGUAY,2020-04-07 18:03:46,115.0,5.0,15.0,8618626
PARAGUAY,2020-04-07 21:32:15,115.0,5.0,15.0,8631135
PARAGUAY,2020-04-08 00:00:04,115.0,5.0,15.0,8640004
PARAGUAY,2020-04-08 09:00:46,119.0,5.0,15.0,8672446
PARAGUAY,2020-04-08 12:21:18,119.0,5.0,15.0,8684478
PARAGUAY,2020-04-08 15:04:46,119.0,5.0,15.0,8694286
PARAGUAY,2020-04-08 18:11:16,119.0,5.0,15.0,8705476
PARAGUAY,2020-04-08 21:33:56,119.0,5.0,15.0,8717636
PARAGUAY,2020-04-09 00:14:12,119.0,5.0,15.0,8727252
PARAGUAY,2020-04-09 11:19:24,119.0,5.0,15.0,8767164
PARAGUAY,2020-04-09 12:07:24,124.0,5.0,18.0,8770044
PARAGUAY,2020-04-09 14:57:09,124.0,5.0,18.0,8780229
PARAGUAY,2020-04-09 18:00:02,124.0,5.0,18.0,8791202
PARAGUAY,2020-04-10 01:06:14,124.0,5.0,18.0,8816774
PARAGUAY,2020-04-10 09:04:46,129.0,6.0,18.0,8845486
PARAGUAY,2020-04-10 12:09:17,129.0,6.0,18.0,8856557
PARAGUAY,2020-04-10 14:55:51,129.0,6.0,18.0,8866551
PARAGUAY,2020-04-10 18:41:05,129.0,6.0,18.0,8880065
PARAGUAY,2020-04-10 21:59:17,129.0,6.0,18.0,8891957
PARAGUAY,2020-04-11 00:00:34,129.0,6.0,18.0,8899234
PARAGUAY,2020-04-11 09:01:32,133.0,6.0,18.0,8931692
PARAGUAY,2020-04-11 12:08:24,133.0,6.0,18.0,8942904
PARAGUAY,2020-04-11 17:00:40,133.0,6.0,18.0,8960440
PARAGUAY,2020-04-11 18:12:28,133.0,6.0,18.0,8964748
PARAGUAY,2020-04-11 21:44:19,133.0,6.0,18.0,8977459
PARAGUAY,2020-04-11 23:59:29,133.0,6.0,18.0,8985569
PARAGUAY,2020-04-12 09:00:42,134.0,6.0,22.0,9018042
PARAGUAY,2020-04-12 12:05:42,134.0,6.0,22.0,9029142
PARAGUAY,2020-04-12 15:09:25,134.0,6.0,22.0,9040165
PARAGUAY,2020-04-12 18:22:01,134.0,6.0,22.0,9051721
PARAGUAY,2020-04-12 20:59:25,134.0,6.0,22.0,9061165
PARAGUAY,2020-04-13 00:07:13,134.0,6.0,22.0,9072433
PARAGUAY,2020-04-13 09:26:16,147.0,6.0,22.0,9105976
PARAGUAY,2020-04-13 11:59:14,147.0,6.0,22.0,9115154
PARAGUAY,2020-04-13 15:13:01,147.0,6.0,22.0,9126781
PARAGUAY,2020-04-13 20:23:47,147.0,6.0,22.0,9145427
PARAGUAY,2020-04-13 21:01:27,147.0,6.0,22.0,9147687
PARAGUAY,2020-04-14 00:30:40,147.0,6.0,22.0,9160240
PARAGUAY,2020-04-14 09:09:09,159.0,7.0,22.0,9191349
PARAGUAY,2020-04-14 12:13:23,159.0,7.0,22.0,9202403
PARAGUAY,2020-04-14 15:49:28,159.0,7.0,22.0,9215368
PARAGUAY,2020-04-14 18:27:14,159.0,7.0,22.0,9224834
PARAGUAY,2020-04-14 21:18:50,159.0,7.0,22.0,9235130
PARAGUAY,2020-04-15 00:07:14,159.0,7.0,22.0,9245234
PARAGUAY,2020-04-15 09:00:09,161.0,8.0,23.0,9277209
PARAGUAY,2020-04-15 14:56:18,161.0,8.0,23.0,9298578
PARAGUAY,2020-04-15 19:52:38,161.0,8.0,23.0,9316358
PARAGUAY,2020-04-15 21:18:33,161.0,8.0,23.0,9321513
PARAGUAY,2020-04-16 00:51:15,161.0,8.0,23.0,9334275
PARAGUAY,2020-04-16 09:04:51,174.0,8.0,30.0,9363891
PARAGUAY,2020-04-16 12:05:08,174.0,8.0,30.0,9374708
PARAGUAY,2020-04-16 14:57:08,174.0,8.0,30.0,9385028
PARAGUAY,2020-04-16 17:58:25,174.0,8.0,30.0,9395905
PARAGUAY,2020-04-16 22:41:20,174.0,8.0,30.0,9412880
PARAGUAY,2020-04-17 01:32:36,174.0,8.0,30.0,9423156
PARAGUAY,2020-04-17 09:11:04,199.0,8.0,30.0,9450664
PARAGUAY,2020-04-17 12:02:01,199.0,8.0,30.0,9460921
PARAGUAY,2020-04-17 14:56:35,199.0,8.0,30.0,9471395
PARAGUAY,2020-04-17 18:39:21,199.0,8.0,30.0,9484761
PARAGUAY,2020-04-17 22:45:21,199.0,8.0,30.0,9499521
PARAGUAY,2020-04-18 08:54:14,202.0,8.0,35.0,9536054
PARAGUAY,2020-04-18 13:55:54,202.0,8.0,35.0,9554154
PARAGUAY,2020-04-18 15:41:06,202.0,8.0,35.0,9560466
PARAGUAY,2020-04-18 18:03:48,202.0,8.0,35.0,9569028
PARAGUAY,2020-04-19 00:17:39,202.0,8.0,35.0,9591459
PARAGUAY,2020-04-19 09:10:08,206.0,8.0,41.0,9623408
PARAGUAY,2020-04-19 15:11:32,206.0,8.0,41.0,9645092
PARAGUAY,2020-04-19 18:07:21,206.0,8.0,41.0,9655641
PARAGUAY,2020-04-19 21:01:51,206.0,8.0,41.0,9666111
PARAGUAY,2020-04-20 00:00:38,206.0,8.0,41.0,9676838
PARAGUAY,2020-04-20 12:46:45,208.0,8.0,46.0,9722805
PARAGUAY,2020-04-20 15:15:13,208.0,8.0,46.0,9731713
PARAGUAY,2020-04-20 18:00:55,208.0,8.0,46.0,9741655
PARAGUAY,2020-04-20 20:51:26,208.0,8.0,46.0,9751886
PARAGUAY,2020-04-20 23:57:35,208.0,8.0,46.0,9763055
PARAGUAY,2020-04-21 12:05:06,208.0,8.0,53.0,9806706
PARAGUAY,2020-04-21 18:05:54,208.0,8.0,53.0,9828354
PARAGUAY,2020-04-21 20:56:52,208.0,8.0,53.0,9838612
PARAGUAY,2020-04-22 10:13:50,213.0,9.0,62.0,9886430
PARAGUAY,2020-04-22 12:01:15,213.0,9.0,62.0,9892875
PARAGUAY,2020-04-22 15:04:35,213.0,9.0,62.0,9903875
PARAGUAY,2020-04-23 00:41:34,213.0,9.0,62.0,9938494
PARAGUAY,2020-04-23 11:00:28,213.0,9.0,67.0,9975628
PARAGUAY,2020-04-23 18:09:30,213.0,9.0,67.0,10001370
PARAGUAY,2020-04-23 21:15:10,213.0,9.0,67.0,10012510
PARAGUAY,2020-04-24 12:38:27,220.0,9.0,70.0,10067907
PARAGUAY,2020-04-24 15:07:01,220.0,9.0,70.0,10076821
PARAGUAY,2020-04-24 18:05:08,220.0,9.0,70.0,10087508
PARAGUAY,2020-04-25 01:24:20,220.0,9.0,70.0,10113860
PARAGUAY,2020-04-25 10:29:29,223.0,9.0,78.0,10146569
PARAGUAY,2020-04-25 13:06:30,223.0,9.0,78.0,10155990
PARAGUAY,2020-04-25 15:13:19,223.0,9.0,78.0,10163599
PARAGUAY,2020-04-25 18:05:53,223.0,9.0,78.0,10173953
PARAGUAY,2020-04-26 00:02:26,223.0,9.0,78.0,10195346
PARAGUAY,2020-04-26 10:30:36,228.0,9.0,85.0,10233036
PARAGUAY,2020-04-26 14:00:20,228.0,9.0,85.0,10245620
PARAGUAY,2020-04-26 15:00:26,228.0,9.0,85.0,10249226
PARAGUAY,2020-04-26 18:04:29,228.0,9.0,85.0,10260269
PARAGUAY,2020-04-26 20:55:24,228.0,9.0,85.0,10270524
PARAGUAY,2020-04-27 01:26:23,228.0,9.0,85.0,10286783
PARAGUAY,2020-04-27 12:02:22,228.0,9.0,93.0,10324942
PARAGUAY,2020-04-27 18:28:29,228.0,9.0,93.0,10348109
PARAGUAY,2020-04-27 23:10:06,228.0,9.0,93.0,10365006
PARAGUAY,2020-04-28 00:52:18,228.0,9.0,93.0,10371138
PARAGUAY,2020-04-28 12:28:54,230.0,9.0,95.0,10412934
PARAGUAY,2020-04-29 00:05:46,230.0,9.0,95.0,10454746
PARAGUAY,2020-04-29 11:12:43,239.0,9.0,102.0,10494763
PARAGUAY,2020-04-29 13:02:52,239.0,9.0,102.0,10501372
PARAGUAY,2020-04-29 15:08:24,239.0,9.0,102.0,10508904
PARAGUAY,2020-04-29 18:09:12,239.0,9.0,102.0,10519752
PARAGUAY,2020-04-29 21:32:47,239.0,9.0,102.0,10531967
PARAGUAY,2020-04-30 00:17:29,239.0,9.0,102.0,10541849
PARAGUAY,2020-04-30 09:21:28,249.0,9.0,111.0,10574488
PARAGUAY,2020-04-30 12:29:51,249.0,9.0,111.0,10585791
PARAGUAY,2020-04-30 15:13:47,249.0,9.0,111.0,10595627
PARAGUAY,2020-05-01 00:05:16,249.0,9.0,111.0,10713916
PARAGUAY,2020-05-01 10:41:27,266.0,10.0,113.0,10752087
PARAGUAY,2020-05-01 11:53:59,266.0,10.0,113.0,10756439
PARAGUAY,2020-05-01 15:33:11,266.0,10.0,113.0,10769591
PARAGUAY,2020-05-01 17:55:59,266.0,10.0,113.0,10778159
PARAGUAY,2020-05-01 21:26:40,266.0,10.0,113.0,10790800
PARAGUAY,2020-05-02 00:11:13,266.0,10.0,113.0,10800673
PARAGUAY,2020-05-02 09:45:39,333.0,10.0,115.0,10835139
PARAGUAY,2020-05-02 12:46:52,333.0,10.0,115.0,10846012
PARAGUAY,2020-05-02 15:00:02,333.0,10.0,115.0,10854002
PARAGUAY,2020-05-02 18:00:30,333.0,10.0,115.0,10864830
PARAGUAY,2020-05-03 00:04:29,333.0,10.0,115.0,10886669
PARAGUAY,2020-05-03 11:56:15,370.0,10.0,119.0,10929375
PARAGUAY,2020-05-03 15:05:11,370.0,10.0,119.0,10940711
PARAGUAY,2020-05-03 17:57:14,370.0,10.0,119.0,10951034
PARAGUAY,2020-05-03 21:09:20,370.0,10.0,119.0,10962560
PARAGUAY,2020-05-03 23:58:14,370.0,10.0,119.0,10972694
PARAGUAY,2020-05-04 15:08:30,396.0,10.0,126.0,11027310
PARAGUAY,2020-05-04 18:37:54,396.0,10.0,126.0,11039874
PARAGUAY,2020-05-04 23:58:07,396.0,10.0,126.0,11059087
PARAGUAY,2020-05-05 01:13:37,396.0,10.0,126.0,11063617
PARAGUAY,2020-05-05 13:08:43,415.0,10.0,130.0,11106523
PARAGUAY,2020-05-05 15:01:21,415.0,10.0,130.0,11113281
PARAGUAY,2020-05-05 21:05:55,415.0,10.0,130.0,11135155
PARAGUAY,2020-05-06 00:00:44,431.0,10.0,135.0,11145644
PARAGUAY,2020-05-06 12:01:14,431.0,10.0,135.0,11188874
PARAGUAY,2020-05-06 18:00:04,431.0,10.0,135.0,11210404
PARAGUAY,2020-05-07 00:14:11,440.0,10.0,142.0,11232851
PARAGUAY,2020-05-07 11:57:25,440.0,10.0,142.0,11275045
PARAGUAY,2020-05-07 15:00:03,440.0,10.0,142.0,11286003
PARAGUAY,2020-05-07 18:26:51,440.0,10.0,142.0,11298411
PARAGUAY,2020-05-07 23:58:31,462.0,10.0,148.0,11318311
PARAGUAY,2020-05-08 12:02:06,462.0,10.0,148.0,11361726
PARAGUAY,2020-05-08 15:12:55,462.0,10.0,148.0,11373175
PARAGUAY,2020-05-08 18:26:19,462.0,10.0,148.0,11384779
PARAGUAY,2020-05-08 21:29:34,462.0,10.0,148.0,11395774
PARAGUAY,2020-05-09 00:43:24,563.0,10.0,152.0,11407404
PARAGUAY,2020-05-09 13:13:55,563.0,10.0,152.0,11452435
PARAGUAY,2020-05-09 15:22:29,563.0,10.0,152.0,11460149
PARAGUAY,2020-05-09 18:00:02,563.0,10.0,152.0,11469602
PARAGUAY,2020-05-10 00:44:24,689.0,10.0,155.0,11493864
PARAGUAY,2020-05-10 12:00:15,689.0,10.0,155.0,11534415
PARAGUAY,2020-05-10 15:09:02,689.0,10.0,155.0,11545742
PARAGUAY,2020-05-10 22:50:52,689.0,10.0,155.0,11573452
PARAGUAY,2020-05-10 23:59:01,689.0,10.0,155.0,11577541
PARAGUAY,2020-05-11 10:34:59,713.0,10.0,165.0,11615699
PARAGUAY,2020-05-11 14:55:28,713.0,10.0,165.0,11631328
PARAGUAY,2020-05-11 19:31:25,713.0,10.0,165.0,11647885
PARAGUAY,2020-05-11 21:00:14,713.0,10.0,165.0,11653214
PARAGUAY,2020-05-12 01:00:51,724.0,10.0,170.0,11667651
PARAGUAY,2020-05-12 10:08:26,724.0,10.0,170.0,11700506
PARAGUAY,2020-05-12 12:02:54,724.0,10.0,170.0,11707374
PARAGUAY,2020-05-12 15:00:02,724.0,10.0,170.0,11718002
PARAGUAY,2020-05-12 17:58:36,724.0,10.0,170.0,11728716
PARAGUAY,2020-05-12 21:01:11,724.0,10.0,170.0,11739671
PARAGUAY,2020-05-12 23:56:29,724.0,10.0,170.0,11750189
PARAGUAY,2020-05-13 10:34:40,737.0,10.0,173.0,11788480
PARAGUAY,2020-05-13 12:00:02,737.0,10.0,173.0,11793602
PARAGUAY,2020-05-13 16:27:08,737.0,10.0,173.0,11809628
PARAGUAY,2020-05-13 21:00:25,737.0,10.0,173.0,11826025
PARAGUAY,2020-05-14 00:30:12,740.0,11.0,182.0,11838612
PARAGUAY,2020-05-14 12:01:47,740.0,11.0,182.0,11880107
PARAGUAY,2020-05-14 15:54:36,740.0,11.0,182.0,11894076
PARAGUAY,2020-05-14 19:05:05,740.0,11.0,182.0,11905505
PARAGUAY,2020-05-14 20:56:04,740.0,11.0,182.0,11912164
PARAGUAY,2020-05-15 01:21:38,754.0,11.0,184.0,11928098
PARAGUAY,2020-05-15 12:16:09,754.0,11.0,184.0,11967369
PARAGUAY,2020-05-15 15:26:20,754.0,11.0,184.0,11978780
PARAGUAY,2020-05-15 17:53:43,754.0,11.0,184.0,11987623
PARAGUAY,2020-05-15 21:00:16,754.0,11.0,184.0,11998816
PARAGUAY,2020-05-15 23:56:42,759.0,11.0,193.0,12009402
PARAGUAY,2020-05-16 12:26:00,759.0,11.0,193.0,12054360
PARAGUAY,2020-05-16 17:05:26,759.0,11.0,193.0,12071126
PARAGUAY,2020-05-16 18:40:21,759.0,11.0,193.0,12076821
PARAGUAY,2020-05-16 23:58:26,778.0,11.0,198.0,12095906
PARAGUAY,2020-05-17 12:00:02,778.0,11.0,198.0,12139202
PARAGUAY,2020-05-17 14:58:45,778.0,11.0,198.0,12149925
PARAGUAY,2020-05-17 18:48:59,778.0,11.0,198.0,12163739
PARAGUAY,2020-05-17 21:23:35,778.0,11.0,198.0,12173015
PARAGUAY,2020-05-18 00:05:04,786.0,11.0,202.0,12182704
PARAGUAY,2020-05-18 12:02:55,786.0,11.0,202.0,12225775
PARAGUAY,2020-05-18 15:32:44,786.0,11.0,202.0,12238364
PARAGUAY,2020-05-18 18:17:04,786.0,11.0,202.0,12248224
PARAGUAY,2020-05-18 21:14:07,786.0,11.0,202.0,12258847
PARAGUAY,2020-05-18 23:56:07,788.0,11.0,219.0,12268567
PARAGUAY,2020-05-19 11:30:38,788.0,11.0,219.0,12310238
PARAGUAY,2020-05-19 16:31:59,788.0,11.0,219.0,12328319
