Nation,Time,Confirmed Case,Death,Recover,timestamp
CENTRAL AFRICAN REPUBLIC,2020-04-03 14:30:10,8.0,0.0,0.0,8260210
CENTRAL AFRICAN REPUBLIC,2020-04-03 14:30:11,8.0,0.0,0.0,8260211
CENTRAL AFRICAN REPUBLIC,2020-04-03 17:30:12,8.0,0.0,0.0,8271012
CENTRAL AFRICAN REPUBLIC,2020-04-03 20:30:12,8.0,0.0,0.0,8281812
CENTRAL AFRICAN REPUBLIC,2020-04-03 23:30:19,8.0,0.0,0.0,8292619
CENTRAL AFRICAN REPUBLIC,2020-04-04 08:30:14,8.0,0.0,0.0,8325014
CENTRAL AFRICAN REPUBLIC,2020-04-04 11:30:14,8.0,0.0,0.0,8335814
CENTRAL AFRICAN REPUBLIC,2020-04-04 14:30:16,8.0,0.0,0.0,8346616
CENTRAL AFRICAN REPUBLIC,2020-04-04 17:30:18,8.0,0.0,0.0,8357418
CENTRAL AFRICAN REPUBLIC,2020-04-04 20:30:33,8.0,0.0,0.0,8368233
CENTRAL AFRICAN REPUBLIC,2020-04-04 23:30:05,8.0,0.0,0.0,8379005
CENTRAL AFRICAN REPUBLIC,2020-04-05 08:30:07,8.0,0.0,0.0,8411407
CENTRAL AFRICAN REPUBLIC,2020-04-05 11:30:03,8.0,0.0,0.0,8422203
CENTRAL AFRICAN REPUBLIC,2020-04-05 14:30:04,8.0,0.0,0.0,8433004
CENTRAL AFRICAN REPUBLIC,2020-04-05 17:40:33,8.0,0.0,0.0,8444433
CENTRAL AFRICAN REPUBLIC,2020-04-05 20:33:28,8.0,0.0,0.0,8454808
CENTRAL AFRICAN REPUBLIC,2020-04-05 23:30:02,8.0,0.0,0.0,8465402
CENTRAL AFRICAN REPUBLIC,2020-04-06 08:37:49,8.0,0.0,0.0,8498269
CENTRAL AFRICAN REPUBLIC,2020-04-06 11:30:05,8.0,0.0,0.0,8508605
CENTRAL AFRICAN REPUBLIC,2020-04-06 14:44:21,8.0,0.0,0.0,8520261
CENTRAL AFRICAN REPUBLIC,2020-04-06 17:30:04,8.0,0.0,0.0,8530204
