Nation,Time,Confirmed Case,Death,Recover,timestamp
DJIBOUTI,2020-04-03 14:30:10,40.0,0.0,0.0,8260210
DJIBOUTI,2020-04-03 14:30:11,40.0,0.0,0.0,8260211
DJIBOUTI,2020-04-03 17:30:12,49.0,0.0,8.0,8271012
DJIBOUTI,2020-04-03 20:30:12,49.0,0.0,8.0,8281812
DJIBOUTI,2020-04-03 23:30:19,49.0,0.0,8.0,8292619
DJIBOUTI,2020-04-04 08:30:14,49.0,0.0,8.0,8325014
DJIBOUTI,2020-04-04 11:30:14,49.0,0.0,8.0,8335814
DJIBOUTI,2020-04-04 14:30:16,49.0,0.0,8.0,8346616
DJIBOUTI,2020-04-04 17:30:18,50.0,0.0,8.0,8357418
DJIBOUTI,2020-04-04 20:30:33,50.0,0.0,8.0,8368233
DJIBOUTI,2020-04-04 23:30:05,50.0,0.0,8.0,8379005
DJIBOUTI,2020-04-05 08:30:07,50.0,0.0,8.0,8411407
DJIBOUTI,2020-04-05 11:30:03,50.0,0.0,8.0,8422203
DJIBOUTI,2020-04-05 14:30:04,50.0,0.0,8.0,8433004
DJIBOUTI,2020-04-05 17:40:33,50.0,0.0,8.0,8444433
DJIBOUTI,2020-04-05 20:33:28,59.0,0.0,9.0,8454808
DJIBOUTI,2020-04-05 23:30:02,59.0,0.0,9.0,8465402
DJIBOUTI,2020-04-06 08:37:49,59.0,0.0,9.0,8498269
DJIBOUTI,2020-04-06 11:30:05,59.0,0.0,9.0,8508605
DJIBOUTI,2020-04-06 14:44:21,59.0,0.0,9.0,8520261
DJIBOUTI,2020-04-06 17:30:04,59.0,0.0,9.0,8530204
DJIBOUTI,2020-04-06 21:00:44,59.0,0.0,9.0,8542844
DJIBOUTI,2020-04-07 00:00:03,59.0,0.0,9.0,8553603
DJIBOUTI,2020-04-07 09:00:04,90.0,0.0,9.0,8586004
DJIBOUTI,2020-04-07 12:15:51,90.0,0.0,9.0,8597751
DJIBOUTI,2020-04-07 15:59:55,90.0,0.0,9.0,8611195
DJIBOUTI,2020-04-07 18:03:46,90.0,0.0,9.0,8618626
DJIBOUTI,2020-04-07 21:32:15,90.0,0.0,9.0,8631135
DJIBOUTI,2020-04-08 00:00:04,121.0,0.0,18.0,8640004
DJIBOUTI,2020-04-08 09:00:46,121.0,0.0,18.0,8672446
DJIBOUTI,2020-04-08 12:21:18,121.0,0.0,18.0,8684478
DJIBOUTI,2020-04-08 15:04:46,121.0,0.0,18.0,8694286
DJIBOUTI,2020-04-08 18:11:16,135.0,0.0,25.0,8705476
DJIBOUTI,2020-04-08 21:33:56,135.0,0.0,25.0,8717636
DJIBOUTI,2020-04-09 00:14:12,135.0,0.0,25.0,8727252
DJIBOUTI,2020-04-09 11:19:24,135.0,0.0,25.0,8767164
DJIBOUTI,2020-04-09 12:07:24,135.0,0.0,25.0,8770044
DJIBOUTI,2020-04-09 14:57:09,135.0,0.0,25.0,8780229
DJIBOUTI,2020-04-09 18:00:02,135.0,0.0,25.0,8791202
DJIBOUTI,2020-04-10 01:06:14,135.0,0.0,25.0,8816774
DJIBOUTI,2020-04-10 09:04:46,140.0,1.0,28.0,8845486
DJIBOUTI,2020-04-10 12:09:17,140.0,1.0,28.0,8856557
DJIBOUTI,2020-04-10 14:55:51,140.0,1.0,28.0,8866551
DJIBOUTI,2020-04-10 18:41:05,150.0,1.0,36.0,8880065
DJIBOUTI,2020-04-10 21:59:17,150.0,1.0,36.0,8891957
DJIBOUTI,2020-04-11 00:00:34,150.0,1.0,36.0,8899234
DJIBOUTI,2020-04-11 09:01:32,150.0,1.0,36.0,8931692
DJIBOUTI,2020-04-11 12:08:24,150.0,1.0,36.0,8942904
DJIBOUTI,2020-04-11 17:00:40,150.0,1.0,36.0,8960440
DJIBOUTI,2020-04-11 18:12:28,187.0,2.0,36.0,8964748
DJIBOUTI,2020-04-11 21:44:19,187.0,2.0,36.0,8977459
DJIBOUTI,2020-04-11 23:59:29,187.0,2.0,36.0,8985569
DJIBOUTI,2020-04-12 09:00:42,187.0,2.0,36.0,9018042
DJIBOUTI,2020-04-12 12:05:42,187.0,2.0,36.0,9029142
DJIBOUTI,2020-04-12 15:09:25,187.0,2.0,36.0,9040165
DJIBOUTI,2020-04-12 18:22:01,187.0,2.0,36.0,9051721
DJIBOUTI,2020-04-12 20:59:25,214.0,2.0,36.0,9061165
DJIBOUTI,2020-04-13 00:07:13,214.0,2.0,36.0,9072433
DJIBOUTI,2020-04-13 09:26:16,214.0,2.0,36.0,9105976
DJIBOUTI,2020-04-13 11:59:14,214.0,2.0,36.0,9115154
DJIBOUTI,2020-04-13 15:13:01,214.0,2.0,36.0,9126781
DJIBOUTI,2020-04-13 20:23:47,214.0,2.0,36.0,9145427
DJIBOUTI,2020-04-13 21:01:27,214.0,2.0,36.0,9147687
DJIBOUTI,2020-04-14 00:30:40,298.0,2.0,41.0,9160240
DJIBOUTI,2020-04-14 09:09:09,298.0,2.0,41.0,9191349
DJIBOUTI,2020-04-14 12:13:23,298.0,2.0,41.0,9202403
DJIBOUTI,2020-04-14 15:49:28,298.0,2.0,41.0,9215368
DJIBOUTI,2020-04-14 18:27:14,298.0,2.0,41.0,9224834
DJIBOUTI,2020-04-14 21:18:50,363.0,2.0,53.0,9235130
DJIBOUTI,2020-04-15 00:07:14,363.0,2.0,53.0,9245234
DJIBOUTI,2020-04-15 09:00:09,363.0,2.0,53.0,9277209
DJIBOUTI,2020-04-15 14:56:18,363.0,2.0,53.0,9298578
DJIBOUTI,2020-04-15 19:52:38,363.0,2.0,53.0,9316358
DJIBOUTI,2020-04-15 21:18:33,435.0,2.0,71.0,9321513
DJIBOUTI,2020-04-16 00:51:15,435.0,2.0,71.0,9334275
DJIBOUTI,2020-04-16 09:04:51,435.0,2.0,71.0,9363891
DJIBOUTI,2020-04-16 12:05:08,435.0,2.0,71.0,9374708
DJIBOUTI,2020-04-16 14:57:08,435.0,2.0,71.0,9385028
DJIBOUTI,2020-04-16 17:58:25,435.0,2.0,71.0,9395905
DJIBOUTI,2020-04-16 22:41:20,591.0,2.0,73.0,9412880
DJIBOUTI,2020-04-17 01:32:36,591.0,2.0,73.0,9423156
DJIBOUTI,2020-04-17 09:11:04,591.0,2.0,73.0,9450664
DJIBOUTI,2020-04-17 12:02:01,591.0,2.0,73.0,9460921
DJIBOUTI,2020-04-17 14:56:35,591.0,2.0,73.0,9471395
DJIBOUTI,2020-04-17 18:39:21,591.0,2.0,73.0,9484761
DJIBOUTI,2020-04-17 22:45:21,732.0,2.0,76.0,9499521
DJIBOUTI,2020-04-18 08:54:14,732.0,2.0,76.0,9536054
DJIBOUTI,2020-04-18 13:55:54,732.0,2.0,76.0,9554154
DJIBOUTI,2020-04-18 15:41:06,732.0,2.0,76.0,9560466
DJIBOUTI,2020-04-18 18:03:48,732.0,2.0,76.0,9569028
DJIBOUTI,2020-04-19 00:17:39,732.0,2.0,76.0,9591459
DJIBOUTI,2020-04-19 09:10:08,732.0,2.0,76.0,9623408
DJIBOUTI,2020-04-19 15:11:32,732.0,2.0,76.0,9645092
DJIBOUTI,2020-04-19 18:07:21,732.0,2.0,76.0,9655641
DJIBOUTI,2020-04-19 21:01:51,732.0,2.0,76.0,9666111
DJIBOUTI,2020-04-20 00:00:38,846.0,2.0,102.0,9676838
DJIBOUTI,2020-04-20 12:46:45,846.0,2.0,102.0,9722805
DJIBOUTI,2020-04-20 15:15:13,846.0,2.0,102.0,9731713
