Nation,Time,Confirmed Case,Death,Recover,timestamp
ESWATINI,2020-04-03 14:30:10,9.0,0.0,1.0,8260210
ESWATINI,2020-04-03 14:30:11,9.0,0.0,1.0,8260211
ESWATINI,2020-04-03 17:30:12,9.0,0.0,1.0,8271012
ESWATINI,2020-04-03 20:30:12,9.0,0.0,1.0,8281812
ESWATINI,2020-04-03 23:30:19,9.0,0.0,1.0,8292619
ESWATINI,2020-04-04 08:30:14,9.0,0.0,1.0,8325014
ESWATINI,2020-04-04 11:30:14,9.0,0.0,1.0,8335814
ESWATINI,2020-04-04 14:30:16,9.0,0.0,1.0,8346616
ESWATINI,2020-04-04 17:30:18,9.0,0.0,1.0,8357418
ESWATINI,2020-04-04 20:30:33,9.0,0.0,1.0,8368233
ESWATINI,2020-04-04 23:30:05,9.0,0.0,1.0,8379005
ESWATINI,2020-04-05 08:30:07,9.0,0.0,1.0,8411407
ESWATINI,2020-04-05 11:30:03,9.0,0.0,1.0,8422203
ESWATINI,2020-04-05 14:30:04,9.0,0.0,1.0,8433004
ESWATINI,2020-04-05 17:40:33,9.0,0.0,1.0,8444433
ESWATINI,2020-04-05 20:33:28,9.0,0.0,1.0,8454808
ESWATINI,2020-04-05 23:30:02,9.0,0.0,1.0,8465402
ESWATINI,2020-04-06 08:37:49,9.0,0.0,1.0,8498269
ESWATINI,2020-04-06 11:30:05,9.0,0.0,1.0,8508605
ESWATINI,2020-04-06 14:44:21,9.0,0.0,1.0,8520261
ESWATINI,2020-04-06 17:30:04,9.0,0.0,1.0,8530204
ESWATINI,2020-04-06 21:00:44,10.0,0.0,1.0,8542844
ESWATINI,2020-04-07 00:00:03,10.0,0.0,1.0,8553603
ESWATINI,2020-04-07 09:00:04,10.0,0.0,4.0,8586004
ESWATINI,2020-04-07 12:15:51,10.0,0.0,4.0,8597751
ESWATINI,2020-04-07 15:59:55,10.0,0.0,4.0,8611195
ESWATINI,2020-04-07 18:03:46,10.0,0.0,4.0,8618626
ESWATINI,2020-04-07 21:32:15,10.0,0.0,4.0,8631135
ESWATINI,2020-04-08 00:00:04,10.0,0.0,4.0,8640004
ESWATINI,2020-04-08 09:00:46,10.0,0.0,4.0,8672446
ESWATINI,2020-04-08 12:21:18,10.0,0.0,4.0,8684478
ESWATINI,2020-04-08 15:04:46,10.0,0.0,4.0,8694286
ESWATINI,2020-04-08 18:11:16,10.0,0.0,4.0,8705476
ESWATINI,2020-04-08 21:33:56,10.0,0.0,4.0,8717636
ESWATINI,2020-04-09 00:14:12,12.0,0.0,7.0,8727252
ESWATINI,2020-04-09 11:19:24,12.0,0.0,7.0,8767164
ESWATINI,2020-04-09 12:07:24,12.0,0.0,7.0,8770044
ESWATINI,2020-04-09 14:57:09,12.0,0.0,7.0,8780229
ESWATINI,2020-04-09 18:00:02,12.0,0.0,7.0,8791202
ESWATINI,2020-04-10 01:06:14,12.0,0.0,7.0,8816774
ESWATINI,2020-04-10 09:04:46,12.0,0.0,7.0,8845486
ESWATINI,2020-04-10 12:09:17,12.0,0.0,7.0,8856557
ESWATINI,2020-04-10 14:55:51,12.0,0.0,7.0,8866551
ESWATINI,2020-04-10 18:41:05,12.0,0.0,7.0,8880065
ESWATINI,2020-04-10 21:59:17,12.0,0.0,7.0,8891957
ESWATINI,2020-04-11 00:00:34,12.0,0.0,7.0,8899234
ESWATINI,2020-04-11 09:01:32,12.0,0.0,7.0,8931692
