Nation,Time,Confirmed Case,Death,Recover,timestamp
KYRGYZSTAN,2020-04-03 14:30:10,130.0,1.0,5.0,8260210
KYRGYZSTAN,2020-04-03 14:30:11,130.0,1.0,5.0,8260211
KYRGYZSTAN,2020-04-03 17:30:12,130.0,1.0,5.0,8271012
KYRGYZSTAN,2020-04-03 20:30:12,130.0,1.0,5.0,8281812
KYRGYZSTAN,2020-04-03 23:30:19,130.0,1.0,6.0,8292619
KYRGYZSTAN,2020-04-04 08:30:14,130.0,1.0,6.0,8325014
KYRGYZSTAN,2020-04-04 11:30:14,144.0,1.0,6.0,8335814
KYRGYZSTAN,2020-04-04 14:30:16,144.0,1.0,9.0,8346616
KYRGYZSTAN,2020-04-04 17:30:18,144.0,1.0,9.0,8357418
KYRGYZSTAN,2020-04-04 20:30:33,144.0,1.0,9.0,8368233
KYRGYZSTAN,2020-04-04 23:30:05,144.0,1.0,9.0,8379005
KYRGYZSTAN,2020-04-05 08:30:07,144.0,1.0,9.0,8411407
KYRGYZSTAN,2020-04-05 11:30:03,147.0,1.0,9.0,8422203
KYRGYZSTAN,2020-04-05 14:30:04,147.0,1.0,9.0,8433004
KYRGYZSTAN,2020-04-05 17:40:33,147.0,1.0,9.0,8444433
KYRGYZSTAN,2020-04-05 20:33:28,147.0,1.0,9.0,8454808
KYRGYZSTAN,2020-04-05 23:30:02,147.0,1.0,9.0,8465402
KYRGYZSTAN,2020-04-06 08:37:49,147.0,2.0,9.0,8498269
KYRGYZSTAN,2020-04-06 11:30:05,216.0,4.0,33.0,8508605
KYRGYZSTAN,2020-04-06 14:44:21,216.0,4.0,33.0,8520261
KYRGYZSTAN,2020-04-06 17:30:04,216.0,4.0,33.0,8530204
KYRGYZSTAN,2020-04-06 21:00:44,216.0,4.0,33.0,8542844
KYRGYZSTAN,2020-04-07 00:00:03,216.0,4.0,33.0,8553603
KYRGYZSTAN,2020-04-07 09:00:04,216.0,4.0,33.0,8586004
KYRGYZSTAN,2020-04-07 12:15:51,228.0,4.0,33.0,8597751
KYRGYZSTAN,2020-04-07 15:59:55,228.0,4.0,33.0,8611195
KYRGYZSTAN,2020-04-07 18:03:46,228.0,4.0,33.0,8618626
KYRGYZSTAN,2020-04-07 21:32:15,228.0,4.0,33.0,8631135
KYRGYZSTAN,2020-04-08 00:00:04,228.0,4.0,33.0,8640004
KYRGYZSTAN,2020-04-08 09:00:46,228.0,4.0,33.0,8672446
KYRGYZSTAN,2020-04-08 12:21:18,270.0,4.0,33.0,8684478
KYRGYZSTAN,2020-04-08 15:04:46,270.0,4.0,33.0,8694286
KYRGYZSTAN,2020-04-08 18:11:16,270.0,4.0,33.0,8705476
KYRGYZSTAN,2020-04-08 21:33:56,270.0,4.0,33.0,8717636
KYRGYZSTAN,2020-04-09 00:14:12,270.0,4.0,33.0,8727252
KYRGYZSTAN,2020-04-09 11:19:24,270.0,4.0,33.0,8767164
KYRGYZSTAN,2020-04-09 12:07:24,280.0,4.0,35.0,8770044
KYRGYZSTAN,2020-04-09 14:57:09,280.0,4.0,35.0,8780229
KYRGYZSTAN,2020-04-09 18:00:02,280.0,4.0,35.0,8791202
KYRGYZSTAN,2020-04-10 01:06:14,280.0,4.0,35.0,8816774
KYRGYZSTAN,2020-04-10 09:04:46,280.0,4.0,35.0,8845486
KYRGYZSTAN,2020-04-10 12:09:17,298.0,5.0,35.0,8856557
KYRGYZSTAN,2020-04-10 14:55:51,298.0,5.0,35.0,8866551
KYRGYZSTAN,2020-04-10 18:41:05,298.0,5.0,35.0,8880065
KYRGYZSTAN,2020-04-10 21:59:17,298.0,5.0,35.0,8891957
KYRGYZSTAN,2020-04-11 00:00:34,298.0,5.0,35.0,8899234
KYRGYZSTAN,2020-04-11 09:01:32,298.0,5.0,35.0,8931692
KYRGYZSTAN,2020-04-11 12:08:24,339.0,5.0,44.0,8942904
KYRGYZSTAN,2020-04-11 17:00:40,339.0,5.0,44.0,8960440
KYRGYZSTAN,2020-04-11 18:12:28,339.0,5.0,44.0,8964748
KYRGYZSTAN,2020-04-11 21:44:19,339.0,5.0,44.0,8977459
KYRGYZSTAN,2020-04-11 23:59:29,339.0,5.0,44.0,8985569
KYRGYZSTAN,2020-04-12 09:00:42,339.0,5.0,44.0,9018042
KYRGYZSTAN,2020-04-12 12:05:42,377.0,5.0,44.0,9029142
KYRGYZSTAN,2020-04-12 15:09:25,377.0,5.0,44.0,9040165
KYRGYZSTAN,2020-04-12 18:22:01,377.0,5.0,44.0,9051721
KYRGYZSTAN,2020-04-12 20:59:25,377.0,5.0,44.0,9061165
KYRGYZSTAN,2020-04-13 00:07:13,377.0,5.0,54.0,9072433
KYRGYZSTAN,2020-04-13 09:26:16,377.0,5.0,54.0,9105976
KYRGYZSTAN,2020-04-13 11:59:14,419.0,5.0,54.0,9115154
KYRGYZSTAN,2020-04-13 15:13:01,419.0,5.0,54.0,9126781
KYRGYZSTAN,2020-04-13 20:23:47,419.0,5.0,67.0,9145427
KYRGYZSTAN,2020-04-13 21:01:27,419.0,5.0,67.0,9147687
KYRGYZSTAN,2020-04-14 00:30:40,419.0,5.0,67.0,9160240
KYRGYZSTAN,2020-04-14 09:09:09,419.0,5.0,67.0,9191349
KYRGYZSTAN,2020-04-14 12:13:23,430.0,5.0,71.0,9202403
KYRGYZSTAN,2020-04-14 15:49:28,430.0,5.0,71.0,9215368
KYRGYZSTAN,2020-04-14 18:27:14,430.0,5.0,71.0,9224834
KYRGYZSTAN,2020-04-14 21:18:50,430.0,5.0,71.0,9235130
KYRGYZSTAN,2020-04-15 00:07:14,430.0,5.0,71.0,9245234
KYRGYZSTAN,2020-04-15 09:00:09,430.0,5.0,71.0,9277209
KYRGYZSTAN,2020-04-15 14:56:18,449.0,5.0,78.0,9298578
KYRGYZSTAN,2020-04-15 19:52:38,449.0,5.0,78.0,9316358
KYRGYZSTAN,2020-04-15 21:18:33,449.0,5.0,78.0,9321513
KYRGYZSTAN,2020-04-16 00:51:15,449.0,5.0,78.0,9334275
KYRGYZSTAN,2020-04-16 09:04:51,449.0,5.0,78.0,9363891
KYRGYZSTAN,2020-04-16 12:05:08,466.0,5.0,91.0,9374708
KYRGYZSTAN,2020-04-16 14:57:08,466.0,5.0,91.0,9385028
KYRGYZSTAN,2020-04-16 17:58:25,466.0,5.0,91.0,9395905
KYRGYZSTAN,2020-04-16 22:41:20,466.0,5.0,91.0,9412880
KYRGYZSTAN,2020-04-17 01:32:36,466.0,5.0,91.0,9423156
KYRGYZSTAN,2020-04-17 09:11:04,466.0,5.0,91.0,9450664
KYRGYZSTAN,2020-04-17 12:02:01,489.0,5.0,114.0,9460921
KYRGYZSTAN,2020-04-17 14:56:35,489.0,5.0,114.0,9471395
