Nation,Time,Confirmed Case,Death,Recover,timestamp
ALGERIA,2020-04-03 14:30:10,986.0,86.0,61.0,8260210
ALGERIA,2020-04-03 14:30:11,986.0,86.0,61.0,8260211
ALGERIA,2020-04-03 17:30:12,986.0,86.0,61.0,8271012
ALGERIA,2020-04-03 20:30:12,986.0,86.0,61.0,8281812
ALGERIA,2020-04-03 23:30:19,1171.0,105.0,62.0,8292619
ALGERIA,2020-04-04 08:30:14,1171.0,105.0,62.0,8325014
ALGERIA,2020-04-04 11:30:14,1171.0,105.0,62.0,8335814
ALGERIA,2020-04-04 14:30:16,1171.0,105.0,62.0,8346616
ALGERIA,2020-04-04 17:30:18,1171.0,105.0,62.0,8357418
ALGERIA,2020-04-04 20:30:33,1171.0,105.0,62.0,8368233
ALGERIA,2020-04-04 23:30:05,1251.0,130.0,90.0,8379005
ALGERIA,2020-04-05 08:30:07,1251.0,130.0,90.0,8411407
ALGERIA,2020-04-05 11:30:03,1251.0,130.0,90.0,8422203
ALGERIA,2020-04-05 14:30:04,1251.0,130.0,90.0,8433004
ALGERIA,2020-04-05 17:40:33,1251.0,130.0,90.0,8444433
ALGERIA,2020-04-05 20:33:28,1251.0,130.0,90.0,8454808
ALGERIA,2020-04-05 23:30:02,1320.0,152.0,90.0,8465402
ALGERIA,2020-04-06 08:37:49,1320.0,152.0,90.0,8498269
ALGERIA,2020-04-06 11:30:05,1320.0,152.0,90.0,8508605
ALGERIA,2020-04-06 14:44:21,1320.0,152.0,90.0,8520261
ALGERIA,2020-04-06 17:30:04,1320.0,152.0,90.0,8530204
ALGERIA,2020-04-06 21:00:44,1320.0,152.0,90.0,8542844
ALGERIA,2020-04-07 00:00:03,1423.0,173.0,90.0,8553603
ALGERIA,2020-04-07 09:00:04,1423.0,173.0,90.0,8586004
ALGERIA,2020-04-07 12:15:51,1423.0,173.0,90.0,8597751
ALGERIA,2020-04-07 15:59:55,1423.0,173.0,90.0,8611195
ALGERIA,2020-04-07 18:03:46,1423.0,173.0,90.0,8618626
ALGERIA,2020-04-07 21:32:15,1468.0,193.0,90.0,8631135
ALGERIA,2020-04-08 00:00:04,1468.0,193.0,113.0,8640004
