Nation,Time,Confirmed Case,Death,Recover,timestamp
COSTA RICA,2020-04-03 14:30:10,396.0,2.0,6.0,8260210
COSTA RICA,2020-04-03 14:30:11,396.0,2.0,6.0,8260211
COSTA RICA,2020-04-03 17:30:12,396.0,2.0,6.0,8271012
COSTA RICA,2020-04-03 20:30:12,396.0,2.0,6.0,8281812
COSTA RICA,2020-04-03 23:30:19,396.0,2.0,6.0,8292619
COSTA RICA,2020-04-04 08:30:14,416.0,2.0,11.0,8325014
COSTA RICA,2020-04-04 11:30:14,416.0,2.0,11.0,8335814
COSTA RICA,2020-04-04 14:30:16,416.0,2.0,11.0,8346616
COSTA RICA,2020-04-04 17:30:18,416.0,2.0,11.0,8357418
COSTA RICA,2020-04-04 20:30:33,416.0,2.0,11.0,8368233
COSTA RICA,2020-04-04 23:30:05,416.0,2.0,11.0,8379005
COSTA RICA,2020-04-05 08:30:07,435.0,2.0,13.0,8411407
COSTA RICA,2020-04-05 11:30:03,435.0,2.0,13.0,8422203
COSTA RICA,2020-04-05 14:30:04,435.0,2.0,13.0,8433004
COSTA RICA,2020-04-05 17:40:33,435.0,2.0,13.0,8444433
COSTA RICA,2020-04-05 20:33:28,435.0,2.0,13.0,8454808
COSTA RICA,2020-04-05 23:30:02,435.0,2.0,13.0,8465402
COSTA RICA,2020-04-06 08:37:49,454.0,2.0,16.0,8498269
COSTA RICA,2020-04-06 11:30:05,454.0,2.0,16.0,8508605
COSTA RICA,2020-04-06 14:44:21,454.0,2.0,16.0,8520261
COSTA RICA,2020-04-06 17:30:04,454.0,2.0,16.0,8530204
COSTA RICA,2020-04-06 21:00:44,454.0,2.0,16.0,8542844
COSTA RICA,2020-04-07 00:00:03,454.0,2.0,16.0,8553603
COSTA RICA,2020-04-07 09:00:04,467.0,2.0,18.0,8586004
COSTA RICA,2020-04-07 12:15:51,467.0,2.0,18.0,8597751
COSTA RICA,2020-04-07 15:59:55,467.0,2.0,18.0,8611195
COSTA RICA,2020-04-07 18:03:46,467.0,2.0,18.0,8618626
COSTA RICA,2020-04-07 21:32:15,467.0,2.0,18.0,8631135
COSTA RICA,2020-04-08 00:00:04,467.0,2.0,18.0,8640004
COSTA RICA,2020-04-08 09:00:46,483.0,2.0,24.0,8672446
COSTA RICA,2020-04-08 12:21:18,483.0,2.0,24.0,8684478
COSTA RICA,2020-04-08 15:04:46,483.0,2.0,24.0,8694286
COSTA RICA,2020-04-08 18:11:16,483.0,2.0,24.0,8705476
COSTA RICA,2020-04-08 21:33:56,483.0,2.0,24.0,8717636
COSTA RICA,2020-04-09 00:14:12,483.0,2.0,24.0,8727252
COSTA RICA,2020-04-09 11:19:24,502.0,3.0,29.0,8767164
COSTA RICA,2020-04-09 12:07:24,502.0,3.0,29.0,8770044
COSTA RICA,2020-04-09 14:57:09,502.0,3.0,29.0,8780229
COSTA RICA,2020-04-09 18:00:02,502.0,3.0,29.0,8791202
COSTA RICA,2020-04-10 01:06:14,539.0,3.0,30.0,8816774
COSTA RICA,2020-04-10 09:04:46,539.0,3.0,30.0,8845486
COSTA RICA,2020-04-10 12:09:17,539.0,3.0,30.0,8856557
COSTA RICA,2020-04-10 14:55:51,539.0,3.0,30.0,8866551
COSTA RICA,2020-04-10 18:41:05,539.0,3.0,30.0,8880065
COSTA RICA,2020-04-10 21:59:17,539.0,3.0,30.0,8891957
COSTA RICA,2020-04-11 00:00:34,539.0,3.0,30.0,8899234
COSTA RICA,2020-04-11 09:01:32,558.0,3.0,42.0,8931692
COSTA RICA,2020-04-11 12:08:24,558.0,3.0,42.0,8942904
COSTA RICA,2020-04-11 17:00:40,558.0,3.0,42.0,8960440
COSTA RICA,2020-04-11 18:12:28,558.0,3.0,42.0,8964748
COSTA RICA,2020-04-11 21:44:19,558.0,3.0,42.0,8977459
COSTA RICA,2020-04-11 23:59:29,558.0,3.0,42.0,8985569
COSTA RICA,2020-04-12 09:00:42,577.0,3.0,49.0,9018042
COSTA RICA,2020-04-12 12:05:42,577.0,3.0,49.0,9029142
COSTA RICA,2020-04-12 15:09:25,577.0,3.0,49.0,9040165
COSTA RICA,2020-04-12 18:22:01,577.0,3.0,49.0,9051721
COSTA RICA,2020-04-12 20:59:25,577.0,3.0,49.0,9061165
COSTA RICA,2020-04-13 00:07:13,577.0,3.0,49.0,9072433
COSTA RICA,2020-04-13 09:26:16,595.0,3.0,56.0,9105976
COSTA RICA,2020-04-13 11:59:14,595.0,3.0,56.0,9115154
COSTA RICA,2020-04-13 15:13:01,595.0,3.0,56.0,9126781
COSTA RICA,2020-04-13 20:23:47,595.0,3.0,56.0,9145427
COSTA RICA,2020-04-13 21:01:27,595.0,3.0,56.0,9147687
COSTA RICA,2020-04-14 00:30:40,595.0,3.0,56.0,9160240
