Nation,Time,Confirmed Case,Death,Recover,timestamp
GREECE,2020-04-03 14:30:10,1544.0,53.0,61.0,8260210
GREECE,2020-04-03 14:30:11,1544.0,53.0,61.0,8260211
GREECE,2020-04-03 17:30:12,1544.0,53.0,61.0,8271012
GREECE,2020-04-03 20:30:12,1544.0,53.0,61.0,8281812
GREECE,2020-04-03 23:30:19,1613.0,59.0,61.0,8292619
GREECE,2020-04-04 08:30:14,1613.0,63.0,78.0,8325014
GREECE,2020-04-04 11:30:14,1613.0,63.0,78.0,8335814
GREECE,2020-04-04 14:30:16,1613.0,63.0,78.0,8346616
GREECE,2020-04-04 17:30:18,1643.0,67.0,78.0,8357418
GREECE,2020-04-04 20:30:33,1643.0,67.0,78.0,8368233
GREECE,2020-04-04 23:30:05,1673.0,68.0,78.0,8379005
GREECE,2020-04-05 08:30:07,1673.0,68.0,78.0,8411407
GREECE,2020-04-05 11:30:03,1673.0,68.0,78.0,8422203
GREECE,2020-04-05 14:30:04,1673.0,68.0,78.0,8433004
GREECE,2020-04-05 17:40:33,1673.0,70.0,78.0,8444433
GREECE,2020-04-05 20:33:28,1673.0,70.0,78.0,8454808
GREECE,2020-04-05 23:30:02,1735.0,73.0,88.0,8465402
GREECE,2020-04-06 08:37:49,1735.0,73.0,88.0,8498269
GREECE,2020-04-06 11:30:05,1735.0,73.0,88.0,8508605
GREECE,2020-04-06 14:44:21,1735.0,73.0,88.0,8520261
GREECE,2020-04-06 17:30:04,1735.0,73.0,88.0,8530204
GREECE,2020-04-06 21:00:44,1755.0,79.0,269.0,8542844
GREECE,2020-04-07 00:00:03,1755.0,79.0,269.0,8553603
GREECE,2020-04-07 09:00:04,1755.0,79.0,269.0,8586004
GREECE,2020-04-07 12:15:51,1755.0,79.0,269.0,8597751
GREECE,2020-04-07 15:59:55,1755.0,81.0,269.0,8611195
GREECE,2020-04-07 18:03:46,1755.0,81.0,269.0,8618626
GREECE,2020-04-07 21:32:15,1832.0,81.0,269.0,8631135
GREECE,2020-04-08 00:00:04,1832.0,81.0,269.0,8640004
GREECE,2020-04-08 09:00:46,1832.0,81.0,269.0,8672446
GREECE,2020-04-08 12:21:18,1832.0,81.0,269.0,8684478
GREECE,2020-04-08 15:04:46,1832.0,81.0,269.0,8694286
GREECE,2020-04-08 18:11:16,1832.0,81.0,269.0,8705476
GREECE,2020-04-08 21:33:56,1884.0,83.0,273.0,8717636
