Nation,Time,Confirmed Case,Death,Recover,timestamp
MALTA,2020-04-03 14:30:10,196.0,0.0,2.0,8260210
MALTA,2020-04-03 14:30:11,196.0,0.0,2.0,8260211
MALTA,2020-04-03 17:30:12,202.0,0.0,2.0,8271012
MALTA,2020-04-03 20:30:12,202.0,0.0,2.0,8281812
MALTA,2020-04-03 23:30:19,202.0,0.0,2.0,8292619
MALTA,2020-04-04 08:30:14,202.0,0.0,2.0,8325014
MALTA,2020-04-04 11:30:14,202.0,0.0,2.0,8335814
MALTA,2020-04-04 14:30:16,202.0,0.0,2.0,8346616
MALTA,2020-04-04 17:30:18,213.0,0.0,2.0,8357418
MALTA,2020-04-04 20:30:33,213.0,0.0,2.0,8368233
MALTA,2020-04-04 23:30:05,213.0,0.0,2.0,8379005
MALTA,2020-04-05 08:30:07,213.0,0.0,2.0,8411407
MALTA,2020-04-05 11:30:03,213.0,0.0,2.0,8422203
MALTA,2020-04-05 14:30:04,213.0,0.0,2.0,8433004
MALTA,2020-04-05 17:40:33,227.0,0.0,2.0,8444433
MALTA,2020-04-05 20:33:28,227.0,0.0,2.0,8454808
MALTA,2020-04-05 23:30:02,227.0,0.0,5.0,8465402
MALTA,2020-04-06 08:37:49,227.0,0.0,5.0,8498269
MALTA,2020-04-06 11:30:05,227.0,0.0,5.0,8508605
MALTA,2020-04-06 14:44:21,227.0,0.0,5.0,8520261
MALTA,2020-04-06 17:30:04,241.0,0.0,5.0,8530204
MALTA,2020-04-06 21:00:44,241.0,0.0,5.0,8542844
MALTA,2020-04-07 00:00:03,241.0,0.0,5.0,8553603
MALTA,2020-04-07 09:00:04,241.0,0.0,5.0,8586004
MALTA,2020-04-07 12:15:51,241.0,0.0,5.0,8597751
MALTA,2020-04-07 15:59:55,293.0,0.0,5.0,8611195
MALTA,2020-04-07 18:03:46,293.0,0.0,5.0,8618626
MALTA,2020-04-07 21:32:15,293.0,0.0,5.0,8631135
MALTA,2020-04-08 00:00:04,293.0,0.0,5.0,8640004
MALTA,2020-04-08 09:00:46,293.0,0.0,5.0,8672446
MALTA,2020-04-08 12:21:18,293.0,0.0,5.0,8684478
MALTA,2020-04-08 15:04:46,293.0,0.0,5.0,8694286
MALTA,2020-04-08 18:11:16,299.0,0.0,5.0,8705476
MALTA,2020-04-08 21:33:56,299.0,0.0,5.0,8717636
MALTA,2020-04-09 00:14:12,299.0,1.0,5.0,8727252
MALTA,2020-04-09 11:19:24,299.0,1.0,16.0,8767164
MALTA,2020-04-09 12:07:24,299.0,1.0,16.0,8770044
MALTA,2020-04-09 14:57:09,299.0,2.0,16.0,8780229
MALTA,2020-04-09 18:00:02,337.0,2.0,16.0,8791202
MALTA,2020-04-10 01:06:14,337.0,2.0,16.0,8816774
MALTA,2020-04-10 09:04:46,337.0,2.0,16.0,8845486
