Nation,Time,Confirmed Case,Death,Recover,timestamp
ARUBA,2020-04-03 14:30:10,60.0,0.0,1.0,8260210
ARUBA,2020-04-03 14:30:11,60.0,0.0,1.0,8260211
ARUBA,2020-04-03 17:30:12,60.0,0.0,1.0,8271012
ARUBA,2020-04-03 20:30:12,60.0,0.0,1.0,8281812
ARUBA,2020-04-03 23:30:19,62.0,0.0,1.0,8292619
ARUBA,2020-04-04 08:30:14,62.0,0.0,1.0,8325014
ARUBA,2020-04-04 11:30:14,62.0,0.0,1.0,8335814
ARUBA,2020-04-04 14:30:16,62.0,0.0,1.0,8346616
ARUBA,2020-04-04 17:30:18,62.0,0.0,1.0,8357418
ARUBA,2020-04-04 20:30:33,62.0,0.0,1.0,8368233
ARUBA,2020-04-04 23:30:05,64.0,0.0,1.0,8379005
ARUBA,2020-04-05 08:30:07,64.0,0.0,1.0,8411407
ARUBA,2020-04-05 11:30:03,64.0,0.0,1.0,8422203
ARUBA,2020-04-05 14:30:04,64.0,0.0,1.0,8433004
ARUBA,2020-04-05 17:40:33,64.0,0.0,1.0,8444433
ARUBA,2020-04-05 20:33:28,64.0,0.0,1.0,8454808
ARUBA,2020-04-05 23:30:02,64.0,0.0,1.0,8465402
ARUBA,2020-04-06 08:37:49,64.0,0.0,1.0,8498269
ARUBA,2020-04-06 11:30:05,64.0,0.0,1.0,8508605
ARUBA,2020-04-06 14:44:21,64.0,0.0,1.0,8520261
ARUBA,2020-04-06 17:30:04,64.0,0.0,1.0,8530204
ARUBA,2020-04-06 21:00:44,64.0,0.0,1.0,8542844
ARUBA,2020-04-07 00:00:03,71.0,0.0,2.0,8553603
ARUBA,2020-04-07 09:00:04,71.0,0.0,2.0,8586004
ARUBA,2020-04-07 12:15:51,71.0,0.0,2.0,8597751
ARUBA,2020-04-07 15:59:55,71.0,0.0,2.0,8611195
ARUBA,2020-04-07 18:03:46,71.0,0.0,2.0,8618626
ARUBA,2020-04-07 21:32:15,71.0,0.0,2.0,8631135
ARUBA,2020-04-08 00:00:04,74.0,0.0,14.0,8640004
ARUBA,2020-04-08 09:00:46,74.0,0.0,14.0,8672446
ARUBA,2020-04-08 12:21:18,74.0,0.0,14.0,8684478
ARUBA,2020-04-08 15:04:46,74.0,0.0,14.0,8694286
ARUBA,2020-04-08 18:11:16,74.0,0.0,14.0,8705476
ARUBA,2020-04-08 21:33:56,74.0,0.0,14.0,8717636
ARUBA,2020-04-09 00:14:12,77.0,0.0,14.0,8727252
ARUBA,2020-04-09 11:19:24,77.0,0.0,14.0,8767164
ARUBA,2020-04-09 12:07:24,77.0,0.0,14.0,8770044
ARUBA,2020-04-09 14:57:09,77.0,0.0,14.0,8780229
ARUBA,2020-04-09 18:00:02,77.0,0.0,14.0,8791202
ARUBA,2020-04-10 01:06:14,82.0,0.0,20.0,8816774
ARUBA,2020-04-10 09:04:46,82.0,0.0,20.0,8845486
ARUBA,2020-04-10 12:09:17,82.0,0.0,20.0,8856557
ARUBA,2020-04-10 14:55:51,82.0,0.0,20.0,8866551
ARUBA,2020-04-10 18:41:05,82.0,0.0,20.0,8880065
ARUBA,2020-04-10 21:59:17,82.0,0.0,20.0,8891957
ARUBA,2020-04-11 00:00:34,88.0,0.0,27.0,8899234
ARUBA,2020-04-11 09:01:32,86.0,0.0,27.0,8931692
ARUBA,2020-04-11 12:08:24,86.0,0.0,27.0,8942904
ARUBA,2020-04-11 17:00:40,86.0,0.0,27.0,8960440
ARUBA,2020-04-11 18:12:28,86.0,0.0,27.0,8964748
ARUBA,2020-04-11 21:44:19,86.0,0.0,27.0,8977459
ARUBA,2020-04-11 23:59:29,92.0,0.0,29.0,8985569
ARUBA,2020-04-12 09:00:42,92.0,0.0,29.0,9018042
ARUBA,2020-04-12 12:05:42,92.0,0.0,29.0,9029142
ARUBA,2020-04-12 15:09:25,92.0,0.0,29.0,9040165
ARUBA,2020-04-12 18:22:01,92.0,0.0,29.0,9051721
ARUBA,2020-04-12 20:59:25,92.0,0.0,29.0,9061165
ARUBA,2020-04-13 00:07:13,92.0,0.0,29.0,9072433
ARUBA,2020-04-13 09:26:16,92.0,0.0,32.0,9105976
ARUBA,2020-04-13 11:59:14,92.0,0.0,32.0,9115154
ARUBA,2020-04-13 15:13:01,92.0,0.0,32.0,9126781
ARUBA,2020-04-13 20:23:47,92.0,0.0,32.0,9145427
ARUBA,2020-04-13 21:01:27,92.0,0.0,32.0,9147687
ARUBA,2020-04-14 00:30:40,92.0,0.0,32.0,9160240
ARUBA,2020-04-14 09:09:09,92.0,0.0,32.0,9191349
ARUBA,2020-04-14 12:13:23,92.0,0.0,32.0,9202403
ARUBA,2020-04-14 15:49:28,92.0,0.0,32.0,9215368
ARUBA,2020-04-14 18:27:14,92.0,0.0,32.0,9224834
ARUBA,2020-04-14 21:18:50,92.0,0.0,32.0,9235130
ARUBA,2020-04-15 00:07:14,92.0,0.0,32.0,9245234
ARUBA,2020-04-15 09:00:09,92.0,0.0,32.0,9277209
ARUBA,2020-04-15 14:56:18,92.0,0.0,32.0,9298578
ARUBA,2020-04-15 19:52:38,92.0,0.0,32.0,9316358
ARUBA,2020-04-15 21:18:33,92.0,1.0,32.0,9321513
ARUBA,2020-04-16 00:51:15,93.0,1.0,39.0,9334275
ARUBA,2020-04-16 09:04:51,93.0,1.0,39.0,9363891
ARUBA,2020-04-16 12:05:08,93.0,1.0,39.0,9374708
ARUBA,2020-04-16 14:57:08,93.0,1.0,39.0,9385028
ARUBA,2020-04-16 17:58:25,93.0,1.0,39.0,9395905
ARUBA,2020-04-16 22:41:20,93.0,1.0,39.0,9412880
ARUBA,2020-04-17 01:32:36,95.0,2.0,39.0,9423156
ARUBA,2020-04-17 09:11:04,95.0,2.0,39.0,9450664
ARUBA,2020-04-17 12:02:01,95.0,2.0,39.0,9460921
ARUBA,2020-04-17 14:56:35,95.0,2.0,39.0,9471395
ARUBA,2020-04-17 18:39:21,95.0,2.0,39.0,9484761
ARUBA,2020-04-17 22:45:21,95.0,2.0,39.0,9499521
ARUBA,2020-04-18 08:54:14,96.0,2.0,43.0,9536054
ARUBA,2020-04-18 13:55:54,96.0,2.0,43.0,9554154
ARUBA,2020-04-18 15:41:06,96.0,2.0,43.0,9560466
ARUBA,2020-04-18 18:03:48,96.0,2.0,43.0,9569028
ARUBA,2020-04-19 00:17:39,96.0,2.0,44.0,9591459
ARUBA,2020-04-19 09:10:08,96.0,2.0,44.0,9623408
ARUBA,2020-04-19 15:11:32,96.0,2.0,44.0,9645092
ARUBA,2020-04-19 18:07:21,96.0,2.0,44.0,9655641
ARUBA,2020-04-19 21:01:51,96.0,2.0,44.0,9666111
ARUBA,2020-04-20 00:00:38,96.0,2.0,44.0,9676838
ARUBA,2020-04-20 12:46:45,97.0,2.0,49.0,9722805
ARUBA,2020-04-20 15:15:13,97.0,2.0,49.0,9731713
ARUBA,2020-04-20 18:00:55,97.0,2.0,49.0,9741655
ARUBA,2020-04-20 20:51:26,97.0,2.0,49.0,9751886
ARUBA,2020-04-20 23:57:35,97.0,2.0,49.0,9763055
ARUBA,2020-04-21 12:05:06,97.0,2.0,51.0,9806706
ARUBA,2020-04-21 18:05:54,97.0,2.0,51.0,9828354
ARUBA,2020-04-21 20:56:52,97.0,2.0,51.0,9838612
ARUBA,2020-04-22 10:13:50,97.0,2.0,51.0,9886430
ARUBA,2020-04-22 12:01:15,97.0,2.0,51.0,9892875
ARUBA,2020-04-22 15:04:35,97.0,2.0,51.0,9903875
ARUBA,2020-04-23 00:41:34,100.0,2.0,68.0,9938494
ARUBA,2020-04-23 11:00:28,100.0,2.0,68.0,9975628
ARUBA,2020-04-23 18:09:30,100.0,2.0,68.0,10001370
ARUBA,2020-04-23 21:15:10,100.0,2.0,68.0,10012510
ARUBA,2020-04-24 12:38:27,100.0,2.0,69.0,10067907
ARUBA,2020-04-24 15:07:01,100.0,2.0,69.0,10076821
ARUBA,2020-04-24 18:05:08,100.0,2.0,69.0,10087508
ARUBA,2020-04-25 01:24:20,100.0,2.0,69.0,10113860
ARUBA,2020-04-25 10:29:29,100.0,2.0,69.0,10146569
ARUBA,2020-04-25 13:06:30,100.0,2.0,69.0,10155990
ARUBA,2020-04-25 15:13:19,100.0,2.0,69.0,10163599
ARUBA,2020-04-25 18:05:53,100.0,2.0,69.0,10173953
ARUBA,2020-04-26 00:02:26,100.0,2.0,69.0,10195346
ARUBA,2020-04-26 10:30:36,100.0,2.0,69.0,10233036
ARUBA,2020-04-26 14:00:20,100.0,2.0,69.0,10245620
ARUBA,2020-04-26 15:00:26,100.0,2.0,69.0,10249226
ARUBA,2020-04-26 18:04:29,100.0,2.0,69.0,10260269
ARUBA,2020-04-26 20:55:24,100.0,2.0,69.0,10270524
ARUBA,2020-04-27 01:26:23,100.0,2.0,73.0,10286783
ARUBA,2020-04-27 12:02:22,100.0,2.0,73.0,10324942
ARUBA,2020-04-27 18:28:29,100.0,2.0,73.0,10348109
ARUBA,2020-04-27 23:10:06,100.0,2.0,73.0,10365006
ARUBA,2020-04-28 00:52:18,100.0,2.0,73.0,10371138
ARUBA,2020-04-28 12:28:54,100.0,2.0,73.0,10412934
ARUBA,2020-04-29 00:05:46,100.0,2.0,73.0,10454746
ARUBA,2020-04-29 11:12:43,100.0,2.0,73.0,10494763
ARUBA,2020-04-29 13:02:52,100.0,2.0,73.0,10501372
ARUBA,2020-04-29 15:08:24,100.0,2.0,73.0,10508904
ARUBA,2020-04-29 18:09:12,100.0,2.0,73.0,10519752
ARUBA,2020-04-29 21:32:47,100.0,2.0,73.0,10531967
ARUBA,2020-04-30 00:17:29,100.0,2.0,73.0,10541849
ARUBA,2020-04-30 09:21:28,100.0,2.0,73.0,10574488
ARUBA,2020-04-30 12:29:51,100.0,2.0,73.0,10585791
ARUBA,2020-04-30 15:13:47,100.0,2.0,73.0,10595627
ARUBA,2020-05-01 00:05:16,100.0,2.0,79.0,10713916
ARUBA,2020-05-01 10:41:27,100.0,2.0,79.0,10752087
ARUBA,2020-05-01 11:53:59,100.0,2.0,79.0,10756439
ARUBA,2020-05-01 15:33:11,100.0,2.0,79.0,10769591
ARUBA,2020-05-01 17:55:59,100.0,2.0,79.0,10778159
ARUBA,2020-05-01 21:26:40,100.0,2.0,79.0,10790800
ARUBA,2020-05-02 00:11:13,100.0,2.0,81.0,10800673
ARUBA,2020-05-02 09:45:39,100.0,2.0,81.0,10835139
ARUBA,2020-05-02 12:46:52,100.0,2.0,81.0,10846012
ARUBA,2020-05-02 15:00:02,100.0,2.0,81.0,10854002
ARUBA,2020-05-02 18:00:30,100.0,2.0,81.0,10864830
ARUBA,2020-05-03 00:04:29,100.0,2.0,81.0,10886669
ARUBA,2020-05-03 11:56:15,100.0,2.0,81.0,10929375
ARUBA,2020-05-03 15:05:11,100.0,2.0,81.0,10940711
ARUBA,2020-05-03 17:57:14,100.0,2.0,81.0,10951034
ARUBA,2020-05-03 21:09:20,100.0,2.0,81.0,10962560
ARUBA,2020-05-03 23:58:14,100.0,2.0,81.0,10972694
ARUBA,2020-05-04 15:08:30,100.0,2.0,81.0,11027310
ARUBA,2020-05-04 18:37:54,100.0,2.0,81.0,11039874
ARUBA,2020-05-04 23:58:07,100.0,2.0,81.0,11059087
ARUBA,2020-05-05 01:13:37,100.0,2.0,81.0,11063617
ARUBA,2020-05-05 13:08:43,100.0,2.0,81.0,11106523
ARUBA,2020-05-05 15:01:21,100.0,2.0,81.0,11113281
ARUBA,2020-05-05 21:05:55,100.0,2.0,81.0,11135155
ARUBA,2020-05-06 00:00:44,101.0,2.0,82.0,11145644
