Nation,Time,Confirmed Case,Death,Recover,timestamp
KAZAKHSTAN,2020-04-03 14:30:10,453.0,3.0,29.0,8260210
KAZAKHSTAN,2020-04-03 14:30:11,453.0,3.0,29.0,8260211
KAZAKHSTAN,2020-04-03 17:30:12,453.0,3.0,29.0,8271012
KAZAKHSTAN,2020-04-03 20:30:12,460.0,6.0,29.0,8281812
KAZAKHSTAN,2020-04-03 23:30:19,460.0,6.0,29.0,8292619
KAZAKHSTAN,2020-04-04 08:30:14,464.0,6.0,29.0,8325014
KAZAKHSTAN,2020-04-04 11:30:14,500.0,6.0,35.0,8335814
KAZAKHSTAN,2020-04-04 14:30:16,500.0,4.0,35.0,8346616
KAZAKHSTAN,2020-04-04 17:30:18,525.0,5.0,36.0,8357418
KAZAKHSTAN,2020-04-04 20:30:33,525.0,5.0,36.0,8368233
KAZAKHSTAN,2020-04-04 23:30:05,525.0,5.0,36.0,8379005
KAZAKHSTAN,2020-04-05 08:30:07,531.0,5.0,36.0,8411407
KAZAKHSTAN,2020-04-05 11:30:03,551.0,5.0,36.0,8422203
KAZAKHSTAN,2020-04-05 14:30:04,569.0,6.0,36.0,8433004
KAZAKHSTAN,2020-04-05 17:40:33,569.0,6.0,36.0,8444433
KAZAKHSTAN,2020-04-05 20:33:28,569.0,6.0,36.0,8454808
KAZAKHSTAN,2020-04-05 23:30:02,584.0,6.0,42.0,8465402
KAZAKHSTAN,2020-04-06 08:37:49,584.0,6.0,42.0,8498269
KAZAKHSTAN,2020-04-06 11:30:05,584.0,6.0,42.0,8508605
KAZAKHSTAN,2020-04-06 14:44:21,604.0,6.0,45.0,8520261
KAZAKHSTAN,2020-04-06 17:30:04,629.0,6.0,45.0,8530204
KAZAKHSTAN,2020-04-06 21:00:44,629.0,6.0,45.0,8542844
KAZAKHSTAN,2020-04-07 00:00:03,651.0,6.0,46.0,8553603
KAZAKHSTAN,2020-04-07 09:00:04,670.0,6.0,46.0,8586004
KAZAKHSTAN,2020-04-07 12:15:51,670.0,6.0,46.0,8597751
KAZAKHSTAN,2020-04-07 15:59:55,685.0,6.0,50.0,8611195
KAZAKHSTAN,2020-04-07 18:03:46,685.0,6.0,50.0,8618626
KAZAKHSTAN,2020-04-07 21:32:15,685.0,6.0,50.0,8631135
KAZAKHSTAN,2020-04-08 00:00:04,697.0,6.0,51.0,8640004
KAZAKHSTAN,2020-04-08 09:00:46,697.0,6.0,51.0,8672446
KAZAKHSTAN,2020-04-08 12:21:18,704.0,6.0,51.0,8684478
KAZAKHSTAN,2020-04-08 15:04:46,709.0,7.0,53.0,8694286
KAZAKHSTAN,2020-04-08 18:11:16,709.0,7.0,54.0,8705476
KAZAKHSTAN,2020-04-08 21:33:56,718.0,7.0,54.0,8717636
KAZAKHSTAN,2020-04-09 00:14:12,718.0,7.0,54.0,8727252
KAZAKHSTAN,2020-04-09 11:19:24,727.0,7.0,54.0,8767164
KAZAKHSTAN,2020-04-09 12:07:24,759.0,7.0,54.0,8770044
KAZAKHSTAN,2020-04-09 14:57:09,764.0,7.0,55.0,8780229
KAZAKHSTAN,2020-04-09 18:00:02,764.0,7.0,58.0,8791202
KAZAKHSTAN,2020-04-10 01:06:14,764.0,7.0,60.0,8816774
KAZAKHSTAN,2020-04-10 09:04:46,802.0,9.0,60.0,8845486
KAZAKHSTAN,2020-04-10 12:09:17,802.0,9.0,60.0,8856557
KAZAKHSTAN,2020-04-10 14:55:51,802.0,9.0,63.0,8866551
KAZAKHSTAN,2020-04-10 18:41:05,802.0,9.0,63.0,8880065
KAZAKHSTAN,2020-04-10 21:59:17,808.0,10.0,64.0,8891957
KAZAKHSTAN,2020-04-11 00:00:34,812.0,10.0,64.0,8899234
KAZAKHSTAN,2020-04-11 09:01:32,812.0,10.0,64.0,8931692
KAZAKHSTAN,2020-04-11 12:08:24,840.0,10.0,64.0,8942904
KAZAKHSTAN,2020-04-11 17:00:40,859.0,10.0,81.0,8960440
KAZAKHSTAN,2020-04-11 18:12:28,859.0,10.0,81.0,8964748
KAZAKHSTAN,2020-04-11 21:44:19,859.0,10.0,81.0,8977459
KAZAKHSTAN,2020-04-11 23:59:29,865.0,10.0,81.0,8985569
KAZAKHSTAN,2020-04-12 09:00:42,865.0,10.0,81.0,9018042
KAZAKHSTAN,2020-04-12 12:05:42,880.0,10.0,81.0,9029142
KAZAKHSTAN,2020-04-12 15:09:25,897.0,10.0,86.0,9040165
KAZAKHSTAN,2020-04-12 18:22:01,897.0,10.0,86.0,9051721
KAZAKHSTAN,2020-04-12 20:59:25,927.0,10.0,99.0,9061165
KAZAKHSTAN,2020-04-13 00:07:13,951.0,10.0,99.0,9072433
KAZAKHSTAN,2020-04-13 09:26:16,951.0,10.0,99.0,9105976
KAZAKHSTAN,2020-04-13 11:59:14,961.0,10.0,99.0,9115154
KAZAKHSTAN,2020-04-13 15:13:01,979.0,12.0,110.0,9126781
KAZAKHSTAN,2020-04-13 20:23:47,979.0,12.0,138.0,9145427
KAZAKHSTAN,2020-04-13 21:01:27,979.0,12.0,138.0,9147687
KAZAKHSTAN,2020-04-14 00:30:40,1091.0,12.0,138.0,9160240
KAZAKHSTAN,2020-04-14 09:09:09,1091.0,12.0,138.0,9191349
KAZAKHSTAN,2020-04-14 12:13:23,1179.0,14.0,138.0,9202403
KAZAKHSTAN,2020-04-14 15:49:28,1179.0,14.0,142.0,9215368
KAZAKHSTAN,2020-04-14 18:27:14,1202.0,14.0,150.0,9224834
KAZAKHSTAN,2020-04-14 21:18:50,1202.0,14.0,203.0,9235130
KAZAKHSTAN,2020-04-15 00:07:14,1232.0,14.0,203.0,9245234
KAZAKHSTAN,2020-04-15 09:00:09,1232.0,14.0,203.0,9277209
