Nation,Time,Confirmed Case,Death,Recover,timestamp
AUSTRALIA,2020-04-03 14:30:10,5350.0,28.0,649.0,8260210
AUSTRALIA,2020-04-03 14:30:11,5350.0,28.0,649.0,8260211
AUSTRALIA,2020-04-03 17:30:12,5350.0,28.0,649.0,8271012
AUSTRALIA,2020-04-03 20:30:12,5350.0,28.0,649.0,8281812
AUSTRALIA,2020-04-03 23:30:19,5350.0,28.0,649.0,8292619
AUSTRALIA,2020-04-04 08:30:14,5454.0,28.0,649.0,8325014
AUSTRALIA,2020-04-04 11:30:14,5454.0,30.0,649.0,8335814
AUSTRALIA,2020-04-04 14:30:16,5550.0,30.0,701.0,8346616
AUSTRALIA,2020-04-04 17:30:18,5550.0,30.0,701.0,8357418
AUSTRALIA,2020-04-04 20:30:33,5550.0,30.0,701.0,8368233
AUSTRALIA,2020-04-04 23:30:05,5550.0,30.0,701.0,8379005
AUSTRALIA,2020-04-05 08:30:07,5635.0,34.0,701.0,8411407
AUSTRALIA,2020-04-05 11:30:03,5686.0,35.0,757.0,8422203
AUSTRALIA,2020-04-05 14:30:04,5687.0,35.0,757.0,8433004
AUSTRALIA,2020-04-05 17:40:33,5687.0,35.0,2315.0,8444433
AUSTRALIA,2020-04-05 20:33:28,5687.0,35.0,2315.0,8454808
AUSTRALIA,2020-04-05 23:30:02,5687.0,35.0,2315.0,8465402
AUSTRALIA,2020-04-06 08:37:49,5750.0,37.0,2315.0,8498269
AUSTRALIA,2020-04-06 11:30:05,5788.0,39.0,2315.0,8508605
AUSTRALIA,2020-04-06 14:44:21,5797.0,40.0,2315.0,8520261
AUSTRALIA,2020-04-06 17:30:04,5797.0,40.0,2432.0,8530204
AUSTRALIA,2020-04-06 21:00:44,5797.0,41.0,2432.0,8542844
AUSTRALIA,2020-04-07 00:00:03,5797.0,41.0,2432.0,8553603
AUSTRALIA,2020-04-07 09:00:04,5895.0,45.0,2432.0,8586004
AUSTRALIA,2020-04-07 12:15:51,5895.0,46.0,2432.0,8597751
AUSTRALIA,2020-04-07 15:59:55,5908.0,46.0,2547.0,8611195
AUSTRALIA,2020-04-07 18:03:46,5908.0,48.0,2547.0,8618626
AUSTRALIA,2020-04-07 21:32:15,5919.0,48.0,2547.0,8631135
AUSTRALIA,2020-04-08 00:00:04,5919.0,48.0,2547.0,8640004
AUSTRALIA,2020-04-08 09:00:46,5988.0,49.0,2547.0,8672446
AUSTRALIA,2020-04-08 12:21:18,6010.0,50.0,2547.0,8684478
AUSTRALIA,2020-04-08 15:04:46,6010.0,50.0,2547.0,8694286
AUSTRALIA,2020-04-08 18:11:16,6013.0,50.0,2813.0,8705476
AUSTRALIA,2020-04-08 21:33:56,6013.0,50.0,2813.0,8717636
AUSTRALIA,2020-04-09 00:14:12,6013.0,50.0,2813.0,8727252
AUSTRALIA,2020-04-09 11:19:24,6052.0,50.0,2813.0,8767164
AUSTRALIA,2020-04-09 12:07:24,6104.0,51.0,2813.0,8770044
AUSTRALIA,2020-04-09 14:57:09,6104.0,51.0,2987.0,8780229
AUSTRALIA,2020-04-09 18:00:02,6108.0,51.0,2987.0,8791202
AUSTRALIA,2020-04-10 01:06:14,6108.0,51.0,2987.0,8816774
AUSTRALIA,2020-04-10 09:04:46,6152.0,52.0,2987.0,8845486
AUSTRALIA,2020-04-10 12:09:17,6152.0,53.0,2987.0,8856557
AUSTRALIA,2020-04-10 14:55:51,6204.0,54.0,3141.0,8866551
AUSTRALIA,2020-04-10 18:41:05,6204.0,54.0,3141.0,8880065
AUSTRALIA,2020-04-10 21:59:17,6204.0,54.0,3141.0,8891957
AUSTRALIA,2020-04-11 00:00:34,6204.0,54.0,3141.0,8899234
AUSTRALIA,2020-04-11 09:01:32,6238.0,54.0,3141.0,8931692
AUSTRALIA,2020-04-11 12:08:24,6283.0,56.0,3141.0,8942904
AUSTRALIA,2020-04-11 17:00:40,6292.0,56.0,3265.0,8960440
AUSTRALIA,2020-04-11 18:12:28,6292.0,56.0,3265.0,8964748
AUSTRALIA,2020-04-11 21:44:19,6303.0,56.0,3265.0,8977459
AUSTRALIA,2020-04-11 23:59:29,6303.0,56.0,3265.0,8985569
AUSTRALIA,2020-04-12 09:00:42,6303.0,57.0,3265.0,9018042
AUSTRALIA,2020-04-12 12:05:42,6303.0,59.0,3265.0,9029142
AUSTRALIA,2020-04-12 15:09:25,6315.0,60.0,3338.0,9040165
AUSTRALIA,2020-04-12 18:22:01,6315.0,60.0,3338.0,9051721
AUSTRALIA,2020-04-12 20:59:25,6315.0,60.0,3338.0,9061165
AUSTRALIA,2020-04-13 00:07:13,6315.0,60.0,3338.0,9072433
AUSTRALIA,2020-04-13 09:26:16,6351.0,61.0,3338.0,9105976
AUSTRALIA,2020-04-13 11:59:14,6351.0,61.0,3338.0,9115154
AUSTRALIA,2020-04-13 15:13:01,6351.0,61.0,3338.0,9126781
AUSTRALIA,2020-04-13 20:23:47,6359.0,61.0,3494.0,9145427
AUSTRALIA,2020-04-13 21:01:27,6359.0,61.0,3494.0,9147687
AUSTRALIA,2020-04-14 00:30:40,6359.0,61.0,3494.0,9160240
AUSTRALIA,2020-04-14 09:09:09,6394.0,61.0,3494.0,9191349
AUSTRALIA,2020-04-14 12:13:23,6494.0,61.0,3494.0,9202403
AUSTRALIA,2020-04-14 15:49:28,6494.0,61.0,3598.0,9215368
AUSTRALIA,2020-04-14 18:27:14,6494.0,61.0,3598.0,9224834
AUSTRALIA,2020-04-14 21:18:50,6494.0,61.0,3598.0,9235130
AUSTRALIA,2020-04-15 00:07:14,6494.0,61.0,3598.0,9245234
AUSTRALIA,2020-04-15 09:00:09,6416.0,62.0,3598.0,9277209
AUSTRALIA,2020-04-15 14:56:18,6447.0,63.0,3686.0,9298578
AUSTRALIA,2020-04-15 19:52:38,6447.0,63.0,3686.0,9316358
AUSTRALIA,2020-04-15 21:18:33,6447.0,63.0,3686.0,9321513
AUSTRALIA,2020-04-16 00:51:15,6447.0,63.0,3686.0,9334275
AUSTRALIA,2020-04-16 09:04:51,6462.0,63.0,3702.0,9363891
AUSTRALIA,2020-04-16 12:05:08,6462.0,63.0,3702.0,9374708
AUSTRALIA,2020-04-16 14:57:08,6468.0,63.0,3747.0,9385028
AUSTRALIA,2020-04-16 17:58:25,6479.0,63.0,3747.0,9395905
AUSTRALIA,2020-04-16 22:41:20,6479.0,63.0,3747.0,9412880
AUSTRALIA,2020-04-17 01:32:36,6479.0,63.0,3747.0,9423156
AUSTRALIA,2020-04-17 09:11:04,6479.0,63.0,3747.0,9450664
AUSTRALIA,2020-04-17 12:02:01,6521.0,66.0,3785.0,9460921
AUSTRALIA,2020-04-17 14:56:35,6522.0,66.0,3808.0,9471395
AUSTRALIA,2020-04-17 18:39:21,6523.0,66.0,3819.0,9484761
AUSTRALIA,2020-04-17 22:45:21,6526.0,66.0,3821.0,9499521
AUSTRALIA,2020-04-18 08:54:14,6560.0,67.0,4132.0,9536054
AUSTRALIA,2020-04-18 13:55:54,6560.0,69.0,4132.0,9554154
AUSTRALIA,2020-04-18 15:41:06,6565.0,69.0,4163.0,9560466
AUSTRALIA,2020-04-18 18:03:48,6565.0,69.0,4163.0,9569028
AUSTRALIA,2020-04-19 00:17:39,6565.0,69.0,4163.0,9591459
AUSTRALIA,2020-04-19 09:10:08,6586.0,70.0,4167.0,9623408
AUSTRALIA,2020-04-19 15:11:32,6606.0,70.0,4230.0,9645092
AUSTRALIA,2020-04-19 18:07:21,6606.0,70.0,4230.0,9655641
AUSTRALIA,2020-04-19 21:01:51,6612.0,71.0,4230.0,9666111
AUSTRALIA,2020-04-20 00:00:38,6612.0,71.0,4230.0,9676838
AUSTRALIA,2020-04-20 12:46:45,6619.0,71.0,4258.0,9722805
AUSTRALIA,2020-04-20 15:15:13,6619.0,71.0,4258.0,9731713
AUSTRALIA,2020-04-20 18:00:55,6619.0,71.0,4258.0,9741655
AUSTRALIA,2020-04-20 20:51:26,6619.0,71.0,4258.0,9751886
AUSTRALIA,2020-04-20 23:57:35,6619.0,71.0,4258.0,9763055
AUSTRALIA,2020-04-21 12:05:06,6642.0,73.0,4685.0,9806706
AUSTRALIA,2020-04-21 18:05:54,6645.0,74.0,4685.0,9828354
AUSTRALIA,2020-04-21 20:56:52,6645.0,74.0,4685.0,9838612
AUSTRALIA,2020-04-22 10:13:50,6647.0,76.0,4920.0,9886430
AUSTRALIA,2020-04-22 12:01:15,6647.0,76.0,4920.0,9892875
AUSTRALIA,2020-04-22 15:04:35,6649.0,76.0,4920.0,9903875
AUSTRALIA,2020-04-23 00:41:34,6649.0,76.0,4920.0,9938494
AUSTRALIA,2020-04-23 11:00:28,6660.0,76.0,5041.0,9975628
AUSTRALIA,2020-04-23 18:09:30,6661.0,76.0,5045.0,10001370
AUSTRALIA,2020-04-23 21:15:10,6661.0,76.0,5045.0,10012510
AUSTRALIA,2020-04-24 12:38:27,6675.0,80.0,5129.0,10067907
AUSTRALIA,2020-04-24 15:07:01,6675.0,80.0,5136.0,10076821
AUSTRALIA,2020-04-24 18:05:08,6675.0,80.0,5136.0,10087508
AUSTRALIA,2020-04-25 01:24:20,6675.0,80.0,5136.0,10113860
AUSTRALIA,2020-04-25 10:29:29,6692.0,81.0,5357.0,10146569
AUSTRALIA,2020-04-25 13:06:30,6692.0,81.0,5357.0,10155990
AUSTRALIA,2020-04-25 15:13:19,6695.0,80.0,5372.0,10163599
