Nation,Time,Confirmed Case,Death,Recover,timestamp
MACAU,2020-04-03 14:30:10,41.0,0.0,10.0,8260210
MACAU,2020-04-03 14:30:11,41.0,0.0,10.0,8260211
MACAU,2020-04-03 17:30:12,42.0,0.0,10.0,8271012
MACAU,2020-04-03 20:30:12,42.0,0.0,10.0,8281812
MACAU,2020-04-03 23:30:19,43.0,0.0,10.0,8292619
MACAU,2020-04-04 08:30:14,43.0,0.0,10.0,8325014
MACAU,2020-04-04 11:30:14,43.0,0.0,10.0,8335814
MACAU,2020-04-04 14:30:16,43.0,0.0,10.0,8346616
MACAU,2020-04-04 17:30:18,43.0,0.0,10.0,8357418
MACAU,2020-04-04 20:30:33,43.0,0.0,10.0,8368233
MACAU,2020-04-04 23:30:05,43.0,0.0,10.0,8379005
MACAU,2020-04-05 08:30:07,44.0,0.0,10.0,8411407
MACAU,2020-04-05 11:30:03,44.0,0.0,10.0,8422203
MACAU,2020-04-05 14:30:04,44.0,0.0,10.0,8433004
MACAU,2020-04-05 17:40:33,44.0,0.0,10.0,8444433
MACAU,2020-04-05 20:33:28,44.0,0.0,10.0,8454808
MACAU,2020-04-05 23:30:02,44.0,0.0,10.0,8465402
MACAU,2020-04-06 08:37:49,44.0,0.0,10.0,8498269
MACAU,2020-04-06 11:30:05,44.0,0.0,10.0,8508605
MACAU,2020-04-06 14:44:21,44.0,0.0,10.0,8520261
MACAU,2020-04-06 17:30:04,44.0,0.0,10.0,8530204
MACAU,2020-04-06 21:00:44,44.0,0.0,10.0,8542844
MACAU,2020-04-07 00:00:03,44.0,0.0,10.0,8553603
MACAU,2020-04-07 09:00:04,44.0,0.0,10.0,8586004
MACAU,2020-04-07 12:15:51,44.0,0.0,10.0,8597751
MACAU,2020-04-07 15:59:55,44.0,0.0,10.0,8611195
MACAU,2020-04-07 18:03:46,44.0,0.0,10.0,8618626
MACAU,2020-04-07 21:32:15,44.0,0.0,10.0,8631135
MACAU,2020-04-08 00:00:04,44.0,0.0,10.0,8640004
MACAU,2020-04-08 09:00:46,44.0,0.0,10.0,8672446
MACAU,2020-04-08 12:21:18,44.0,0.0,10.0,8684478
MACAU,2020-04-08 15:04:46,45.0,0.0,10.0,8694286
MACAU,2020-04-08 18:11:16,45.0,0.0,10.0,8705476
MACAU,2020-04-08 21:33:56,45.0,0.0,10.0,8717636
MACAU,2020-04-09 00:14:12,45.0,0.0,10.0,8727252
MACAU,2020-04-09 11:19:24,45.0,0.0,10.0,8767164
MACAU,2020-04-09 12:07:24,45.0,0.0,10.0,8770044
MACAU,2020-04-09 14:57:09,45.0,0.0,10.0,8780229
