Nation,Time,Confirmed Case,Death,Recover,timestamp
VENEZUELA,2020-04-03 14:30:10,146.0,5.0,43.0,8260210
VENEZUELA,2020-04-03 14:30:11,146.0,5.0,43.0,8260211
VENEZUELA,2020-04-03 17:30:12,146.0,5.0,43.0,8271012
VENEZUELA,2020-04-03 20:30:12,146.0,5.0,43.0,8281812
VENEZUELA,2020-04-03 23:30:19,146.0,5.0,43.0,8292619
VENEZUELA,2020-04-04 08:30:14,153.0,7.0,52.0,8325014
VENEZUELA,2020-04-04 11:30:14,153.0,7.0,52.0,8335814
VENEZUELA,2020-04-04 14:30:16,153.0,7.0,52.0,8346616
VENEZUELA,2020-04-04 17:30:18,153.0,7.0,52.0,8357418
VENEZUELA,2020-04-04 20:30:33,153.0,7.0,52.0,8368233
VENEZUELA,2020-04-04 23:30:05,155.0,7.0,52.0,8379005
VENEZUELA,2020-04-05 08:30:07,155.0,7.0,52.0,8411407
VENEZUELA,2020-04-05 11:30:03,155.0,7.0,52.0,8422203
VENEZUELA,2020-04-05 14:30:04,155.0,7.0,52.0,8433004
VENEZUELA,2020-04-05 17:40:33,155.0,7.0,52.0,8444433
VENEZUELA,2020-04-05 20:33:28,155.0,7.0,52.0,8454808
VENEZUELA,2020-04-05 23:30:02,155.0,7.0,52.0,8465402
VENEZUELA,2020-04-06 08:37:49,159.0,7.0,52.0,8498269
VENEZUELA,2020-04-06 11:30:05,159.0,7.0,52.0,8508605
VENEZUELA,2020-04-06 14:44:21,159.0,7.0,52.0,8520261
VENEZUELA,2020-04-06 17:30:04,159.0,7.0,52.0,8530204
VENEZUELA,2020-04-06 21:00:44,159.0,7.0,52.0,8542844
VENEZUELA,2020-04-07 00:00:03,159.0,7.0,52.0,8553603
VENEZUELA,2020-04-07 09:00:04,165.0,7.0,65.0,8586004
VENEZUELA,2020-04-07 12:15:51,165.0,7.0,65.0,8597751
VENEZUELA,2020-04-07 15:59:55,165.0,7.0,65.0,8611195
VENEZUELA,2020-04-07 18:03:46,165.0,7.0,65.0,8618626
VENEZUELA,2020-04-07 21:32:15,165.0,7.0,65.0,8631135
VENEZUELA,2020-04-08 00:00:04,165.0,7.0,65.0,8640004
VENEZUELA,2020-04-08 09:00:46,166.0,7.0,65.0,8672446
VENEZUELA,2020-04-08 12:21:18,166.0,7.0,65.0,8684478
VENEZUELA,2020-04-08 15:04:46,166.0,7.0,65.0,8694286
VENEZUELA,2020-04-08 18:11:16,166.0,7.0,65.0,8705476
VENEZUELA,2020-04-08 21:33:56,166.0,7.0,65.0,8717636
VENEZUELA,2020-04-09 00:14:12,166.0,7.0,65.0,8727252
VENEZUELA,2020-04-09 11:19:24,167.0,9.0,65.0,8767164
VENEZUELA,2020-04-09 12:07:24,167.0,9.0,65.0,8770044
VENEZUELA,2020-04-09 14:57:09,167.0,9.0,65.0,8780229
VENEZUELA,2020-04-09 18:00:02,167.0,9.0,65.0,8791202
VENEZUELA,2020-04-10 01:06:14,171.0,9.0,84.0,8816774
VENEZUELA,2020-04-10 09:04:46,171.0,9.0,84.0,8845486
VENEZUELA,2020-04-10 12:09:17,171.0,9.0,84.0,8856557
VENEZUELA,2020-04-10 14:55:51,171.0,9.0,84.0,8866551
VENEZUELA,2020-04-10 18:41:05,171.0,9.0,84.0,8880065
VENEZUELA,2020-04-10 21:59:17,171.0,9.0,84.0,8891957
VENEZUELA,2020-04-11 00:00:34,171.0,9.0,84.0,8899234
VENEZUELA,2020-04-11 09:01:32,175.0,9.0,84.0,8931692
VENEZUELA,2020-04-11 12:08:24,175.0,9.0,84.0,8942904
VENEZUELA,2020-04-11 17:00:40,175.0,9.0,84.0,8960440
VENEZUELA,2020-04-11 18:12:28,175.0,9.0,84.0,8964748
VENEZUELA,2020-04-11 21:44:19,175.0,9.0,84.0,8977459
VENEZUELA,2020-04-11 23:59:29,175.0,9.0,84.0,8985569
VENEZUELA,2020-04-12 09:00:42,175.0,9.0,93.0,9018042
VENEZUELA,2020-04-12 12:05:42,175.0,9.0,93.0,9029142
VENEZUELA,2020-04-12 15:09:25,175.0,9.0,93.0,9040165
VENEZUELA,2020-04-12 18:22:01,175.0,9.0,93.0,9051721
VENEZUELA,2020-04-12 20:59:25,175.0,9.0,93.0,9061165
VENEZUELA,2020-04-13 00:07:13,175.0,9.0,93.0,9072433
VENEZUELA,2020-04-13 09:26:16,181.0,9.0,93.0,9105976
VENEZUELA,2020-04-13 11:59:14,181.0,9.0,93.0,9115154
VENEZUELA,2020-04-13 15:13:01,181.0,9.0,93.0,9126781
VENEZUELA,2020-04-13 20:23:47,181.0,9.0,93.0,9145427
VENEZUELA,2020-04-13 21:01:27,181.0,9.0,93.0,9147687
VENEZUELA,2020-04-14 00:30:40,181.0,9.0,93.0,9160240
VENEZUELA,2020-04-14 09:09:09,189.0,9.0,110.0,9191349
VENEZUELA,2020-04-14 12:13:23,189.0,9.0,110.0,9202403
VENEZUELA,2020-04-14 15:49:28,189.0,9.0,110.0,9215368
VENEZUELA,2020-04-14 18:27:14,189.0,9.0,110.0,9224834
VENEZUELA,2020-04-14 21:18:50,189.0,9.0,110.0,9235130
VENEZUELA,2020-04-15 00:07:14,189.0,9.0,110.0,9245234
VENEZUELA,2020-04-15 09:00:09,193.0,9.0,111.0,9277209
VENEZUELA,2020-04-15 14:56:18,197.0,9.0,111.0,9298578
VENEZUELA,2020-04-15 19:52:38,197.0,9.0,111.0,9316358
VENEZUELA,2020-04-15 21:18:33,197.0,9.0,111.0,9321513
VENEZUELA,2020-04-16 00:51:15,197.0,9.0,111.0,9334275
VENEZUELA,2020-04-16 09:04:51,197.0,9.0,111.0,9363891
VENEZUELA,2020-04-16 12:05:08,197.0,9.0,111.0,9374708
VENEZUELA,2020-04-16 14:57:08,197.0,9.0,111.0,9385028
VENEZUELA,2020-04-16 17:58:25,197.0,9.0,111.0,9395905
VENEZUELA,2020-04-16 22:41:20,197.0,9.0,111.0,9412880
VENEZUELA,2020-04-17 01:32:36,197.0,9.0,111.0,9423156
VENEZUELA,2020-04-17 09:11:04,204.0,9.0,111.0,9450664
VENEZUELA,2020-04-17 12:02:01,204.0,9.0,111.0,9460921
VENEZUELA,2020-04-17 14:56:35,204.0,9.0,111.0,9471395
VENEZUELA,2020-04-17 18:39:21,204.0,9.0,111.0,9484761
VENEZUELA,2020-04-17 22:45:21,204.0,9.0,111.0,9499521
VENEZUELA,2020-04-18 08:54:14,227.0,9.0,113.0,9536054
VENEZUELA,2020-04-18 13:55:54,227.0,9.0,113.0,9554154
VENEZUELA,2020-04-18 15:41:06,227.0,9.0,113.0,9560466
VENEZUELA,2020-04-18 18:03:48,227.0,9.0,113.0,9569028
VENEZUELA,2020-04-19 00:17:39,227.0,9.0,113.0,9591459
VENEZUELA,2020-04-19 09:10:08,227.0,9.0,117.0,9623408
VENEZUELA,2020-04-19 15:11:32,227.0,9.0,117.0,9645092
VENEZUELA,2020-04-19 18:07:21,227.0,9.0,117.0,9655641
