Nation,Time,Confirmed Case,Death,Recover,timestamp
BOTSWANA,2020-04-03 14:30:10,4.0,1.0,0.0,8260210
BOTSWANA,2020-04-03 14:30:11,4.0,1.0,0.0,8260211
BOTSWANA,2020-04-03 17:30:12,4.0,1.0,0.0,8271012
BOTSWANA,2020-04-03 20:30:12,4.0,1.0,0.0,8281812
BOTSWANA,2020-04-03 23:30:19,4.0,1.0,0.0,8292619
BOTSWANA,2020-04-04 08:30:14,4.0,1.0,0.0,8325014
BOTSWANA,2020-04-04 11:30:14,4.0,1.0,0.0,8335814
BOTSWANA,2020-04-04 14:30:16,4.0,1.0,0.0,8346616
BOTSWANA,2020-04-04 17:30:18,4.0,1.0,0.0,8357418
BOTSWANA,2020-04-04 20:30:33,4.0,1.0,0.0,8368233
BOTSWANA,2020-04-04 23:30:05,4.0,1.0,0.0,8379005
BOTSWANA,2020-04-05 08:30:07,4.0,1.0,0.0,8411407
BOTSWANA,2020-04-05 11:30:03,4.0,1.0,0.0,8422203
BOTSWANA,2020-04-05 14:30:04,4.0,1.0,0.0,8433004
BOTSWANA,2020-04-05 17:40:33,4.0,1.0,0.0,8444433
BOTSWANA,2020-04-05 20:33:28,4.0,1.0,0.0,8454808
BOTSWANA,2020-04-05 23:30:02,6.0,1.0,0.0,8465402
BOTSWANA,2020-04-06 08:37:49,6.0,1.0,0.0,8498269
BOTSWANA,2020-04-06 11:30:05,6.0,1.0,0.0,8508605
BOTSWANA,2020-04-06 14:44:21,6.0,1.0,0.0,8520261
BOTSWANA,2020-04-06 17:30:04,6.0,1.0,0.0,8530204
BOTSWANA,2020-04-06 21:00:44,6.0,1.0,0.0,8542844
BOTSWANA,2020-04-07 00:00:03,6.0,1.0,0.0,8553603
BOTSWANA,2020-04-07 09:00:04,6.0,1.0,0.0,8586004
BOTSWANA,2020-04-07 12:15:51,6.0,1.0,0.0,8597751
BOTSWANA,2020-04-07 15:59:55,6.0,1.0,0.0,8611195
BOTSWANA,2020-04-07 18:03:46,6.0,1.0,0.0,8618626
BOTSWANA,2020-04-07 21:32:15,6.0,1.0,0.0,8631135
BOTSWANA,2020-04-08 00:00:04,6.0,1.0,0.0,8640004
BOTSWANA,2020-04-08 09:00:46,6.0,1.0,0.0,8672446
BOTSWANA,2020-04-08 12:21:18,6.0,1.0,0.0,8684478
BOTSWANA,2020-04-08 15:04:46,6.0,1.0,0.0,8694286
BOTSWANA,2020-04-08 18:11:16,6.0,1.0,0.0,8705476
BOTSWANA,2020-04-08 21:33:56,6.0,1.0,0.0,8717636
BOTSWANA,2020-04-09 00:14:12,6.0,1.0,0.0,8727252
BOTSWANA,2020-04-09 11:19:24,6.0,1.0,0.0,8767164
BOTSWANA,2020-04-09 12:07:24,6.0,1.0,0.0,8770044
BOTSWANA,2020-04-09 14:57:09,6.0,1.0,0.0,8780229
BOTSWANA,2020-04-09 18:00:02,13.0,1.0,0.0,8791202
BOTSWANA,2020-04-10 01:06:14,13.0,1.0,0.0,8816774
BOTSWANA,2020-04-10 09:04:46,13.0,1.0,0.0,8845486
BOTSWANA,2020-04-10 12:09:17,13.0,1.0,0.0,8856557
BOTSWANA,2020-04-10 14:55:51,13.0,1.0,0.0,8866551
BOTSWANA,2020-04-10 18:41:05,13.0,1.0,0.0,8880065
BOTSWANA,2020-04-10 21:59:17,13.0,1.0,0.0,8891957
BOTSWANA,2020-04-11 00:00:34,13.0,1.0,0.0,8899234
BOTSWANA,2020-04-11 09:01:32,13.0,1.0,0.0,8931692
BOTSWANA,2020-04-11 12:08:24,13.0,1.0,0.0,8942904
BOTSWANA,2020-04-11 17:00:40,13.0,1.0,0.0,8960440
BOTSWANA,2020-04-11 18:12:28,13.0,1.0,0.0,8964748
BOTSWANA,2020-04-11 21:44:19,13.0,1.0,0.0,8977459
BOTSWANA,2020-04-11 23:59:29,13.0,1.0,0.0,8985569
BOTSWANA,2020-04-12 09:00:42,13.0,1.0,0.0,9018042
BOTSWANA,2020-04-12 12:05:42,13.0,1.0,0.0,9029142
BOTSWANA,2020-04-12 15:09:25,13.0,1.0,0.0,9040165
BOTSWANA,2020-04-12 18:22:01,13.0,1.0,0.0,9051721
BOTSWANA,2020-04-12 20:59:25,13.0,1.0,0.0,9061165
BOTSWANA,2020-04-13 00:07:13,13.0,1.0,0.0,9072433
BOTSWANA,2020-04-13 09:26:16,13.0,1.0,0.0,9105976
BOTSWANA,2020-04-13 11:59:14,13.0,1.0,0.0,9115154
BOTSWANA,2020-04-13 15:13:01,13.0,1.0,0.0,9126781
BOTSWANA,2020-04-13 20:23:47,13.0,1.0,0.0,9145427
BOTSWANA,2020-04-13 21:01:27,13.0,1.0,0.0,9147687
BOTSWANA,2020-04-14 00:30:40,13.0,1.0,0.0,9160240
BOTSWANA,2020-04-14 09:09:09,13.0,1.0,0.0,9191349
BOTSWANA,2020-04-14 12:13:23,13.0,1.0,0.0,9202403
BOTSWANA,2020-04-14 15:49:28,13.0,1.0,0.0,9215368
BOTSWANA,2020-04-14 18:27:14,13.0,1.0,0.0,9224834
BOTSWANA,2020-04-14 21:18:50,13.0,1.0,0.0,9235130
BOTSWANA,2020-04-15 00:07:14,13.0,1.0,0.0,9245234
BOTSWANA,2020-04-15 09:00:09,13.0,1.0,0.0,9277209
BOTSWANA,2020-04-15 14:56:18,13.0,1.0,0.0,9298578
BOTSWANA,2020-04-15 19:52:38,13.0,1.0,0.0,9316358
BOTSWANA,2020-04-15 21:18:33,13.0,1.0,0.0,9321513
BOTSWANA,2020-04-16 00:51:15,13.0,1.0,0.0,9334275
