Nation,Time,Confirmed Case,Death,Recover,timestamp
CAMEROON,2020-04-03 14:30:10,306.0,7.0,10.0,8260210
CAMEROON,2020-04-03 14:30:11,306.0,7.0,10.0,8260211
CAMEROON,2020-04-03 17:30:12,306.0,7.0,10.0,8271012
CAMEROON,2020-04-03 20:30:12,306.0,7.0,10.0,8281812
CAMEROON,2020-04-03 23:30:19,306.0,7.0,10.0,8292619
CAMEROON,2020-04-04 08:30:14,509.0,8.0,17.0,8325014
CAMEROON,2020-04-04 11:30:14,509.0,8.0,17.0,8335814
CAMEROON,2020-04-04 14:30:16,509.0,8.0,17.0,8346616
CAMEROON,2020-04-04 17:30:18,509.0,8.0,17.0,8357418
CAMEROON,2020-04-04 20:30:33,509.0,8.0,17.0,8368233
CAMEROON,2020-04-04 23:30:05,509.0,8.0,17.0,8379005
CAMEROON,2020-04-05 08:30:07,555.0,9.0,17.0,8411407
CAMEROON,2020-04-05 11:30:03,555.0,9.0,17.0,8422203
CAMEROON,2020-04-05 14:30:04,555.0,9.0,17.0,8433004
CAMEROON,2020-04-05 17:40:33,555.0,9.0,17.0,8444433
CAMEROON,2020-04-05 20:33:28,555.0,9.0,17.0,8454808
CAMEROON,2020-04-05 23:30:02,555.0,9.0,17.0,8465402
CAMEROON,2020-04-06 08:37:49,650.0,9.0,17.0,8498269
CAMEROON,2020-04-06 11:30:05,650.0,9.0,17.0,8508605
CAMEROON,2020-04-06 14:44:21,658.0,9.0,17.0,8520261
CAMEROON,2020-04-06 17:30:04,658.0,9.0,17.0,8530204
CAMEROON,2020-04-06 21:00:44,658.0,9.0,17.0,8542844
CAMEROON,2020-04-07 00:00:03,658.0,9.0,17.0,8553603
CAMEROON,2020-04-07 09:00:04,658.0,9.0,17.0,8586004
CAMEROON,2020-04-07 12:15:51,658.0,9.0,17.0,8597751
CAMEROON,2020-04-07 15:59:55,658.0,9.0,17.0,8611195
CAMEROON,2020-04-07 18:03:46,658.0,9.0,17.0,8618626
CAMEROON,2020-04-07 21:32:15,658.0,9.0,17.0,8631135
CAMEROON,2020-04-08 00:00:04,658.0,9.0,17.0,8640004
CAMEROON,2020-04-08 09:00:46,685.0,9.0,60.0,8672446
CAMEROON,2020-04-08 12:21:18,685.0,9.0,60.0,8684478
CAMEROON,2020-04-08 15:04:46,685.0,9.0,60.0,8694286
CAMEROON,2020-04-08 18:11:16,685.0,9.0,60.0,8705476
CAMEROON,2020-04-08 21:33:56,685.0,9.0,60.0,8717636
CAMEROON,2020-04-09 00:14:12,685.0,9.0,60.0,8727252
CAMEROON,2020-04-09 11:19:24,730.0,10.0,60.0,8767164
CAMEROON,2020-04-09 12:07:24,730.0,10.0,60.0,8770044
