Nation,Time,Confirmed Case,Death,Recover,timestamp
KUWAIT,2020-04-03 14:30:10,417.0,0.0,82.0,8260210
KUWAIT,2020-04-03 14:30:11,417.0,0.0,82.0,8260211
KUWAIT,2020-04-03 17:30:12,417.0,0.0,82.0,8271012
KUWAIT,2020-04-03 20:30:12,417.0,0.0,82.0,8281812
KUWAIT,2020-04-03 23:30:19,417.0,0.0,82.0,8292619
KUWAIT,2020-04-04 08:30:14,417.0,0.0,82.0,8325014
KUWAIT,2020-04-04 11:30:14,417.0,1.0,82.0,8335814
KUWAIT,2020-04-04 14:30:16,417.0,1.0,82.0,8346616
KUWAIT,2020-04-04 17:30:18,479.0,1.0,93.0,8357418
KUWAIT,2020-04-04 20:30:33,479.0,1.0,93.0,8368233
KUWAIT,2020-04-04 23:30:05,479.0,1.0,93.0,8379005
KUWAIT,2020-04-05 08:30:07,479.0,1.0,93.0,8411407
KUWAIT,2020-04-05 11:30:03,479.0,1.0,93.0,8422203
KUWAIT,2020-04-05 14:30:04,479.0,1.0,93.0,8433004
KUWAIT,2020-04-05 17:40:33,556.0,1.0,99.0,8444433
KUWAIT,2020-04-05 20:33:28,556.0,1.0,99.0,8454808
KUWAIT,2020-04-05 23:30:02,556.0,1.0,99.0,8465402
KUWAIT,2020-04-06 08:37:49,556.0,1.0,99.0,8498269
KUWAIT,2020-04-06 11:30:05,556.0,1.0,99.0,8508605
KUWAIT,2020-04-06 14:44:21,556.0,1.0,103.0,8520261
KUWAIT,2020-04-06 17:30:04,665.0,1.0,103.0,8530204
KUWAIT,2020-04-06 21:00:44,665.0,1.0,103.0,8542844
KUWAIT,2020-04-07 00:00:03,665.0,1.0,103.0,8553603
KUWAIT,2020-04-07 09:00:04,665.0,1.0,103.0,8586004
KUWAIT,2020-04-07 12:15:51,665.0,1.0,105.0,8597751
KUWAIT,2020-04-07 15:59:55,743.0,1.0,105.0,8611195
KUWAIT,2020-04-07 18:03:46,743.0,1.0,105.0,8618626
KUWAIT,2020-04-07 21:32:15,743.0,1.0,105.0,8631135
KUWAIT,2020-04-08 00:00:04,743.0,1.0,105.0,8640004
KUWAIT,2020-04-08 09:00:46,743.0,1.0,105.0,8672446
KUWAIT,2020-04-08 12:21:18,743.0,1.0,105.0,8684478
KUWAIT,2020-04-08 15:04:46,855.0,1.0,111.0,8694286
KUWAIT,2020-04-08 18:11:16,855.0,1.0,111.0,8705476
KUWAIT,2020-04-08 21:33:56,855.0,1.0,111.0,8717636
KUWAIT,2020-04-09 00:14:12,855.0,1.0,111.0,8727252
KUWAIT,2020-04-09 11:19:24,855.0,1.0,111.0,8767164
