Nation,Time,Confirmed Case,Death,Recover,timestamp
INDIA,2020-04-03 14:30:10,2639.0,73.0,192.0,8260210
INDIA,2020-04-03 14:30:11,2639.0,73.0,192.0,8260211
INDIA,2020-04-03 17:30:12,2640.0,74.0,192.0,8271012
INDIA,2020-04-03 20:30:12,2972.0,75.0,212.0,8281812
INDIA,2020-04-03 23:30:19,3053.0,84.0,229.0,8292619
INDIA,2020-04-04 08:30:14,3108.0,86.0,229.0,8325014
INDIA,2020-04-04 11:30:14,3127.0,86.0,229.0,8335814
INDIA,2020-04-04 14:30:16,3193.0,86.0,229.0,8346616
INDIA,2020-04-04 17:30:18,3231.0,90.0,230.0,8357418
INDIA,2020-04-04 20:30:33,3494.0,91.0,262.0,8368233
INDIA,2020-04-04 23:30:05,3501.0,92.0,266.0,8379005
INDIA,2020-04-05 08:30:07,3671.0,99.0,283.0,8411407
INDIA,2020-04-05 11:30:03,3671.0,99.0,283.0,8422203
INDIA,2020-04-05 14:30:04,3730.0,104.0,294.0,8433004
INDIA,2020-04-05 17:40:33,3819.0,107.0,295.0,8444433
INDIA,2020-04-05 20:33:28,4122.0,117.0,314.0,8454808
INDIA,2020-04-05 23:30:02,4254.0,119.0,321.0,8465402
INDIA,2020-04-06 08:37:49,4289.0,118.0,328.0,8498269
INDIA,2020-04-06 11:30:05,4314.0,118.0,328.0,8508605
INDIA,2020-04-06 14:44:21,4374.0,121.0,329.0,8520261
INDIA,2020-04-06 17:30:04,4389.0,122.0,329.0,8530204
INDIA,2020-04-06 21:00:44,4693.0,129.0,346.0,8542844
INDIA,2020-04-07 00:00:03,4778.0,136.0,382.0,8553603
INDIA,2020-04-07 09:00:04,4778.0,136.0,382.0,8586004
INDIA,2020-04-07 12:15:51,4858.0,136.0,382.0,8597751
INDIA,2020-04-07 15:59:55,4917.0,137.0,386.0,8611195
INDIA,2020-04-07 18:03:46,4917.0,141.0,387.0,8618626
INDIA,2020-04-07 21:32:15,5212.0,153.0,421.0,8631135
INDIA,2020-04-08 00:00:04,5341.0,157.0,455.0,8640004
INDIA,2020-04-08 09:00:46,5351.0,160.0,468.0,8672446
INDIA,2020-04-08 12:21:18,5360.0,164.0,468.0,8684478
INDIA,2020-04-08 15:04:46,5462.0,167.0,472.0,8694286
INDIA,2020-04-08 18:11:16,5542.0,170.0,474.0,8705476
INDIA,2020-04-08 21:33:56,5802.0,178.0,506.0,8717636
INDIA,2020-04-09 00:14:12,5916.0,179.0,545.0,8727252
INDIA,2020-04-09 11:19:24,5979.0,183.0,568.0,8767164
INDIA,2020-04-09 12:07:24,6041.0,184.0,569.0,8770044
INDIA,2020-04-09 14:57:09,6217.0,184.0,569.0,8780229
INDIA,2020-04-09 18:00:02,6276.0,186.0,571.0,8791202
INDIA,2020-04-10 01:06:14,6725.0,226.0,620.0,8816774
INDIA,2020-04-10 09:04:46,6725.0,227.0,635.0,8845486
INDIA,2020-04-10 12:09:17,6821.0,229.0,641.0,8856557
INDIA,2020-04-10 14:55:51,6825.0,229.0,641.0,8866551
INDIA,2020-04-10 18:41:05,6914.0,230.0,646.0,8880065
INDIA,2020-04-10 21:59:17,7599.0,246.0,764.0,8891957
INDIA,2020-04-11 00:00:34,7598.0,246.0,774.0,8899234
INDIA,2020-04-11 09:01:32,7600.0,249.0,774.0,8931692
INDIA,2020-04-11 12:08:24,7675.0,249.0,775.0,8942904
INDIA,2020-04-11 17:00:40,7876.0,253.0,792.0,8960440
INDIA,2020-04-11 18:12:28,7894.0,253.0,792.0,8964748
INDIA,2020-04-11 21:44:19,8323.0,280.0,896.0,8977459
INDIA,2020-04-11 23:59:29,8446.0,288.0,972.0,8985569
INDIA,2020-04-12 09:00:42,8453.0,289.0,972.0,9018042
INDIA,2020-04-12 12:05:42,8504.0,290.0,972.0,9029142
INDIA,2020-04-12 15:09:25,8606.0,290.0,983.0,9040165
INDIA,2020-04-12 18:22:01,8897.0,294.0,1036.0,9051721
INDIA,2020-04-12 20:59:25,9079.0,303.0,1061.0,9061165
INDIA,2020-04-13 00:07:13,9205.0,331.0,1080.0,9072433
INDIA,2020-04-13 09:26:16,9222.0,331.0,1086.0,9105976
INDIA,2020-04-13 11:59:14,9240.0,332.0,1096.0,9115154
INDIA,2020-04-13 15:13:01,9373.0,334.0,1104.0,9126781
INDIA,2020-04-13 20:23:47,9598.0,335.0,1154.0,9145427
INDIA,2020-04-13 21:01:27,9632.0,341.0,1173.0,9147687
INDIA,2020-04-14 00:30:40,10453.0,358.0,1193.0,9160240
INDIA,2020-04-14 09:09:09,10453.0,358.0,1193.0,9191349
INDIA,2020-04-14 12:13:23,10620.0,358.0,1206.0,9202403
INDIA,2020-04-14 15:49:28,10752.0,360.0,1226.0,9215368
INDIA,2020-04-14 18:27:14,10891.0,364.0,1244.0,9224834
INDIA,2020-04-14 21:18:50,10981.0,368.0,1294.0,9235130
INDIA,2020-04-15 00:07:14,11487.0,393.0,1359.0,9245234
INDIA,2020-04-15 09:00:09,11487.0,393.0,1361.0,9277209
INDIA,2020-04-15 14:56:18,11625.0,398.0,1366.0,9298578
INDIA,2020-04-15 19:52:38,11906.0,405.0,1430.0,9316358
INDIA,2020-04-15 21:18:33,12320.0,420.0,1498.0,9321513
INDIA,2020-04-16 00:51:15,12370.0,422.0,1509.0,9334275
INDIA,2020-04-16 09:04:51,12370.0,422.0,1509.0,9363891
INDIA,2020-04-16 12:05:08,12561.0,423.0,1513.0,9374708
INDIA,2020-04-16 14:57:08,12799.0,426.0,1519.0,9385028
INDIA,2020-04-16 17:58:25,12961.0,428.0,1594.0,9395905
INDIA,2020-04-16 22:41:20,13425.0,446.0,1756.0,9412880
INDIA,2020-04-17 01:32:36,13430.0,448.0,1768.0,9423156
INDIA,2020-04-17 09:11:04,13454.0,448.0,1777.0,9450664
INDIA,2020-04-17 12:02:01,13625.0,450.0,1778.0,9460921
INDIA,2020-04-17 14:56:35,13664.0,450.0,1793.0,9471395
INDIA,2020-04-17 18:39:21,13835.0,457.0,1845.0,9484761
INDIA,2020-04-17 22:45:21,14229.0,479.0,2006.0,9499521
INDIA,2020-04-18 08:54:14,14352.0,486.0,2041.0,9536054
INDIA,2020-04-18 13:55:54,14676.0,496.0,2054.0,9554154
INDIA,2020-04-18 15:41:06,14706.0,496.0,2056.0,9560466
INDIA,2020-04-18 18:03:48,14792.0,497.0,2078.0,9569028
INDIA,2020-04-19 00:17:39,15722.0,520.0,2463.0,9591459
INDIA,2020-04-19 09:10:08,16365.0,521.0,2466.0,9623408
