Nation,Time,Confirmed Case,Death,Recover,timestamp
FALKLAND ISLANDS,2020-04-04 14:30:16,1.0,0.0,0.0,8346616
FALKLAND ISLANDS,2020-04-04 17:30:18,1.0,0.0,0.0,8357418
FALKLAND ISLANDS,2020-04-04 20:30:33,1.0,0.0,0.0,8368233
FALKLAND ISLANDS,2020-04-04 23:30:05,1.0,0.0,0.0,8379005
FALKLAND ISLANDS,2020-04-05 08:30:07,1.0,0.0,0.0,8411407
FALKLAND ISLANDS,2020-04-05 11:30:03,1.0,0.0,0.0,8422203
FALKLAND ISLANDS,2020-04-05 14:30:04,1.0,0.0,0.0,8433004
FALKLAND ISLANDS,2020-04-05 17:40:33,1.0,0.0,0.0,8444433
FALKLAND ISLANDS,2020-04-05 20:33:28,1.0,0.0,0.0,8454808
FALKLAND ISLANDS,2020-04-05 23:30:02,1.0,0.0,0.0,8465402
FALKLAND ISLANDS,2020-04-06 08:37:49,2.0,0.0,0.0,8498269
FALKLAND ISLANDS,2020-04-06 11:30:05,2.0,0.0,0.0,8508605
FALKLAND ISLANDS,2020-04-06 14:44:21,2.0,0.0,0.0,8520261
FALKLAND ISLANDS,2020-04-06 17:30:04,2.0,0.0,0.0,8530204
FALKLAND ISLANDS,2020-04-06 21:00:44,2.0,0.0,0.0,8542844
FALKLAND ISLANDS,2020-04-07 00:00:03,2.0,0.0,0.0,8553603
FALKLAND ISLANDS,2020-04-07 09:00:04,2.0,0.0,0.0,8586004
FALKLAND ISLANDS,2020-04-07 12:15:51,2.0,0.0,0.0,8597751
FALKLAND ISLANDS,2020-04-07 15:59:55,2.0,0.0,0.0,8611195
FALKLAND ISLANDS,2020-04-07 18:03:46,2.0,0.0,0.0,8618626
FALKLAND ISLANDS,2020-04-07 21:32:15,2.0,0.0,0.0,8631135
FALKLAND ISLANDS,2020-04-08 00:00:04,2.0,0.0,0.0,8640004
FALKLAND ISLANDS,2020-04-08 09:00:46,2.0,0.0,0.0,8672446
FALKLAND ISLANDS,2020-04-08 12:21:18,2.0,0.0,0.0,8684478
FALKLAND ISLANDS,2020-04-08 15:04:46,2.0,0.0,0.0,8694286
FALKLAND ISLANDS,2020-04-08 18:11:16,2.0,0.0,0.0,8705476
FALKLAND ISLANDS,2020-04-08 21:33:56,2.0,0.0,0.0,8717636
FALKLAND ISLANDS,2020-04-09 00:14:12,5.0,0.0,1.0,8727252
