Nation,Time,Confirmed Case,Death,Recover,timestamp
FRANCE,2020-04-03 14:30:10,59105.0,4503.0,12428.0,8260210
FRANCE,2020-04-03 14:30:11,59105.0,4503.0,12428.0,8260211
FRANCE,2020-04-03 17:30:12,59105.0,4503.0,12428.0,8271012
FRANCE,2020-04-03 20:30:12,59105.0,5387.0,12428.0,8281812
FRANCE,2020-04-03 23:30:19,59105.0,6507.0,14008.0,8292619
FRANCE,2020-04-04 08:30:14,64338.0,6507.0,14008.0,8325014
FRANCE,2020-04-04 11:30:14,82165.0,6507.0,14008.0,8335814
FRANCE,2020-04-04 14:30:16,82165.0,6507.0,14008.0,8346616
FRANCE,2020-04-04 17:30:18,82165.0,6507.0,14008.0,8357418
FRANCE,2020-04-04 20:30:33,82165.0,6507.0,14008.0,8368233
FRANCE,2020-04-04 23:30:05,89953.0,7560.0,15438.0,8379005
FRANCE,2020-04-05 08:30:07,89953.0,7560.0,15438.0,8411407
FRANCE,2020-04-05 11:30:03,89953.0,7560.0,15438.0,8422203
FRANCE,2020-04-05 14:30:04,89953.0,7560.0,15438.0,8433004
FRANCE,2020-04-05 17:40:33,89953.0,7560.0,15438.0,8444433
FRANCE,2020-04-05 20:33:28,89953.0,7560.0,15438.0,8454808
FRANCE,2020-04-05 23:30:02,89953.0,7560.0,15438.0,8465402
FRANCE,2020-04-06 08:37:49,92839.0,8078.0,16183.0,8498269
FRANCE,2020-04-06 11:30:05,92839.0,8078.0,16183.0,8508605
FRANCE,2020-04-06 14:44:21,92839.0,8078.0,16183.0,8520261
FRANCE,2020-04-06 17:30:04,92839.0,8078.0,16183.0,8530204
FRANCE,2020-04-06 21:00:44,92839.0,8078.0,16183.0,8542844
FRANCE,2020-04-07 00:00:03,98010.0,8911.0,17250.0,8553603
FRANCE,2020-04-07 09:00:04,98010.0,8911.0,17250.0,8586004
FRANCE,2020-04-07 12:15:51,98010.0,8911.0,17250.0,8597751
FRANCE,2020-04-07 15:59:55,98010.0,8911.0,17250.0,8611195
FRANCE,2020-04-07 18:03:46,98010.0,8911.0,17250.0,8618626
FRANCE,2020-04-07 21:32:15,98010.0,8911.0,17250.0,8631135
FRANCE,2020-04-08 00:00:04,109069.0,10328.0,19337.0,8640004
FRANCE,2020-04-08 09:00:46,109069.0,10328.0,19337.0,8672446
FRANCE,2020-04-08 12:21:18,109069.0,10328.0,19337.0,8684478
FRANCE,2020-04-08 15:04:46,109069.0,10328.0,19337.0,8694286
FRANCE,2020-04-08 18:11:16,109069.0,10328.0,19337.0,8705476
FRANCE,2020-04-08 21:33:56,109069.0,10328.0,19337.0,8717636
FRANCE,2020-04-09 00:14:12,112950.0,10869.0,21254.0,8727252
FRANCE,2020-04-09 11:19:24,112950.0,10869.0,21254.0,8767164
FRANCE,2020-04-09 12:07:24,112950.0,10869.0,21254.0,8770044
FRANCE,2020-04-09 14:57:09,112950.0,10869.0,21254.0,8780229
FRANCE,2020-04-09 18:00:02,112950.0,10869.0,21254.0,8791202
FRANCE,2020-04-10 01:06:14,117749.0,12210.0,23206.0,8816774
FRANCE,2020-04-10 09:04:46,117749.0,12210.0,23206.0,8845486
FRANCE,2020-04-10 12:09:17,117749.0,12210.0,23206.0,8856557
FRANCE,2020-04-10 14:55:51,117749.0,12210.0,23206.0,8866551
