Nation,Time,Confirmed Case,Death,Recover,timestamp
BENIN,2020-04-03 14:30:10,13.0,0.0,1.0,8260210
BENIN,2020-04-03 14:30:11,13.0,0.0,1.0,8260211
BENIN,2020-04-03 17:30:12,13.0,0.0,1.0,8271012
BENIN,2020-04-03 20:30:12,13.0,0.0,1.0,8281812
BENIN,2020-04-03 23:30:19,13.0,0.0,1.0,8292619
BENIN,2020-04-04 08:30:14,16.0,0.0,2.0,8325014
BENIN,2020-04-04 11:30:14,16.0,0.0,2.0,8335814
BENIN,2020-04-04 14:30:16,16.0,0.0,2.0,8346616
BENIN,2020-04-04 17:30:18,16.0,0.0,2.0,8357418
BENIN,2020-04-04 20:30:33,16.0,0.0,2.0,8368233
BENIN,2020-04-04 23:30:05,16.0,0.0,2.0,8379005
BENIN,2020-04-05 08:30:07,16.0,0.0,2.0,8411407
BENIN,2020-04-05 11:30:03,16.0,0.0,2.0,8422203
BENIN,2020-04-05 14:30:04,16.0,0.0,2.0,8433004
BENIN,2020-04-05 17:40:33,16.0,0.0,2.0,8444433
BENIN,2020-04-05 20:33:28,16.0,0.0,2.0,8454808
BENIN,2020-04-05 23:30:02,22.0,0.0,5.0,8465402
BENIN,2020-04-06 08:37:49,22.0,0.0,5.0,8498269
BENIN,2020-04-06 11:30:05,22.0,0.0,5.0,8508605
BENIN,2020-04-06 14:44:21,22.0,0.0,5.0,8520261
BENIN,2020-04-06 17:30:04,22.0,1.0,5.0,8530204
BENIN,2020-04-06 21:00:44,22.0,1.0,5.0,8542844
BENIN,2020-04-07 00:00:03,23.0,1.0,5.0,8553603
BENIN,2020-04-07 09:00:04,26.0,1.0,5.0,8586004
BENIN,2020-04-07 12:15:51,26.0,1.0,5.0,8597751
BENIN,2020-04-07 15:59:55,26.0,1.0,5.0,8611195
BENIN,2020-04-07 18:03:46,26.0,1.0,5.0,8618626
BENIN,2020-04-07 21:32:15,26.0,1.0,5.0,8631135
BENIN,2020-04-08 00:00:04,26.0,1.0,5.0,8640004
BENIN,2020-04-08 09:00:46,26.0,1.0,5.0,8672446
BENIN,2020-04-08 12:21:18,26.0,1.0,5.0,8684478
BENIN,2020-04-08 15:04:46,26.0,1.0,5.0,8694286
BENIN,2020-04-08 18:11:16,26.0,1.0,5.0,8705476
BENIN,2020-04-08 21:33:56,26.0,1.0,5.0,8717636
BENIN,2020-04-09 00:14:12,26.0,1.0,5.0,8727252
BENIN,2020-04-09 11:19:24,26.0,1.0,5.0,8767164
BENIN,2020-04-09 12:07:24,26.0,1.0,5.0,8770044
