Nation,Time,Confirmed Case,Death,Recover,timestamp
SWEDEN,2020-04-03 14:30:10,5568.0,308.0,103.0,8260210
SWEDEN,2020-04-03 14:30:11,5568.0,308.0,103.0,8260211
SWEDEN,2020-04-03 17:30:12,5568.0,308.0,103.0,8271012
SWEDEN,2020-04-03 20:30:12,6078.0,333.0,103.0,8281812
SWEDEN,2020-04-03 23:30:19,6131.0,358.0,205.0,8292619
SWEDEN,2020-04-04 08:30:14,6131.0,358.0,205.0,8325014
SWEDEN,2020-04-04 11:30:14,6131.0,358.0,205.0,8335814
SWEDEN,2020-04-04 14:30:16,6131.0,358.0,205.0,8346616
SWEDEN,2020-04-04 17:30:18,6131.0,358.0,205.0,8357418
SWEDEN,2020-04-04 20:30:33,6443.0,373.0,205.0,8368233
SWEDEN,2020-04-04 23:30:05,6443.0,373.0,205.0,8379005
SWEDEN,2020-04-05 08:30:07,6443.0,373.0,205.0,8411407
SWEDEN,2020-04-05 11:30:03,6443.0,373.0,205.0,8422203
SWEDEN,2020-04-05 14:30:04,6443.0,373.0,205.0,8433004
SWEDEN,2020-04-05 17:40:33,6830.0,401.0,205.0,8444433
SWEDEN,2020-04-05 20:33:28,6830.0,401.0,205.0,8454808
SWEDEN,2020-04-05 23:30:02,6830.0,401.0,205.0,8465402
SWEDEN,2020-04-06 08:37:49,6830.0,401.0,205.0,8498269
SWEDEN,2020-04-06 11:30:05,6830.0,401.0,205.0,8508605
SWEDEN,2020-04-06 14:44:21,6830.0,401.0,205.0,8520261
SWEDEN,2020-04-06 17:30:04,6830.0,401.0,205.0,8530204
SWEDEN,2020-04-06 21:00:44,7206.0,477.0,205.0,8542844
SWEDEN,2020-04-07 00:00:03,7206.0,477.0,205.0,8553603
SWEDEN,2020-04-07 09:00:04,7206.0,477.0,205.0,8586004
SWEDEN,2020-04-07 12:15:51,7206.0,477.0,205.0,8597751
SWEDEN,2020-04-07 15:59:55,7206.0,477.0,205.0,8611195
SWEDEN,2020-04-07 18:03:46,7693.0,591.0,205.0,8618626
SWEDEN,2020-04-07 21:32:15,7693.0,591.0,205.0,8631135
SWEDEN,2020-04-08 00:00:04,7693.0,591.0,205.0,8640004
SWEDEN,2020-04-08 09:00:46,7693.0,591.0,205.0,8672446
SWEDEN,2020-04-08 12:21:18,7693.0,591.0,205.0,8684478
SWEDEN,2020-04-08 15:04:46,7693.0,591.0,205.0,8694286
SWEDEN,2020-04-08 18:11:16,8419.0,687.0,205.0,8705476
SWEDEN,2020-04-08 21:33:56,8419.0,687.0,205.0,8717636
SWEDEN,2020-04-09 00:14:12,8419.0,687.0,205.0,8727252
SWEDEN,2020-04-09 11:19:24,8419.0,687.0,205.0,8767164
SWEDEN,2020-04-09 12:07:24,8419.0,687.0,205.0,8770044
SWEDEN,2020-04-09 14:57:09,8419.0,687.0,205.0,8780229
SWEDEN,2020-04-09 18:00:02,9141.0,793.0,205.0,8791202
SWEDEN,2020-04-10 01:06:14,9141.0,793.0,205.0,8816774
SWEDEN,2020-04-10 09:04:46,9141.0,793.0,205.0,8845486
SWEDEN,2020-04-10 12:09:17,9141.0,793.0,205.0,8856557
SWEDEN,2020-04-10 14:55:51,9141.0,793.0,205.0,8866551
SWEDEN,2020-04-10 18:41:05,9685.0,870.0,205.0,8880065
SWEDEN,2020-04-10 21:59:17,9685.0,870.0,205.0,8891957
SWEDEN,2020-04-11 00:00:34,9685.0,870.0,381.0,8899234
SWEDEN,2020-04-11 09:01:32,9685.0,870.0,381.0,8931692
SWEDEN,2020-04-11 12:08:24,9685.0,870.0,381.0,8942904
SWEDEN,2020-04-11 17:00:40,9685.0,870.0,381.0,8960440
SWEDEN,2020-04-11 18:12:28,10151.0,887.0,381.0,8964748
SWEDEN,2020-04-11 21:44:19,10151.0,887.0,381.0,8977459
SWEDEN,2020-04-11 23:59:29,10151.0,887.0,381.0,8985569
SWEDEN,2020-04-12 09:00:42,10151.0,887.0,381.0,9018042
SWEDEN,2020-04-12 12:05:42,10151.0,887.0,381.0,9029142
SWEDEN,2020-04-12 15:09:25,10151.0,887.0,381.0,9040165
SWEDEN,2020-04-12 18:22:01,10483.0,899.0,381.0,9051721
SWEDEN,2020-04-12 20:59:25,10483.0,899.0,381.0,9061165
SWEDEN,2020-04-13 00:07:13,10483.0,899.0,381.0,9072433
SWEDEN,2020-04-13 09:26:16,10483.0,899.0,381.0,9105976
SWEDEN,2020-04-13 11:59:14,10483.0,899.0,381.0,9115154
SWEDEN,2020-04-13 15:13:01,10483.0,899.0,381.0,9126781
SWEDEN,2020-04-13 20:23:47,10948.0,919.0,381.0,9145427
SWEDEN,2020-04-13 21:01:27,10948.0,919.0,381.0,9147687
SWEDEN,2020-04-14 00:30:40,10948.0,919.0,381.0,9160240
SWEDEN,2020-04-14 09:09:09,10948.0,919.0,381.0,9191349
SWEDEN,2020-04-14 12:13:23,10948.0,919.0,381.0,9202403
SWEDEN,2020-04-14 15:49:28,10948.0,919.0,381.0,9215368
SWEDEN,2020-04-14 18:27:14,11445.0,1033.0,381.0,9224834
SWEDEN,2020-04-14 21:18:50,11445.0,1033.0,381.0,9235130
SWEDEN,2020-04-15 00:07:14,11445.0,1033.0,381.0,9245234
SWEDEN,2020-04-15 09:00:09,11445.0,1033.0,381.0,9277209
SWEDEN,2020-04-15 14:56:18,11445.0,1033.0,381.0,9298578
SWEDEN,2020-04-15 19:52:38,11927.0,1203.0,381.0,9316358
SWEDEN,2020-04-15 21:18:33,11927.0,1203.0,381.0,9321513
SWEDEN,2020-04-16 00:51:15,11927.0,1203.0,381.0,9334275
SWEDEN,2020-04-16 09:04:51,11927.0,1203.0,381.0,9363891
SWEDEN,2020-04-16 12:05:08,11927.0,1203.0,381.0,9374708
SWEDEN,2020-04-16 14:57:08,11927.0,1203.0,381.0,9385028
SWEDEN,2020-04-16 17:58:25,12540.0,1333.0,381.0,9395905
SWEDEN,2020-04-16 22:41:20,12540.0,1333.0,550.0,9412880
SWEDEN,2020-04-17 01:32:36,12540.0,1333.0,550.0,9423156
SWEDEN,2020-04-17 09:11:04,12540.0,1333.0,550.0,9450664
SWEDEN,2020-04-17 12:02:01,12540.0,1333.0,550.0,9460921
SWEDEN,2020-04-17 14:56:35,12540.0,1333.0,550.0,9471395
SWEDEN,2020-04-17 18:39:21,13216.0,1400.0,550.0,9484761
SWEDEN,2020-04-17 22:45:21,13216.0,1400.0,550.0,9499521
SWEDEN,2020-04-18 08:54:14,13216.0,1400.0,550.0,9536054
SWEDEN,2020-04-18 13:55:54,13216.0,1400.0,550.0,9554154
SWEDEN,2020-04-18 15:41:06,13216.0,1400.0,550.0,9560466
SWEDEN,2020-04-18 18:03:48,13822.0,1511.0,550.0,9569028
SWEDEN,2020-04-19 00:17:39,13822.0,1511.0,550.0,9591459
SWEDEN,2020-04-19 09:10:08,13822.0,1511.0,550.0,9623408
SWEDEN,2020-04-19 15:11:32,13822.0,1511.0,550.0,9645092
SWEDEN,2020-04-19 18:07:21,14385.0,1540.0,550.0,9655641
SWEDEN,2020-04-19 21:01:51,14385.0,1540.0,550.0,9666111
SWEDEN,2020-04-20 00:00:38,14385.0,1540.0,550.0,9676838
SWEDEN,2020-04-20 12:46:45,14385.0,1540.0,550.0,9722805
SWEDEN,2020-04-20 15:15:13,14385.0,1540.0,550.0,9731713
SWEDEN,2020-04-20 18:00:55,14777.0,1580.0,550.0,9741655
SWEDEN,2020-04-20 20:51:26,14777.0,1580.0,550.0,9751886
SWEDEN,2020-04-20 23:57:35,14777.0,1580.0,550.0,9763055
SWEDEN,2020-04-21 12:05:06,14777.0,1580.0,550.0,9806706
SWEDEN,2020-04-21 18:05:54,15322.0,1765.0,550.0,9828354
SWEDEN,2020-04-21 20:56:52,15322.0,1765.0,550.0,9838612
SWEDEN,2020-04-22 10:13:50,15322.0,1765.0,550.0,9886430
SWEDEN,2020-04-22 12:01:15,15322.0,1765.0,550.0,9892875
SWEDEN,2020-04-22 15:04:35,15322.0,1765.0,550.0,9903875
SWEDEN,2020-04-23 00:41:34,16004.0,1937.0,550.0,9938494
SWEDEN,2020-04-23 11:00:28,16004.0,1937.0,550.0,9975628
SWEDEN,2020-04-23 18:09:30,16755.0,2021.0,550.0,10001370
SWEDEN,2020-04-23 21:15:10,16755.0,2021.0,550.0,10012510
SWEDEN,2020-04-24 12:38:27,16755.0,2021.0,550.0,10067907
SWEDEN,2020-04-24 15:07:01,16755.0,2021.0,550.0,10076821
SWEDEN,2020-04-24 18:05:08,17567.0,2152.0,550.0,10087508
SWEDEN,2020-04-25 01:24:20,17567.0,2152.0,550.0,10113860
SWEDEN,2020-04-25 10:29:29,17567.0,2152.0,1005.0,10146569
SWEDEN,2020-04-25 13:06:30,17567.0,2152.0,1005.0,10155990
SWEDEN,2020-04-25 15:13:19,17567.0,2152.0,1005.0,10163599
SWEDEN,2020-04-25 18:05:53,18177.0,2192.0,1005.0,10173953
SWEDEN,2020-04-26 00:02:26,18177.0,2192.0,1005.0,10195346
SWEDEN,2020-04-26 10:30:36,18177.0,2192.0,1005.0,10233036
SWEDEN,2020-04-26 14:00:20,18177.0,2192.0,1005.0,10245620
SWEDEN,2020-04-26 15:00:26,18177.0,2192.0,550.0,10249226
SWEDEN,2020-04-26 18:04:29,18640.0,2194.0,1005.0,10260269
SWEDEN,2020-04-26 20:55:24,18640.0,2194.0,1005.0,10270524
SWEDEN,2020-04-27 01:26:23,18640.0,2194.0,1005.0,10286783
SWEDEN,2020-04-27 12:02:22,18640.0,2194.0,1005.0,10324942
SWEDEN,2020-04-27 18:28:29,18926.0,2274.0,1005.0,10348109
SWEDEN,2020-04-27 23:10:06,18926.0,2274.0,1005.0,10365006
SWEDEN,2020-04-28 00:52:18,18926.0,2274.0,1005.0,10371138
SWEDEN,2020-04-28 12:28:54,18926.0,2274.0,1005.0,10412934
SWEDEN,2020-04-29 00:05:46,19621.0,2355.0,1005.0,10454746
SWEDEN,2020-04-29 11:12:43,19621.0,2355.0,1005.0,10494763
SWEDEN,2020-04-29 13:02:52,19621.0,2355.0,1005.0,10501372
SWEDEN,2020-04-29 15:08:24,19621.0,2355.0,1005.0,10508904
SWEDEN,2020-04-29 18:09:12,20302.0,2462.0,1005.0,10519752
SWEDEN,2020-04-29 21:32:47,20302.0,2462.0,1005.0,10531967
SWEDEN,2020-04-30 00:17:29,20302.0,2462.0,1005.0,10541849
SWEDEN,2020-04-30 09:21:28,20302.0,2462.0,1005.0,10574488
SWEDEN,2020-04-30 12:29:51,20302.0,2462.0,1005.0,10585791
SWEDEN,2020-04-30 15:13:47,20302.0,2462.0,1005.0,10595627
SWEDEN,2020-05-01 00:05:16,21092.0,2586.0,1005.0,10713916
SWEDEN,2020-05-01 10:41:27,21092.0,2586.0,1005.0,10752087
SWEDEN,2020-05-01 11:53:59,21092.0,2586.0,1005.0,10756439
SWEDEN,2020-05-01 15:33:11,21092.0,2586.0,1005.0,10769591
SWEDEN,2020-05-01 17:55:59,21520.0,2653.0,1005.0,10778159
SWEDEN,2020-05-01 21:26:40,21520.0,2653.0,1005.0,10790800
SWEDEN,2020-05-02 00:11:13,21520.0,2653.0,1005.0,10800673
SWEDEN,2020-05-02 09:45:39,21520.0,2653.0,1005.0,10835139
SWEDEN,2020-05-02 12:46:52,21520.0,2653.0,1005.0,10846012
SWEDEN,2020-05-02 15:00:02,21520.0,2653.0,1005.0,10854002
SWEDEN,2020-05-02 18:00:30,22082.0,2669.0,1005.0,10864830
SWEDEN,2020-05-03 00:04:29,22082.0,2669.0,1005.0,10886669
SWEDEN,2020-05-03 11:56:15,22082.0,2669.0,1005.0,10929375
SWEDEN,2020-05-03 15:05:11,22082.0,2669.0,1005.0,10940711
SWEDEN,2020-05-03 17:57:14,22317.0,2679.0,1005.0,10951034
SWEDEN,2020-05-03 21:09:20,22317.0,2679.0,1005.0,10962560
SWEDEN,2020-05-03 23:58:14,22317.0,2679.0,1005.0,10972694
SWEDEN,2020-05-04 15:08:30,22317.0,2679.0,1005.0,11027310
SWEDEN,2020-05-04 18:37:54,22721.0,2769.0,1005.0,11039874
SWEDEN,2020-05-04 23:58:07,22721.0,2769.0,1005.0,11059087
SWEDEN,2020-05-05 01:13:37,22721.0,2769.0,1005.0,11063617
SWEDEN,2020-05-05 13:08:43,22721.0,2769.0,4074.0,11106523
SWEDEN,2020-05-05 15:01:21,22721.0,2769.0,4074.0,11113281
SWEDEN,2020-05-05 21:05:55,23216.0,2854.0,4074.0,11135155
SWEDEN,2020-05-06 00:00:44,23216.0,2854.0,4074.0,11145644
SWEDEN,2020-05-06 12:01:14,23216.0,2854.0,4074.0,11188874
SWEDEN,2020-05-06 18:00:04,23918.0,2941.0,4074.0,11210404
SWEDEN,2020-05-07 00:14:11,23918.0,2941.0,4074.0,11232851
SWEDEN,2020-05-07 11:57:25,23918.0,2941.0,4074.0,11275045
SWEDEN,2020-05-07 15:00:03,23918.0,2941.0,4074.0,11286003
SWEDEN,2020-05-07 18:26:51,24623.0,3040.0,4074.0,11298411
SWEDEN,2020-05-07 23:58:31,24623.0,3040.0,4074.0,11318311
SWEDEN,2020-05-08 12:02:06,24623.0,3040.0,4971.0,11361726
SWEDEN,2020-05-08 15:12:55,24623.0,3040.0,4971.0,11373175
SWEDEN,2020-05-08 18:26:19,25265.0,3175.0,4971.0,11384779
SWEDEN,2020-05-08 21:29:34,25265.0,3175.0,4971.0,11395774
SWEDEN,2020-05-09 00:43:24,25265.0,3175.0,4971.0,11407404
SWEDEN,2020-05-09 13:13:55,25265.0,3175.0,4971.0,11452435
SWEDEN,2020-05-09 15:22:29,25265.0,3175.0,4971.0,11460149
SWEDEN,2020-05-09 18:00:02,25921.0,3220.0,4971.0,11469602
SWEDEN,2020-05-10 00:44:24,25921.0,3220.0,4971.0,11493864
SWEDEN,2020-05-10 12:00:15,25921.0,3220.0,4971.0,11534415
SWEDEN,2020-05-10 15:09:02,25921.0,3220.0,4971.0,11545742
