Nation,Time,Confirmed Case,Death,Recover,timestamp
"CHINA, Mainland",2020-04-03 14:30:10,81623.0,3322.0,76577.0,8260210
"CHINA, Mainland",2020-04-03 14:30:11,81623.0,3322.0,76577.0,8260211
"CHINA, Mainland",2020-04-03 17:30:12,81623.0,3322.0,76577.0,8271012
"CHINA, Mainland",2020-04-03 20:30:12,81623.0,3322.0,76577.0,8281812
"CHINA, Mainland",2020-04-03 23:30:19,81623.0,3322.0,76577.0,8292619
"CHINA, Mainland",2020-04-04 08:30:14,81639.0,3326.0,76751.0,8325014
"CHINA, Mainland",2020-04-04 11:30:14,81639.0,3326.0,76751.0,8335814
"CHINA, Mainland",2020-04-04 14:30:16,81639.0,3326.0,76759.0,8346616
"CHINA, Mainland",2020-04-04 17:30:18,81639.0,3326.0,76759.0,8357418
"CHINA, Mainland",2020-04-04 20:30:33,81639.0,3326.0,76763.0,8368233
"CHINA, Mainland",2020-04-04 23:30:05,81639.0,3326.0,76763.0,8379005
"CHINA, Mainland",2020-04-05 08:30:07,81669.0,3329.0,76964.0,8411407
"CHINA, Mainland",2020-04-05 11:30:03,81669.0,3329.0,76964.0,8422203
"CHINA, Mainland",2020-04-05 14:30:04,81669.0,3329.0,76991.0,8433004
"CHINA, Mainland",2020-04-05 17:40:33,81669.0,3329.0,76991.0,8444433
"CHINA, Mainland",2020-04-05 20:33:28,81669.0,3329.0,76991.0,8454808
"CHINA, Mainland",2020-04-05 23:30:02,81669.0,3329.0,76991.0,8465402
"CHINA, Mainland",2020-04-06 08:37:49,81708.0,3331.0,77078.0,8498269
"CHINA, Mainland",2020-04-06 11:30:05,81708.0,3331.0,77084.0,8508605
"CHINA, Mainland",2020-04-06 14:44:21,81708.0,3331.0,77084.0,8520261
"CHINA, Mainland",2020-04-06 17:30:04,81708.0,3331.0,77084.0,8530204
"CHINA, Mainland",2020-04-06 21:00:44,81708.0,3331.0,77084.0,8542844
"CHINA, Mainland",2020-04-07 00:00:03,81708.0,3331.0,77084.0,8553603
"CHINA, Mainland",2020-04-07 09:00:04,81740.0,3331.0,77167.0,8586004
"CHINA, Mainland",2020-04-07 12:15:51,81740.0,3331.0,77184.0,8597751
"CHINA, Mainland",2020-04-07 15:59:55,81740.0,3331.0,77184.0,8611195
"CHINA, Mainland",2020-04-07 18:03:46,81740.0,3331.0,77184.0,8618626
"CHINA, Mainland",2020-04-07 21:32:15,81740.0,3331.0,77184.0,8631135
"CHINA, Mainland",2020-04-08 00:00:04,81740.0,3331.0,77184.0,8640004
"CHINA, Mainland",2020-04-08 09:00:46,81805.0,3333.0,77279.0,8672446
"CHINA, Mainland",2020-04-08 12:21:18,81805.0,3333.0,77290.0,8684478
"CHINA, Mainland",2020-04-08 15:04:46,81805.0,3333.0,77290.0,8694286
"CHINA, Mainland",2020-04-08 18:11:16,81805.0,3333.0,77292.0,8705476
"CHINA, Mainland",2020-04-08 21:33:56,81805.0,3333.0,77292.0,8717636
"CHINA, Mainland",2020-04-09 00:14:12,81805.0,3333.0,77292.0,8727252
"CHINA, Mainland",2020-04-09 11:19:24,81865.0,3335.0,77370.0,8767164
"CHINA, Mainland",2020-04-09 12:07:24,81865.0,3335.0,77370.0,8770044
"CHINA, Mainland",2020-04-09 14:57:09,81866.0,3335.0,77375.0,8780229
"CHINA, Mainland",2020-04-09 18:00:02,81866.0,3335.0,77376.0,8791202
"CHINA, Mainland",2020-04-10 01:06:14,81866.0,3335.0,77376.0,8816774
"CHINA, Mainland",2020-04-10 09:04:46,81907.0,3336.0,77455.0,8845486
"CHINA, Mainland",2020-04-10 12:09:17,81907.0,3336.0,77455.0,8856557
"CHINA, Mainland",2020-04-10 14:55:51,81907.0,3336.0,77468.0,8866551
"CHINA, Mainland",2020-04-10 18:41:05,81907.0,3336.0,77468.0,8880065
"CHINA, Mainland",2020-04-10 21:59:17,81908.0,3336.0,77472.0,8891957
"CHINA, Mainland",2020-04-11 00:00:34,81908.0,3336.0,77472.0,8899234
"CHINA, Mainland",2020-04-11 09:01:32,81970.0,3339.0,77525.0,8931692
"CHINA, Mainland",2020-04-11 12:08:24,81970.0,3339.0,77525.0,8942904
"CHINA, Mainland",2020-04-11 17:00:40,81970.0,3339.0,77528.0,8960440
"CHINA, Mainland",2020-04-11 18:12:28,81970.0,3339.0,77528.0,8964748
"CHINA, Mainland",2020-04-11 21:44:19,81970.0,3339.0,77531.0,8977459
"CHINA, Mainland",2020-04-11 23:59:29,81970.0,3339.0,77531.0,8985569
"CHINA, Mainland",2020-04-12 09:00:42,82052.0,3339.0,77575.0,9018042
"CHINA, Mainland",2020-04-12 12:05:42,82052.0,3339.0,77583.0,9029142
"CHINA, Mainland",2020-04-12 15:09:25,82052.0,3339.0,77583.0,9040165
"CHINA, Mainland",2020-04-12 18:22:01,82087.0,3339.0,77583.0,9051721
"CHINA, Mainland",2020-04-12 20:59:25,82087.0,3339.0,77583.0,9061165
"CHINA, Mainland",2020-04-13 00:07:13,82087.0,3339.0,77583.0,9072433
"CHINA, Mainland",2020-04-13 09:26:16,82160.0,3341.0,77663.0,9105976
"CHINA, Mainland",2020-04-13 11:59:14,82160.0,3341.0,77663.0,9115154
"CHINA, Mainland",2020-04-13 15:13:01,82160.0,3341.0,77663.0,9126781
"CHINA, Mainland",2020-04-13 20:23:47,82160.0,3341.0,77666.0,9145427
"CHINA, Mainland",2020-04-13 21:01:27,82160.0,3341.0,77666.0,9147687
"CHINA, Mainland",2020-04-14 00:30:40,82160.0,3341.0,77666.0,9160240
"CHINA, Mainland",2020-04-14 09:09:09,82249.0,3341.0,77738.0,9191349
"CHINA, Mainland",2020-04-14 12:13:23,82250.0,3341.0,77738.0,9202403
"CHINA, Mainland",2020-04-14 15:49:28,82250.0,3341.0,77738.0,9215368
"CHINA, Mainland",2020-04-14 18:27:14,82250.0,3341.0,77748.0,9224834
"CHINA, Mainland",2020-04-14 21:18:50,82250.0,3341.0,77753.0,9235130
"CHINA, Mainland",2020-04-15 00:07:14,82250.0,3341.0,77753.0,9245234
"CHINA, Mainland",2020-04-15 09:00:09,82295.0,3342.0,77816.0,9277209
"CHINA, Mainland",2020-04-15 14:56:18,82295.0,3342.0,77833.0,9298578
"CHINA, Mainland",2020-04-15 19:52:38,82295.0,3342.0,77836.0,9316358
"CHINA, Mainland",2020-04-15 21:18:33,82295.0,3342.0,77836.0,9321513
"CHINA, Mainland",2020-04-16 00:51:15,82295.0,3342.0,77836.0,9334275
"CHINA, Mainland",2020-04-16 09:04:51,82341.0,3342.0,77892.0,9363891
"CHINA, Mainland",2020-04-16 12:05:08,82341.0,3342.0,77896.0,9374708
"CHINA, Mainland",2020-04-16 14:57:08,82341.0,3342.0,77896.0,9385028
"CHINA, Mainland",2020-04-16 17:58:25,82341.0,3342.0,77896.0,9395905
"CHINA, Mainland",2020-04-16 22:41:20,82342.0,3342.0,77898.0,9412880
"CHINA, Mainland",2020-04-17 01:32:36,82342.0,3342.0,77898.0,9423156
"CHINA, Mainland",2020-04-17 09:11:04,82692.0,4632.0,77944.0,9450664
"CHINA, Mainland",2020-04-17 12:02:01,82692.0,4632.0,77663.0,9460921
"CHINA, Mainland",2020-04-17 14:56:35,82695.0,4632.0,77663.0,9471395
"CHINA, Mainland",2020-04-17 18:39:21,82695.0,4632.0,77663.0,9484761
"CHINA, Mainland",2020-04-17 22:45:21,82695.0,4632.0,77663.0,9499521
"CHINA, Mainland",2020-04-18 08:54:14,82719.0,4632.0,77663.0,9536054
"CHINA, Mainland",2020-04-18 13:55:54,82719.0,4632.0,77663.0,9554154
