Nation,Time,Confirmed Case,Death,Recover,timestamp
DENMARK,2020-04-03 14:30:10,3672.0,123.0,1089.0,8260210
DENMARK,2020-04-03 14:30:11,3672.0,123.0,1089.0,8260211
DENMARK,2020-04-03 17:30:12,3672.0,139.0,1193.0,8271012
DENMARK,2020-04-03 20:30:12,3672.0,139.0,1193.0,8281812
DENMARK,2020-04-03 23:30:19,3757.0,139.0,1193.0,8292619
DENMARK,2020-04-04 08:30:14,3757.0,139.0,1193.0,8325014
DENMARK,2020-04-04 11:30:14,3757.0,139.0,1193.0,8335814
DENMARK,2020-04-04 14:30:16,3757.0,139.0,1193.0,8346616
DENMARK,2020-04-04 17:30:18,4077.0,161.0,1283.0,8357418
DENMARK,2020-04-04 20:30:33,4077.0,161.0,1283.0,8368233
DENMARK,2020-04-04 23:30:05,4077.0,161.0,1283.0,8379005
DENMARK,2020-04-05 08:30:07,4077.0,161.0,1283.0,8411407
DENMARK,2020-04-05 11:30:03,4077.0,161.0,1283.0,8422203
DENMARK,2020-04-05 14:30:04,4077.0,161.0,1283.0,8433004
DENMARK,2020-04-05 17:40:33,4369.0,179.0,1327.0,8444433
DENMARK,2020-04-05 20:33:28,4369.0,179.0,1327.0,8454808
DENMARK,2020-04-05 23:30:02,4369.0,179.0,1327.0,8465402
DENMARK,2020-04-06 08:37:49,4369.0,179.0,1327.0,8498269
DENMARK,2020-04-06 11:30:05,4369.0,179.0,1327.0,8508605
DENMARK,2020-04-06 14:44:21,4647.0,179.0,1327.0,8520261
DENMARK,2020-04-06 17:30:04,4647.0,187.0,1378.0,8530204
DENMARK,2020-04-06 21:00:44,4681.0,187.0,1378.0,8542844
DENMARK,2020-04-07 00:00:03,4681.0,187.0,1378.0,8553603
DENMARK,2020-04-07 09:00:04,4681.0,187.0,1378.0,8586004
DENMARK,2020-04-07 12:15:51,4681.0,187.0,1378.0,8597751
DENMARK,2020-04-07 15:59:55,4978.0,187.0,1378.0,8611195
DENMARK,2020-04-07 18:03:46,4978.0,203.0,1491.0,8618626
DENMARK,2020-04-07 21:32:15,5071.0,203.0,1491.0,8631135
DENMARK,2020-04-08 00:00:04,5071.0,203.0,1491.0,8640004
DENMARK,2020-04-08 09:00:46,5071.0,203.0,1491.0,8672446
DENMARK,2020-04-08 12:21:18,5071.0,203.0,1491.0,8684478
DENMARK,2020-04-08 15:04:46,5386.0,203.0,1491.0,8694286
DENMARK,2020-04-08 18:11:16,5386.0,218.0,1621.0,8705476
DENMARK,2020-04-08 21:33:56,5386.0,218.0,1621.0,8717636
DENMARK,2020-04-09 00:14:12,5402.0,218.0,1621.0,8727252
DENMARK,2020-04-09 11:19:24,5402.0,218.0,1621.0,8767164
DENMARK,2020-04-09 12:07:24,5402.0,218.0,1621.0,8770044
DENMARK,2020-04-09 14:57:09,5402.0,218.0,1621.0,8780229
DENMARK,2020-04-09 18:00:02,5635.0,237.0,1736.0,8791202
DENMARK,2020-04-10 01:06:14,5635.0,237.0,1736.0,8816774
DENMARK,2020-04-10 09:04:46,5635.0,237.0,1736.0,8845486
DENMARK,2020-04-10 12:09:17,5635.0,237.0,1736.0,8856557
DENMARK,2020-04-10 14:55:51,5635.0,237.0,1736.0,8866551
DENMARK,2020-04-10 18:41:05,5819.0,247.0,1773.0,8880065
DENMARK,2020-04-10 21:59:17,5819.0,247.0,1773.0,8891957
DENMARK,2020-04-11 00:00:34,5819.0,247.0,1773.0,8899234
DENMARK,2020-04-11 09:01:32,5819.0,247.0,1773.0,8931692
DENMARK,2020-04-11 12:08:24,5819.0,247.0,1773.0,8942904
DENMARK,2020-04-11 17:00:40,5819.0,247.0,1773.0,8960440
DENMARK,2020-04-11 18:12:28,5996.0,260.0,1955.0,8964748
DENMARK,2020-04-11 21:44:19,5996.0,260.0,1955.0,8977459
DENMARK,2020-04-11 23:59:29,5996.0,260.0,1955.0,8985569
DENMARK,2020-04-12 09:00:42,5996.0,260.0,1955.0,9018042
DENMARK,2020-04-12 12:05:42,5996.0,260.0,1955.0,9029142
