Nation,Time,Confirmed Case,Death,Recover,timestamp
CHILE,2020-04-03 14:30:10,3404.0,18.0,335.0,8260210
CHILE,2020-04-03 14:30:11,3404.0,18.0,335.0,8260211
CHILE,2020-04-03 17:30:12,3404.0,18.0,335.0,8271012
CHILE,2020-04-03 20:30:12,3737.0,22.0,427.0,8281812
CHILE,2020-04-03 23:30:19,3737.0,22.0,427.0,8292619
CHILE,2020-04-04 08:30:14,3737.0,22.0,427.0,8325014
CHILE,2020-04-04 11:30:14,3737.0,22.0,427.0,8335814
CHILE,2020-04-04 14:30:16,3737.0,22.0,427.0,8346616
CHILE,2020-04-04 17:30:18,3737.0,22.0,427.0,8357418
CHILE,2020-04-04 20:30:33,3737.0,22.0,427.0,8368233
CHILE,2020-04-04 23:30:05,4161.0,27.0,528.0,8379005
CHILE,2020-04-05 08:30:07,4161.0,27.0,528.0,8411407
CHILE,2020-04-05 11:30:03,4161.0,27.0,528.0,8422203
CHILE,2020-04-05 14:30:04,4161.0,27.0,528.0,8433004
CHILE,2020-04-05 17:40:33,4161.0,27.0,528.0,8444433
CHILE,2020-04-05 20:33:28,4161.0,27.0,528.0,8454808
CHILE,2020-04-05 23:30:02,4471.0,34.0,618.0,8465402
CHILE,2020-04-06 08:37:49,4471.0,34.0,618.0,8498269
CHILE,2020-04-06 11:30:05,4471.0,34.0,618.0,8508605
CHILE,2020-04-06 14:44:21,4471.0,34.0,618.0,8520261
CHILE,2020-04-06 17:30:04,4471.0,34.0,618.0,8530204
CHILE,2020-04-06 21:00:44,4815.0,37.0,728.0,8542844
CHILE,2020-04-07 00:00:03,4815.0,37.0,728.0,8553603
CHILE,2020-04-07 09:00:04,4815.0,37.0,728.0,8586004
CHILE,2020-04-07 12:15:51,4815.0,37.0,728.0,8597751
CHILE,2020-04-07 15:59:55,4815.0,37.0,728.0,8611195
CHILE,2020-04-07 18:03:46,4815.0,37.0,728.0,8618626
CHILE,2020-04-07 21:32:15,5116.0,43.0,898.0,8631135
CHILE,2020-04-08 00:00:04,5116.0,43.0,898.0,8640004
CHILE,2020-04-08 09:00:46,5116.0,43.0,898.0,8672446
CHILE,2020-04-08 12:21:18,5116.0,43.0,898.0,8684478
CHILE,2020-04-08 15:04:46,5116.0,43.0,898.0,8694286
CHILE,2020-04-08 18:11:16,5116.0,43.0,898.0,8705476
CHILE,2020-04-08 21:33:56,5546.0,48.0,1115.0,8717636
CHILE,2020-04-09 00:14:12,5546.0,48.0,1115.0,8727252
CHILE,2020-04-09 11:19:24,5546.0,48.0,1115.0,8767164
CHILE,2020-04-09 12:07:24,5546.0,48.0,1115.0,8770044
CHILE,2020-04-09 14:57:09,5546.0,48.0,1115.0,8780229
CHILE,2020-04-09 18:00:02,5546.0,48.0,1115.0,8791202
CHILE,2020-04-10 01:06:14,5972.0,57.0,1274.0,8816774
CHILE,2020-04-10 09:04:46,5972.0,57.0,1274.0,8845486
CHILE,2020-04-10 12:09:17,5972.0,57.0,1274.0,8856557
CHILE,2020-04-10 14:55:51,5972.0,57.0,1274.0,8866551
CHILE,2020-04-10 18:41:05,5972.0,57.0,1274.0,8880065
CHILE,2020-04-10 21:59:17,6501.0,65.0,1571.0,8891957
CHILE,2020-04-11 00:00:34,6501.0,65.0,1571.0,8899234
CHILE,2020-04-11 09:01:32,6501.0,65.0,1571.0,8931692
CHILE,2020-04-11 12:08:24,6501.0,65.0,1571.0,8942904
CHILE,2020-04-11 17:00:40,6501.0,65.0,1571.0,8960440
CHILE,2020-04-11 18:12:28,6501.0,65.0,1571.0,8964748
CHILE,2020-04-11 21:44:19,6927.0,73.0,1864.0,8977459
CHILE,2020-04-11 23:59:29,6927.0,73.0,1909.0,8985569
CHILE,2020-04-12 09:00:42,6927.0,73.0,1909.0,9018042
CHILE,2020-04-12 12:05:42,6927.0,73.0,1909.0,9029142
CHILE,2020-04-12 15:09:25,6927.0,73.0,1909.0,9040165
CHILE,2020-04-12 18:22:01,6927.0,73.0,1909.0,9051721
CHILE,2020-04-12 20:59:25,7213.0,73.0,2059.0,9061165
CHILE,2020-04-13 00:07:13,7213.0,80.0,2059.0,9072433
CHILE,2020-04-13 09:26:16,7213.0,80.0,2059.0,9105976
CHILE,2020-04-13 11:59:14,7213.0,80.0,2059.0,9115154
CHILE,2020-04-13 15:13:01,7213.0,80.0,2059.0,9126781
CHILE,2020-04-13 20:23:47,7525.0,82.0,2367.0,9145427
CHILE,2020-04-13 21:01:27,7525.0,82.0,2367.0,9147687
CHILE,2020-04-14 00:30:40,7525.0,82.0,2367.0,9160240
