Nation,Time,Confirmed Case,Death,Recover,timestamp
CANADA,2020-04-03 14:30:10,11284.0,173.0,1979.0,8260210
CANADA,2020-04-03 14:30:11,11284.0,173.0,1979.0,8260211
CANADA,2020-04-03 17:30:12,11284.0,173.0,1979.0,8271012
CANADA,2020-04-03 20:30:12,11284.0,173.0,1979.0,8281812
CANADA,2020-04-03 23:30:19,11747.0,173.0,2163.0,8292619
CANADA,2020-04-04 08:30:14,12545.0,208.0,2321.0,8325014
CANADA,2020-04-04 11:30:14,12549.0,208.0,2321.0,8335814
CANADA,2020-04-04 14:30:16,12549.0,208.0,2322.0,8346616
CANADA,2020-04-04 17:30:18,12549.0,208.0,2322.0,8357418
CANADA,2020-04-04 20:30:33,12549.0,208.0,2322.0,8368233
CANADA,2020-04-04 23:30:05,12956.0,217.0,2546.0,8379005
CANADA,2020-04-05 08:30:07,14011.0,234.0,2595.0,8411407
CANADA,2020-04-05 11:30:03,14022.0,234.0,2770.0,8422203
CANADA,2020-04-05 14:30:04,14018.0,234.0,2770.0,8433004
CANADA,2020-04-05 17:40:33,14018.0,234.0,2770.0,8444433
CANADA,2020-04-05 20:33:28,14389.0,234.0,2770.0,8454808
CANADA,2020-04-05 23:30:02,15358.0,277.0,3000.0,8465402
CANADA,2020-04-06 08:37:49,15871.0,281.0,3054.0,8498269
CANADA,2020-04-06 11:30:05,15940.0,281.0,3081.0,8508605
CANADA,2020-04-06 14:44:21,15940.0,281.0,3081.0,8520261
CANADA,2020-04-06 17:30:04,15940.0,281.0,3081.0,8530204
CANADA,2020-04-06 21:00:44,15940.0,294.0,3081.0,8542844
CANADA,2020-04-07 00:00:03,16498.0,321.0,3256.0,8553603
CANADA,2020-04-07 09:00:04,16667.0,339.0,3616.0,8586004
CANADA,2020-04-07 12:15:51,16667.0,323.0,3616.0,8597751
CANADA,2020-04-07 15:59:55,16667.0,323.0,3616.0,8611195
CANADA,2020-04-07 18:03:46,16667.0,323.0,3616.0,8618626
CANADA,2020-04-07 21:32:15,17046.0,345.0,3794.0,8631135
CANADA,2020-04-08 00:00:04,17825.0,374.0,3922.0,8640004
CANADA,2020-04-08 09:00:46,17897.0,381.0,4037.0,8672446
CANADA,2020-04-08 12:21:18,17897.0,381.0,4050.0,8684478
CANADA,2020-04-08 15:04:46,17897.0,381.0,4050.0,8694286
CANADA,2020-04-08 18:11:16,17897.0,381.0,4050.0,8705476
CANADA,2020-04-08 21:33:56,18479.0,402.0,4333.0,8717636
CANADA,2020-04-09 00:14:12,19179.0,427.0,4474.0,8727252
CANADA,2020-04-09 11:19:24,19438.0,436.0,4646.0,8767164
