Nation,Time,Confirmed Case,Death,Recover,timestamp
LUXEMBOURG,2020-04-03 14:30:10,2487.0,30.0,80.0,8260210
LUXEMBOURG,2020-04-03 14:30:11,2487.0,30.0,80.0,8260211
LUXEMBOURG,2020-04-03 17:30:12,2487.0,30.0,80.0,8271012
LUXEMBOURG,2020-04-03 20:30:12,2487.0,30.0,80.0,8281812
LUXEMBOURG,2020-04-03 23:30:19,2612.0,31.0,500.0,8292619
LUXEMBOURG,2020-04-04 08:30:14,2612.0,31.0,500.0,8325014
LUXEMBOURG,2020-04-04 11:30:14,2612.0,31.0,500.0,8335814
LUXEMBOURG,2020-04-04 14:30:16,2612.0,31.0,500.0,8346616
LUXEMBOURG,2020-04-04 17:30:18,2612.0,31.0,500.0,8357418
LUXEMBOURG,2020-04-04 20:30:33,2612.0,31.0,500.0,8368233
LUXEMBOURG,2020-04-04 23:30:05,2729.0,31.0,500.0,8379005
LUXEMBOURG,2020-04-05 08:30:07,2729.0,31.0,500.0,8411407
LUXEMBOURG,2020-04-05 11:30:03,2729.0,31.0,500.0,8422203
LUXEMBOURG,2020-04-05 14:30:04,2729.0,31.0,500.0,8433004
LUXEMBOURG,2020-04-05 17:40:33,2729.0,31.0,500.0,8444433
LUXEMBOURG,2020-04-05 20:33:28,2729.0,31.0,500.0,8454808
LUXEMBOURG,2020-04-05 23:30:02,2804.0,36.0,500.0,8465402
LUXEMBOURG,2020-04-06 08:37:49,2804.0,36.0,500.0,8498269
LUXEMBOURG,2020-04-06 11:30:05,2804.0,36.0,500.0,8508605
LUXEMBOURG,2020-04-06 14:44:21,2804.0,36.0,500.0,8520261
LUXEMBOURG,2020-04-06 17:30:04,2804.0,36.0,500.0,8530204
LUXEMBOURG,2020-04-06 21:00:44,2804.0,36.0,500.0,8542844
LUXEMBOURG,2020-04-07 00:00:03,2843.0,41.0,500.0,8553603
LUXEMBOURG,2020-04-07 09:00:04,2843.0,41.0,500.0,8586004
LUXEMBOURG,2020-04-07 12:15:51,2843.0,41.0,500.0,8597751
LUXEMBOURG,2020-04-07 15:59:55,2843.0,41.0,500.0,8611195
LUXEMBOURG,2020-04-07 18:03:46,2843.0,41.0,500.0,8618626
LUXEMBOURG,2020-04-07 21:32:15,2970.0,44.0,500.0,8631135
LUXEMBOURG,2020-04-08 00:00:04,2970.0,44.0,500.0,8640004
LUXEMBOURG,2020-04-08 09:00:46,2970.0,44.0,500.0,8672446
LUXEMBOURG,2020-04-08 12:21:18,2970.0,44.0,500.0,8684478
LUXEMBOURG,2020-04-08 15:04:46,2970.0,44.0,500.0,8694286
LUXEMBOURG,2020-04-08 18:11:16,2970.0,44.0,500.0,8705476
LUXEMBOURG,2020-04-08 21:33:56,3034.0,46.0,500.0,8717636
LUXEMBOURG,2020-04-09 00:14:12,3034.0,46.0,500.0,8727252
LUXEMBOURG,2020-04-09 11:19:24,3034.0,46.0,500.0,8767164
LUXEMBOURG,2020-04-09 12:07:24,3034.0,46.0,500.0,8770044
LUXEMBOURG,2020-04-09 14:57:09,3034.0,46.0,500.0,8780229
LUXEMBOURG,2020-04-09 18:00:02,3034.0,46.0,500.0,8791202
LUXEMBOURG,2020-04-10 01:06:14,3115.0,52.0,500.0,8816774
LUXEMBOURG,2020-04-10 09:04:46,3115.0,52.0,500.0,8845486
LUXEMBOURG,2020-04-10 12:09:17,3115.0,52.0,500.0,8856557
