Nation,Time,Confirmed Case,Death,Recover,timestamp
PHILIPPINES,2020-04-03 14:30:10,3018.0,136.0,52.0,8260210
PHILIPPINES,2020-04-03 14:30:11,3018.0,136.0,52.0,8260211
PHILIPPINES,2020-04-03 17:30:12,3018.0,136.0,52.0,8271012
PHILIPPINES,2020-04-03 20:30:12,3018.0,136.0,52.0,8281812
PHILIPPINES,2020-04-03 23:30:19,3018.0,136.0,52.0,8292619
PHILIPPINES,2020-04-04 08:30:14,3018.0,136.0,52.0,8325014
PHILIPPINES,2020-04-04 11:30:14,3018.0,136.0,52.0,8335814
PHILIPPINES,2020-04-04 14:30:16,3094.0,136.0,57.0,8346616
PHILIPPINES,2020-04-04 17:30:18,3094.0,144.0,57.0,8357418
PHILIPPINES,2020-04-04 20:30:33,3094.0,144.0,57.0,8368233
PHILIPPINES,2020-04-04 23:30:05,3094.0,144.0,57.0,8379005
PHILIPPINES,2020-04-05 08:30:07,3094.0,144.0,57.0,8411407
PHILIPPINES,2020-04-05 11:30:03,3094.0,144.0,57.0,8422203
PHILIPPINES,2020-04-05 14:30:04,3246.0,152.0,64.0,8433004
PHILIPPINES,2020-04-05 17:40:33,3246.0,152.0,64.0,8444433
PHILIPPINES,2020-04-05 20:33:28,3246.0,152.0,64.0,8454808
PHILIPPINES,2020-04-05 23:30:02,3246.0,152.0,64.0,8465402
PHILIPPINES,2020-04-06 08:37:49,3246.0,152.0,64.0,8498269
PHILIPPINES,2020-04-06 11:30:05,3414.0,152.0,64.0,8508605
PHILIPPINES,2020-04-06 14:44:21,3660.0,163.0,73.0,8520261
PHILIPPINES,2020-04-06 17:30:04,3660.0,163.0,73.0,8530204
PHILIPPINES,2020-04-06 21:00:44,3660.0,163.0,73.0,8542844
PHILIPPINES,2020-04-07 00:00:03,3660.0,163.0,73.0,8553603
PHILIPPINES,2020-04-07 09:00:04,3660.0,163.0,73.0,8586004
PHILIPPINES,2020-04-07 12:15:51,3660.0,163.0,73.0,8597751
PHILIPPINES,2020-04-07 15:59:55,3764.0,177.0,84.0,8611195
PHILIPPINES,2020-04-07 18:03:46,3764.0,177.0,84.0,8618626
PHILIPPINES,2020-04-07 21:32:15,3764.0,177.0,84.0,8631135
PHILIPPINES,2020-04-08 00:00:04,3764.0,177.0,84.0,8640004
PHILIPPINES,2020-04-08 09:00:46,3764.0,177.0,84.0,8672446
PHILIPPINES,2020-04-08 12:21:18,3764.0,177.0,84.0,8684478
PHILIPPINES,2020-04-08 15:04:46,3870.0,182.0,96.0,8694286
PHILIPPINES,2020-04-08 18:11:16,3870.0,182.0,96.0,8705476
PHILIPPINES,2020-04-08 21:33:56,3870.0,182.0,96.0,8717636
PHILIPPINES,2020-04-09 00:14:12,3870.0,182.0,96.0,8727252
PHILIPPINES,2020-04-09 11:19:24,3870.0,182.0,96.0,8767164
PHILIPPINES,2020-04-09 12:07:24,3870.0,182.0,96.0,8770044
PHILIPPINES,2020-04-09 14:57:09,4076.0,203.0,124.0,8780229
PHILIPPINES,2020-04-09 18:00:02,4076.0,203.0,124.0,8791202
PHILIPPINES,2020-04-10 01:06:14,4076.0,203.0,124.0,8816774
PHILIPPINES,2020-04-10 09:04:46,4076.0,203.0,124.0,8845486
PHILIPPINES,2020-04-10 12:09:17,4076.0,203.0,124.0,8856557
PHILIPPINES,2020-04-10 14:55:51,4195.0,221.0,140.0,8866551
PHILIPPINES,2020-04-10 18:41:05,4195.0,221.0,140.0,8880065
PHILIPPINES,2020-04-10 21:59:17,4195.0,221.0,140.0,8891957
PHILIPPINES,2020-04-11 00:00:34,4195.0,221.0,140.0,8899234
PHILIPPINES,2020-04-11 09:01:32,4195.0,221.0,140.0,8931692
PHILIPPINES,2020-04-11 12:08:24,4195.0,221.0,140.0,8942904
PHILIPPINES,2020-04-11 17:00:40,4428.0,247.0,157.0,8960440
PHILIPPINES,2020-04-11 18:12:28,4428.0,247.0,157.0,8964748
PHILIPPINES,2020-04-11 21:44:19,4428.0,247.0,157.0,8977459
PHILIPPINES,2020-04-11 23:59:29,4428.0,247.0,157.0,8985569
PHILIPPINES,2020-04-12 09:00:42,4428.0,247.0,157.0,9018042
PHILIPPINES,2020-04-12 12:05:42,4428.0,247.0,157.0,9029142
PHILIPPINES,2020-04-12 15:09:25,4648.0,297.0,197.0,9040165
PHILIPPINES,2020-04-12 18:22:01,4648.0,297.0,197.0,9051721
PHILIPPINES,2020-04-12 20:59:25,4648.0,297.0,197.0,9061165
PHILIPPINES,2020-04-13 00:07:13,4648.0,297.0,197.0,9072433
PHILIPPINES,2020-04-13 09:26:16,4648.0,297.0,197.0,9105976
PHILIPPINES,2020-04-13 11:59:14,4648.0,297.0,197.0,9115154
PHILIPPINES,2020-04-13 15:13:01,4932.0,315.0,242.0,9126781
PHILIPPINES,2020-04-13 20:23:47,4932.0,315.0,242.0,9145427
PHILIPPINES,2020-04-13 21:01:27,4932.0,315.0,242.0,9147687
PHILIPPINES,2020-04-14 00:30:40,4932.0,315.0,242.0,9160240
PHILIPPINES,2020-04-14 09:09:09,4932.0,315.0,242.0,9191349
PHILIPPINES,2020-04-14 12:13:23,4932.0,315.0,242.0,9202403
PHILIPPINES,2020-04-14 15:49:28,5223.0,335.0,295.0,9215368
PHILIPPINES,2020-04-14 18:27:14,5223.0,335.0,295.0,9224834
PHILIPPINES,2020-04-14 21:18:50,5223.0,335.0,295.0,9235130
PHILIPPINES,2020-04-15 00:07:14,5223.0,335.0,295.0,9245234
PHILIPPINES,2020-04-15 09:00:09,5223.0,335.0,295.0,9277209
PHILIPPINES,2020-04-15 14:56:18,5453.0,349.0,353.0,9298578
PHILIPPINES,2020-04-15 19:52:38,5453.0,349.0,353.0,9316358
PHILIPPINES,2020-04-15 21:18:33,5453.0,349.0,353.0,9321513
PHILIPPINES,2020-04-16 00:51:15,5453.0,349.0,353.0,9334275
PHILIPPINES,2020-04-16 09:04:51,5453.0,349.0,353.0,9363891
PHILIPPINES,2020-04-16 12:05:08,5453.0,349.0,353.0,9374708
PHILIPPINES,2020-04-16 14:57:08,5660.0,362.0,435.0,9385028
PHILIPPINES,2020-04-16 17:58:25,5660.0,362.0,435.0,9395905
PHILIPPINES,2020-04-16 22:41:20,5660.0,362.0,435.0,9412880
PHILIPPINES,2020-04-17 01:32:36,5660.0,362.0,435.0,9423156
PHILIPPINES,2020-04-17 09:11:04,5660.0,362.0,435.0,9450664
PHILIPPINES,2020-04-17 12:02:01,5660.0,362.0,435.0,9460921
PHILIPPINES,2020-04-17 14:56:35,5878.0,387.0,487.0,9471395
PHILIPPINES,2020-04-17 18:39:21,5878.0,387.0,487.0,9484761
PHILIPPINES,2020-04-17 22:45:21,5878.0,387.0,487.0,9499521
PHILIPPINES,2020-04-18 08:54:14,5878.0,387.0,487.0,9536054
PHILIPPINES,2020-04-18 13:55:54,6087.0,397.0,516.0,9554154
PHILIPPINES,2020-04-18 15:41:06,6087.0,397.0,516.0,9560466
PHILIPPINES,2020-04-18 18:03:48,6087.0,397.0,516.0,9569028
PHILIPPINES,2020-04-19 00:17:39,6087.0,397.0,516.0,9591459
PHILIPPINES,2020-04-19 09:10:08,6087.0,397.0,516.0,9623408
