Nation,Time,Confirmed Case,Death,Recover,timestamp
ISRAEL,2020-04-03 14:30:10,7030.0,37.0,357.0,8260210
ISRAEL,2020-04-03 14:30:11,7030.0,37.0,338.0,8260211
ISRAEL,2020-04-03 17:30:12,7030.0,37.0,357.0,8271012
ISRAEL,2020-04-03 20:30:12,7030.0,39.0,357.0,8281812
ISRAEL,2020-04-03 23:30:19,7030.0,40.0,357.0,8292619
ISRAEL,2020-04-04 08:30:14,7428.0,40.0,403.0,8325014
ISRAEL,2020-04-04 11:30:14,7428.0,40.0,403.0,8335814
ISRAEL,2020-04-04 14:30:16,7589.0,42.0,427.0,8346616
ISRAEL,2020-04-04 17:30:18,7589.0,43.0,427.0,8357418
ISRAEL,2020-04-04 20:30:33,7589.0,44.0,427.0,8368233
ISRAEL,2020-04-04 23:30:05,7589.0,44.0,427.0,8379005
ISRAEL,2020-04-05 08:30:07,7851.0,44.0,427.0,8411407
ISRAEL,2020-04-05 11:30:03,8018.0,46.0,477.0,8422203
ISRAEL,2020-04-05 14:30:04,8018.0,46.0,477.0,8433004
ISRAEL,2020-04-05 17:40:33,8018.0,46.0,477.0,8444433
ISRAEL,2020-04-05 20:33:28,8018.0,47.0,477.0,8454808
ISRAEL,2020-04-05 23:30:02,8018.0,48.0,477.0,8465402
ISRAEL,2020-04-06 08:37:49,8430.0,49.0,546.0,8498269
ISRAEL,2020-04-06 11:30:05,8611.0,51.0,546.0,8508605
ISRAEL,2020-04-06 14:44:21,8611.0,51.0,585.0,8520261
ISRAEL,2020-04-06 17:30:04,8611.0,51.0,585.0,8530204
ISRAEL,2020-04-06 21:00:44,8611.0,56.0,585.0,8542844
ISRAEL,2020-04-07 00:00:03,8649.0,56.0,585.0,8553603
ISRAEL,2020-04-07 09:00:04,8904.0,57.0,585.0,8586004
ISRAEL,2020-04-07 12:15:51,8904.0,57.0,670.0,8597751
ISRAEL,2020-04-07 15:59:55,9006.0,60.0,683.0,8611195
ISRAEL,2020-04-07 18:03:46,9006.0,60.0,683.0,8618626
ISRAEL,2020-04-07 21:32:15,9006.0,60.0,683.0,8631135
ISRAEL,2020-04-08 00:00:04,9006.0,61.0,683.0,8640004
ISRAEL,2020-04-08 09:00:46,9248.0,65.0,770.0,8672446
ISRAEL,2020-04-08 12:21:18,9404.0,71.0,801.0,8684478
ISRAEL,2020-04-08 15:04:46,9404.0,71.0,801.0,8694286
ISRAEL,2020-04-08 18:11:16,9404.0,72.0,801.0,8705476
ISRAEL,2020-04-08 21:33:56,9404.0,72.0,801.0,8717636
ISRAEL,2020-04-09 00:14:12,9404.0,72.0,801.0,8727252
ISRAEL,2020-04-09 11:19:24,9404.0,73.0,801.0,8767164
ISRAEL,2020-04-09 12:07:24,9404.0,73.0,801.0,8770044
