Nation,Time,Confirmed Case,Death,Recover,timestamp
IRAQ,2020-04-03 14:30:10,772.0,54.0,202.0,8260210
IRAQ,2020-04-03 14:30:11,772.0,54.0,202.0,8260211
IRAQ,2020-04-03 17:30:12,772.0,54.0,202.0,8271012
IRAQ,2020-04-03 20:30:12,772.0,54.0,202.0,8281812
IRAQ,2020-04-03 23:30:19,820.0,54.0,226.0,8292619
IRAQ,2020-04-04 08:30:14,820.0,54.0,226.0,8325014
IRAQ,2020-04-04 11:30:14,820.0,54.0,226.0,8335814
IRAQ,2020-04-04 14:30:16,820.0,54.0,226.0,8346616
IRAQ,2020-04-04 17:30:18,820.0,54.0,226.0,8357418
IRAQ,2020-04-04 20:30:33,820.0,54.0,226.0,8368233
IRAQ,2020-04-04 23:30:05,878.0,56.0,259.0,8379005
IRAQ,2020-04-05 08:30:07,878.0,56.0,259.0,8411407
IRAQ,2020-04-05 11:30:03,878.0,56.0,259.0,8422203
IRAQ,2020-04-05 14:30:04,878.0,56.0,259.0,8433004
IRAQ,2020-04-05 17:40:33,878.0,56.0,259.0,8444433
IRAQ,2020-04-05 20:33:28,878.0,56.0,259.0,8454808
IRAQ,2020-04-05 23:30:02,961.0,61.0,279.0,8465402
IRAQ,2020-04-06 08:37:49,961.0,61.0,279.0,8498269
IRAQ,2020-04-06 11:30:05,961.0,61.0,279.0,8508605
IRAQ,2020-04-06 14:44:21,961.0,61.0,279.0,8520261
IRAQ,2020-04-06 17:30:04,961.0,61.0,279.0,8530204
IRAQ,2020-04-06 21:00:44,1031.0,64.0,344.0,8542844
IRAQ,2020-04-07 00:00:03,1031.0,64.0,344.0,8553603
IRAQ,2020-04-07 09:00:04,1031.0,64.0,344.0,8586004
IRAQ,2020-04-07 12:15:51,1031.0,64.0,344.0,8597751
IRAQ,2020-04-07 15:59:55,1031.0,64.0,344.0,8611195
IRAQ,2020-04-07 18:03:46,1031.0,64.0,344.0,8618626
IRAQ,2020-04-07 21:32:15,1122.0,65.0,373.0,8631135
IRAQ,2020-04-08 00:00:04,1122.0,65.0,373.0,8640004
IRAQ,2020-04-08 09:00:46,1122.0,65.0,373.0,8672446
IRAQ,2020-04-08 12:21:18,1122.0,65.0,373.0,8684478
IRAQ,2020-04-08 15:04:46,1122.0,65.0,373.0,8694286
IRAQ,2020-04-08 18:11:16,1122.0,65.0,373.0,8705476
IRAQ,2020-04-08 21:33:56,1202.0,69.0,452.0,8717636
IRAQ,2020-04-09 00:14:12,1202.0,69.0,452.0,8727252
IRAQ,2020-04-09 11:19:24,1202.0,69.0,452.0,8767164
IRAQ,2020-04-09 12:07:24,1202.0,69.0,452.0,8770044
IRAQ,2020-04-09 14:57:09,1202.0,69.0,452.0,8780229
IRAQ,2020-04-09 18:00:02,1202.0,69.0,452.0,8791202
IRAQ,2020-04-10 01:06:14,1232.0,69.0,496.0,8816774
IRAQ,2020-04-10 09:04:46,1232.0,69.0,496.0,8845486
IRAQ,2020-04-10 12:09:17,1232.0,69.0,496.0,8856557
IRAQ,2020-04-10 14:55:51,1232.0,69.0,496.0,8866551
