Nation,Time,Confirmed Case,Death,Recover,timestamp
UAE,2020-04-03 14:30:10,1024.0,8.0,96.0,8260210
UAE,2020-04-03 14:30:11,1024.0,8.0,96.0,8260211
UAE,2020-04-03 17:30:12,1024.0,8.0,96.0,8271012
UAE,2020-04-03 20:30:12,1024.0,8.0,96.0,8281812
UAE,2020-04-03 23:30:19,1024.0,8.0,96.0,8292619
UAE,2020-04-04 08:30:14,1264.0,9.0,108.0,8325014
UAE,2020-04-04 11:30:14,1264.0,9.0,108.0,8335814
UAE,2020-04-04 14:30:16,1264.0,9.0,108.0,8346616
UAE,2020-04-04 17:30:18,1264.0,9.0,108.0,8357418
UAE,2020-04-04 20:30:33,1505.0,10.0,125.0,8368233
UAE,2020-04-04 23:30:05,1505.0,10.0,125.0,8379005
UAE,2020-04-05 08:30:07,1505.0,10.0,125.0,8411407
UAE,2020-04-05 11:30:03,1505.0,10.0,125.0,8422203
UAE,2020-04-05 14:30:04,1505.0,10.0,125.0,8433004
UAE,2020-04-05 17:40:33,1505.0,10.0,125.0,8444433
UAE,2020-04-05 20:33:28,1505.0,10.0,125.0,8454808
UAE,2020-04-05 23:30:02,1798.0,10.0,144.0,8465402
UAE,2020-04-06 08:37:49,1799.0,10.0,144.0,8498269
UAE,2020-04-06 11:30:05,1799.0,10.0,144.0,8508605
UAE,2020-04-06 14:44:21,1799.0,10.0,144.0,8520261
UAE,2020-04-06 17:30:04,1799.0,10.0,144.0,8530204
UAE,2020-04-06 21:00:44,2076.0,11.0,167.0,8542844
UAE,2020-04-07 00:00:03,2076.0,11.0,167.0,8553603
UAE,2020-04-07 09:00:04,2076.0,11.0,167.0,8586004
UAE,2020-04-07 12:15:51,2076.0,11.0,167.0,8597751
UAE,2020-04-07 15:59:55,2076.0,11.0,167.0,8611195
UAE,2020-04-07 18:03:46,2076.0,11.0,167.0,8618626
UAE,2020-04-07 21:32:15,2076.0,11.0,167.0,8631135
UAE,2020-04-08 00:00:04,2359.0,12.0,186.0,8640004
UAE,2020-04-08 09:00:46,2359.0,12.0,283.0,8672446
UAE,2020-04-08 12:21:18,2359.0,12.0,283.0,8684478
UAE,2020-04-08 15:04:46,2359.0,12.0,283.0,8694286
UAE,2020-04-08 18:11:16,2359.0,12.0,283.0,8705476
UAE,2020-04-08 21:33:56,2659.0,12.0,239.0,8717636
UAE,2020-04-09 00:14:12,2659.0,12.0,239.0,8727252
UAE,2020-04-09 11:19:24,2659.0,12.0,239.0,8767164
UAE,2020-04-09 12:07:24,2659.0,12.0,239.0,8770044
UAE,2020-04-09 14:57:09,2659.0,12.0,239.0,8780229
UAE,2020-04-09 18:00:02,2659.0,12.0,239.0,8791202
UAE,2020-04-10 01:06:14,2659.0,12.0,239.0,8816774
UAE,2020-04-10 09:04:46,2990.0,14.0,239.0,8845486
UAE,2020-04-10 12:09:17,2990.0,14.0,239.0,8856557
UAE,2020-04-10 14:55:51,2990.0,14.0,239.0,8866551
UAE,2020-04-10 18:41:05,2990.0,14.0,239.0,8880065
UAE,2020-04-10 21:59:17,2990.0,14.0,268.0,8891957
UAE,2020-04-11 00:00:34,3360.0,16.0,418.0,8899234
UAE,2020-04-11 09:01:32,3360.0,16.0,418.0,8931692
UAE,2020-04-11 12:08:24,3360.0,16.0,418.0,8942904
UAE,2020-04-11 17:00:40,3360.0,16.0,418.0,8960440
UAE,2020-04-11 18:12:28,3360.0,16.0,418.0,8964748
UAE,2020-04-11 21:44:19,3736.0,20.0,588.0,8977459
UAE,2020-04-11 23:59:29,3736.0,20.0,588.0,8985569
UAE,2020-04-12 09:00:42,3736.0,20.0,588.0,9018042
UAE,2020-04-12 12:05:42,3736.0,20.0,588.0,9029142
UAE,2020-04-12 15:09:25,3736.0,20.0,588.0,9040165
UAE,2020-04-12 18:22:01,3736.0,20.0,588.0,9051721
UAE,2020-04-12 20:59:25,3736.0,20.0,588.0,9061165
UAE,2020-04-13 00:07:13,4123.0,22.0,680.0,9072433
UAE,2020-04-13 09:26:16,4123.0,22.0,680.0,9105976
UAE,2020-04-13 11:59:14,4123.0,22.0,680.0,9115154
UAE,2020-04-13 15:13:01,4123.0,22.0,680.0,9126781
UAE,2020-04-13 20:23:47,4123.0,25.0,852.0,9145427
UAE,2020-04-13 21:01:27,4123.0,25.0,852.0,9147687
UAE,2020-04-14 00:30:40,4123.0,25.0,852.0,9160240
UAE,2020-04-14 09:09:09,4521.0,25.0,852.0,9191349
UAE,2020-04-14 12:13:23,4521.0,25.0,852.0,9202403
UAE,2020-04-14 15:49:28,4521.0,25.0,852.0,9215368
UAE,2020-04-14 18:27:14,4521.0,25.0,852.0,9224834
UAE,2020-04-14 21:18:50,4521.0,25.0,852.0,9235130
UAE,2020-04-15 00:07:14,4933.0,28.0,933.0,9245234
UAE,2020-04-15 09:00:09,4933.0,28.0,933.0,9277209
UAE,2020-04-15 14:56:18,4933.0,28.0,933.0,9298578
UAE,2020-04-15 19:52:38,4933.0,28.0,933.0,9316358
UAE,2020-04-15 21:18:33,4933.0,28.0,933.0,9321513
UAE,2020-04-16 00:51:15,5365.0,33.0,1034.0,9334275
UAE,2020-04-16 09:04:51,5365.0,33.0,1034.0,9363891
UAE,2020-04-16 12:05:08,5365.0,33.0,1034.0,9374708
UAE,2020-04-16 14:57:08,5365.0,33.0,1034.0,9385028
UAE,2020-04-16 17:58:25,5365.0,33.0,1034.0,9395905
UAE,2020-04-16 22:41:20,5365.0,33.0,1034.0,9412880
UAE,2020-04-17 01:32:36,5825.0,35.0,1095.0,9423156
UAE,2020-04-17 09:11:04,5825.0,35.0,1095.0,9450664
UAE,2020-04-17 12:02:01,5825.0,35.0,1095.0,9460921
UAE,2020-04-17 14:56:35,5825.0,35.0,1095.0,9471395
UAE,2020-04-17 18:39:21,5825.0,35.0,1095.0,9484761
UAE,2020-04-17 22:45:21,5825.0,35.0,1095.0,9499521
UAE,2020-04-18 08:54:14,6302.0,37.0,1188.0,9536054
UAE,2020-04-18 13:55:54,6302.0,37.0,1188.0,9554154
UAE,2020-04-18 15:41:06,6302.0,37.0,1188.0,9560466
UAE,2020-04-18 18:03:48,6302.0,37.0,1188.0,9569028
UAE,2020-04-19 00:17:39,6302.0,37.0,1188.0,9591459
UAE,2020-04-19 09:10:08,6302.0,37.0,1188.0,9623408
UAE,2020-04-19 15:11:32,6781.0,41.0,1286.0,9645092
UAE,2020-04-19 18:07:21,6781.0,41.0,1286.0,9655641
UAE,2020-04-19 21:01:51,6781.0,41.0,1286.0,9666111
UAE,2020-04-20 00:00:38,6781.0,41.0,1286.0,9676838
UAE,2020-04-20 12:46:45,6781.0,41.0,1286.0,9722805
UAE,2020-04-20 15:15:13,6781.0,41.0,1286.0,9731713
UAE,2020-04-20 18:00:55,6781.0,41.0,1286.0,9741655
UAE,2020-04-20 20:51:26,7265.0,43.0,1360.0,9751886
UAE,2020-04-20 23:57:35,7265.0,43.0,1360.0,9763055
UAE,2020-04-21 12:05:06,7265.0,43.0,1360.0,9806706
UAE,2020-04-21 18:05:54,7755.0,46.0,1443.0,9828354
UAE,2020-04-21 20:56:52,7755.0,46.0,1443.0,9838612
UAE,2020-04-22 10:13:50,7755.0,46.0,1443.0,9886430
UAE,2020-04-22 12:01:15,7755.0,46.0,1443.0,9892875
UAE,2020-04-22 15:04:35,7755.0,46.0,1443.0,9903875
UAE,2020-04-23 00:41:34,8238.0,52.0,1546.0,9938494
UAE,2020-04-23 11:00:28,8238.0,52.0,1546.0,9975628
UAE,2020-04-23 18:09:30,8756.0,56.0,1637.0,10001370
UAE,2020-04-23 21:15:10,8756.0,56.0,1637.0,10012510
UAE,2020-04-24 12:38:27,8756.0,56.0,1637.0,10067907
UAE,2020-04-24 15:07:01,8756.0,56.0,1637.0,10076821
UAE,2020-04-24 18:05:08,8756.0,56.0,1637.0,10087508
UAE,2020-04-25 01:24:20,9281.0,64.0,1760.0,10113860
UAE,2020-04-25 10:29:29,9281.0,64.0,1760.0,10146569
UAE,2020-04-25 13:06:30,9281.0,64.0,1760.0,10155990
UAE,2020-04-25 15:13:19,9281.0,64.0,1760.0,10163599
UAE,2020-04-25 18:05:53,9281.0,64.0,1760.0,10173953
UAE,2020-04-26 00:02:26,9813.0,71.0,1887.0,10195346
UAE,2020-04-26 10:30:36,9813.0,71.0,1887.0,10233036
UAE,2020-04-26 14:00:20,9813.0,71.0,1887.0,10245620
UAE,2020-04-26 15:00:26,9813.0,64.0,1887.0,10249226
UAE,2020-04-26 18:04:29,10349.0,76.0,1978.0,10260269
UAE,2020-04-26 20:55:24,10349.0,76.0,1978.0,10270524
UAE,2020-04-27 01:26:23,10349.0,76.0,1978.0,10286783
UAE,2020-04-27 12:02:22,10349.0,76.0,1978.0,10324942
UAE,2020-04-27 18:28:29,10349.0,76.0,1978.0,10348109
UAE,2020-04-27 23:10:06,10349.0,76.0,1978.0,10365006
UAE,2020-04-28 00:52:18,10839.0,82.0,2090.0,10371138
UAE,2020-04-28 12:28:54,10839.0,82.0,2090.0,10412934
UAE,2020-04-29 00:05:46,11380.0,89.0,2181.0,10454746
UAE,2020-04-29 11:12:43,11380.0,89.0,2181.0,10494763
UAE,2020-04-29 13:02:52,11380.0,89.0,2181.0,10501372
UAE,2020-04-29 15:08:24,11380.0,89.0,2181.0,10508904
UAE,2020-04-29 18:09:12,11380.0,89.0,2181.0,10519752
UAE,2020-04-29 21:32:47,11380.0,89.0,2181.0,10531967
UAE,2020-04-30 00:17:29,11929.0,98.0,2329.0,10541849
UAE,2020-04-30 09:21:28,11929.0,98.0,2329.0,10574488
UAE,2020-04-30 12:29:51,11929.0,98.0,2329.0,10585791
UAE,2020-04-30 15:13:47,11929.0,98.0,2329.0,10595627
UAE,2020-05-01 00:05:16,12481.0,105.0,2429.0,10713916
UAE,2020-05-01 10:41:27,12481.0,105.0,2429.0,10752087
UAE,2020-05-01 11:53:59,12481.0,105.0,2429.0,10756439
UAE,2020-05-01 15:33:11,13038.0,111.0,2543.0,10769591
UAE,2020-05-01 17:55:59,13038.0,111.0,2543.0,10778159
UAE,2020-05-01 21:26:40,13038.0,111.0,2543.0,10790800
UAE,2020-05-02 00:11:13,13038.0,111.0,2543.0,10800673
UAE,2020-05-02 09:45:39,13038.0,111.0,2543.0,10835139
