Nation,Time,Confirmed Case,Death,Recover,timestamp
BRUNEI,2020-04-03 14:30:10,133.0,2.0,56.0,8260210
BRUNEI,2020-04-03 14:30:11,133.0,2.0,56.0,8260211
BRUNEI,2020-04-03 17:30:12,134.0,2.0,65.0,8271012
BRUNEI,2020-04-03 20:30:12,134.0,2.0,65.0,8281812
BRUNEI,2020-04-03 23:30:19,134.0,2.0,65.0,8292619
BRUNEI,2020-04-04 08:30:14,134.0,2.0,65.0,8325014
BRUNEI,2020-04-04 11:30:14,134.0,2.0,65.0,8335814
BRUNEI,2020-04-04 14:30:16,134.0,2.0,65.0,8346616
BRUNEI,2020-04-04 17:30:18,135.0,2.0,66.0,8357418
BRUNEI,2020-04-04 20:30:33,135.0,2.0,66.0,8368233
BRUNEI,2020-04-04 23:30:05,135.0,2.0,66.0,8379005
BRUNEI,2020-04-05 08:30:07,135.0,2.0,66.0,8411407
BRUNEI,2020-04-05 11:30:03,135.0,2.0,66.0,8422203
BRUNEI,2020-04-05 14:30:04,135.0,1.0,66.0,8433004
BRUNEI,2020-04-05 17:40:33,135.0,1.0,73.0,8444433
BRUNEI,2020-04-05 20:33:28,135.0,1.0,73.0,8454808
BRUNEI,2020-04-05 23:30:02,135.0,1.0,73.0,8465402
BRUNEI,2020-04-06 08:37:49,135.0,1.0,73.0,8498269
BRUNEI,2020-04-06 11:30:05,135.0,1.0,73.0,8508605
BRUNEI,2020-04-06 14:44:21,135.0,1.0,73.0,8520261
BRUNEI,2020-04-06 17:30:04,135.0,1.0,82.0,8530204
BRUNEI,2020-04-06 21:00:44,135.0,1.0,82.0,8542844
BRUNEI,2020-04-07 00:00:03,135.0,1.0,82.0,8553603
BRUNEI,2020-04-07 09:00:04,135.0,1.0,82.0,8586004
BRUNEI,2020-04-07 12:15:51,135.0,1.0,82.0,8597751
BRUNEI,2020-04-07 15:59:55,135.0,1.0,85.0,8611195
BRUNEI,2020-04-07 18:03:46,135.0,1.0,85.0,8618626
BRUNEI,2020-04-07 21:32:15,135.0,1.0,85.0,8631135
BRUNEI,2020-04-08 00:00:04,135.0,1.0,85.0,8640004
BRUNEI,2020-04-08 09:00:46,135.0,1.0,85.0,8672446
BRUNEI,2020-04-08 12:21:18,135.0,1.0,85.0,8684478
BRUNEI,2020-04-08 15:04:46,135.0,1.0,91.0,8694286
BRUNEI,2020-04-08 18:11:16,135.0,1.0,91.0,8705476
BRUNEI,2020-04-08 21:33:56,135.0,1.0,91.0,8717636
BRUNEI,2020-04-09 00:14:12,135.0,1.0,91.0,8727252
BRUNEI,2020-04-09 11:19:24,135.0,1.0,91.0,8767164
BRUNEI,2020-04-09 12:07:24,135.0,1.0,91.0,8770044
BRUNEI,2020-04-09 14:57:09,135.0,1.0,91.0,8780229
BRUNEI,2020-04-09 18:00:02,135.0,1.0,92.0,8791202
BRUNEI,2020-04-10 01:06:14,135.0,1.0,92.0,8816774
