Nation,Time,Confirmed Case,Death,Recover,timestamp
UKRAINE,2020-04-03 14:30:10,942.0,23.0,19.0,8260210
UKRAINE,2020-04-03 14:30:11,942.0,23.0,19.0,8260211
UKRAINE,2020-04-03 17:30:12,942.0,23.0,19.0,8271012
UKRAINE,2020-04-03 20:30:12,942.0,23.0,19.0,8281812
UKRAINE,2020-04-03 23:30:19,942.0,23.0,19.0,8292619
UKRAINE,2020-04-04 08:30:14,1072.0,27.0,22.0,8325014
UKRAINE,2020-04-04 11:30:14,1072.0,27.0,22.0,8335814
UKRAINE,2020-04-04 14:30:16,1096.0,28.0,23.0,8346616
UKRAINE,2020-04-04 17:30:18,1096.0,28.0,23.0,8357418
UKRAINE,2020-04-04 20:30:33,1096.0,28.0,23.0,8368233
UKRAINE,2020-04-04 23:30:05,1115.0,28.0,23.0,8379005
UKRAINE,2020-04-05 08:30:07,1225.0,32.0,25.0,8411407
UKRAINE,2020-04-05 11:30:03,1225.0,32.0,25.0,8422203
UKRAINE,2020-04-05 14:30:04,1251.0,32.0,25.0,8433004
UKRAINE,2020-04-05 17:40:33,1251.0,32.0,25.0,8444433
UKRAINE,2020-04-05 20:33:28,1251.0,32.0,25.0,8454808
UKRAINE,2020-04-05 23:30:02,1251.0,32.0,25.0,8465402
UKRAINE,2020-04-06 08:37:49,1308.0,37.0,28.0,8498269
UKRAINE,2020-04-06 11:30:05,1308.0,37.0,28.0,8508605
UKRAINE,2020-04-06 14:44:21,1319.0,38.0,28.0,8520261
UKRAINE,2020-04-06 17:30:04,1319.0,38.0,28.0,8530204
UKRAINE,2020-04-06 21:00:44,1319.0,38.0,28.0,8542844
UKRAINE,2020-04-07 00:00:03,1319.0,38.0,28.0,8553603
UKRAINE,2020-04-07 09:00:04,1319.0,38.0,28.0,8586004
UKRAINE,2020-04-07 12:15:51,1462.0,45.0,28.0,8597751
UKRAINE,2020-04-07 15:59:55,1462.0,45.0,28.0,8611195
UKRAINE,2020-04-07 18:03:46,1462.0,45.0,28.0,8618626
UKRAINE,2020-04-07 21:32:15,1462.0,45.0,28.0,8631135
UKRAINE,2020-04-08 00:00:04,1462.0,45.0,28.0,8640004
UKRAINE,2020-04-08 09:00:46,1462.0,45.0,28.0,8672446
UKRAINE,2020-04-08 12:21:18,1668.0,52.0,35.0,8684478
UKRAINE,2020-04-08 15:04:46,1668.0,52.0,35.0,8694286
UKRAINE,2020-04-08 18:11:16,1668.0,52.0,35.0,8705476
UKRAINE,2020-04-08 21:33:56,1668.0,52.0,35.0,8717636
UKRAINE,2020-04-09 00:14:12,1668.0,52.0,35.0,8727252
UKRAINE,2020-04-09 11:19:24,1668.0,52.0,35.0,8767164
UKRAINE,2020-04-09 12:07:24,1668.0,52.0,35.0,8770044
UKRAINE,2020-04-09 14:57:09,1892.0,57.0,45.0,8780229
UKRAINE,2020-04-09 18:00:02,1892.0,57.0,45.0,8791202
UKRAINE,2020-04-10 01:06:14,1892.0,57.0,45.0,8816774
UKRAINE,2020-04-10 09:04:46,1892.0,57.0,45.0,8845486
UKRAINE,2020-04-10 12:09:17,2203.0,69.0,61.0,8856557
UKRAINE,2020-04-10 14:55:51,2203.0,69.0,61.0,8866551
UKRAINE,2020-04-10 18:41:05,2203.0,69.0,61.0,8880065
UKRAINE,2020-04-10 21:59:17,2203.0,69.0,61.0,8891957
UKRAINE,2020-04-11 00:00:34,2203.0,69.0,61.0,8899234
UKRAINE,2020-04-11 09:01:32,2203.0,69.0,61.0,8931692
UKRAINE,2020-04-11 12:08:24,2203.0,69.0,61.0,8942904
UKRAINE,2020-04-11 17:00:40,2511.0,73.0,79.0,8960440
UKRAINE,2020-04-11 18:12:28,2511.0,73.0,79.0,8964748
UKRAINE,2020-04-11 21:44:19,2511.0,73.0,79.0,8977459
UKRAINE,2020-04-11 23:59:29,2511.0,73.0,79.0,8985569
UKRAINE,2020-04-12 09:00:42,2511.0,73.0,79.0,9018042
UKRAINE,2020-04-12 12:05:42,2511.0,73.0,79.0,9029142
UKRAINE,2020-04-12 15:09:25,2777.0,83.0,89.0,9040165
