Nation,Time,Confirmed Case,Death,Recover,timestamp
CUBA,2020-04-03 14:30:10,233.0,6.0,13.0,8260210
CUBA,2020-04-03 14:30:11,233.0,6.0,13.0,8260211
CUBA,2020-04-03 17:30:12,233.0,6.0,13.0,8271012
CUBA,2020-04-03 20:30:12,233.0,6.0,13.0,8281812
CUBA,2020-04-03 23:30:19,269.0,6.0,15.0,8292619
CUBA,2020-04-04 08:30:14,269.0,6.0,15.0,8325014
CUBA,2020-04-04 11:30:14,269.0,6.0,15.0,8335814
CUBA,2020-04-04 14:30:16,269.0,6.0,15.0,8346616
CUBA,2020-04-04 17:30:18,269.0,6.0,15.0,8357418
CUBA,2020-04-04 20:30:33,269.0,6.0,15.0,8368233
CUBA,2020-04-04 23:30:05,288.0,6.0,15.0,8379005
CUBA,2020-04-05 08:30:07,288.0,6.0,15.0,8411407
CUBA,2020-04-05 11:30:03,288.0,6.0,15.0,8422203
CUBA,2020-04-05 14:30:04,288.0,6.0,15.0,8433004
CUBA,2020-04-05 17:40:33,288.0,6.0,15.0,8444433
CUBA,2020-04-05 20:33:28,288.0,6.0,15.0,8454808
CUBA,2020-04-05 23:30:02,320.0,8.0,15.0,8465402
CUBA,2020-04-06 08:37:49,320.0,8.0,15.0,8498269
CUBA,2020-04-06 11:30:05,320.0,8.0,15.0,8508605
CUBA,2020-04-06 14:44:21,320.0,8.0,15.0,8520261
CUBA,2020-04-06 17:30:04,320.0,8.0,15.0,8530204
CUBA,2020-04-06 21:00:44,350.0,9.0,15.0,8542844
CUBA,2020-04-07 00:00:03,350.0,9.0,18.0,8553603
CUBA,2020-04-07 09:00:04,350.0,9.0,18.0,8586004
CUBA,2020-04-07 12:15:51,363.0,9.0,18.0,8597751
CUBA,2020-04-07 15:59:55,363.0,9.0,18.0,8611195
CUBA,2020-04-07 18:03:46,363.0,9.0,18.0,8618626
CUBA,2020-04-07 21:32:15,396.0,11.0,27.0,8631135
CUBA,2020-04-08 00:00:04,396.0,11.0,27.0,8640004
CUBA,2020-04-08 09:00:46,396.0,11.0,27.0,8672446
CUBA,2020-04-08 12:21:18,396.0,11.0,27.0,8684478
CUBA,2020-04-08 15:04:46,396.0,11.0,27.0,8694286
CUBA,2020-04-08 18:11:16,396.0,11.0,27.0,8705476
CUBA,2020-04-08 21:33:56,396.0,11.0,27.0,8717636
CUBA,2020-04-09 00:14:12,457.0,12.0,27.0,8727252
CUBA,2020-04-09 11:19:24,457.0,12.0,27.0,8767164
CUBA,2020-04-09 12:07:24,457.0,12.0,27.0,8770044
CUBA,2020-04-09 14:57:09,457.0,12.0,27.0,8780229
CUBA,2020-04-09 18:00:02,457.0,12.0,27.0,8791202
CUBA,2020-04-10 01:06:14,515.0,15.0,28.0,8816774
CUBA,2020-04-10 09:04:46,515.0,15.0,28.0,8845486
CUBA,2020-04-10 12:09:17,515.0,15.0,28.0,8856557
