Nation,Time,Confirmed Case,Death,Recover,timestamp
EGYPT,2020-04-03 14:30:10,865.0,58.0,201.0,8260210
EGYPT,2020-04-03 14:30:11,865.0,58.0,201.0,8260211
EGYPT,2020-04-03 17:30:12,865.0,58.0,201.0,8271012
EGYPT,2020-04-03 20:30:12,865.0,58.0,201.0,8281812
EGYPT,2020-04-03 23:30:19,865.0,58.0,201.0,8292619
EGYPT,2020-04-04 08:30:14,985.0,66.0,216.0,8325014
EGYPT,2020-04-04 11:30:14,985.0,66.0,216.0,8335814
EGYPT,2020-04-04 14:30:16,985.0,66.0,216.0,8346616
EGYPT,2020-04-04 17:30:18,985.0,66.0,216.0,8357418
EGYPT,2020-04-04 20:30:33,985.0,66.0,216.0,8368233
EGYPT,2020-04-04 23:30:05,1070.0,71.0,241.0,8379005
EGYPT,2020-04-05 08:30:07,1070.0,71.0,241.0,8411407
EGYPT,2020-04-05 11:30:03,1070.0,71.0,241.0,8422203
EGYPT,2020-04-05 14:30:04,1070.0,71.0,241.0,8433004
EGYPT,2020-04-05 17:40:33,1070.0,71.0,241.0,8444433
EGYPT,2020-04-05 20:33:28,1070.0,71.0,241.0,8454808
EGYPT,2020-04-05 23:30:02,1173.0,78.0,241.0,8465402
EGYPT,2020-04-06 08:37:49,1173.0,78.0,247.0,8498269
EGYPT,2020-04-06 11:30:05,1173.0,78.0,247.0,8508605
EGYPT,2020-04-06 14:44:21,1173.0,78.0,247.0,8520261
EGYPT,2020-04-06 17:30:04,1173.0,78.0,247.0,8530204
EGYPT,2020-04-06 21:00:44,1173.0,78.0,247.0,8542844
EGYPT,2020-04-07 00:00:03,1173.0,78.0,247.0,8553603
EGYPT,2020-04-07 09:00:04,1322.0,85.0,259.0,8586004
EGYPT,2020-04-07 12:15:51,1322.0,85.0,259.0,8597751
EGYPT,2020-04-07 15:59:55,1322.0,85.0,259.0,8611195
EGYPT,2020-04-07 18:03:46,1322.0,85.0,259.0,8618626
EGYPT,2020-04-07 21:32:15,1322.0,85.0,259.0,8631135
EGYPT,2020-04-08 00:00:04,1322.0,85.0,259.0,8640004
EGYPT,2020-04-08 09:00:46,1450.0,94.0,276.0,8672446
EGYPT,2020-04-08 12:21:18,1450.0,94.0,276.0,8684478
EGYPT,2020-04-08 15:04:46,1450.0,94.0,276.0,8694286
EGYPT,2020-04-08 18:11:16,1450.0,94.0,276.0,8705476
EGYPT,2020-04-08 21:33:56,1450.0,94.0,276.0,8717636
EGYPT,2020-04-09 00:14:12,1560.0,103.0,305.0,8727252
EGYPT,2020-04-09 11:19:24,1560.0,103.0,305.0,8767164
EGYPT,2020-04-09 12:07:24,1560.0,103.0,305.0,8770044
EGYPT,2020-04-09 14:57:09,1560.0,103.0,305.0,8780229
EGYPT,2020-04-09 18:00:02,1560.0,103.0,305.0,8791202
EGYPT,2020-04-10 01:06:14,1699.0,118.0,348.0,8816774
EGYPT,2020-04-10 09:04:46,1699.0,118.0,348.0,8845486
EGYPT,2020-04-10 12:09:17,1699.0,118.0,348.0,8856557
EGYPT,2020-04-10 14:55:51,1699.0,118.0,348.0,8866551
EGYPT,2020-04-10 18:41:05,1699.0,118.0,348.0,8880065
EGYPT,2020-04-10 21:59:17,1699.0,118.0,348.0,8891957
EGYPT,2020-04-11 00:00:34,1794.0,135.0,384.0,8899234
EGYPT,2020-04-11 09:01:32,1794.0,135.0,384.0,8931692
EGYPT,2020-04-11 12:08:24,1794.0,135.0,384.0,8942904
EGYPT,2020-04-11 17:00:40,1794.0,135.0,384.0,8960440
EGYPT,2020-04-11 18:12:28,1794.0,135.0,384.0,8964748
EGYPT,2020-04-11 21:44:19,1794.0,135.0,384.0,8977459
EGYPT,2020-04-11 23:59:29,1794.0,135.0,384.0,8985569
EGYPT,2020-04-12 09:00:42,1939.0,146.0,426.0,9018042
EGYPT,2020-04-12 12:05:42,1939.0,146.0,426.0,9029142
EGYPT,2020-04-12 15:09:25,1939.0,146.0,426.0,9040165
EGYPT,2020-04-12 18:22:01,1939.0,146.0,426.0,9051721
EGYPT,2020-04-12 20:59:25,1939.0,146.0,426.0,9061165
EGYPT,2020-04-13 00:07:13,2065.0,159.0,589.0,9072433
EGYPT,2020-04-13 09:26:16,2065.0,159.0,589.0,9105976
EGYPT,2020-04-13 11:59:14,2065.0,159.0,589.0,9115154
EGYPT,2020-04-13 15:13:01,2065.0,159.0,589.0,9126781
EGYPT,2020-04-13 20:23:47,2065.0,159.0,589.0,9145427
EGYPT,2020-04-13 21:01:27,2065.0,159.0,589.0,9147687
EGYPT,2020-04-14 00:30:40,2190.0,164.0,589.0,9160240
EGYPT,2020-04-14 09:09:09,2190.0,164.0,589.0,9191349
EGYPT,2020-04-14 12:13:23,2190.0,164.0,589.0,9202403
