Nation,Time,Confirmed Case,Death,Recover,timestamp
BOSNIA-HERZEGOVINA,2020-04-03 14:30:10,543.0,16.0,27.0,8260210
BOSNIA-HERZEGOVINA,2020-04-03 14:30:11,543.0,16.0,27.0,8260211
BOSNIA-HERZEGOVINA,2020-04-03 17:30:12,543.0,16.0,27.0,8271012
BOSNIA-HERZEGOVINA,2020-04-03 20:30:12,574.0,17.0,27.0,8281812
BOSNIA-HERZEGOVINA,2020-04-03 23:30:19,575.0,17.0,27.0,8292619
BOSNIA-HERZEGOVINA,2020-04-04 08:30:14,579.0,17.0,27.0,8325014
BOSNIA-HERZEGOVINA,2020-04-04 11:30:14,579.0,17.0,27.0,8335814
BOSNIA-HERZEGOVINA,2020-04-04 14:30:16,613.0,18.0,27.0,8346616
BOSNIA-HERZEGOVINA,2020-04-04 17:30:18,616.0,19.0,27.0,8357418
BOSNIA-HERZEGOVINA,2020-04-04 20:30:33,617.0,19.0,28.0,8368233
BOSNIA-HERZEGOVINA,2020-04-04 23:30:05,617.0,21.0,28.0,8379005
BOSNIA-HERZEGOVINA,2020-04-05 08:30:07,624.0,21.0,30.0,8411407
BOSNIA-HERZEGOVINA,2020-04-05 11:30:03,624.0,21.0,30.0,8422203
BOSNIA-HERZEGOVINA,2020-04-05 14:30:04,632.0,21.0,30.0,8433004
BOSNIA-HERZEGOVINA,2020-04-05 17:40:33,641.0,21.0,30.0,8444433
BOSNIA-HERZEGOVINA,2020-04-05 20:33:28,654.0,21.0,30.0,8454808
BOSNIA-HERZEGOVINA,2020-04-05 23:30:02,654.0,23.0,30.0,8465402
BOSNIA-HERZEGOVINA,2020-04-06 08:37:49,654.0,23.0,30.0,8498269
BOSNIA-HERZEGOVINA,2020-04-06 11:30:05,654.0,23.0,30.0,8508605
BOSNIA-HERZEGOVINA,2020-04-06 14:44:21,667.0,26.0,44.0,8520261
BOSNIA-HERZEGOVINA,2020-04-06 17:30:04,667.0,27.0,47.0,8530204
BOSNIA-HERZEGOVINA,2020-04-06 21:00:44,674.0,29.0,47.0,8542844
BOSNIA-HERZEGOVINA,2020-04-07 00:00:03,674.0,29.0,47.0,8553603
BOSNIA-HERZEGOVINA,2020-04-07 09:00:04,674.0,29.0,47.0,8586004
BOSNIA-HERZEGOVINA,2020-04-07 12:15:51,674.0,29.0,47.0,8597751
BOSNIA-HERZEGOVINA,2020-04-07 15:59:55,740.0,32.0,68.0,8611195
BOSNIA-HERZEGOVINA,2020-04-07 18:03:46,778.0,33.0,68.0,8618626
BOSNIA-HERZEGOVINA,2020-04-07 21:32:15,778.0,33.0,68.0,8631135
BOSNIA-HERZEGOVINA,2020-04-08 00:00:04,778.0,33.0,68.0,8640004
BOSNIA-HERZEGOVINA,2020-04-08 09:00:46,778.0,33.0,68.0,8672446
BOSNIA-HERZEGOVINA,2020-04-08 12:21:18,778.0,33.0,68.0,8684478
BOSNIA-HERZEGOVINA,2020-04-08 15:04:46,778.0,33.0,77.0,8694286
BOSNIA-HERZEGOVINA,2020-04-08 18:11:16,794.0,33.0,77.0,8705476
BOSNIA-HERZEGOVINA,2020-04-08 21:33:56,803.0,34.0,79.0,8717636
BOSNIA-HERZEGOVINA,2020-04-09 00:14:12,803.0,34.0,79.0,8727252
BOSNIA-HERZEGOVINA,2020-04-09 11:19:24,804.0,34.0,79.0,8767164
BOSNIA-HERZEGOVINA,2020-04-09 12:07:24,804.0,34.0,79.0,8770044
BOSNIA-HERZEGOVINA,2020-04-09 14:57:09,841.0,35.0,95.0,8780229
BOSNIA-HERZEGOVINA,2020-04-09 18:00:02,841.0,35.0,97.0,8791202
BOSNIA-HERZEGOVINA,2020-04-10 01:06:14,858.0,35.0,101.0,8816774
BOSNIA-HERZEGOVINA,2020-04-10 09:04:46,858.0,35.0,101.0,8845486
BOSNIA-HERZEGOVINA,2020-04-10 12:09:17,858.0,35.0,101.0,8856557
BOSNIA-HERZEGOVINA,2020-04-10 14:55:51,875.0,35.0,118.0,8866551
BOSNIA-HERZEGOVINA,2020-04-10 18:41:05,886.0,36.0,129.0,8880065
BOSNIA-HERZEGOVINA,2020-04-10 21:59:17,886.0,36.0,129.0,8891957
BOSNIA-HERZEGOVINA,2020-04-11 00:00:34,901.0,37.0,129.0,8899234
BOSNIA-HERZEGOVINA,2020-04-11 09:01:32,901.0,37.0,129.0,8931692
BOSNIA-HERZEGOVINA,2020-04-11 12:08:24,901.0,37.0,129.0,8942904
BOSNIA-HERZEGOVINA,2020-04-11 17:00:40,917.0,37.0,137.0,8960440
BOSNIA-HERZEGOVINA,2020-04-11 18:12:28,917.0,37.0,137.0,8964748
BOSNIA-HERZEGOVINA,2020-04-11 21:44:19,935.0,37.0,139.0,8977459
BOSNIA-HERZEGOVINA,2020-04-11 23:59:29,935.0,37.0,139.0,8985569
BOSNIA-HERZEGOVINA,2020-04-12 09:00:42,946.0,37.0,139.0,9018042
BOSNIA-HERZEGOVINA,2020-04-12 12:05:42,946.0,37.0,139.0,9029142
BOSNIA-HERZEGOVINA,2020-04-12 15:09:25,975.0,37.0,139.0,9040165
BOSNIA-HERZEGOVINA,2020-04-12 18:22:01,986.0,38.0,193.0,9051721
BOSNIA-HERZEGOVINA,2020-04-12 20:59:25,1000.0,38.0,193.0,9061165
BOSNIA-HERZEGOVINA,2020-04-13 00:07:13,1004.0,39.0,193.0,9072433
BOSNIA-HERZEGOVINA,2020-04-13 09:26:16,1009.0,39.0,193.0,9105976
BOSNIA-HERZEGOVINA,2020-04-13 11:59:14,1009.0,39.0,193.0,9115154
BOSNIA-HERZEGOVINA,2020-04-13 15:13:01,1018.0,39.0,193.0,9126781
BOSNIA-HERZEGOVINA,2020-04-13 20:23:47,1030.0,39.0,206.0,9145427
BOSNIA-HERZEGOVINA,2020-04-13 21:01:27,1030.0,39.0,206.0,9147687
BOSNIA-HERZEGOVINA,2020-04-14 00:30:40,1037.0,39.0,206.0,9160240
BOSNIA-HERZEGOVINA,2020-04-14 09:09:09,1046.0,39.0,206.0,9191349
BOSNIA-HERZEGOVINA,2020-04-14 12:13:23,1046.0,39.0,206.0,9202403
BOSNIA-HERZEGOVINA,2020-04-14 15:49:28,1080.0,39.0,218.0,9215368
BOSNIA-HERZEGOVINA,2020-04-14 18:27:14,1083.0,40.0,236.0,9224834
BOSNIA-HERZEGOVINA,2020-04-14 21:18:50,1083.0,40.0,236.0,9235130
BOSNIA-HERZEGOVINA,2020-04-15 00:07:14,1083.0,40.0,236.0,9245234
BOSNIA-HERZEGOVINA,2020-04-15 09:00:09,1083.0,40.0,236.0,9277209
BOSNIA-HERZEGOVINA,2020-04-15 14:56:18,1083.0,40.0,236.0,9298578
BOSNIA-HERZEGOVINA,2020-04-15 19:52:38,1110.0,41.0,253.0,9316358
BOSNIA-HERZEGOVINA,2020-04-15 21:18:33,1110.0,41.0,253.0,9321513
BOSNIA-HERZEGOVINA,2020-04-16 00:51:15,1110.0,41.0,253.0,9334275
BOSNIA-HERZEGOVINA,2020-04-16 09:04:51,1110.0,41.0,253.0,9363891
BOSNIA-HERZEGOVINA,2020-04-16 12:05:08,1110.0,41.0,253.0,9374708
BOSNIA-HERZEGOVINA,2020-04-16 14:57:08,1110.0,41.0,253.0,9385028
BOSNIA-HERZEGOVINA,2020-04-16 17:58:25,1167.0,44.0,277.0,9395905
BOSNIA-HERZEGOVINA,2020-04-16 22:41:20,1170.0,44.0,283.0,9412880
BOSNIA-HERZEGOVINA,2020-04-17 01:32:36,1178.0,44.0,283.0,9423156
BOSNIA-HERZEGOVINA,2020-04-17 09:11:04,1178.0,44.0,283.0,9450664
BOSNIA-HERZEGOVINA,2020-04-17 12:02:01,1187.0,44.0,283.0,9460921
BOSNIA-HERZEGOVINA,2020-04-17 14:56:35,1201.0,45.0,303.0,9471395
BOSNIA-HERZEGOVINA,2020-04-17 18:39:21,1199.0,46.0,320.0,9484761
BOSNIA-HERZEGOVINA,2020-04-17 22:45:21,1221.0,46.0,320.0,9499521
BOSNIA-HERZEGOVINA,2020-04-18 08:54:14,1224.0,46.0,320.0,9536054
BOSNIA-HERZEGOVINA,2020-04-18 13:55:54,1251.0,46.0,320.0,9554154
BOSNIA-HERZEGOVINA,2020-04-18 15:41:06,1256.0,47.0,329.0,9560466
BOSNIA-HERZEGOVINA,2020-04-18 18:03:48,1268.0,47.0,338.0,9569028
BOSNIA-HERZEGOVINA,2020-04-19 00:17:39,1268.0,47.0,338.0,9591459
BOSNIA-HERZEGOVINA,2020-04-19 09:10:08,1268.0,47.0,338.0,9623408
BOSNIA-HERZEGOVINA,2020-04-19 15:11:32,1268.0,49.0,340.0,9645092
BOSNIA-HERZEGOVINA,2020-04-19 18:07:21,1285.0,49.0,347.0,9655641
BOSNIA-HERZEGOVINA,2020-04-19 21:01:51,1286.0,49.0,347.0,9666111
BOSNIA-HERZEGOVINA,2020-04-20 00:00:38,1286.0,49.0,347.0,9676838
BOSNIA-HERZEGOVINA,2020-04-20 12:46:45,1286.0,49.0,347.0,9722805
BOSNIA-HERZEGOVINA,2020-04-20 15:15:13,1297.0,50.0,347.0,9731713
BOSNIA-HERZEGOVINA,2020-04-20 18:00:55,1309.0,50.0,381.0,9741655
BOSNIA-HERZEGOVINA,2020-04-20 20:51:26,1310.0,50.0,381.0,9751886
BOSNIA-HERZEGOVINA,2020-04-20 23:57:35,1310.0,50.0,381.0,9763055
BOSNIA-HERZEGOVINA,2020-04-21 12:05:06,1319.0,50.0,381.0,9806706
BOSNIA-HERZEGOVINA,2020-04-21 18:05:54,1346.0,51.0,437.0,9828354
BOSNIA-HERZEGOVINA,2020-04-21 20:56:52,1346.0,51.0,437.0,9838612
BOSNIA-HERZEGOVINA,2020-04-22 10:13:50,1355.0,51.0,437.0,9886430
BOSNIA-HERZEGOVINA,2020-04-22 12:01:15,1355.0,51.0,437.0,9892875
BOSNIA-HERZEGOVINA,2020-04-22 15:04:35,1355.0,53.0,442.0,9903875
BOSNIA-HERZEGOVINA,2020-04-23 00:41:34,1374.0,54.0,460.0,9938494
BOSNIA-HERZEGOVINA,2020-04-23 11:00:28,1380.0,54.0,460.0,9975628
BOSNIA-HERZEGOVINA,2020-04-23 18:09:30,1413.0,54.0,485.0,10001370
BOSNIA-HERZEGOVINA,2020-04-23 21:15:10,1413.0,54.0,485.0,10012510
BOSNIA-HERZEGOVINA,2020-04-24 12:38:27,1415.0,55.0,485.0,10067907
BOSNIA-HERZEGOVINA,2020-04-24 15:07:01,1422.0,55.0,485.0,10076821
BOSNIA-HERZEGOVINA,2020-04-24 18:05:08,1421.0,55.0,538.0,10087508
BOSNIA-HERZEGOVINA,2020-04-25 01:24:20,1421.0,55.0,538.0,10113860
BOSNIA-HERZEGOVINA,2020-04-25 10:29:29,1421.0,55.0,538.0,10146569
BOSNIA-HERZEGOVINA,2020-04-25 13:06:30,1421.0,57.0,538.0,10155990
BOSNIA-HERZEGOVINA,2020-04-25 15:13:19,1439.0,57.0,574.0,10163599
BOSNIA-HERZEGOVINA,2020-04-25 18:05:53,1486.0,57.0,592.0,10173953
BOSNIA-HERZEGOVINA,2020-04-26 00:02:26,1486.0,58.0,592.0,10195346
BOSNIA-HERZEGOVINA,2020-04-26 10:30:36,1486.0,58.0,592.0,10233036
BOSNIA-HERZEGOVINA,2020-04-26 14:00:20,1486.0,59.0,592.0,10245620
BOSNIA-HERZEGOVINA,2020-04-26 15:00:26,1486.0,59.0,592.0,10249226
BOSNIA-HERZEGOVINA,2020-04-26 18:04:29,1516.0,59.0,628.0,10260269
BOSNIA-HERZEGOVINA,2020-04-26 20:55:24,1516.0,59.0,628.0,10270524
BOSNIA-HERZEGOVINA,2020-04-27 01:26:23,1516.0,59.0,628.0,10286783
BOSNIA-HERZEGOVINA,2020-04-27 12:02:22,1516.0,59.0,628.0,10324942
BOSNIA-HERZEGOVINA,2020-04-27 18:28:29,1565.0,60.0,659.0,10348109
BOSNIA-HERZEGOVINA,2020-04-27 23:10:06,1565.0,60.0,659.0,10365006
BOSNIA-HERZEGOVINA,2020-04-28 00:52:18,1565.0,60.0,659.0,10371138
BOSNIA-HERZEGOVINA,2020-04-28 12:28:54,1565.0,62.0,659.0,10412934
BOSNIA-HERZEGOVINA,2020-04-29 00:05:46,1585.0,63.0,682.0,10454746
BOSNIA-HERZEGOVINA,2020-04-29 11:12:43,1585.0,63.0,682.0,10494763
BOSNIA-HERZEGOVINA,2020-04-29 13:02:52,1679.0,64.0,682.0,10501372
BOSNIA-HERZEGOVINA,2020-04-29 15:08:24,1679.0,64.0,682.0,10508904
BOSNIA-HERZEGOVINA,2020-04-29 18:09:12,1679.0,65.0,710.0,10519752
BOSNIA-HERZEGOVINA,2020-04-29 21:32:47,1679.0,65.0,710.0,10531967
BOSNIA-HERZEGOVINA,2020-04-30 00:17:29,1679.0,65.0,720.0,10541849
BOSNIA-HERZEGOVINA,2020-04-30 09:21:28,1679.0,65.0,720.0,10574488
BOSNIA-HERZEGOVINA,2020-04-30 12:29:51,1679.0,65.0,720.0,10585791
BOSNIA-HERZEGOVINA,2020-04-30 15:13:47,1744.0,69.0,720.0,10595627
BOSNIA-HERZEGOVINA,2020-05-01 00:05:16,1757.0,69.0,736.0,10713916
BOSNIA-HERZEGOVINA,2020-05-01 10:41:27,1757.0,69.0,736.0,10752087
BOSNIA-HERZEGOVINA,2020-05-01 11:53:59,1757.0,69.0,736.0,10756439
