Nation,Time,Confirmed Case,Death,Recover,timestamp
NEW ZEALAND,2020-04-03 14:30:10,868.0,1.0,103.0,8260210
NEW ZEALAND,2020-04-03 14:30:11,868.0,1.0,103.0,8260211
NEW ZEALAND,2020-04-03 17:30:12,868.0,1.0,103.0,8271012
NEW ZEALAND,2020-04-03 20:30:12,868.0,1.0,103.0,8281812
NEW ZEALAND,2020-04-03 23:30:19,868.0,1.0,103.0,8292619
NEW ZEALAND,2020-04-04 08:30:14,950.0,1.0,127.0,8325014
NEW ZEALAND,2020-04-04 11:30:14,950.0,1.0,127.0,8335814
NEW ZEALAND,2020-04-04 14:30:16,950.0,1.0,127.0,8346616
NEW ZEALAND,2020-04-04 17:30:18,950.0,1.0,127.0,8357418
NEW ZEALAND,2020-04-04 20:30:33,950.0,1.0,127.0,8368233
NEW ZEALAND,2020-04-04 23:30:05,950.0,1.0,127.0,8379005
NEW ZEALAND,2020-04-05 08:30:07,1039.0,1.0,156.0,8411407
NEW ZEALAND,2020-04-05 11:30:03,1039.0,1.0,156.0,8422203
NEW ZEALAND,2020-04-05 14:30:04,1039.0,1.0,156.0,8433004
NEW ZEALAND,2020-04-05 17:40:33,1039.0,1.0,156.0,8444433
NEW ZEALAND,2020-04-05 20:33:28,1039.0,1.0,156.0,8454808
NEW ZEALAND,2020-04-05 23:30:02,1039.0,1.0,156.0,8465402
NEW ZEALAND,2020-04-06 08:37:49,1106.0,1.0,176.0,8498269
NEW ZEALAND,2020-04-06 11:30:05,1106.0,1.0,176.0,8508605
NEW ZEALAND,2020-04-06 14:44:21,1106.0,1.0,176.0,8520261
NEW ZEALAND,2020-04-06 17:30:04,1106.0,1.0,176.0,8530204
NEW ZEALAND,2020-04-06 21:00:44,1106.0,1.0,176.0,8542844
NEW ZEALAND,2020-04-07 00:00:03,1106.0,1.0,176.0,8553603
NEW ZEALAND,2020-04-07 09:00:04,1160.0,1.0,241.0,8586004
NEW ZEALAND,2020-04-07 12:15:51,1160.0,1.0,241.0,8597751
NEW ZEALAND,2020-04-07 15:59:55,1160.0,1.0,241.0,8611195
NEW ZEALAND,2020-04-07 18:03:46,1160.0,1.0,241.0,8618626
NEW ZEALAND,2020-04-07 21:32:15,1160.0,1.0,241.0,8631135
NEW ZEALAND,2020-04-08 00:00:04,1160.0,1.0,241.0,8640004
NEW ZEALAND,2020-04-08 09:00:46,1210.0,1.0,282.0,8672446
NEW ZEALAND,2020-04-08 12:21:18,1210.0,1.0,282.0,8684478
NEW ZEALAND,2020-04-08 15:04:46,1210.0,1.0,282.0,8694286
NEW ZEALAND,2020-04-08 18:11:16,1210.0,1.0,282.0,8705476
NEW ZEALAND,2020-04-08 21:33:56,1210.0,1.0,282.0,8717636
