Nation,Time,Confirmed Case,Death,Recover,timestamp
AUSTRIA,2020-04-03 14:30:10,11224.0,158.0,2022.0,8260210
AUSTRIA,2020-04-03 14:30:11,11224.0,158.0,2022.0,8260211
AUSTRIA,2020-04-03 17:30:12,11301.0,168.0,2022.0,8271012
AUSTRIA,2020-04-03 20:30:12,11412.0,168.0,2022.0,8281812
AUSTRIA,2020-04-03 23:30:19,11489.0,168.0,2022.0,8292619
AUSTRIA,2020-04-04 08:30:14,11524.0,168.0,2022.0,8325014
AUSTRIA,2020-04-04 11:30:14,11525.0,168.0,2022.0,8335814
AUSTRIA,2020-04-04 14:30:16,11781.0,168.0,2507.0,8346616
AUSTRIA,2020-04-04 17:30:18,11781.0,186.0,2507.0,8357418
AUSTRIA,2020-04-04 20:30:33,11781.0,186.0,2507.0,8368233
AUSTRIA,2020-04-04 23:30:05,11781.0,186.0,2507.0,8379005
AUSTRIA,2020-04-05 08:30:07,11781.0,186.0,2507.0,8411407
AUSTRIA,2020-04-05 11:30:03,11781.0,186.0,2507.0,8422203
AUSTRIA,2020-04-05 14:30:04,11821.0,204.0,2998.0,8433004
AUSTRIA,2020-04-05 17:40:33,12051.0,204.0,2998.0,8444433
AUSTRIA,2020-04-05 20:33:28,12051.0,204.0,2998.0,8454808
AUSTRIA,2020-04-05 23:30:02,12051.0,204.0,2998.0,8465402
AUSTRIA,2020-04-06 08:37:49,12051.0,204.0,2998.0,8498269
AUSTRIA,2020-04-06 11:30:05,12051.0,204.0,2998.0,8508605
AUSTRIA,2020-04-06 14:44:21,12072.0,220.0,3463.0,8520261
AUSTRIA,2020-04-06 17:30:04,12109.0,220.0,3463.0,8530204
AUSTRIA,2020-04-06 21:00:44,12261.0,220.0,3463.0,8542844
AUSTRIA,2020-04-07 00:00:03,12286.0,220.0,3463.0,8553603
AUSTRIA,2020-04-07 09:00:04,12297.0,220.0,3463.0,8586004
AUSTRIA,2020-04-07 12:15:51,12332.0,220.0,3463.0,8597751
AUSTRIA,2020-04-07 15:59:55,12427.0,243.0,4046.0,8611195
AUSTRIA,2020-04-07 18:03:46,12488.0,243.0,4046.0,8618626
AUSTRIA,2020-04-07 21:32:15,12592.0,243.0,4046.0,8631135
AUSTRIA,2020-04-08 00:00:04,12616.0,243.0,4046.0,8640004
AUSTRIA,2020-04-08 09:00:46,12640.0,243.0,4046.0,8672446
AUSTRIA,2020-04-08 12:21:18,12675.0,243.0,4046.0,8684478
AUSTRIA,2020-04-08 15:04:46,12734.0,273.0,4512.0,8694286
AUSTRIA,2020-04-08 18:11:16,12824.0,273.0,4512.0,8705476
AUSTRIA,2020-04-08 21:33:56,12901.0,273.0,4512.0,8717636
AUSTRIA,2020-04-09 00:14:12,12930.0,273.0,4512.0,8727252
AUSTRIA,2020-04-09 11:19:24,12942.0,273.0,4512.0,8767164
AUSTRIA,2020-04-09 12:07:24,12969.0,273.0,4512.0,8770044
AUSTRIA,2020-04-09 14:57:09,13011.0,295.0,5240.0,8780229
AUSTRIA,2020-04-09 18:00:02,13105.0,295.0,5240.0,8791202
AUSTRIA,2020-04-10 01:06:14,13244.0,295.0,5240.0,8816774
AUSTRIA,2020-04-10 09:04:46,13248.0,295.0,5240.0,8845486
AUSTRIA,2020-04-10 12:09:17,13271.0,295.0,5240.0,8856557
AUSTRIA,2020-04-10 14:55:51,13377.0,319.0,6064.0,8866551
AUSTRIA,2020-04-10 18:41:05,13453.0,319.0,6064.0,8880065
AUSTRIA,2020-04-10 21:59:17,13531.0,319.0,6064.0,8891957
AUSTRIA,2020-04-11 00:00:34,13551.0,319.0,6064.0,8899234
AUSTRIA,2020-04-11 09:01:32,13560.0,319.0,6064.0,8931692
AUSTRIA,2020-04-11 12:08:24,13561.0,319.0,6064.0,8942904
AUSTRIA,2020-04-11 17:00:40,13744.0,337.0,6604.0,8960440
AUSTRIA,2020-04-11 18:12:28,13767.0,337.0,6604.0,8964748
AUSTRIA,2020-04-11 21:44:19,13795.0,337.0,6604.0,8977459
AUSTRIA,2020-04-11 23:59:29,13798.0,337.0,6604.0,8985569
AUSTRIA,2020-04-12 09:00:42,13806.0,337.0,6604.0,9018042
AUSTRIA,2020-04-12 12:05:42,13810.0,337.0,6604.0,9029142
AUSTRIA,2020-04-12 15:09:25,13945.0,350.0,6987.0,9040165
AUSTRIA,2020-04-12 18:22:01,13945.0,350.0,6987.0,9051721
AUSTRIA,2020-04-12 20:59:25,13945.0,350.0,6987.0,9061165
AUSTRIA,2020-04-13 00:07:13,13945.0,350.0,6987.0,9072433
AUSTRIA,2020-04-13 09:26:16,13945.0,350.0,6987.0,9105976
AUSTRIA,2020-04-13 11:59:14,13945.0,350.0,6987.0,9115154
AUSTRIA,2020-04-13 15:13:01,13972.0,350.0,6987.0,9126781
AUSTRIA,2020-04-13 20:23:47,14080.0,368.0,7343.0,9145427
AUSTRIA,2020-04-13 21:01:27,14080.0,368.0,7343.0,9147687
AUSTRIA,2020-04-14 00:30:40,14080.0,368.0,7343.0,9160240
AUSTRIA,2020-04-14 09:09:09,14080.0,368.0,7343.0,9191349
AUSTRIA,2020-04-14 12:13:23,14080.0,368.0,7343.0,9202403
AUSTRIA,2020-04-14 15:49:28,14119.0,384.0,7633.0,9215368
AUSTRIA,2020-04-14 18:27:14,14146.0,384.0,7633.0,9224834
AUSTRIA,2020-04-14 21:18:50,14185.0,384.0,7633.0,9235130
AUSTRIA,2020-04-15 00:07:14,14224.0,384.0,7633.0,9245234
AUSTRIA,2020-04-15 09:00:09,14226.0,384.0,7633.0,9277209
AUSTRIA,2020-04-15 14:56:18,14280.0,393.0,8098.0,9298578
AUSTRIA,2020-04-15 19:52:38,14325.0,393.0,8098.0,9316358
AUSTRIA,2020-04-15 21:18:33,14325.0,393.0,8098.0,9321513
AUSTRIA,2020-04-16 00:51:15,14336.0,393.0,8098.0,9334275
AUSTRIA,2020-04-16 09:04:51,14350.0,393.0,8098.0,9363891
AUSTRIA,2020-04-16 12:05:08,14370.0,393.0,8098.0,9374708
AUSTRIA,2020-04-16 14:57:08,14412.0,410.0,8986.0,9385028
AUSTRIA,2020-04-16 17:58:25,14443.0,410.0,8986.0,9395905
AUSTRIA,2020-04-16 22:41:20,14474.0,410.0,8986.0,9412880
AUSTRIA,2020-04-17 01:32:36,14475.0,410.0,8986.0,9423156
AUSTRIA,2020-04-17 09:11:04,14476.0,410.0,8986.0,9450664
AUSTRIA,2020-04-17 12:02:01,14484.0,410.0,8986.0,9460921
AUSTRIA,2020-04-17 14:56:35,14566.0,431.0,9704.0,9471395
AUSTRIA,2020-04-17 18:39:21,14553.0,431.0,9704.0,9484761
AUSTRIA,2020-04-17 22:45:21,14579.0,431.0,9704.0,9499521
AUSTRIA,2020-04-18 08:54:14,14595.0,431.0,9704.0,9536054
AUSTRIA,2020-04-18 13:55:54,14608.0,431.0,10214.0,9554154
AUSTRIA,2020-04-18 15:41:06,14623.0,431.0,10214.0,9560466
AUSTRIA,2020-04-18 18:03:48,14671.0,443.0,10214.0,9569028
AUSTRIA,2020-04-19 00:17:39,14671.0,443.0,10214.0,9591459
AUSTRIA,2020-04-19 09:10:08,14671.0,443.0,10214.0,9623408
AUSTRIA,2020-04-19 15:11:32,14675.0,443.0,10501.0,9645092
AUSTRIA,2020-04-19 18:07:21,14689.0,443.0,10501.0,9655641
AUSTRIA,2020-04-19 21:01:51,14699.0,443.0,10501.0,9666111
AUSTRIA,2020-04-20 00:00:38,14749.0,452.0,10501.0,9676838
AUSTRIA,2020-04-20 12:46:45,14749.0,452.0,10501.0,9722805
AUSTRIA,2020-04-20 15:15:13,14749.0,452.0,10631.0,9731713
AUSTRIA,2020-04-20 18:00:55,14795.0,470.0,10631.0,9741655
AUSTRIA,2020-04-20 20:51:26,14795.0,470.0,10631.0,9751886
AUSTRIA,2020-04-20 23:57:35,14795.0,470.0,10631.0,9763055
AUSTRIA,2020-04-21 12:05:06,14795.0,470.0,10631.0,9806706
AUSTRIA,2020-04-21 18:05:54,14873.0,491.0,10971.0,9828354
AUSTRIA,2020-04-21 20:56:52,14873.0,491.0,10971.0,9838612
AUSTRIA,2020-04-22 10:13:50,14873.0,491.0,10971.0,9886430
AUSTRIA,2020-04-22 12:01:15,14873.0,491.0,10971.0,9892875
AUSTRIA,2020-04-22 15:04:35,14925.0,510.0,11328.0,9903875
AUSTRIA,2020-04-23 00:41:34,14925.0,510.0,11328.0,9938494
AUSTRIA,2020-04-23 11:00:28,14925.0,510.0,11328.0,9975628
AUSTRIA,2020-04-23 18:09:30,15002.0,522.0,11694.0,10001370
AUSTRIA,2020-04-23 21:15:10,15002.0,522.0,11694.0,10012510
AUSTRIA,2020-04-24 12:38:27,15002.0,522.0,11694.0,10067907
AUSTRIA,2020-04-24 15:07:01,15004.0,522.0,11872.0,10076821
AUSTRIA,2020-04-24 18:05:08,15071.0,522.0,11872.0,10087508
AUSTRIA,2020-04-25 01:24:20,15071.0,530.0,11872.0,10113860
AUSTRIA,2020-04-25 10:29:29,15071.0,530.0,11872.0,10146569
AUSTRIA,2020-04-25 13:06:30,15072.0,530.0,11872.0,10155990
AUSTRIA,2020-04-25 15:13:19,15148.0,536.0,12103.0,10163599
AUSTRIA,2020-04-25 18:05:53,15148.0,536.0,12103.0,10173953
AUSTRIA,2020-04-26 00:02:26,15148.0,536.0,12103.0,10195346
AUSTRIA,2020-04-26 10:30:36,15148.0,536.0,12103.0,10233036
AUSTRIA,2020-04-26 14:00:20,15148.0,536.0,12282.0,10245620
AUSTRIA,2020-04-26 15:00:26,15143.0,530.0,12282.0,10249226
AUSTRIA,2020-04-26 18:04:29,15225.0,542.0,12282.0,10260269
AUSTRIA,2020-04-26 20:55:24,15225.0,542.0,12282.0,10270524
AUSTRIA,2020-04-27 01:26:23,15225.0,542.0,12282.0,10286783
AUSTRIA,2020-04-27 12:02:22,15225.0,542.0,12282.0,10324942
AUSTRIA,2020-04-27 18:28:29,15274.0,549.0,12362.0,10348109
AUSTRIA,2020-04-27 23:10:06,15274.0,549.0,12362.0,10365006
AUSTRIA,2020-04-28 00:52:18,15274.0,549.0,12362.0,10371138
AUSTRIA,2020-04-28 12:28:54,15274.0,549.0,12362.0,10412934
AUSTRIA,2020-04-29 00:05:46,15357.0,569.0,12580.0,10454746
AUSTRIA,2020-04-29 11:12:43,15357.0,569.0,12580.0,10494763
AUSTRIA,2020-04-29 13:02:52,15357.0,569.0,12580.0,10501372
AUSTRIA,2020-04-29 15:08:24,15357.0,569.0,12779.0,10508904
AUSTRIA,2020-04-29 18:09:12,15402.0,580.0,12779.0,10519752
AUSTRIA,2020-04-29 21:32:47,15402.0,580.0,12779.0,10531967
AUSTRIA,2020-04-30 00:17:29,15402.0,580.0,12779.0,10541849
AUSTRIA,2020-04-30 09:21:28,15402.0,580.0,12779.0,10574488
AUSTRIA,2020-04-30 12:29:51,15402.0,580.0,12779.0,10585791
AUSTRIA,2020-04-30 15:13:47,15452.0,584.0,12907.0,10595627
AUSTRIA,2020-05-01 00:05:16,15452.0,584.0,12907.0,10713916
AUSTRIA,2020-05-01 10:41:27,15457.0,584.0,12907.0,10752087
AUSTRIA,2020-05-01 11:53:59,15458.0,584.0,12907.0,10756439
AUSTRIA,2020-05-01 15:33:11,15561.0,589.0,13110.0,10769591
AUSTRIA,2020-05-01 17:55:59,15561.0,589.0,13110.0,10778159
AUSTRIA,2020-05-01 21:26:40,15531.0,589.0,13110.0,10790800
AUSTRIA,2020-05-02 00:11:13,15531.0,589.0,13110.0,10800673
AUSTRIA,2020-05-02 09:45:39,15531.0,589.0,13110.0,10835139
AUSTRIA,2020-05-02 12:46:52,15531.0,589.0,13110.0,10846012
AUSTRIA,2020-05-02 15:00:02,15531.0,589.0,13110.0,10854002
AUSTRIA,2020-05-02 18:00:30,15558.0,596.0,13180.0,10864830
AUSTRIA,2020-05-03 00:04:29,15558.0,596.0,13180.0,10886669
AUSTRIA,2020-05-03 11:56:15,15558.0,596.0,13180.0,10929375
AUSTRIA,2020-05-03 15:05:11,15597.0,598.0,13228.0,10940711
AUSTRIA,2020-05-03 17:57:14,15597.0,598.0,13228.0,10951034
AUSTRIA,2020-05-03 21:09:20,15597.0,598.0,13228.0,10962560
AUSTRIA,2020-05-03 23:58:14,15597.0,598.0,13228.0,10972694
AUSTRIA,2020-05-04 15:08:30,15597.0,598.0,13228.0,11027310
AUSTRIA,2020-05-04 18:37:54,15621.0,600.0,13316.0,11039874
AUSTRIA,2020-05-04 23:58:07,15621.0,600.0,13316.0,11059087
AUSTRIA,2020-05-05 01:13:37,15621.0,600.0,13316.0,11063617
AUSTRIA,2020-05-05 13:08:43,15621.0,600.0,13316.0,11106523
AUSTRIA,2020-05-05 15:01:21,15650.0,606.0,13462.0,11113281
AUSTRIA,2020-05-05 21:05:55,15650.0,606.0,13462.0,11135155
AUSTRIA,2020-05-06 00:00:44,15650.0,606.0,13462.0,11145644
AUSTRIA,2020-05-06 12:01:14,15650.0,606.0,13462.0,11188874
AUSTRIA,2020-05-06 18:00:04,15684.0,608.0,13639.0,11210404
AUSTRIA,2020-05-07 00:14:11,15684.0,608.0,13639.0,11232851
AUSTRIA,2020-05-07 11:57:25,15684.0,608.0,13639.0,11275045
AUSTRIA,2020-05-07 15:00:03,15752.0,609.0,13698.0,11286003
AUSTRIA,2020-05-07 18:26:51,15752.0,609.0,13698.0,11298411
AUSTRIA,2020-05-07 23:58:31,15752.0,609.0,13698.0,11318311
AUSTRIA,2020-05-08 12:02:06,15752.0,609.0,13698.0,11361726
AUSTRIA,2020-05-08 15:12:55,15752.0,614.0,13836.0,11373175
AUSTRIA,2020-05-08 18:26:19,15774.0,614.0,13836.0,11384779
AUSTRIA,2020-05-08 21:29:34,15774.0,614.0,13836.0,11395774
AUSTRIA,2020-05-09 00:43:24,15774.0,614.0,13836.0,11407404
AUSTRIA,2020-05-09 13:13:55,15774.0,614.0,13836.0,11452435
AUSTRIA,2020-05-09 15:22:29,15833.0,615.0,13928.0,11460149
AUSTRIA,2020-05-09 18:00:02,15833.0,615.0,13928.0,11469602
AUSTRIA,2020-05-10 00:44:24,15833.0,615.0,13928.0,11493864
AUSTRIA,2020-05-10 12:00:15,15833.0,615.0,13928.0,11534415
AUSTRIA,2020-05-10 15:09:02,15833.0,618.0,13991.0,11545742
