Nation,Time,Confirmed Case,Death,Recover,timestamp
TOGO,2020-04-03 14:30:10,39.0,2.0,17.0,8260210
TOGO,2020-04-03 14:30:11,39.0,2.0,17.0,8260211
TOGO,2020-04-03 17:30:12,39.0,2.0,17.0,8271012
TOGO,2020-04-03 20:30:12,40.0,3.0,17.0,8281812
TOGO,2020-04-03 23:30:19,40.0,3.0,17.0,8292619
TOGO,2020-04-04 08:30:14,40.0,3.0,17.0,8325014
TOGO,2020-04-04 11:30:14,40.0,3.0,17.0,8335814
TOGO,2020-04-04 14:30:16,40.0,3.0,17.0,8346616
TOGO,2020-04-04 17:30:18,40.0,3.0,17.0,8357418
TOGO,2020-04-04 20:30:33,41.0,3.0,17.0,8368233
TOGO,2020-04-04 23:30:05,41.0,3.0,17.0,8379005
TOGO,2020-04-05 08:30:07,41.0,3.0,17.0,8411407
TOGO,2020-04-05 11:30:03,41.0,3.0,17.0,8422203
TOGO,2020-04-05 14:30:04,41.0,3.0,17.0,8433004
TOGO,2020-04-05 17:40:33,41.0,3.0,17.0,8444433
TOGO,2020-04-05 20:33:28,44.0,3.0,20.0,8454808
TOGO,2020-04-05 23:30:02,44.0,3.0,20.0,8465402
TOGO,2020-04-06 08:37:49,44.0,3.0,20.0,8498269
TOGO,2020-04-06 11:30:05,44.0,3.0,20.0,8508605
TOGO,2020-04-06 14:44:21,44.0,3.0,20.0,8520261
TOGO,2020-04-06 17:30:04,52.0,3.0,22.0,8530204
TOGO,2020-04-06 21:00:44,52.0,3.0,22.0,8542844
TOGO,2020-04-07 00:00:03,52.0,3.0,22.0,8553603
TOGO,2020-04-07 09:00:04,58.0,3.0,23.0,8586004
TOGO,2020-04-07 12:15:51,58.0,3.0,23.0,8597751
TOGO,2020-04-07 15:59:55,58.0,3.0,23.0,8611195
TOGO,2020-04-07 18:03:46,58.0,3.0,23.0,8618626
TOGO,2020-04-07 21:32:15,65.0,3.0,23.0,8631135
TOGO,2020-04-08 00:00:04,65.0,3.0,23.0,8640004
TOGO,2020-04-08 09:00:46,65.0,3.0,23.0,8672446
TOGO,2020-04-08 12:21:18,65.0,3.0,23.0,8684478
TOGO,2020-04-08 15:04:46,65.0,3.0,23.0,8694286
TOGO,2020-04-08 18:11:16,65.0,3.0,23.0,8705476
TOGO,2020-04-08 21:33:56,70.0,3.0,23.0,8717636
TOGO,2020-04-09 00:14:12,70.0,3.0,23.0,8727252
TOGO,2020-04-09 11:19:24,70.0,3.0,23.0,8767164
TOGO,2020-04-09 12:07:24,70.0,3.0,23.0,8770044
TOGO,2020-04-09 14:57:09,70.0,3.0,23.0,8780229
TOGO,2020-04-09 18:00:02,70.0,3.0,23.0,8791202
TOGO,2020-04-10 01:06:14,73.0,3.0,24.0,8816774
TOGO,2020-04-10 09:04:46,73.0,3.0,24.0,8845486
TOGO,2020-04-10 12:09:17,73.0,3.0,24.0,8856557
TOGO,2020-04-10 14:55:51,73.0,3.0,24.0,8866551
TOGO,2020-04-10 18:41:05,76.0,3.0,25.0,8880065
TOGO,2020-04-10 21:59:17,76.0,3.0,25.0,8891957
TOGO,2020-04-11 00:00:34,76.0,3.0,25.0,8899234
TOGO,2020-04-11 09:01:32,76.0,3.0,25.0,8931692
TOGO,2020-04-11 12:08:24,76.0,3.0,25.0,8942904
TOGO,2020-04-11 17:00:40,76.0,3.0,25.0,8960440
TOGO,2020-04-11 18:12:28,76.0,3.0,25.0,8964748
TOGO,2020-04-11 21:44:19,76.0,3.0,25.0,8977459
TOGO,2020-04-11 23:59:29,76.0,3.0,25.0,8985569
