Nation,Time,Confirmed Case,Death,Recover,timestamp
TIMOR-LESTE,2020-04-03 14:30:10,1.0,0.0,0.0,8260210
TIMOR-LESTE,2020-04-03 14:30:11,1.0,0.0,0.0,8260211
TIMOR-LESTE,2020-04-03 17:30:12,1.0,0.0,0.0,8271012
TIMOR-LESTE,2020-04-03 20:30:12,1.0,0.0,0.0,8281812
TIMOR-LESTE,2020-04-03 23:30:19,1.0,0.0,0.0,8292619
TIMOR-LESTE,2020-04-04 08:30:14,1.0,0.0,0.0,8325014
TIMOR-LESTE,2020-04-04 11:30:14,1.0,0.0,0.0,8335814
TIMOR-LESTE,2020-04-04 14:30:16,1.0,0.0,0.0,8346616
TIMOR-LESTE,2020-04-04 17:30:18,1.0,0.0,0.0,8357418
TIMOR-LESTE,2020-04-04 20:30:33,1.0,0.0,0.0,8368233
TIMOR-LESTE,2020-04-04 23:30:05,1.0,0.0,0.0,8379005
TIMOR-LESTE,2020-04-05 08:30:07,1.0,0.0,0.0,8411407
TIMOR-LESTE,2020-04-05 11:30:03,1.0,0.0,0.0,8422203
TIMOR-LESTE,2020-04-05 14:30:04,1.0,0.0,0.0,8433004
TIMOR-LESTE,2020-04-05 17:40:33,1.0,0.0,0.0,8444433
TIMOR-LESTE,2020-04-05 20:33:28,1.0,0.0,0.0,8454808
TIMOR-LESTE,2020-04-05 23:30:02,1.0,0.0,0.0,8465402
TIMOR-LESTE,2020-04-06 08:37:49,1.0,0.0,0.0,8498269
TIMOR-LESTE,2020-04-06 11:30:05,1.0,0.0,0.0,8508605
TIMOR-LESTE,2020-04-06 14:44:21,1.0,0.0,0.0,8520261
TIMOR-LESTE,2020-04-06 17:30:04,1.0,0.0,0.0,8530204
TIMOR-LESTE,2020-04-06 21:00:44,1.0,0.0,0.0,8542844
TIMOR-LESTE,2020-04-07 00:00:03,1.0,0.0,0.0,8553603
TIMOR-LESTE,2020-04-07 09:00:04,1.0,0.0,0.0,8586004
TIMOR-LESTE,2020-04-07 12:15:51,1.0,0.0,0.0,8597751
TIMOR-LESTE,2020-04-07 15:59:55,1.0,0.0,0.0,8611195
TIMOR-LESTE,2020-04-07 18:03:46,1.0,0.0,0.0,8618626
TIMOR-LESTE,2020-04-07 21:32:15,1.0,0.0,0.0,8631135
TIMOR-LESTE,2020-04-08 00:00:04,1.0,0.0,0.0,8640004
TIMOR-LESTE,2020-04-08 09:00:46,1.0,0.0,0.0,8672446
TIMOR-LESTE,2020-04-08 12:21:18,1.0,0.0,0.0,8684478
TIMOR-LESTE,2020-04-08 15:04:46,1.0,0.0,0.0,8694286
TIMOR-LESTE,2020-04-08 18:11:16,1.0,0.0,0.0,8705476
TIMOR-LESTE,2020-04-08 21:33:56,1.0,0.0,0.0,8717636
TIMOR-LESTE,2020-04-09 00:14:12,1.0,0.0,0.0,8727252
TIMOR-LESTE,2020-04-09 11:19:24,1.0,0.0,0.0,8767164
TIMOR-LESTE,2020-04-09 12:07:24,1.0,0.0,0.0,8770044
TIMOR-LESTE,2020-04-09 14:57:09,1.0,0.0,0.0,8780229
TIMOR-LESTE,2020-04-09 18:00:02,1.0,0.0,0.0,8791202
TIMOR-LESTE,2020-04-10 01:06:14,1.0,0.0,0.0,8816774
TIMOR-LESTE,2020-04-10 09:04:46,1.0,0.0,0.0,8845486
TIMOR-LESTE,2020-04-10 12:09:17,2.0,0.0,1.0,8856557
TIMOR-LESTE,2020-04-10 14:55:51,2.0,0.0,1.0,8866551
TIMOR-LESTE,2020-04-10 18:41:05,2.0,0.0,1.0,8880065
TIMOR-LESTE,2020-04-10 21:59:17,2.0,0.0,1.0,8891957
TIMOR-LESTE,2020-04-11 00:00:34,2.0,0.0,1.0,8899234
TIMOR-LESTE,2020-04-11 09:01:32,2.0,0.0,1.0,8931692
TIMOR-LESTE,2020-04-11 12:08:24,2.0,0.0,1.0,8942904
TIMOR-LESTE,2020-04-11 17:00:40,2.0,0.0,1.0,8960440
TIMOR-LESTE,2020-04-11 18:12:28,2.0,0.0,1.0,8964748
TIMOR-LESTE,2020-04-11 21:44:19,2.0,0.0,1.0,8977459
TIMOR-LESTE,2020-04-11 23:59:29,2.0,0.0,1.0,8985569
TIMOR-LESTE,2020-04-12 09:00:42,2.0,0.0,1.0,9018042
TIMOR-LESTE,2020-04-12 12:05:42,2.0,0.0,1.0,9029142
TIMOR-LESTE,2020-04-12 15:09:25,2.0,0.0,1.0,9040165
TIMOR-LESTE,2020-04-12 18:22:01,2.0,0.0,1.0,9051721
TIMOR-LESTE,2020-04-12 20:59:25,2.0,0.0,1.0,9061165
TIMOR-LESTE,2020-04-13 00:07:13,2.0,0.0,1.0,9072433
TIMOR-LESTE,2020-04-13 09:26:16,2.0,0.0,1.0,9105976
TIMOR-LESTE,2020-04-13 11:59:14,2.0,0.0,1.0,9115154
TIMOR-LESTE,2020-04-13 15:13:01,2.0,0.0,1.0,9126781
TIMOR-LESTE,2020-04-13 20:23:47,4.0,0.0,1.0,9145427
TIMOR-LESTE,2020-04-13 21:01:27,4.0,0.0,1.0,9147687
TIMOR-LESTE,2020-04-14 00:30:40,4.0,0.0,1.0,9160240
TIMOR-LESTE,2020-04-14 09:09:09,4.0,0.0,1.0,9191349
TIMOR-LESTE,2020-04-14 12:13:23,4.0,0.0,1.0,9202403
TIMOR-LESTE,2020-04-14 15:49:28,6.0,0.0,1.0,9215368
TIMOR-LESTE,2020-04-14 18:27:14,6.0,0.0,1.0,9224834
TIMOR-LESTE,2020-04-14 21:18:50,6.0,0.0,1.0,9235130
TIMOR-LESTE,2020-04-15 00:07:14,6.0,0.0,1.0,9245234
TIMOR-LESTE,2020-04-15 09:00:09,6.0,0.0,1.0,9277209
TIMOR-LESTE,2020-04-15 14:56:18,8.0,0.0,1.0,9298578
TIMOR-LESTE,2020-04-15 19:52:38,8.0,0.0,1.0,9316358
TIMOR-LESTE,2020-04-15 21:18:33,8.0,0.0,1.0,9321513
TIMOR-LESTE,2020-04-16 00:51:15,8.0,0.0,1.0,9334275
TIMOR-LESTE,2020-04-16 09:04:51,8.0,0.0,1.0,9363891
TIMOR-LESTE,2020-04-16 12:05:08,8.0,0.0,1.0,9374708
TIMOR-LESTE,2020-04-16 14:57:08,18.0,0.0,1.0,9385028
TIMOR-LESTE,2020-04-16 17:58:25,18.0,0.0,1.0,9395905
TIMOR-LESTE,2020-04-16 22:41:20,18.0,0.0,1.0,9412880
TIMOR-LESTE,2020-04-17 01:32:36,18.0,0.0,1.0,9423156
TIMOR-LESTE,2020-04-17 09:11:04,18.0,0.0,1.0,9450664
TIMOR-LESTE,2020-04-17 12:02:01,18.0,0.0,1.0,9460921
TIMOR-LESTE,2020-04-17 14:56:35,18.0,0.0,1.0,9471395
TIMOR-LESTE,2020-04-17 18:39:21,18.0,0.0,1.0,9484761
TIMOR-LESTE,2020-04-17 22:45:21,18.0,0.0,1.0,9499521
TIMOR-LESTE,2020-04-18 08:54:14,18.0,0.0,1.0,9536054
TIMOR-LESTE,2020-04-18 13:55:54,18.0,0.0,1.0,9554154
TIMOR-LESTE,2020-04-18 15:41:06,18.0,0.0,1.0,9560466
TIMOR-LESTE,2020-04-18 18:03:48,18.0,0.0,1.0,9569028
TIMOR-LESTE,2020-04-19 00:17:39,18.0,0.0,1.0,9591459
TIMOR-LESTE,2020-04-19 09:10:08,18.0,0.0,1.0,9623408
TIMOR-LESTE,2020-04-19 15:11:32,18.0,0.0,1.0,9645092
TIMOR-LESTE,2020-04-19 18:07:21,19.0,0.0,1.0,9655641
TIMOR-LESTE,2020-04-19 21:01:51,19.0,0.0,1.0,9666111
TIMOR-LESTE,2020-04-20 00:00:38,19.0,0.0,1.0,9676838
TIMOR-LESTE,2020-04-20 12:46:45,19.0,0.0,1.0,9722805
TIMOR-LESTE,2020-04-20 15:15:13,22.0,0.0,1.0,9731713
TIMOR-LESTE,2020-04-20 18:00:55,22.0,0.0,1.0,9741655
TIMOR-LESTE,2020-04-20 20:51:26,22.0,0.0,1.0,9751886
TIMOR-LESTE,2020-04-20 23:57:35,22.0,0.0,1.0,9763055
TIMOR-LESTE,2020-04-21 12:05:06,22.0,0.0,1.0,9806706
TIMOR-LESTE,2020-04-21 18:05:54,23.0,0.0,1.0,9828354
TIMOR-LESTE,2020-04-21 20:56:52,23.0,0.0,1.0,9838612
TIMOR-LESTE,2020-04-22 10:13:50,23.0,0.0,1.0,9886430
TIMOR-LESTE,2020-04-22 12:01:15,23.0,0.0,1.0,9892875
TIMOR-LESTE,2020-04-22 15:04:35,23.0,0.0,1.0,9903875
TIMOR-LESTE,2020-04-23 00:41:34,23.0,0.0,1.0,9938494
TIMOR-LESTE,2020-04-23 11:00:28,23.0,0.0,1.0,9975628
TIMOR-LESTE,2020-04-23 18:09:30,23.0,0.0,1.0,10001370
TIMOR-LESTE,2020-04-23 21:15:10,23.0,0.0,1.0,10012510
TIMOR-LESTE,2020-04-24 12:38:27,23.0,0.0,1.0,10067907
TIMOR-LESTE,2020-04-24 15:07:01,23.0,0.0,1.0,10076821
TIMOR-LESTE,2020-04-24 18:05:08,23.0,0.0,1.0,10087508
TIMOR-LESTE,2020-04-25 01:24:20,23.0,0.0,1.0,10113860
TIMOR-LESTE,2020-04-25 10:29:29,24.0,0.0,2.0,10146569
TIMOR-LESTE,2020-04-25 13:06:30,24.0,0.0,2.0,10155990
TIMOR-LESTE,2020-04-25 15:13:19,24.0,0.0,2.0,10163599
TIMOR-LESTE,2020-04-25 18:05:53,24.0,0.0,2.0,10173953
TIMOR-LESTE,2020-04-26 00:02:26,24.0,0.0,2.0,10195346
TIMOR-LESTE,2020-04-26 10:30:36,24.0,0.0,2.0,10233036
TIMOR-LESTE,2020-04-26 14:00:20,24.0,0.0,2.0,10245620
TIMOR-LESTE,2020-04-26 15:00:26,24.0,0.0,2.0,10249226
TIMOR-LESTE,2020-04-26 18:04:29,24.0,0.0,2.0,10260269
TIMOR-LESTE,2020-04-26 20:55:24,24.0,0.0,2.0,10270524
TIMOR-LESTE,2020-04-27 01:26:23,24.0,0.0,2.0,10286783
TIMOR-LESTE,2020-04-27 12:02:22,24.0,0.0,2.0,10324942
TIMOR-LESTE,2020-04-27 18:28:29,24.0,0.0,6.0,10348109
TIMOR-LESTE,2020-04-27 23:10:06,24.0,0.0,6.0,10365006
TIMOR-LESTE,2020-04-28 00:52:18,24.0,0.0,6.0,10371138
TIMOR-LESTE,2020-04-28 12:28:54,24.0,0.0,6.0,10412934
TIMOR-LESTE,2020-04-29 00:05:46,24.0,0.0,6.0,10454746
TIMOR-LESTE,2020-04-29 11:12:43,24.0,0.0,6.0,10494763
TIMOR-LESTE,2020-04-29 13:02:52,24.0,0.0,6.0,10501372
TIMOR-LESTE,2020-04-29 15:08:24,24.0,0.0,6.0,10508904
TIMOR-LESTE,2020-04-29 18:09:12,24.0,0.0,6.0,10519752
TIMOR-LESTE,2020-04-29 21:32:47,24.0,0.0,6.0,10531967
TIMOR-LESTE,2020-04-30 00:17:29,24.0,0.0,6.0,10541849
TIMOR-LESTE,2020-04-30 09:21:28,24.0,0.0,6.0,10574488
TIMOR-LESTE,2020-04-30 12:29:51,24.0,0.0,6.0,10585791
TIMOR-LESTE,2020-04-30 15:13:47,24.0,0.0,6.0,10595627
TIMOR-LESTE,2020-05-01 00:05:16,24.0,0.0,16.0,10713916
TIMOR-LESTE,2020-05-01 10:41:27,24.0,0.0,16.0,10752087
TIMOR-LESTE,2020-05-01 11:53:59,24.0,0.0,16.0,10756439
TIMOR-LESTE,2020-05-01 15:33:11,24.0,0.0,16.0,10769591
TIMOR-LESTE,2020-05-01 17:55:59,24.0,0.0,16.0,10778159
TIMOR-LESTE,2020-05-01 21:26:40,24.0,0.0,16.0,10790800
TIMOR-LESTE,2020-05-02 00:11:13,24.0,0.0,16.0,10800673
TIMOR-LESTE,2020-05-02 09:45:39,24.0,0.0,16.0,10835139
TIMOR-LESTE,2020-05-02 12:46:52,24.0,0.0,16.0,10846012
TIMOR-LESTE,2020-05-02 15:00:02,24.0,0.0,16.0,10854002
TIMOR-LESTE,2020-05-02 18:00:30,24.0,0.0,16.0,10864830
TIMOR-LESTE,2020-05-03 00:04:29,24.0,0.0,16.0,10886669
TIMOR-LESTE,2020-05-03 11:56:15,24.0,0.0,16.0,10929375
TIMOR-LESTE,2020-05-03 15:05:11,24.0,0.0,16.0,10940711
TIMOR-LESTE,2020-05-03 17:57:14,24.0,0.0,16.0,10951034
TIMOR-LESTE,2020-05-03 21:09:20,24.0,0.0,16.0,10962560
TIMOR-LESTE,2020-05-03 23:58:14,24.0,0.0,16.0,10972694
TIMOR-LESTE,2020-05-04 15:08:30,24.0,0.0,20.0,11027310
TIMOR-LESTE,2020-05-04 18:37:54,24.0,0.0,20.0,11039874
TIMOR-LESTE,2020-05-04 23:58:07,24.0,0.0,20.0,11059087
TIMOR-LESTE,2020-05-05 01:13:37,24.0,0.0,20.0,11063617
TIMOR-LESTE,2020-05-05 13:08:43,24.0,0.0,20.0,11106523
TIMOR-LESTE,2020-05-05 15:01:21,24.0,0.0,20.0,11113281
TIMOR-LESTE,2020-05-05 21:05:55,24.0,0.0,20.0,11135155
TIMOR-LESTE,2020-05-06 00:00:44,24.0,0.0,20.0,11145644
TIMOR-LESTE,2020-05-06 12:01:14,24.0,0.0,20.0,11188874
TIMOR-LESTE,2020-05-06 18:00:04,24.0,0.0,20.0,11210404
TIMOR-LESTE,2020-05-07 00:14:11,24.0,0.0,20.0,11232851
TIMOR-LESTE,2020-05-07 11:57:25,24.0,0.0,20.0,11275045
TIMOR-LESTE,2020-05-07 15:00:03,24.0,0.0,20.0,11286003
TIMOR-LESTE,2020-05-07 18:26:51,24.0,0.0,20.0,11298411
TIMOR-LESTE,2020-05-07 23:58:31,24.0,0.0,20.0,11318311
TIMOR-LESTE,2020-05-08 12:02:06,24.0,0.0,21.0,11361726
TIMOR-LESTE,2020-05-08 15:12:55,24.0,0.0,21.0,11373175
TIMOR-LESTE,2020-05-08 18:26:19,24.0,0.0,21.0,11384779
TIMOR-LESTE,2020-05-08 21:29:34,24.0,0.0,17.0,11395774
TIMOR-LESTE,2020-05-09 00:43:24,24.0,0.0,17.0,11407404
TIMOR-LESTE,2020-05-09 13:13:55,24.0,0.0,17.0,11452435
TIMOR-LESTE,2020-05-09 15:22:29,24.0,0.0,17.0,11460149
TIMOR-LESTE,2020-05-09 18:00:02,24.0,0.0,17.0,11469602
TIMOR-LESTE,2020-05-10 00:44:24,24.0,0.0,17.0,11493864
TIMOR-LESTE,2020-05-10 12:00:15,24.0,0.0,17.0,11534415
TIMOR-LESTE,2020-05-10 15:09:02,24.0,0.0,17.0,11545742
TIMOR-LESTE,2020-05-10 22:50:52,24.0,0.0,17.0,11573452
TIMOR-LESTE,2020-05-10 23:59:01,24.0,0.0,17.0,11577541
TIMOR-LESTE,2020-05-11 10:34:59,24.0,0.0,17.0,11615699
TIMOR-LESTE,2020-05-11 14:55:28,24.0,0.0,17.0,11631328
TIMOR-LESTE,2020-05-11 19:31:25,24.0,0.0,17.0,11647885
TIMOR-LESTE,2020-05-11 21:00:14,24.0,0.0,17.0,11653214
TIMOR-LESTE,2020-05-12 01:00:51,24.0,0.0,17.0,11667651
TIMOR-LESTE,2020-05-12 10:08:26,24.0,0.0,17.0,11700506
TIMOR-LESTE,2020-05-12 12:02:54,24.0,0.0,17.0,11707374
TIMOR-LESTE,2020-05-12 15:00:02,24.0,0.0,18.0,11718002
TIMOR-LESTE,2020-05-12 17:58:36,24.0,0.0,18.0,11728716
TIMOR-LESTE,2020-05-12 21:01:11,24.0,0.0,18.0,11739671
TIMOR-LESTE,2020-05-12 23:56:29,24.0,0.0,18.0,11750189
TIMOR-LESTE,2020-05-13 10:34:40,24.0,0.0,18.0,11788480
TIMOR-LESTE,2020-05-13 12:00:02,24.0,0.0,18.0,11793602
TIMOR-LESTE,2020-05-13 16:27:08,24.0,0.0,18.0,11809628
TIMOR-LESTE,2020-05-13 21:00:25,24.0,0.0,18.0,11826025
TIMOR-LESTE,2020-05-14 00:30:12,24.0,0.0,18.0,11838612
TIMOR-LESTE,2020-05-14 12:01:47,24.0,0.0,18.0,11880107
TIMOR-LESTE,2020-05-14 15:54:36,24.0,0.0,18.0,11894076
TIMOR-LESTE,2020-05-14 19:05:05,24.0,0.0,19.0,11905505
TIMOR-LESTE,2020-05-14 20:56:04,24.0,0.0,19.0,11912164
TIMOR-LESTE,2020-05-15 01:21:38,24.0,0.0,19.0,11928098
TIMOR-LESTE,2020-05-15 12:16:09,24.0,0.0,19.0,11967369
TIMOR-LESTE,2020-05-15 15:26:20,24.0,0.0,19.0,11978780
TIMOR-LESTE,2020-05-15 17:53:43,24.0,0.0,19.0,11987623
TIMOR-LESTE,2020-05-15 21:00:16,24.0,0.0,19.0,11998816
TIMOR-LESTE,2020-05-15 23:56:42,24.0,0.0,19.0,12009402
TIMOR-LESTE,2020-05-16 12:26:00,24.0,0.0,24.0,12054360
TIMOR-LESTE,2020-05-16 17:05:26,24.0,0.0,24.0,12071126
TIMOR-LESTE,2020-05-16 18:40:21,24.0,0.0,24.0,12076821
TIMOR-LESTE,2020-05-16 23:58:26,24.0,0.0,24.0,12095906
TIMOR-LESTE,2020-05-17 12:00:02,24.0,0.0,24.0,12139202
TIMOR-LESTE,2020-05-17 14:58:45,24.0,0.0,24.0,12149925
TIMOR-LESTE,2020-05-17 18:48:59,24.0,0.0,24.0,12163739
TIMOR-LESTE,2020-05-17 21:23:35,24.0,0.0,24.0,12173015
TIMOR-LESTE,2020-05-18 00:05:04,24.0,0.0,24.0,12182704
TIMOR-LESTE,2020-05-18 12:02:55,24.0,0.0,24.0,12225775
TIMOR-LESTE,2020-05-18 15:32:44,24.0,0.0,24.0,12238364
TIMOR-LESTE,2020-05-18 18:17:04,24.0,0.0,24.0,12248224
TIMOR-LESTE,2020-05-18 21:14:07,24.0,0.0,24.0,12258847
TIMOR-LESTE,2020-05-18 23:56:07,24.0,0.0,24.0,12268567
TIMOR-LESTE,2020-05-19 11:30:38,24.0,0.0,24.0,12310238
TIMOR-LESTE,2020-05-19 16:31:59,24.0,0.0,24.0,12328319
TIMOR-LESTE,2020-05-19 19:06:49,24.0,0.0,24.0,12337609
TIMOR-LESTE,2020-05-19 21:27:31,24.0,0.0,24.0,12346051
TIMOR-LESTE,2020-05-19 23:57:27,24.0,0.0,24.0,12355047
TIMOR-LESTE,2020-05-20 12:03:00,24.0,0.0,24.0,12398580
TIMOR-LESTE,2020-05-20 14:57:38,24.0,0.0,24.0,12409058
TIMOR-LESTE,2020-05-20 17:44:53,24.0,0.0,24.0,12419093
TIMOR-LESTE,2020-05-20 21:15:28,24.0,0.0,24.0,12431728
TIMOR-LESTE,2020-05-21 00:14:36,24.0,0.0,24.0,12442476
TIMOR-LESTE,2020-05-21 09:38:15,24.0,0.0,24.0,12476295
TIMOR-LESTE,2020-05-21 12:11:17,24.0,0.0,24.0,12485477
TIMOR-LESTE,2020-05-21 14:59:56,24.0,0.0,24.0,12495596
TIMOR-LESTE,2020-05-21 21:24:22,24.0,0.0,24.0,12518662
TIMOR-LESTE,2020-05-22 00:00:02,24.0,0.0,24.0,12528002
TIMOR-LESTE,2020-05-22 10:37:17,24.0,0.0,24.0,12566237
TIMOR-LESTE,2020-05-22 12:36:18,24.0,0.0,24.0,12573378
TIMOR-LESTE,2020-05-22 16:06:00,24.0,0.0,24.0,12585960
TIMOR-LESTE,2020-05-22 18:00:02,24.0,0.0,24.0,12592802
TIMOR-LESTE,2020-05-22 21:00:09,24.0,0.0,24.0,12603609
TIMOR-LESTE,2020-05-23 01:20:34,24.0,0.0,24.0,12619234
TIMOR-LESTE,2020-05-23 12:07:16,24.0,0.0,24.0,12658036
TIMOR-LESTE,2020-05-23 18:09:53,24.0,0.0,24.0,12679793
TIMOR-LESTE,2020-05-23 22:02:48,24.0,0.0,24.0,12693768
TIMOR-LESTE,2020-05-24 00:00:02,24.0,0.0,24.0,12700802
TIMOR-LESTE,2020-05-24 12:54:52,24.0,0.0,24.0,12747292
TIMOR-LESTE,2020-05-24 16:07:25,24.0,0.0,24.0,12758845
TIMOR-LESTE,2020-05-24 18:12:44,24.0,0.0,24.0,12766364
TIMOR-LESTE,2020-05-24 22:29:08,24.0,0.0,24.0,12781748
TIMOR-LESTE,2020-05-25 01:32:08,24.0,0.0,24.0,12792728
TIMOR-LESTE,2020-05-25 09:46:16,24.0,0.0,24.0,12822376
TIMOR-LESTE,2020-05-25 12:12:38,24.0,0.0,24.0,12831158
TIMOR-LESTE,2020-05-25 15:12:03,24.0,0.0,24.0,12841923
TIMOR-LESTE,2020-05-25 18:41:27,24.0,0.0,24.0,12854487
TIMOR-LESTE,2020-05-25 21:51:14,24.0,0.0,24.0,12865874
TIMOR-LESTE,2020-05-26 01:53:29,24.0,0.0,24.0,12880409
TIMOR-LESTE,2020-05-26 12:00:25,24.0,0.0,24.0,12916825
TIMOR-LESTE,2020-05-26 16:13:04,24.0,0.0,24.0,12931984
TIMOR-LESTE,2020-05-26 18:02:31,24.0,0.0,24.0,12938551
TIMOR-LESTE,2020-05-26 20:52:11,24.0,0.0,24.0,12948731
TIMOR-LESTE,2020-05-27 00:00:03,24.0,0.0,24.0,12960003
TIMOR-LESTE,2020-05-27 12:10:26,24.0,0.0,24.0,13003826
TIMOR-LESTE,2020-05-27 15:19:50,24.0,0.0,24.0,13015190
TIMOR-LESTE,2020-05-27 18:03:01,24.0,0.0,24.0,13024981
TIMOR-LESTE,2020-05-27 21:01:30,24.0,0.0,24.0,13035690
TIMOR-LESTE,2020-05-28 00:11:23,24.0,0.0,24.0,13047083
TIMOR-LESTE,2020-05-28 12:23:58,24.0,0.0,24.0,13091038
TIMOR-LESTE,2020-05-28 15:04:04,24.0,0.0,24.0,13100644
TIMOR-LESTE,2020-05-28 18:07:10,24.0,0.0,24.0,13111630
TIMOR-LESTE,2020-05-28 21:31:41,24.0,0.0,24.0,13123901
