Nation,Time,Confirmed Case,Death,Recover,timestamp
URUGUAY,2020-04-03 14:30:10,369.0,4.0,68.0,8260210
URUGUAY,2020-04-03 14:30:11,369.0,4.0,68.0,8260211
URUGUAY,2020-04-03 17:30:12,369.0,4.0,68.0,8271012
URUGUAY,2020-04-03 20:30:12,369.0,4.0,68.0,8281812
URUGUAY,2020-04-03 23:30:19,369.0,4.0,68.0,8292619
URUGUAY,2020-04-04 08:30:14,386.0,4.0,86.0,8325014
URUGUAY,2020-04-04 11:30:14,386.0,4.0,86.0,8335814
URUGUAY,2020-04-04 14:30:16,386.0,4.0,86.0,8346616
URUGUAY,2020-04-04 17:30:18,386.0,4.0,86.0,8357418
URUGUAY,2020-04-04 20:30:33,386.0,4.0,86.0,8368233
URUGUAY,2020-04-04 23:30:05,386.0,4.0,86.0,8379005
URUGUAY,2020-04-05 08:30:07,400.0,5.0,93.0,8411407
URUGUAY,2020-04-05 11:30:03,400.0,5.0,93.0,8422203
URUGUAY,2020-04-05 14:30:04,400.0,5.0,93.0,8433004
URUGUAY,2020-04-05 17:40:33,400.0,5.0,93.0,8444433
URUGUAY,2020-04-05 20:33:28,400.0,5.0,93.0,8454808
URUGUAY,2020-04-05 23:30:02,400.0,5.0,93.0,8465402
URUGUAY,2020-04-06 08:37:49,406.0,6.0,104.0,8498269
URUGUAY,2020-04-06 11:30:05,406.0,6.0,104.0,8508605
URUGUAY,2020-04-06 14:44:21,406.0,6.0,104.0,8520261
URUGUAY,2020-04-06 17:30:04,406.0,6.0,104.0,8530204
URUGUAY,2020-04-06 21:00:44,406.0,6.0,104.0,8542844
URUGUAY,2020-04-07 00:00:03,406.0,6.0,104.0,8553603
URUGUAY,2020-04-07 09:00:04,415.0,6.0,123.0,8586004
URUGUAY,2020-04-07 12:15:51,415.0,6.0,123.0,8597751
URUGUAY,2020-04-07 15:59:55,415.0,6.0,123.0,8611195
URUGUAY,2020-04-07 18:03:46,415.0,6.0,123.0,8618626
URUGUAY,2020-04-07 21:32:15,415.0,6.0,123.0,8631135
URUGUAY,2020-04-08 00:00:04,415.0,6.0,123.0,8640004
URUGUAY,2020-04-08 09:00:46,424.0,7.0,150.0,8672446
URUGUAY,2020-04-08 12:21:18,424.0,7.0,150.0,8684478
URUGUAY,2020-04-08 15:04:46,424.0,7.0,150.0,8694286
URUGUAY,2020-04-08 18:11:16,424.0,7.0,150.0,8705476
URUGUAY,2020-04-08 21:33:56,424.0,7.0,150.0,8717636
