Nation,Time,Confirmed Case,Death,Recover,timestamp
TANZANIA,2020-04-03 14:30:10,20.0,1.0,2.0,8260210
TANZANIA,2020-04-03 14:30:11,20.0,1.0,2.0,8260211
TANZANIA,2020-04-03 17:30:12,20.0,1.0,3.0,8271012
TANZANIA,2020-04-03 20:30:12,20.0,1.0,3.0,8281812
TANZANIA,2020-04-03 23:30:19,20.0,1.0,3.0,8292619
TANZANIA,2020-04-04 08:30:14,20.0,1.0,3.0,8325014
TANZANIA,2020-04-04 11:30:14,20.0,1.0,3.0,8335814
TANZANIA,2020-04-04 14:30:16,20.0,1.0,3.0,8346616
TANZANIA,2020-04-04 17:30:18,20.0,1.0,3.0,8357418
TANZANIA,2020-04-04 20:30:33,20.0,1.0,3.0,8368233
TANZANIA,2020-04-04 23:30:05,20.0,1.0,3.0,8379005
TANZANIA,2020-04-05 08:30:07,20.0,1.0,3.0,8411407
TANZANIA,2020-04-05 11:30:03,20.0,1.0,3.0,8422203
TANZANIA,2020-04-05 14:30:04,20.0,1.0,3.0,8433004
TANZANIA,2020-04-05 17:40:33,20.0,1.0,3.0,8444433
TANZANIA,2020-04-05 20:33:28,20.0,1.0,3.0,8454808
TANZANIA,2020-04-05 23:30:02,20.0,1.0,3.0,8465402
TANZANIA,2020-04-06 08:37:49,22.0,1.0,3.0,8498269
TANZANIA,2020-04-06 11:30:05,22.0,1.0,3.0,8508605
TANZANIA,2020-04-06 14:44:21,22.0,1.0,3.0,8520261
TANZANIA,2020-04-06 17:30:04,22.0,1.0,3.0,8530204
TANZANIA,2020-04-06 21:00:44,24.0,1.0,3.0,8542844
TANZANIA,2020-04-07 00:00:03,24.0,1.0,3.0,8553603
TANZANIA,2020-04-07 09:00:04,24.0,1.0,3.0,8586004
TANZANIA,2020-04-07 12:15:51,24.0,1.0,3.0,8597751
TANZANIA,2020-04-07 15:59:55,24.0,1.0,3.0,8611195
TANZANIA,2020-04-07 18:03:46,24.0,1.0,5.0,8618626
TANZANIA,2020-04-07 21:32:15,24.0,1.0,5.0,8631135
TANZANIA,2020-04-08 00:00:04,24.0,1.0,5.0,8640004
TANZANIA,2020-04-08 09:00:46,24.0,1.0,5.0,8672446
TANZANIA,2020-04-08 12:21:18,24.0,1.0,5.0,8684478
TANZANIA,2020-04-08 15:04:46,24.0,1.0,5.0,8694286
TANZANIA,2020-04-08 18:11:16,24.0,1.0,5.0,8705476
TANZANIA,2020-04-08 21:33:56,25.0,1.0,5.0,8717636
TANZANIA,2020-04-09 00:14:12,25.0,1.0,5.0,8727252
TANZANIA,2020-04-09 11:19:24,25.0,1.0,5.0,8767164
TANZANIA,2020-04-09 12:07:24,25.0,1.0,5.0,8770044
TANZANIA,2020-04-09 14:57:09,25.0,1.0,5.0,8780229
