Nation,Time,Confirmed Case,Death,Recover,timestamp
CZECH REPUBLIC,2020-04-03 14:30:10,3869.0,46.0,71.0,8260210
CZECH REPUBLIC,2020-04-03 14:30:11,3869.0,46.0,71.0,8260211
CZECH REPUBLIC,2020-04-03 17:30:12,3869.0,46.0,71.0,8271012
CZECH REPUBLIC,2020-04-03 20:30:12,3869.0,46.0,71.0,8281812
CZECH REPUBLIC,2020-04-03 23:30:19,4091.0,53.0,72.0,8292619
CZECH REPUBLIC,2020-04-04 08:30:14,4190.0,53.0,72.0,8325014
CZECH REPUBLIC,2020-04-04 11:30:14,4190.0,53.0,72.0,8335814
CZECH REPUBLIC,2020-04-04 14:30:16,4194.0,56.0,74.0,8346616
CZECH REPUBLIC,2020-04-04 17:30:18,4194.0,56.0,74.0,8357418
CZECH REPUBLIC,2020-04-04 20:30:33,4194.0,56.0,74.0,8368233
CZECH REPUBLIC,2020-04-04 23:30:05,4362.0,59.0,78.0,8379005
CZECH REPUBLIC,2020-04-05 08:30:07,4472.0,59.0,78.0,8411407
CZECH REPUBLIC,2020-04-05 11:30:03,4472.0,59.0,78.0,8422203
CZECH REPUBLIC,2020-04-05 14:30:04,4475.0,62.0,78.0,8433004
CZECH REPUBLIC,2020-04-05 17:40:33,4475.0,62.0,78.0,8444433
CZECH REPUBLIC,2020-04-05 20:33:28,4475.0,62.0,78.0,8454808
CZECH REPUBLIC,2020-04-05 23:30:02,4543.0,67.0,96.0,8465402
CZECH REPUBLIC,2020-04-06 08:37:49,4587.0,67.0,96.0,8498269
CZECH REPUBLIC,2020-04-06 11:30:05,4587.0,67.0,96.0,8508605
CZECH REPUBLIC,2020-04-06 14:44:21,4591.0,72.0,96.0,8520261
CZECH REPUBLIC,2020-04-06 17:30:04,4591.0,72.0,96.0,8530204
CZECH REPUBLIC,2020-04-06 21:00:44,4591.0,72.0,96.0,8542844
CZECH REPUBLIC,2020-04-07 00:00:03,4735.0,78.0,121.0,8553603
CZECH REPUBLIC,2020-04-07 09:00:04,4822.0,78.0,121.0,8586004
CZECH REPUBLIC,2020-04-07 12:15:51,4828.0,80.0,127.0,8597751
