Nation,Time,Confirmed Case,Death,Recover,timestamp
ARMENIA,2020-04-03 14:30:10,736.0,7.0,43.0,8260210
ARMENIA,2020-04-03 14:30:11,736.0,7.0,43.0,8260211
ARMENIA,2020-04-03 17:30:12,736.0,7.0,43.0,8271012
ARMENIA,2020-04-03 20:30:12,736.0,7.0,43.0,8281812
ARMENIA,2020-04-03 23:30:19,736.0,7.0,43.0,8292619
ARMENIA,2020-04-04 08:30:14,736.0,7.0,43.0,8325014
ARMENIA,2020-04-04 11:30:14,736.0,7.0,43.0,8335814
ARMENIA,2020-04-04 14:30:16,770.0,7.0,43.0,8346616
ARMENIA,2020-04-04 17:30:18,770.0,7.0,43.0,8357418
ARMENIA,2020-04-04 20:30:33,770.0,7.0,43.0,8368233
ARMENIA,2020-04-04 23:30:05,770.0,7.0,43.0,8379005
ARMENIA,2020-04-05 08:30:07,770.0,7.0,43.0,8411407
ARMENIA,2020-04-05 11:30:03,770.0,7.0,43.0,8422203
ARMENIA,2020-04-05 14:30:04,822.0,7.0,57.0,8433004
ARMENIA,2020-04-05 17:40:33,822.0,7.0,57.0,8444433
ARMENIA,2020-04-05 20:33:28,822.0,7.0,57.0,8454808
ARMENIA,2020-04-05 23:30:02,822.0,7.0,57.0,8465402
ARMENIA,2020-04-06 08:37:49,822.0,7.0,57.0,8498269
ARMENIA,2020-04-06 11:30:05,822.0,7.0,57.0,8508605
ARMENIA,2020-04-06 14:44:21,833.0,8.0,62.0,8520261
ARMENIA,2020-04-06 17:30:04,833.0,8.0,62.0,8530204
ARMENIA,2020-04-06 21:00:44,833.0,8.0,62.0,8542844
ARMENIA,2020-04-07 00:00:03,833.0,8.0,62.0,8553603
ARMENIA,2020-04-07 09:00:04,833.0,8.0,62.0,8586004
ARMENIA,2020-04-07 12:15:51,833.0,8.0,62.0,8597751
ARMENIA,2020-04-07 15:59:55,853.0,8.0,87.0,8611195
ARMENIA,2020-04-07 18:03:46,853.0,8.0,87.0,8618626
ARMENIA,2020-04-07 21:32:15,853.0,8.0,87.0,8631135
ARMENIA,2020-04-08 00:00:04,853.0,8.0,87.0,8640004
ARMENIA,2020-04-08 09:00:46,853.0,8.0,87.0,8672446
ARMENIA,2020-04-08 12:21:18,853.0,8.0,87.0,8684478
ARMENIA,2020-04-08 15:04:46,881.0,9.0,114.0,8694286
ARMENIA,2020-04-08 18:11:16,881.0,9.0,114.0,8705476
ARMENIA,2020-04-08 21:33:56,881.0,9.0,114.0,8717636
ARMENIA,2020-04-09 00:14:12,881.0,9.0,114.0,8727252
ARMENIA,2020-04-09 11:19:24,881.0,9.0,114.0,8767164
ARMENIA,2020-04-09 12:07:24,881.0,9.0,114.0,8770044
ARMENIA,2020-04-09 14:57:09,921.0,10.0,138.0,8780229
ARMENIA,2020-04-09 18:00:02,921.0,10.0,138.0,8791202
ARMENIA,2020-04-10 01:06:14,921.0,10.0,138.0,8816774
ARMENIA,2020-04-10 09:04:46,921.0,10.0,138.0,8845486
ARMENIA,2020-04-10 12:09:17,921.0,10.0,138.0,8856557
ARMENIA,2020-04-10 14:55:51,937.0,11.0,149.0,8866551
ARMENIA,2020-04-10 18:41:05,937.0,12.0,149.0,8880065
ARMENIA,2020-04-10 21:59:17,937.0,12.0,149.0,8891957
ARMENIA,2020-04-11 00:00:34,937.0,12.0,149.0,8899234
ARMENIA,2020-04-11 09:01:32,937.0,12.0,149.0,8931692
ARMENIA,2020-04-11 12:08:24,937.0,12.0,149.0,8942904
ARMENIA,2020-04-11 17:00:40,967.0,13.0,173.0,8960440
ARMENIA,2020-04-11 18:12:28,967.0,13.0,173.0,8964748
ARMENIA,2020-04-11 21:44:19,977.0,13.0,173.0,8977459
ARMENIA,2020-04-11 23:59:29,977.0,13.0,173.0,8985569
ARMENIA,2020-04-12 09:00:42,967.0,13.0,173.0,9018042
ARMENIA,2020-04-12 12:05:42,967.0,13.0,173.0,9029142
ARMENIA,2020-04-12 15:09:25,1013.0,13.0,197.0,9040165
ARMENIA,2020-04-12 18:22:01,1013.0,13.0,197.0,9051721
ARMENIA,2020-04-12 20:59:25,1013.0,13.0,197.0,9061165
ARMENIA,2020-04-13 00:07:13,1013.0,13.0,197.0,9072433
ARMENIA,2020-04-13 09:26:16,1013.0,13.0,197.0,9105976
ARMENIA,2020-04-13 11:59:14,1013.0,13.0,197.0,9115154
ARMENIA,2020-04-13 15:13:01,1039.0,14.0,211.0,9126781
ARMENIA,2020-04-13 20:23:47,1039.0,14.0,211.0,9145427
ARMENIA,2020-04-13 21:01:27,1039.0,14.0,211.0,9147687
ARMENIA,2020-04-14 00:30:40,1039.0,14.0,211.0,9160240
ARMENIA,2020-04-14 09:09:09,1039.0,14.0,211.0,9191349
ARMENIA,2020-04-14 12:13:23,1039.0,14.0,211.0,9202403
ARMENIA,2020-04-14 15:49:28,1067.0,16.0,265.0,9215368
ARMENIA,2020-04-14 18:27:14,1067.0,16.0,265.0,9224834
ARMENIA,2020-04-14 21:18:50,1067.0,16.0,265.0,9235130
ARMENIA,2020-04-15 00:07:14,1067.0,16.0,265.0,9245234
ARMENIA,2020-04-15 09:00:09,1067.0,16.0,265.0,9277209
ARMENIA,2020-04-15 14:56:18,1111.0,17.0,297.0,9298578
ARMENIA,2020-04-15 19:52:38,1111.0,17.0,297.0,9316358
ARMENIA,2020-04-15 21:18:33,1111.0,17.0,297.0,9321513
ARMENIA,2020-04-16 00:51:15,1111.0,17.0,297.0,9334275
ARMENIA,2020-04-16 09:04:51,1111.0,17.0,297.0,9363891
ARMENIA,2020-04-16 12:05:08,1111.0,17.0,297.0,9374708
ARMENIA,2020-04-16 14:57:08,1159.0,18.0,358.0,9385028
ARMENIA,2020-04-16 17:58:25,1159.0,18.0,358.0,9395905
ARMENIA,2020-04-16 22:41:20,1159.0,18.0,358.0,9412880
ARMENIA,2020-04-17 01:32:36,1159.0,18.0,358.0,9423156
ARMENIA,2020-04-17 09:11:04,1159.0,18.0,358.0,9450664
ARMENIA,2020-04-17 12:02:01,1159.0,18.0,358.0,9460921
ARMENIA,2020-04-17 14:56:35,1201.0,19.0,402.0,9471395
ARMENIA,2020-04-17 18:39:21,1201.0,19.0,402.0,9484761
ARMENIA,2020-04-17 22:45:21,1201.0,19.0,402.0,9499521
ARMENIA,2020-04-18 08:54:14,1201.0,19.0,402.0,9536054
ARMENIA,2020-04-18 13:55:54,1248.0,20.0,523.0,9554154
ARMENIA,2020-04-18 15:41:06,1248.0,20.0,523.0,9560466
ARMENIA,2020-04-18 18:03:48,1248.0,20.0,523.0,9569028
ARMENIA,2020-04-19 00:17:39,1248.0,20.0,523.0,9591459
ARMENIA,2020-04-19 09:10:08,1248.0,20.0,523.0,9623408
ARMENIA,2020-04-19 15:11:32,1291.0,20.0,545.0,9645092
ARMENIA,2020-04-19 18:07:21,1291.0,20.0,545.0,9655641
ARMENIA,2020-04-19 21:01:51,1291.0,20.0,545.0,9666111
ARMENIA,2020-04-20 00:00:38,1291.0,20.0,545.0,9676838
ARMENIA,2020-04-20 12:46:45,1339.0,22.0,580.0,9722805
ARMENIA,2020-04-20 15:15:13,1339.0,22.0,580.0,9731713
ARMENIA,2020-04-20 18:00:55,1339.0,22.0,580.0,9741655
ARMENIA,2020-04-20 20:51:26,1339.0,22.0,580.0,9751886
ARMENIA,2020-04-20 23:57:35,1339.0,22.0,580.0,9763055
ARMENIA,2020-04-21 12:05:06,1339.0,22.0,580.0,9806706
ARMENIA,2020-04-21 18:05:54,1401.0,24.0,609.0,9828354
ARMENIA,2020-04-21 20:56:52,1401.0,24.0,609.0,9838612
ARMENIA,2020-04-22 10:13:50,1401.0,24.0,609.0,9886430
ARMENIA,2020-04-22 12:01:15,1401.0,24.0,609.0,9892875
ARMENIA,2020-04-22 15:04:35,1473.0,24.0,633.0,9903875
ARMENIA,2020-04-23 00:41:34,1473.0,24.0,633.0,9938494
ARMENIA,2020-04-23 11:00:28,1473.0,24.0,633.0,9975628
ARMENIA,2020-04-23 18:09:30,1523.0,24.0,659.0,10001370
ARMENIA,2020-04-23 21:15:10,1523.0,24.0,659.0,10012510
ARMENIA,2020-04-24 12:38:27,1596.0,27.0,728.0,10067907
ARMENIA,2020-04-24 15:07:01,1596.0,27.0,728.0,10076821
ARMENIA,2020-04-24 18:05:08,1596.0,27.0,728.0,10087508
ARMENIA,2020-04-25 01:24:20,1596.0,27.0,728.0,10113860
ARMENIA,2020-04-25 10:29:29,1596.0,27.0,728.0,10146569
ARMENIA,2020-04-25 13:06:30,1677.0,28.0,803.0,10155990
ARMENIA,2020-04-25 15:13:19,1677.0,28.0,803.0,10163599
ARMENIA,2020-04-25 18:05:53,1677.0,28.0,803.0,10173953
ARMENIA,2020-04-26 00:02:26,1677.0,28.0,803.0,10195346
ARMENIA,2020-04-26 10:30:36,1677.0,28.0,803.0,10233036
ARMENIA,2020-04-26 14:00:20,1746.0,28.0,833.0,10245620
ARMENIA,2020-04-26 15:00:26,1746.0,28.0,833.0,10249226
ARMENIA,2020-04-26 18:04:29,1746.0,28.0,833.0,10260269
ARMENIA,2020-04-26 20:55:24,1746.0,28.0,833.0,10270524
ARMENIA,2020-04-27 01:26:23,1746.0,28.0,833.0,10286783
ARMENIA,2020-04-27 12:02:22,1746.0,28.0,833.0,10324942
ARMENIA,2020-04-27 18:28:29,1808.0,29.0,848.0,10348109
ARMENIA,2020-04-27 23:10:06,1808.0,29.0,848.0,10365006
ARMENIA,2020-04-28 00:52:18,1808.0,29.0,848.0,10371138
ARMENIA,2020-04-28 12:28:54,1867.0,29.0,866.0,10412934
ARMENIA,2020-04-29 00:05:46,1867.0,30.0,866.0,10454746
ARMENIA,2020-04-29 11:12:43,1867.0,30.0,866.0,10494763
ARMENIA,2020-04-29 13:02:52,1932.0,30.0,900.0,10501372
ARMENIA,2020-04-29 15:08:24,1932.0,30.0,900.0,10508904
ARMENIA,2020-04-29 18:09:12,1932.0,30.0,900.0,10519752
ARMENIA,2020-04-29 21:32:47,1932.0,30.0,900.0,10531967
ARMENIA,2020-04-30 00:17:29,1932.0,30.0,900.0,10541849
ARMENIA,2020-04-30 09:21:28,1932.0,30.0,900.0,10574488
ARMENIA,2020-04-30 12:29:51,1932.0,30.0,900.0,10585791
ARMENIA,2020-04-30 15:13:47,2066.0,32.0,929.0,10595627
ARMENIA,2020-05-01 00:05:16,2066.0,32.0,929.0,10713916
ARMENIA,2020-05-01 10:41:27,2066.0,32.0,929.0,10752087
ARMENIA,2020-05-01 11:53:59,2066.0,32.0,929.0,10756439
ARMENIA,2020-05-01 15:33:11,2148.0,33.0,977.0,10769591
ARMENIA,2020-05-01 17:55:59,2148.0,33.0,977.0,10778159
ARMENIA,2020-05-01 21:26:40,2148.0,33.0,977.0,10790800
ARMENIA,2020-05-02 00:11:13,2148.0,33.0,977.0,10800673
ARMENIA,2020-05-02 09:45:39,2148.0,33.0,977.0,10835139
ARMENIA,2020-05-02 12:46:52,2148.0,33.0,977.0,10846012
ARMENIA,2020-05-02 15:00:02,2273.0,33.0,1010.0,10854002
ARMENIA,2020-05-02 18:00:30,2273.0,33.0,1010.0,10864830
ARMENIA,2020-05-03 00:04:29,2273.0,33.0,1010.0,10886669
ARMENIA,2020-05-03 11:56:15,2273.0,33.0,1010.0,10929375
ARMENIA,2020-05-03 15:05:11,2386.0,35.0,1035.0,10940711
ARMENIA,2020-05-03 17:57:14,2386.0,35.0,1035.0,10951034
ARMENIA,2020-05-03 21:09:20,2386.0,35.0,1035.0,10962560
ARMENIA,2020-05-03 23:58:14,2386.0,35.0,1035.0,10972694
ARMENIA,2020-05-04 15:08:30,2507.0,39.0,1071.0,11027310
ARMENIA,2020-05-04 18:37:54,2507.0,39.0,1071.0,11039874
ARMENIA,2020-05-04 23:58:07,2507.0,39.0,1071.0,11059087
ARMENIA,2020-05-05 01:13:37,2507.0,39.0,1071.0,11063617
ARMENIA,2020-05-05 13:08:43,2619.0,40.0,1111.0,11106523
ARMENIA,2020-05-05 15:01:21,2619.0,40.0,1111.0,11113281
ARMENIA,2020-05-05 21:05:55,2619.0,40.0,1111.0,11135155
ARMENIA,2020-05-06 00:00:44,2619.0,40.0,1111.0,11145644
ARMENIA,2020-05-06 12:01:14,2619.0,40.0,1111.0,11188874
ARMENIA,2020-05-06 18:00:04,2782.0,40.0,1135.0,11210404
ARMENIA,2020-05-07 00:14:11,2782.0,40.0,1135.0,11232851
ARMENIA,2020-05-07 11:57:25,2782.0,40.0,1135.0,11275045
ARMENIA,2020-05-07 15:00:03,2884.0,42.0,1185.0,11286003
ARMENIA,2020-05-07 18:26:51,2884.0,42.0,1185.0,11298411
ARMENIA,2020-05-07 23:58:31,2884.0,42.0,1185.0,11318311
ARMENIA,2020-05-08 12:02:06,2884.0,42.0,1185.0,11361726
