Nation,Time,Confirmed Case,Death,Recover,timestamp
UZBEKISTAN,2020-04-03 14:30:10,221.0,2.0,25.0,8260210
UZBEKISTAN,2020-04-03 14:30:11,221.0,2.0,25.0,8260211
UZBEKISTAN,2020-04-03 17:30:12,221.0,2.0,25.0,8271012
UZBEKISTAN,2020-04-03 20:30:12,221.0,2.0,25.0,8281812
UZBEKISTAN,2020-04-03 23:30:19,221.0,2.0,25.0,8292619
UZBEKISTAN,2020-04-04 08:30:14,227.0,2.0,25.0,8325014
UZBEKISTAN,2020-04-04 11:30:14,227.0,2.0,25.0,8335814
UZBEKISTAN,2020-04-04 14:30:16,241.0,2.0,25.0,8346616
UZBEKISTAN,2020-04-04 17:30:18,241.0,2.0,25.0,8357418
UZBEKISTAN,2020-04-04 20:30:33,263.0,2.0,25.0,8368233
UZBEKISTAN,2020-04-04 23:30:05,266.0,2.0,25.0,8379005
UZBEKISTAN,2020-04-05 08:30:07,266.0,2.0,25.0,8411407
UZBEKISTAN,2020-04-05 11:30:03,266.0,2.0,25.0,8422203
UZBEKISTAN,2020-04-05 14:30:04,298.0,2.0,25.0,8433004
UZBEKISTAN,2020-04-05 17:40:33,298.0,2.0,25.0,8444433
UZBEKISTAN,2020-04-05 20:33:28,298.0,2.0,30.0,8454808
UZBEKISTAN,2020-04-05 23:30:02,298.0,2.0,30.0,8465402
UZBEKISTAN,2020-04-06 08:37:49,342.0,2.0,30.0,8498269
UZBEKISTAN,2020-04-06 11:30:05,390.0,2.0,30.0,8508605
UZBEKISTAN,2020-04-06 14:44:21,390.0,2.0,30.0,8520261
UZBEKISTAN,2020-04-06 17:30:04,390.0,2.0,30.0,8530204
UZBEKISTAN,2020-04-06 21:00:44,390.0,2.0,30.0,8542844
UZBEKISTAN,2020-04-07 00:00:03,397.0,2.0,30.0,8553603
UZBEKISTAN,2020-04-07 09:00:04,457.0,2.0,30.0,8586004
UZBEKISTAN,2020-04-07 12:15:51,472.0,2.0,30.0,8597751
UZBEKISTAN,2020-04-07 15:59:55,472.0,2.0,30.0,8611195
UZBEKISTAN,2020-04-07 18:03:46,504.0,2.0,30.0,8618626
UZBEKISTAN,2020-04-07 21:32:15,504.0,2.0,30.0,8631135
UZBEKISTAN,2020-04-08 00:00:04,504.0,2.0,30.0,8640004
UZBEKISTAN,2020-04-08 09:00:46,520.0,2.0,30.0,8672446
UZBEKISTAN,2020-04-08 12:21:18,534.0,2.0,30.0,8684478
UZBEKISTAN,2020-04-08 15:04:46,534.0,3.0,30.0,8694286
UZBEKISTAN,2020-04-08 18:11:16,534.0,3.0,30.0,8705476
UZBEKISTAN,2020-04-08 21:33:56,545.0,3.0,30.0,8717636
UZBEKISTAN,2020-04-09 00:14:12,545.0,3.0,30.0,8727252
UZBEKISTAN,2020-04-09 11:19:24,555.0,3.0,30.0,8767164
UZBEKISTAN,2020-04-09 12:07:24,555.0,3.0,30.0,8770044
UZBEKISTAN,2020-04-09 14:57:09,555.0,3.0,30.0,8780229
UZBEKISTAN,2020-04-09 18:00:02,555.0,3.0,30.0,8791202
UZBEKISTAN,2020-04-10 01:06:14,582.0,3.0,38.0,8816774
UZBEKISTAN,2020-04-10 09:04:46,582.0,3.0,38.0,8845486
UZBEKISTAN,2020-04-10 12:09:17,624.0,3.0,38.0,8856557
UZBEKISTAN,2020-04-10 14:55:51,624.0,3.0,38.0,8866551
UZBEKISTAN,2020-04-10 18:41:05,624.0,3.0,42.0,8880065
UZBEKISTAN,2020-04-10 21:59:17,624.0,3.0,42.0,8891957
UZBEKISTAN,2020-04-11 00:00:34,624.0,3.0,42.0,8899234
UZBEKISTAN,2020-04-11 09:01:32,669.0,3.0,42.0,8931692
UZBEKISTAN,2020-04-11 12:08:24,669.0,3.0,42.0,8942904
UZBEKISTAN,2020-04-11 17:00:40,729.0,3.0,42.0,8960440
UZBEKISTAN,2020-04-11 18:12:28,729.0,3.0,42.0,8964748
UZBEKISTAN,2020-04-11 21:44:19,729.0,3.0,42.0,8977459
UZBEKISTAN,2020-04-11 23:59:29,729.0,3.0,42.0,8985569
UZBEKISTAN,2020-04-12 09:00:42,767.0,4.0,42.0,9018042
UZBEKISTAN,2020-04-12 12:05:42,796.0,4.0,42.0,9029142
UZBEKISTAN,2020-04-12 15:09:25,796.0,4.0,42.0,9040165
UZBEKISTAN,2020-04-12 18:22:01,833.0,4.0,42.0,9051721
UZBEKISTAN,2020-04-12 20:59:25,833.0,4.0,65.0,9061165
UZBEKISTAN,2020-04-13 00:07:13,833.0,4.0,66.0,9072433
UZBEKISTAN,2020-04-13 09:26:16,865.0,4.0,66.0,9105976
UZBEKISTAN,2020-04-13 11:59:14,865.0,4.0,66.0,9115154
UZBEKISTAN,2020-04-13 15:13:01,896.0,4.0,66.0,9126781
UZBEKISTAN,2020-04-13 20:23:47,934.0,4.0,85.0,9145427
UZBEKISTAN,2020-04-13 21:01:27,934.0,4.0,85.0,9147687
UZBEKISTAN,2020-04-14 00:30:40,998.0,4.0,85.0,9160240
UZBEKISTAN,2020-04-14 09:09:09,998.0,4.0,85.0,9191349
UZBEKISTAN,2020-04-14 12:13:23,1054.0,4.0,85.0,9202403
UZBEKISTAN,2020-04-14 15:49:28,1054.0,4.0,99.0,9215368
UZBEKISTAN,2020-04-14 18:27:14,1113.0,4.0,99.0,9224834
UZBEKISTAN,2020-04-14 21:18:50,1113.0,4.0,99.0,9235130
UZBEKISTAN,2020-04-15 00:07:14,1165.0,4.0,99.0,9245234
UZBEKISTAN,2020-04-15 09:00:09,1165.0,4.0,99.0,9277209
UZBEKISTAN,2020-04-15 14:56:18,1214.0,4.0,99.0,9298578
UZBEKISTAN,2020-04-15 19:52:38,1275.0,4.0,107.0,9316358
UZBEKISTAN,2020-04-15 21:18:33,1275.0,4.0,107.0,9321513
UZBEKISTAN,2020-04-16 00:51:15,1302.0,4.0,107.0,9334275
UZBEKISTAN,2020-04-16 09:04:51,1302.0,4.0,107.0,9363891
UZBEKISTAN,2020-04-16 12:05:08,1349.0,4.0,107.0,9374708
UZBEKISTAN,2020-04-16 14:57:08,1349.0,4.0,107.0,9385028
UZBEKISTAN,2020-04-16 17:58:25,1349.0,4.0,129.0,9395905
UZBEKISTAN,2020-04-16 22:41:20,1349.0,4.0,129.0,9412880
UZBEKISTAN,2020-04-17 01:32:36,1349.0,4.0,129.0,9423156
UZBEKISTAN,2020-04-17 09:11:04,1349.0,4.0,129.0,9450664
UZBEKISTAN,2020-04-17 12:02:01,1380.0,4.0,129.0,9460921
UZBEKISTAN,2020-04-17 14:56:35,1380.0,4.0,140.0,9471395
UZBEKISTAN,2020-04-17 18:39:21,1390.0,4.0,140.0,9484761
UZBEKISTAN,2020-04-17 22:45:21,1390.0,4.0,156.0,9499521
UZBEKISTAN,2020-04-18 08:54:14,1405.0,4.0,156.0,9536054
UZBEKISTAN,2020-04-18 13:55:54,1450.0,4.0,156.0,9554154
UZBEKISTAN,2020-04-18 15:41:06,1450.0,4.0,168.0,9560466
UZBEKISTAN,2020-04-18 18:03:48,1450.0,4.0,185.0,9569028
UZBEKISTAN,2020-04-19 00:17:39,1490.0,5.0,194.0,9591459
UZBEKISTAN,2020-04-19 09:10:08,1490.0,5.0,194.0,9623408
UZBEKISTAN,2020-04-19 15:11:32,1495.0,5.0,194.0,9645092
UZBEKISTAN,2020-04-19 18:07:21,1495.0,5.0,225.0,9655641
UZBEKISTAN,2020-04-19 21:01:51,1543.0,5.0,225.0,9666111
UZBEKISTAN,2020-04-20 00:00:38,1565.0,5.0,225.0,9676838
UZBEKISTAN,2020-04-20 12:46:45,1565.0,5.0,225.0,9722805
UZBEKISTAN,2020-04-20 15:15:13,1565.0,5.0,238.0,9731713
UZBEKISTAN,2020-04-20 18:00:55,1582.0,5.0,261.0,9741655
UZBEKISTAN,2020-04-20 20:51:26,1604.0,5.0,261.0,9751886
UZBEKISTAN,2020-04-20 23:57:35,1604.0,5.0,261.0,9763055
UZBEKISTAN,2020-04-21 12:05:06,1657.0,5.0,261.0,9806706
UZBEKISTAN,2020-04-21 18:05:54,1657.0,5.0,269.0,9828354
UZBEKISTAN,2020-04-21 20:56:52,1657.0,6.0,357.0,9838612
UZBEKISTAN,2020-04-22 10:13:50,1678.0,6.0,357.0,9886430
UZBEKISTAN,2020-04-22 12:01:15,1692.0,6.0,357.0,9892875
UZBEKISTAN,2020-04-22 15:04:35,1692.0,6.0,372.0,9903875
UZBEKISTAN,2020-04-23 00:41:34,1716.0,7.0,450.0,9938494
UZBEKISTAN,2020-04-23 11:00:28,1716.0,7.0,450.0,9975628
UZBEKISTAN,2020-04-23 18:09:30,1716.0,7.0,486.0,10001370
UZBEKISTAN,2020-04-23 21:15:10,1735.0,7.0,561.0,10012510
UZBEKISTAN,2020-04-24 12:38:27,1778.0,7.0,582.0,10067907
UZBEKISTAN,2020-04-24 15:07:01,1778.0,7.0,598.0,10076821
UZBEKISTAN,2020-04-24 18:05:08,1778.0,8.0,598.0,10087508
UZBEKISTAN,2020-04-25 01:24:20,1804.0,8.0,621.0,10113860
UZBEKISTAN,2020-04-25 10:29:29,1804.0,8.0,621.0,10146569
UZBEKISTAN,2020-04-25 13:06:30,1836.0,8.0,621.0,10155990
UZBEKISTAN,2020-04-25 15:13:19,1836.0,8.0,657.0,10163599
UZBEKISTAN,2020-04-25 18:05:53,1836.0,8.0,707.0,10173953
UZBEKISTAN,2020-04-26 00:02:26,1862.0,8.0,707.0,10195346
UZBEKISTAN,2020-04-26 10:30:36,1862.0,8.0,707.0,10233036
UZBEKISTAN,2020-04-26 14:00:20,1865.0,8.0,707.0,10245620
UZBEKISTAN,2020-04-26 15:00:26,1865.0,8.0,707.0,10249226
UZBEKISTAN,2020-04-26 18:04:29,1865.0,8.0,763.0,10260269
UZBEKISTAN,2020-04-26 20:55:24,1869.0,8.0,765.0,10270524
UZBEKISTAN,2020-04-27 01:26:23,1869.0,8.0,789.0,10286783
UZBEKISTAN,2020-04-27 12:02:22,1887.0,8.0,789.0,10324942
UZBEKISTAN,2020-04-27 18:28:29,1887.0,8.0,880.0,10348109
UZBEKISTAN,2020-04-27 23:10:06,1904.0,8.0,892.0,10365006
