Nation,Time,Confirmed Case,Death,Recover,timestamp
BULGARIA,2020-04-03 14:30:10,477.0,12.0,30.0,8260210
BULGARIA,2020-04-03 14:30:11,477.0,12.0,30.0,8260211
BULGARIA,2020-04-03 17:30:12,477.0,12.0,30.0,8271012
BULGARIA,2020-04-03 20:30:12,485.0,14.0,30.0,8281812
BULGARIA,2020-04-03 23:30:19,485.0,14.0,30.0,8292619
BULGARIA,2020-04-04 08:30:14,485.0,14.0,30.0,8325014
BULGARIA,2020-04-04 11:30:14,485.0,14.0,30.0,8335814
BULGARIA,2020-04-04 14:30:16,498.0,14.0,34.0,8346616
BULGARIA,2020-04-04 17:30:18,498.0,17.0,34.0,8357418
BULGARIA,2020-04-04 20:30:33,503.0,17.0,34.0,8368233
BULGARIA,2020-04-04 23:30:05,503.0,17.0,34.0,8379005
BULGARIA,2020-04-05 08:30:07,503.0,17.0,34.0,8411407
BULGARIA,2020-04-05 11:30:03,522.0,18.0,37.0,8422203
BULGARIA,2020-04-05 14:30:04,522.0,18.0,37.0,8433004
BULGARIA,2020-04-05 17:40:33,522.0,18.0,37.0,8444433
BULGARIA,2020-04-05 20:33:28,531.0,20.0,37.0,8454808
BULGARIA,2020-04-05 23:30:02,531.0,20.0,37.0,8465402
BULGARIA,2020-04-06 08:37:49,531.0,20.0,37.0,8498269
BULGARIA,2020-04-06 11:30:05,541.0,21.0,37.0,8508605
BULGARIA,2020-04-06 14:44:21,541.0,21.0,39.0,8520261
BULGARIA,2020-04-06 17:30:04,541.0,21.0,39.0,8530204
BULGARIA,2020-04-06 21:00:44,549.0,22.0,39.0,8542844
BULGARIA,2020-04-07 00:00:03,549.0,22.0,39.0,8553603
BULGARIA,2020-04-07 09:00:04,549.0,22.0,39.0,8586004
BULGARIA,2020-04-07 12:15:51,565.0,22.0,42.0,8597751
BULGARIA,2020-04-07 15:59:55,565.0,22.0,42.0,8611195
BULGARIA,2020-04-07 18:03:46,565.0,22.0,42.0,8618626
BULGARIA,2020-04-07 21:32:15,577.0,23.0,42.0,8631135
BULGARIA,2020-04-08 00:00:04,577.0,23.0,42.0,8640004
BULGARIA,2020-04-08 09:00:46,577.0,23.0,42.0,8672446
BULGARIA,2020-04-08 12:21:18,581.0,23.0,42.0,8684478
BULGARIA,2020-04-08 15:04:46,581.0,23.0,42.0,8694286
BULGARIA,2020-04-08 18:11:16,581.0,23.0,42.0,8705476
BULGARIA,2020-04-08 21:33:56,593.0,24.0,42.0,8717636
BULGARIA,2020-04-09 00:14:12,593.0,24.0,42.0,8727252
BULGARIA,2020-04-09 11:19:24,593.0,24.0,42.0,8767164
BULGARIA,2020-04-09 12:07:24,611.0,24.0,48.0,8770044
BULGARIA,2020-04-09 14:57:09,611.0,24.0,48.0,8780229
BULGARIA,2020-04-09 18:00:02,611.0,24.0,48.0,8791202
BULGARIA,2020-04-10 01:06:14,618.0,24.0,48.0,8816774
BULGARIA,2020-04-10 09:04:46,618.0,24.0,48.0,8845486
BULGARIA,2020-04-10 12:09:17,624.0,24.0,54.0,8856557
BULGARIA,2020-04-10 14:55:51,624.0,24.0,54.0,8866551
BULGARIA,2020-04-10 18:41:05,624.0,24.0,54.0,8880065
BULGARIA,2020-04-10 21:59:17,635.0,25.0,54.0,8891957
BULGARIA,2020-04-11 00:00:34,635.0,25.0,54.0,8899234
