Nation,Time,Confirmed Case,Death,Recover,timestamp
FIJI,2020-04-03 14:30:10,7.0,0.0,0.0,8260210
FIJI,2020-04-03 14:30:11,7.0,0.0,0.0,8260211
FIJI,2020-04-03 17:30:12,7.0,0.0,0.0,8271012
FIJI,2020-04-03 20:30:12,7.0,0.0,0.0,8281812
FIJI,2020-04-03 23:30:19,7.0,0.0,0.0,8292619
FIJI,2020-04-04 08:30:14,7.0,0.0,0.0,8325014
FIJI,2020-04-04 11:30:14,12.0,0.0,0.0,8335814
FIJI,2020-04-04 14:30:16,12.0,0.0,0.0,8346616
FIJI,2020-04-04 17:30:18,12.0,0.0,0.0,8357418
FIJI,2020-04-04 20:30:33,12.0,0.0,0.0,8368233
FIJI,2020-04-04 23:30:05,12.0,0.0,0.0,8379005
FIJI,2020-04-05 08:30:07,12.0,0.0,0.0,8411407
FIJI,2020-04-05 11:30:03,12.0,0.0,0.0,8422203
FIJI,2020-04-05 14:30:04,12.0,0.0,0.0,8433004
FIJI,2020-04-05 17:40:33,12.0,0.0,0.0,8444433
FIJI,2020-04-05 20:33:28,12.0,0.0,0.0,8454808
FIJI,2020-04-05 23:30:02,12.0,0.0,0.0,8465402
FIJI,2020-04-06 08:37:49,12.0,0.0,0.0,8498269
FIJI,2020-04-06 11:30:05,14.0,0.0,0.0,8508605
FIJI,2020-04-06 14:44:21,14.0,0.0,0.0,8520261
FIJI,2020-04-06 17:30:04,14.0,0.0,0.0,8530204
FIJI,2020-04-06 21:00:44,14.0,0.0,0.0,8542844
FIJI,2020-04-07 00:00:03,14.0,0.0,0.0,8553603
FIJI,2020-04-07 09:00:04,15.0,0.0,0.0,8586004
FIJI,2020-04-07 12:15:51,15.0,0.0,0.0,8597751
FIJI,2020-04-07 15:59:55,15.0,0.0,0.0,8611195
FIJI,2020-04-07 18:03:46,15.0,0.0,0.0,8618626
FIJI,2020-04-07 21:32:15,15.0,0.0,0.0,8631135
FIJI,2020-04-08 00:00:04,15.0,0.0,0.0,8640004
FIJI,2020-04-08 09:00:46,15.0,0.0,0.0,8672446
FIJI,2020-04-08 12:21:18,15.0,0.0,0.0,8684478
FIJI,2020-04-08 15:04:46,15.0,0.0,0.0,8694286
FIJI,2020-04-08 18:11:16,15.0,0.0,0.0,8705476
FIJI,2020-04-08 21:33:56,15.0,0.0,0.0,8717636
FIJI,2020-04-09 00:14:12,15.0,0.0,0.0,8727252
FIJI,2020-04-09 11:19:24,15.0,0.0,0.0,8767164
FIJI,2020-04-09 12:07:24,15.0,0.0,0.0,8770044
FIJI,2020-04-09 14:57:09,15.0,0.0,0.0,8780229
FIJI,2020-04-09 18:00:02,15.0,0.0,0.0,8791202
FIJI,2020-04-10 01:06:14,15.0,0.0,0.0,8816774
FIJI,2020-04-10 09:04:46,16.0,0.0,0.0,8845486
FIJI,2020-04-10 12:09:17,16.0,0.0,0.0,8856557
FIJI,2020-04-10 14:55:51,16.0,0.0,0.0,8866551
FIJI,2020-04-10 18:41:05,16.0,0.0,0.0,8880065
FIJI,2020-04-10 21:59:17,16.0,0.0,0.0,8891957
FIJI,2020-04-11 00:00:34,16.0,0.0,0.0,8899234
FIJI,2020-04-11 09:01:32,16.0,0.0,0.0,8931692
FIJI,2020-04-11 12:08:24,16.0,0.0,0.0,8942904
FIJI,2020-04-11 17:00:40,16.0,0.0,0.0,8960440
FIJI,2020-04-11 18:12:28,16.0,0.0,0.0,8964748
FIJI,2020-04-11 21:44:19,16.0,0.0,0.0,8977459
FIJI,2020-04-11 23:59:29,16.0,0.0,0.0,8985569
FIJI,2020-04-12 09:00:42,16.0,0.0,0.0,9018042
FIJI,2020-04-12 12:05:42,16.0,0.0,0.0,9029142
FIJI,2020-04-12 15:09:25,16.0,0.0,0.0,9040165
FIJI,2020-04-12 18:22:01,16.0,0.0,0.0,9051721
FIJI,2020-04-12 20:59:25,16.0,0.0,0.0,9061165
FIJI,2020-04-13 00:07:13,16.0,0.0,0.0,9072433
FIJI,2020-04-13 09:26:16,16.0,0.0,0.0,9105976
FIJI,2020-04-13 11:59:14,16.0,0.0,0.0,9115154
FIJI,2020-04-13 15:13:01,16.0,0.0,0.0,9126781
FIJI,2020-04-13 20:23:47,16.0,0.0,0.0,9145427
FIJI,2020-04-13 21:01:27,16.0,0.0,0.0,9147687
FIJI,2020-04-14 00:30:40,16.0,0.0,0.0,9160240
FIJI,2020-04-14 09:09:09,16.0,0.0,0.0,9191349
FIJI,2020-04-14 12:13:23,16.0,0.0,0.0,9202403
FIJI,2020-04-14 15:49:28,16.0,0.0,0.0,9215368
