Nation,Time,Confirmed Case,Death,Recover,timestamp
SAUDI ARABIA,2020-04-03 14:30:10,1885.0,21.0,328.0,8260210
SAUDI ARABIA,2020-04-03 14:30:11,1885.0,21.0,328.0,8260211
SAUDI ARABIA,2020-04-03 17:30:12,1885.0,21.0,328.0,8271012
SAUDI ARABIA,2020-04-03 20:30:12,2039.0,25.0,351.0,8281812
SAUDI ARABIA,2020-04-03 23:30:19,2039.0,25.0,351.0,8292619
SAUDI ARABIA,2020-04-04 08:30:14,2039.0,25.0,351.0,8325014
SAUDI ARABIA,2020-04-04 11:30:14,2039.0,25.0,351.0,8335814
SAUDI ARABIA,2020-04-04 14:30:16,2039.0,25.0,351.0,8346616
SAUDI ARABIA,2020-04-04 17:30:18,2039.0,25.0,351.0,8357418
SAUDI ARABIA,2020-04-04 20:30:33,2179.0,29.0,420.0,8368233
SAUDI ARABIA,2020-04-04 23:30:05,2179.0,29.0,420.0,8379005
SAUDI ARABIA,2020-04-05 08:30:07,2179.0,29.0,420.0,8411407
SAUDI ARABIA,2020-04-05 11:30:03,2370.0,29.0,420.0,8422203
SAUDI ARABIA,2020-04-05 14:30:04,2370.0,29.0,420.0,8433004
SAUDI ARABIA,2020-04-05 17:40:33,2370.0,29.0,420.0,8444433
SAUDI ARABIA,2020-04-05 20:33:28,2385.0,34.0,488.0,8454808
SAUDI ARABIA,2020-04-05 23:30:02,2385.0,34.0,488.0,8465402
SAUDI ARABIA,2020-04-06 08:37:49,2402.0,34.0,488.0,8498269
SAUDI ARABIA,2020-04-06 11:30:05,2402.0,34.0,488.0,8508605
SAUDI ARABIA,2020-04-06 14:44:21,2463.0,34.0,488.0,8520261
SAUDI ARABIA,2020-04-06 17:30:04,2463.0,34.0,488.0,8530204
SAUDI ARABIA,2020-04-06 21:00:44,2523.0,38.0,551.0,8542844
SAUDI ARABIA,2020-04-07 00:00:03,2523.0,38.0,551.0,8553603
SAUDI ARABIA,2020-04-07 09:00:04,2605.0,38.0,551.0,8586004
