Nation,Time,Confirmed Case,Death,Recover,timestamp
MOZAMBIQUE,2020-04-03 14:30:10,10.0,0.0,0.0,8260210
MOZAMBIQUE,2020-04-03 14:30:11,10.0,0.0,0.0,8260211
MOZAMBIQUE,2020-04-03 17:30:12,10.0,0.0,0.0,8271012
MOZAMBIQUE,2020-04-03 20:30:12,10.0,0.0,0.0,8281812
MOZAMBIQUE,2020-04-03 23:30:19,10.0,0.0,0.0,8292619
MOZAMBIQUE,2020-04-04 08:30:14,10.0,0.0,0.0,8325014
MOZAMBIQUE,2020-04-04 11:30:14,10.0,0.0,0.0,8335814
MOZAMBIQUE,2020-04-04 14:30:16,10.0,0.0,0.0,8346616
MOZAMBIQUE,2020-04-04 17:30:18,10.0,0.0,0.0,8357418
MOZAMBIQUE,2020-04-04 20:30:33,10.0,0.0,0.0,8368233
MOZAMBIQUE,2020-04-04 23:30:05,10.0,0.0,1.0,8379005
MOZAMBIQUE,2020-04-05 08:30:07,10.0,0.0,1.0,8411407
MOZAMBIQUE,2020-04-05 11:30:03,10.0,0.0,1.0,8422203
MOZAMBIQUE,2020-04-05 14:30:04,10.0,0.0,1.0,8433004
MOZAMBIQUE,2020-04-05 17:40:33,10.0,0.0,1.0,8444433
MOZAMBIQUE,2020-04-05 20:33:28,10.0,0.0,1.0,8454808
MOZAMBIQUE,2020-04-05 23:30:02,10.0,0.0,1.0,8465402
MOZAMBIQUE,2020-04-06 08:37:49,10.0,0.0,1.0,8498269
MOZAMBIQUE,2020-04-06 11:30:05,10.0,0.0,1.0,8508605
MOZAMBIQUE,2020-04-06 14:44:21,10.0,0.0,1.0,8520261
MOZAMBIQUE,2020-04-06 17:30:04,10.0,0.0,1.0,8530204
MOZAMBIQUE,2020-04-06 21:00:44,10.0,0.0,1.0,8542844
MOZAMBIQUE,2020-04-07 00:00:03,10.0,0.0,1.0,8553603
MOZAMBIQUE,2020-04-07 09:00:04,10.0,0.0,1.0,8586004
MOZAMBIQUE,2020-04-07 12:15:51,10.0,0.0,1.0,8597751
MOZAMBIQUE,2020-04-07 15:59:55,10.0,0.0,1.0,8611195
MOZAMBIQUE,2020-04-07 18:03:46,10.0,0.0,1.0,8618626
MOZAMBIQUE,2020-04-07 21:32:15,10.0,0.0,1.0,8631135
MOZAMBIQUE,2020-04-08 00:00:04,10.0,0.0,1.0,8640004
MOZAMBIQUE,2020-04-08 09:00:46,10.0,0.0,1.0,8672446
MOZAMBIQUE,2020-04-08 12:21:18,10.0,0.0,1.0,8684478
MOZAMBIQUE,2020-04-08 15:04:46,10.0,0.0,1.0,8694286
MOZAMBIQUE,2020-04-08 18:11:16,10.0,0.0,1.0,8705476
MOZAMBIQUE,2020-04-08 21:33:56,17.0,0.0,1.0,8717636
MOZAMBIQUE,2020-04-09 00:14:12,17.0,0.0,1.0,8727252
MOZAMBIQUE,2020-04-09 11:19:24,17.0,0.0,1.0,8767164
MOZAMBIQUE,2020-04-09 12:07:24,17.0,0.0,1.0,8770044
MOZAMBIQUE,2020-04-09 14:57:09,17.0,0.0,1.0,8780229
MOZAMBIQUE,2020-04-09 18:00:02,17.0,0.0,1.0,8791202
MOZAMBIQUE,2020-04-10 01:06:14,17.0,0.0,1.0,8816774
MOZAMBIQUE,2020-04-10 09:04:46,17.0,0.0,1.0,8845486
MOZAMBIQUE,2020-04-10 12:09:17,17.0,0.0,1.0,8856557
MOZAMBIQUE,2020-04-10 14:55:51,17.0,0.0,1.0,8866551
MOZAMBIQUE,2020-04-10 18:41:05,17.0,0.0,1.0,8880065
MOZAMBIQUE,2020-04-10 21:59:17,17.0,0.0,1.0,8891957
MOZAMBIQUE,2020-04-11 00:00:34,20.0,0.0,2.0,8899234
MOZAMBIQUE,2020-04-11 09:01:32,20.0,0.0,2.0,8931692
MOZAMBIQUE,2020-04-11 12:08:24,20.0,0.0,2.0,8942904
MOZAMBIQUE,2020-04-11 17:00:40,20.0,0.0,2.0,8960440
MOZAMBIQUE,2020-04-11 18:12:28,20.0,0.0,2.0,8964748
MOZAMBIQUE,2020-04-11 21:44:19,20.0,0.0,2.0,8977459
MOZAMBIQUE,2020-04-11 23:59:29,20.0,0.0,2.0,8985569
MOZAMBIQUE,2020-04-12 09:00:42,20.0,0.0,2.0,9018042
MOZAMBIQUE,2020-04-12 12:05:42,20.0,0.0,2.0,9029142
MOZAMBIQUE,2020-04-12 15:09:25,20.0,0.0,2.0,9040165
MOZAMBIQUE,2020-04-12 18:22:01,21.0,0.0,2.0,9051721
MOZAMBIQUE,2020-04-12 20:59:25,21.0,0.0,2.0,9061165
MOZAMBIQUE,2020-04-13 00:07:13,21.0,0.0,2.0,9072433
MOZAMBIQUE,2020-04-13 09:26:16,21.0,0.0,2.0,9105976
MOZAMBIQUE,2020-04-13 11:59:14,21.0,0.0,2.0,9115154
MOZAMBIQUE,2020-04-13 15:13:01,21.0,0.0,2.0,9126781
MOZAMBIQUE,2020-04-13 20:23:47,21.0,0.0,2.0,9145427
MOZAMBIQUE,2020-04-13 21:01:27,21.0,0.0,2.0,9147687
MOZAMBIQUE,2020-04-14 00:30:40,21.0,0.0,2.0,9160240
MOZAMBIQUE,2020-04-14 09:09:09,21.0,0.0,2.0,9191349
MOZAMBIQUE,2020-04-14 12:13:23,21.0,0.0,2.0,9202403
MOZAMBIQUE,2020-04-14 15:49:28,21.0,0.0,2.0,9215368
MOZAMBIQUE,2020-04-14 18:27:14,21.0,0.0,2.0,9224834
MOZAMBIQUE,2020-04-14 21:18:50,28.0,0.0,2.0,9235130
MOZAMBIQUE,2020-04-15 00:07:14,28.0,0.0,2.0,9245234
MOZAMBIQUE,2020-04-15 09:00:09,28.0,0.0,2.0,9277209
MOZAMBIQUE,2020-04-15 14:56:18,28.0,0.0,2.0,9298578
MOZAMBIQUE,2020-04-15 19:52:38,28.0,0.0,2.0,9316358
MOZAMBIQUE,2020-04-15 21:18:33,29.0,0.0,2.0,9321513
MOZAMBIQUE,2020-04-16 00:51:15,29.0,0.0,2.0,9334275
MOZAMBIQUE,2020-04-16 09:04:51,29.0,0.0,2.0,9363891
MOZAMBIQUE,2020-04-16 12:05:08,29.0,0.0,2.0,9374708
MOZAMBIQUE,2020-04-16 14:57:08,29.0,0.0,2.0,9385028
MOZAMBIQUE,2020-04-16 17:58:25,29.0,0.0,2.0,9395905
MOZAMBIQUE,2020-04-16 22:41:20,31.0,0.0,2.0,9412880
MOZAMBIQUE,2020-04-17 01:32:36,31.0,0.0,2.0,9423156
MOZAMBIQUE,2020-04-17 09:11:04,31.0,0.0,2.0,9450664
MOZAMBIQUE,2020-04-17 12:02:01,31.0,0.0,2.0,9460921
MOZAMBIQUE,2020-04-17 14:56:35,31.0,0.0,2.0,9471395
MOZAMBIQUE,2020-04-17 18:39:21,31.0,0.0,2.0,9484761
MOZAMBIQUE,2020-04-17 22:45:21,34.0,0.0,2.0,9499521
MOZAMBIQUE,2020-04-18 08:54:14,34.0,0.0,2.0,9536054
MOZAMBIQUE,2020-04-18 13:55:54,34.0,0.0,2.0,9554154
MOZAMBIQUE,2020-04-18 15:41:06,34.0,0.0,2.0,9560466
MOZAMBIQUE,2020-04-18 18:03:48,34.0,0.0,2.0,9569028
MOZAMBIQUE,2020-04-19 00:17:39,34.0,0.0,2.0,9591459
MOZAMBIQUE,2020-04-19 09:10:08,35.0,0.0,4.0,9623408
MOZAMBIQUE,2020-04-19 15:11:32,35.0,0.0,4.0,9645092
MOZAMBIQUE,2020-04-19 18:07:21,39.0,0.0,8.0,9655641
MOZAMBIQUE,2020-04-19 21:01:51,39.0,0.0,8.0,9666111
MOZAMBIQUE,2020-04-20 00:00:38,39.0,0.0,8.0,9676838
MOZAMBIQUE,2020-04-20 12:46:45,39.0,0.0,8.0,9722805
MOZAMBIQUE,2020-04-20 15:15:13,39.0,0.0,8.0,9731713
MOZAMBIQUE,2020-04-20 18:00:55,39.0,0.0,8.0,9741655
MOZAMBIQUE,2020-04-20 20:51:26,39.0,0.0,8.0,9751886
MOZAMBIQUE,2020-04-20 23:57:35,39.0,0.0,8.0,9763055
